Q,n,l,r0,Energy,m_ratio
1,1,0,2,4733.73,1
1,2,0,2,4730.43,0.999303
1,3,0,2,4729.72,0.999152
1,2,1,2,4725.33,0.998225
2,1,0,2,18429.4,3.8932
2,2,0,2,18421.5,3.89153
3,1,0,2,41256.1,8.71533
1,1,0,4,4740.33,1
1,2,0,4,4738.32,0.999577
1,3,0,4,4736.29,0.999149
1,2,1,4,4723.05,0.996356
2,1,0,4,18442.2,3.8905
2,2,0,4,18435.7,3.88912
3,1,0,4,41277.1,8.70763
1,1,0,6,4740.67,1
1,2,0,6,4742.93,1.00048
1,3,0,6,4741.78,1.00023
1,2,1,6,4715.66,0.994724
2,1,0,6,18445.3,3.89087
2,2,0,6,18446.5,3.89112
3,1,0,6,41282.3,8.7081
1,1,0,8,4739.09,1
1,2,0,8,4744.22,1.00108
1,3,0,8,4743.73,1.00098
1,2,1,8,4711.03,0.99408
2,1,0,8,18443.5,3.89179
2,2,0,8,18449.8,3.89311
3,1,0,8,41280.6,8.71067
