Q,epsilon,R_min,Energy,m_ratio,well_depth
1,0.001,0.52291,4685.27,1.0,0.47709
2,0.001,0.1,17146.3,3.65961,0.9
3,0.001,0.550412,23236.9,4.95957,0.449588
1,0.005,0.1,4623.83,1.0,0.9
2,0.005,0.1,17095,3.69714,0.9
3,0.005,0.1,23207.7,5.01914,0.9
1,0.01,0.1,4592.5,1.0,0.9
2,0.01,0.1,17087.1,3.72065,0.9
3,0.01,0.1,23198.7,5.05143,0.9
1,0.05,0.1,4568.07,1.0,0.9
2,0.05,0.1,17078.9,3.73875,0.9
3,0.05,0.1,23180.3,5.07441,0.9
1,0.1,0.1,4566.67,1.0,0.9
2,0.1,0.1,17075,3.73905,0.9
3,0.1,0.1,23173,5.07438,0.9
