# Test: D5_AtomicPhysics
# Date: 2026-01-06T09:30:48
# Git: b1f1668 (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: atom=Hydrogen, category=Energy_Levels, test=D5_AtomicPhysics
#
n,l,Energy_eV
1,0,-13.605693
2,0,-3.401423
2,1,-3.401423
3,0,-1.511744
3,1,-1.511744
3,2,-1.511744
4,0,-0.850356
4,1,-0.850356
4,2,-0.850356
4,3,-0.850356
5,0,-0.544228
5,1,-0.544228
5,2,-0.544228
5,3,-0.544228
5,4,-0.544228
6,0,-0.377936
6,1,-0.377936
6,2,-0.377936
6,3,-0.377936
6,4,-0.377936
6,5,-0.377936
7,0,-0.277667
7,1,-0.277667
7,2,-0.277667
7,3,-0.277667
7,4,-0.277667
7,5,-0.277667
7,6,-0.277667
8,0,-0.212589
8,1,-0.212589
8,2,-0.212589
8,3,-0.212589
8,4,-0.212589
8,5,-0.212589
8,6,-0.212589
8,7,-0.212589
9,0,-0.167972
9,1,-0.167972
9,2,-0.167972
9,3,-0.167972
9,4,-0.167972
9,5,-0.167972
9,6,-0.167972
9,7,-0.167972
9,8,-0.167972
10,0,-0.136057
10,1,-0.136057
10,2,-0.136057
10,3,-0.136057
10,4,-0.136057
10,5,-0.136057
10,6,-0.136057
10,7,-0.136057
10,8,-0.136057
10,9,-0.136057
