# Dark Energy Evolution Data
# time, w, scale_factor, energy_density, pressure
0, 1, 1, 0.01, 0.01
0.01, 1, 1.001, 0.01, 0.01
0.02, 1, 1.002, 0.01, 0.01
0.03, 1, 1.003, 0.01, 0.01
0.04, 1, 1.00401, 0.01, 0.01
0.05, 1, 1.00501, 0.01, 0.01
0.06, 1, 1.00602, 0.01, 0.01
0.07, 1, 1.00702, 0.01, 0.01
0.08, 1, 1.00803, 0.01, 0.01
0.09, 1, 1.00904, 0.01, 0.01
0.1, 1, 1.01005, 0.01, 0.01
0.11, 1, 1.01106, 0.01, 0.01
0.12, 1, 1.01207, 0.01, 0.01
0.13, 1, 1.01308, 0.01, 0.01
0.14, 1, 1.0141, 0.01, 0.01
0.15, 1, 1.01511, 0.01, 0.01
0.16, 1, 1.01613, 0.01, 0.01
0.17, 1, 1.01715, 0.01, 0.01
0.18, 1, 1.01816, 0.01, 0.01
0.19, 1, 1.01918, 0.01, 0.01
0.2, 1, 1.0202, 0.01, 0.01
0.21, 1, 1.02122, 0.01, 0.01
0.22, 1, 1.02224, 0.01, 0.01
0.23, 1, 1.02327, 0.01, 0.01
0.24, 1, 1.02429, 0.01, 0.01
0.25, 1, 1.02532, 0.01, 0.01
0.26, 1, 1.02634, 0.01, 0.01
0.27, 1, 1.02737, 0.01, 0.01
0.28, 1, 1.0284, 0.01, 0.01
0.29, 1, 1.02942, 0.01, 0.01
0.3, 1, 1.03045, 0.01, 0.01
0.31, 1, 1.03149, 0.01, 0.01
0.32, 1, 1.03252, 0.01, 0.01
0.33, 1, 1.03355, 0.01, 0.01
0.34, 1, 1.03458, 0.01, 0.01
0.35, 1, 1.03562, 0.01, 0.01
0.36, 1, 1.03666, 0.01, 0.01
0.37, 1, 1.03769, 0.01, 0.01
0.38, 1, 1.03873, 0.01, 0.01
0.39, 1, 1.03977, 0.01, 0.01
0.4, 1, 1.04081, 0.01, 0.01
0.41, 1, 1.04185, 0.01, 0.01
0.42, 1, 1.04289, 0.01, 0.01
0.43, 1, 1.04394, 0.01, 0.01
0.44, 1, 1.04498, 0.01, 0.01
0.45, 1, 1.04603, 0.01, 0.01
0.46, 1, 1.04707, 0.01, 0.01
0.47, 1, 1.04812, 0.01, 0.01
0.48, 1, 1.04917, 0.01, 0.01
0.49, 1, 1.05022, 0.01, 0.00999999
0.5, 1, 1.05127, 0.01, 0.00999999
0.51, 1, 1.05232, 0.01, 0.00999999
0.52, 1, 1.05338, 0.01, 0.00999999
0.53, 1, 1.05443, 0.01, 0.00999999
0.54, 1, 1.05548, 0.01, 0.00999999
0.55, 1, 1.05654, 0.01, 0.00999999
0.56, 1, 1.0576, 0.01, 0.00999999
0.57, 1, 1.05866, 0.01, 0.00999999
0.58, 1, 1.05971, 0.01, 0.00999999
0.59, 1, 1.06078, 0.01, 0.00999999
0.6, 1, 1.06184, 0.01, 0.00999999
0.61, 0.999999, 1.0629, 0.01, 0.00999999
0.62, 0.999999, 1.06396, 0.01, 0.00999999
0.63, 0.999999, 1.06503, 0.01, 0.00999999
0.64, 0.999999, 1.06609, 0.01, 0.00999999
0.65, 0.999999, 1.06716, 0.01, 0.00999999
0.66, 0.999999, 1.06823, 0.01, 0.00999999
0.67, 0.999999, 1.0693, 0.01, 0.00999999
0.68, 0.999999, 1.07037, 0.01, 0.00999999
0.69, 0.999999, 1.07144, 0.01, 0.00999999
0.7, 0.999999, 1.07251, 0.01, 0.00999999
0.71, 0.999999, 1.07358, 0.01, 0.00999999
0.72, 0.999999, 1.07466, 0.01, 0.00999999
0.73, 0.999999, 1.07573, 0.01, 0.00999999
0.74, 0.999999, 1.07681, 0.01, 0.00999999
0.75, 0.999999, 1.07788, 0.01, 0.00999999
0.76, 0.999999, 1.07896, 0.01, 0.00999999
0.77, 0.999999, 1.08004, 0.01, 0.00999999
0.78, 0.999999, 1.08112, 0.01, 0.00999999
0.79, 0.999999, 1.0822, 0.01, 0.00999999
0.8, 0.999999, 1.08329, 0.01, 0.00999999
0.81, 0.999999, 1.08437, 0.01, 0.00999999
0.82, 0.999999, 1.08546, 0.01, 0.00999999
0.83, 0.999999, 1.08654, 0.01, 0.00999999
0.84, 0.999999, 1.08763, 0.01, 0.00999999
0.85, 0.999999, 1.08872, 0.01, 0.00999999
0.86, 0.999999, 1.08981, 0.01, 0.00999999
0.87, 0.999999, 1.0909, 0.01, 0.00999999
0.88, 0.999999, 1.09199, 0.01, 0.00999999
0.89, 0.999999, 1.09308, 0.01, 0.00999999
0.9, 0.999999, 1.09417, 0.01, 0.00999999
0.91, 0.999999, 1.09527, 0.00999999, 0.00999998
0.92, 0.999999, 1.09636, 0.00999999, 0.00999998
0.93, 0.999999, 1.09746, 0.00999999, 0.00999998
0.94, 0.999999, 1.09856, 0.00999999, 0.00999998
0.95, 0.999999, 1.09966, 0.00999999, 0.00999998
0.96, 0.999999, 1.10076, 0.00999999, 0.00999998
0.97, 0.999999, 1.10186, 0.00999999, 0.00999998
0.98, 0.999999, 1.10296, 0.00999999, 0.00999998
0.99, 0.999999, 1.10407, 0.00999999, 0.00999998
1, 0.999999, 1.10517, 0.00999999, 0.00999998
1.01, 0.999999, 1.10628, 0.00999999, 0.00999998
1.02, 0.999999, 1.10738, 0.00999999, 0.00999998
1.03, 0.999999, 1.10849, 0.00999999, 0.00999998
1.04, 0.999999, 1.1096, 0.00999999, 0.00999998
1.05, 0.999999, 1.11071, 0.00999999, 0.00999998
1.06, 0.999999, 1.11182, 0.00999999, 0.00999998
1.07, 0.999999, 1.11293, 0.00999999, 0.00999998
1.08, 0.999999, 1.11405, 0.00999999, 0.00999998
1.09, 0.999999, 1.11516, 0.00999999, 0.00999998
1.1, 0.999999, 1.11628, 0.00999999, 0.00999998
1.11, 0.999999, 1.11739, 0.00999999, 0.00999998
1.12, 0.999999, 1.11851, 0.00999999, 0.00999998
1.13, 0.999998, 1.11963, 0.00999999, 0.00999998
1.14, 0.999998, 1.12075, 0.00999999, 0.00999998
1.15, 0.999998, 1.12187, 0.00999999, 0.00999998
1.16, 0.999998, 1.123, 0.00999999, 0.00999998
1.17, 0.999998, 1.12412, 0.00999999, 0.00999998
1.18, 0.999998, 1.12524, 0.00999999, 0.00999998
1.19, 0.999998, 1.12637, 0.00999999, 0.00999998
1.2, 0.999998, 1.1275, 0.00999999, 0.00999997
1.21, 0.999998, 1.12862, 0.00999999, 0.00999997
1.22, 0.999998, 1.12975, 0.00999999, 0.00999997
1.23, 0.999998, 1.13088, 0.00999999, 0.00999997
1.24, 0.999998, 1.13202, 0.00999999, 0.00999997
1.25, 0.999998, 1.13315, 0.00999999, 0.00999997
1.26, 0.999998, 1.13428, 0.00999999, 0.00999997
1.27, 0.999998, 1.13542, 0.00999999, 0.00999997
1.28, 0.999998, 1.13655, 0.00999999, 0.00999997
1.29, 0.999998, 1.13769, 0.00999999, 0.00999997
1.3, 0.999998, 1.13883, 0.00999999, 0.00999997
1.31, 0.999998, 1.13997, 0.00999999, 0.00999997
1.32, 0.999998, 1.14111, 0.00999999, 0.00999997
1.33, 0.999998, 1.14225, 0.00999999, 0.00999997
1.34, 0.999998, 1.14339, 0.00999999, 0.00999997
1.35, 0.999998, 1.14454, 0.00999999, 0.00999997
1.36, 0.999998, 1.14568, 0.00999999, 0.00999997
1.37, 0.999998, 1.14683, 0.00999999, 0.00999997
1.38, 0.999998, 1.14798, 0.00999999, 0.00999997
1.39, 0.999998, 1.14912, 0.00999999, 0.00999997
1.4, 0.999998, 1.15027, 0.00999999, 0.00999997
1.41, 0.999998, 1.15142, 0.00999999, 0.00999997
1.42, 0.999998, 1.15258, 0.00999999, 0.00999997
1.43, 0.999998, 1.15373, 0.00999999, 0.00999996
1.44, 0.999998, 1.15488, 0.00999999, 0.00999996
1.45, 0.999998, 1.15604, 0.00999999, 0.00999996
1.46, 0.999998, 1.1572, 0.00999999, 0.00999996
1.47, 0.999998, 1.15835, 0.00999999, 0.00999996
1.48, 0.999998, 1.15951, 0.00999999, 0.00999996
1.49, 0.999997, 1.16067, 0.00999999, 0.00999996
1.5, 0.999997, 1.16183, 0.00999999, 0.00999996
1.51, 0.999997, 1.163, 0.00999999, 0.00999996
1.52, 0.999997, 1.16416, 0.00999999, 0.00999996
1.53, 0.999997, 1.16532, 0.00999999, 0.00999996
1.54, 0.999997, 1.16649, 0.00999999, 0.00999996
1.55, 0.999997, 1.16766, 0.00999999, 0.00999996
1.56, 0.999997, 1.16883, 0.00999999, 0.00999996
1.57, 0.999997, 1.17, 0.00999999, 0.00999996
1.58, 0.999997, 1.17117, 0.00999999, 0.00999996
1.59, 0.999997, 1.17234, 0.00999999, 0.00999996
1.6, 0.999997, 1.17351, 0.00999999, 0.00999996
1.61, 0.999997, 1.17468, 0.00999999, 0.00999996
1.62, 0.999997, 1.17586, 0.00999999, 0.00999996
1.63, 0.999997, 1.17704, 0.00999999, 0.00999996
1.64, 0.999997, 1.17821, 0.00999998, 0.00999995
1.65, 0.999997, 1.17939, 0.00999998, 0.00999995
1.66, 0.999997, 1.18057, 0.00999998, 0.00999995
1.67, 0.999997, 1.18175, 0.00999998, 0.00999995
1.68, 0.999997, 1.18294, 0.00999998, 0.00999995
1.69, 0.999997, 1.18412, 0.00999998, 0.00999995
1.7, 0.999997, 1.1853, 0.00999998, 0.00999995
1.71, 0.999997, 1.18649, 0.00999998, 0.00999995
1.72, 0.999997, 1.18768, 0.00999998, 0.00999995
1.73, 0.999997, 1.18887, 0.00999998, 0.00999995
1.74, 0.999997, 1.19006, 0.00999998, 0.00999995
1.75, 0.999997, 1.19125, 0.00999998, 0.00999995
1.76, 0.999997, 1.19244, 0.00999998, 0.00999995
1.77, 0.999997, 1.19363, 0.00999998, 0.00999995
1.78, 0.999996, 1.19483, 0.00999998, 0.00999995
1.79, 0.999996, 1.19602, 0.00999998, 0.00999995
1.8, 0.999996, 1.19722, 0.00999998, 0.00999995
1.81, 0.999996, 1.19842, 0.00999998, 0.00999995
1.82, 0.999996, 1.19961, 0.00999998, 0.00999994
1.83, 0.999996, 1.20081, 0.00999998, 0.00999994
1.84, 0.999996, 1.20202, 0.00999998, 0.00999994
1.85, 0.999996, 1.20322, 0.00999998, 0.00999994
1.86, 0.999996, 1.20442, 0.00999998, 0.00999994
1.87, 0.999996, 1.20563, 0.00999998, 0.00999994
1.88, 0.999996, 1.20683, 0.00999998, 0.00999994
1.89, 0.999996, 1.20804, 0.00999998, 0.00999994
1.9, 0.999996, 1.20925, 0.00999998, 0.00999994
1.91, 0.999996, 1.21046, 0.00999998, 0.00999994
1.92, 0.999996, 1.21167, 0.00999998, 0.00999994
1.93, 0.999996, 1.21288, 0.00999998, 0.00999994
1.94, 0.999996, 1.2141, 0.00999998, 0.00999994
1.95, 0.999996, 1.21531, 0.00999998, 0.00999994
1.96, 0.999996, 1.21653, 0.00999998, 0.00999994
1.97, 0.999996, 1.21774, 0.00999998, 0.00999994
1.98, 0.999996, 1.21896, 0.00999998, 0.00999994
1.99, 0.999996, 1.22018, 0.00999998, 0.00999993
2, 0.999996, 1.2214, 0.00999998, 0.00999993
2.01, 0.999996, 1.22262, 0.00999998, 0.00999993
2.02, 0.999996, 1.22385, 0.00999998, 0.00999993
2.03, 0.999995, 1.22507, 0.00999998, 0.00999993
2.04, 0.999995, 1.2263, 0.00999998, 0.00999993
2.05, 0.999995, 1.22752, 0.00999998, 0.00999993
2.06, 0.999995, 1.22875, 0.00999998, 0.00999993
2.07, 0.999995, 1.22998, 0.00999998, 0.00999993
2.08, 0.999995, 1.23121, 0.00999998, 0.00999993
2.09, 0.999995, 1.23244, 0.00999998, 0.00999993
2.1, 0.999995, 1.23368, 0.00999998, 0.00999993
2.11, 0.999995, 1.23491, 0.00999998, 0.00999993
2.12, 0.999995, 1.23615, 0.00999998, 0.00999993
2.13, 0.999995, 1.23738, 0.00999998, 0.00999993
2.14, 0.999995, 1.23862, 0.00999998, 0.00999992
2.15, 0.999995, 1.23986, 0.00999997, 0.00999992
2.16, 0.999995, 1.2411, 0.00999997, 0.00999992
2.17, 0.999995, 1.24234, 0.00999997, 0.00999992
2.18, 0.999995, 1.24359, 0.00999997, 0.00999992
2.19, 0.999995, 1.24483, 0.00999997, 0.00999992
2.2, 0.999995, 1.24608, 0.00999997, 0.00999992
2.21, 0.999995, 1.24732, 0.00999997, 0.00999992
2.22, 0.999995, 1.24857, 0.00999997, 0.00999992
2.23, 0.999995, 1.24982, 0.00999997, 0.00999992
2.24, 0.999995, 1.25107, 0.00999997, 0.00999992
2.25, 0.999994, 1.25232, 0.00999997, 0.00999992
2.26, 0.999994, 1.25358, 0.00999997, 0.00999992
2.27, 0.999994, 1.25483, 0.00999997, 0.00999992
2.28, 0.999994, 1.25609, 0.00999997, 0.00999992
2.29, 0.999994, 1.25734, 0.00999997, 0.00999991
2.3, 0.999994, 1.2586, 0.00999997, 0.00999991
2.31, 0.999994, 1.25986, 0.00999997, 0.00999991
2.32, 0.999994, 1.26112, 0.00999997, 0.00999991
2.33, 0.999994, 1.26238, 0.00999997, 0.00999991
2.34, 0.999994, 1.26364, 0.00999997, 0.00999991
2.35, 0.999994, 1.26491, 0.00999997, 0.00999991
2.36, 0.999994, 1.26617, 0.00999997, 0.00999991
2.37, 0.999994, 1.26744, 0.00999997, 0.00999991
2.38, 0.999994, 1.26871, 0.00999997, 0.00999991
2.39, 0.999994, 1.26998, 0.00999997, 0.00999991
2.4, 0.999994, 1.27125, 0.00999997, 0.00999991
2.41, 0.999994, 1.27252, 0.00999997, 0.00999991
2.42, 0.999994, 1.27379, 0.00999997, 0.0099999
2.43, 0.999994, 1.27507, 0.00999997, 0.0099999
2.44, 0.999994, 1.27634, 0.00999997, 0.0099999
2.45, 0.999993, 1.27762, 0.00999997, 0.0099999
2.46, 0.999993, 1.2789, 0.00999997, 0.0099999
2.47, 0.999993, 1.28018, 0.00999997, 0.0099999
2.48, 0.999993, 1.28146, 0.00999997, 0.0099999
2.49, 0.999993, 1.28274, 0.00999997, 0.0099999
2.5, 0.999993, 1.28403, 0.00999997, 0.0099999
2.51, 0.999993, 1.28531, 0.00999997, 0.0099999
2.52, 0.999993, 1.2866, 0.00999997, 0.0099999
2.53, 0.999993, 1.28788, 0.00999997, 0.0099999
