# Timeseries for σ = 1.500000e+00
# step  t  R_global  L
0  0.000000  0.988930  15750.592773
1  0.010000  0.978379  15171.259766
2  0.020000  0.967559  14593.125977
3  0.030000  0.957964  14097.288086
4  0.040000  0.948213  13610.653320
5  0.050000  0.938403  13139.112305
6  0.060000  0.929662  12730.380859
7  0.070000  0.921059  12339.031250
8  0.080000  0.912877  11982.344727
9  0.090000  0.903918  11598.736328
10  0.100000  0.894600  11216.824219
11  0.110000  0.886321  10885.428711
12  0.120000  0.878170  10571.512695
13  0.130000  0.871664  10314.347656
14  0.140000  0.863519  10015.089844
15  0.150000  0.855702  9730.338867
16  0.160000  0.847876  9456.126953
17  0.170000  0.840858  9205.190430
18  0.180000  0.834451  8993.715820
19  0.190000  0.826870  8739.438477
20  0.200000  0.819929  8521.565430
21  0.210000  0.813454  8324.098633
22  0.220000  0.806504  8116.695801
23  0.230000  0.799569  7921.648926
24  0.240000  0.793313  7750.168457
25  0.250000  0.788068  7597.412109
26  0.260000  0.782214  7422.949219
27  0.270000  0.775443  7238.578125
28  0.280000  0.770388  7106.037109
29  0.290000  0.764326  6961.508301
30  0.300000  0.759383  6837.615723
31  0.310000  0.753467  6683.375977
32  0.320000  0.747627  6544.007812
33  0.330000  0.742768  6426.791016
34  0.340000  0.736168  6260.720215
35  0.350000  0.729429  6101.641113
36  0.360000  0.724381  5989.474121
37  0.370000  0.718823  5877.280273
38  0.380000  0.713383  5747.666016
39  0.390000  0.707392  5633.937500
40  0.400000  0.702260  5536.197266
41  0.410000  0.696794  5430.365234
42  0.420000  0.692072  5329.243652
43  0.430000  0.687305  5237.291016
44  0.440000  0.681736  5130.398926
45  0.450000  0.675059  5003.431152
46  0.460000  0.670107  4921.077148
47  0.470000  0.664917  4823.538574
48  0.480000  0.662305  4772.395996
49  0.490000  0.656753  4663.499023
50  0.500000  0.653023  4594.375000
51  0.510000  0.649271  4536.921875
52  0.520000  0.644431  4450.205078
53  0.530000  0.639378  4375.712891
54  0.540000  0.634950  4307.583496
55  0.550000  0.629824  4214.571777
56  0.560000  0.624572  4132.879395
57  0.570000  0.620801  4081.423828
58  0.580000  0.616724  4018.581787
59  0.590000  0.612177  3949.294434
60  0.600000  0.607976  3880.409668
61  0.610000  0.603204  3800.957520
62  0.620000  0.598425  3730.573486
63  0.630000  0.594226  3671.518799
64  0.640000  0.591339  3636.875732
65  0.650000  0.588641  3601.276367
66  0.660000  0.584785  3552.488525
67  0.670000  0.580027  3482.773926
68  0.680000  0.577683  3462.604736
69  0.690000  0.574945  3427.977539
70  0.700000  0.571303  3381.839600
71  0.710000  0.568400  3349.256836
72  0.720000  0.564658  3294.636230
73  0.730000  0.560709  3253.360840
74  0.740000  0.556220  3203.214600
75  0.750000  0.553050  3177.147949
76  0.760000  0.548904  3131.957764
77  0.770000  0.544748  3084.145264
78  0.780000  0.539380  3018.586182
79  0.790000  0.536875  2986.651123
80  0.800000  0.533346  2959.583984
81  0.810000  0.529485  2926.555908
82  0.820000  0.526711  2888.943848
83  0.830000  0.523831  2856.782959
84  0.840000  0.521486  2828.712158
85  0.850000  0.518284  2794.343262
86  0.860000  0.515977  2772.130859
87  0.870000  0.513987  2744.244141
88  0.880000  0.509271  2685.210693
89  0.890000  0.505565  2655.996094
90  0.900000  0.502879  2634.201172
91  0.910000  0.500937  2619.037842
92  0.920000  0.498181  2593.863037
93  0.930000  0.494628  2552.703613
94  0.940000  0.491635  2524.522705
95  0.950000  0.488047  2485.128662
96  0.960000  0.486095  2465.146729
97  0.970000  0.483823  2454.487305
98  0.980000  0.480892  2424.179443
99  0.990000  0.477859  2393.516357
100  1.000000  0.473918  2367.149170
101  1.010000  0.471904  2346.177490
102  1.020000  0.467027  2298.935547
103  1.030000  0.463686  2265.183594
104  1.040000  0.460761  2239.201904
105  1.050000  0.458624  2231.456787
106  1.060000  0.457240  2226.848877
107  1.070000  0.453595  2199.639404
108  1.080000  0.449975  2170.415039
109  1.090000  0.447173  2144.403564
110  1.100000  0.445539  2132.260254
111  1.110000  0.442458  2104.880859
112  1.120000  0.439391  2086.897705
113  1.130000  0.436763  2068.779053
114  1.140000  0.433824  2050.191162
115  1.150000  0.432138  2032.894043
116  1.160000  0.428955  2007.187134
117  1.170000  0.425881  1982.377441
118  1.180000  0.424037  1975.103760
119  1.190000  0.422176  1956.050415
120  1.200000  0.420797  1945.481323
121  1.210000  0.418696  1928.469360
122  1.220000  0.417151  1916.577271
123  1.230000  0.412937  1893.667114
124  1.240000  0.411444  1878.960693
125  1.250000  0.407616  1847.522949
126  1.260000  0.404280  1816.606567
127  1.270000  0.401412  1802.064819
128  1.280000  0.398185  1777.807861
129  1.290000  0.395676  1759.436279
130  1.300000  0.393297  1739.235474
131  1.310000  0.390420  1720.240845
132  1.320000  0.387009  1688.515259
133  1.330000  0.385024  1686.834961
134  1.340000  0.381855  1669.652100
135  1.350000  0.378871  1653.627686
136  1.360000  0.376924  1635.991455
137  1.370000  0.374545  1626.165771
138  1.380000  0.371727  1597.114624
139  1.390000  0.369020  1585.379761
140  1.400000  0.367705  1574.271851
141  1.410000  0.365875  1560.399902
142  1.420000  0.365024  1561.060059
143  1.430000  0.363698  1557.137451
144  1.440000  0.360816  1536.850342
145  1.450000  0.359748  1530.085938
146  1.460000  0.356521  1509.105469
147  1.470000  0.355780  1510.972534
148  1.480000  0.352840  1497.198364
149  1.490000  0.351276  1487.650635
150  1.500000  0.349060  1485.213379
151  1.510000  0.346575  1472.694702
152  1.520000  0.345719  1468.362915
153  1.530000  0.341699  1448.225708
154  1.540000  0.339516  1439.616821
