# Timeseries for σ = 6.000000e-01
# step  t  R_global  L
0  0.000000  0.998203  16278.873047
1  0.010000  0.996402  16175.147461
2  0.020000  0.994751  16080.869141
3  0.030000  0.993034  15981.933594
4  0.040000  0.991558  15897.772461
5  0.050000  0.989817  15798.781250
6  0.060000  0.988337  15716.473633
7  0.070000  0.986782  15630.783203
8  0.080000  0.985146  15540.711914
9  0.090000  0.983638  15458.820312
10  0.100000  0.982345  15389.566406
11  0.110000  0.980874  15308.855469
12  0.120000  0.979505  15234.441406
13  0.130000  0.978137  15161.185547
14  0.140000  0.976915  15095.738281
15  0.150000  0.975587  15026.705078
16  0.160000  0.974634  14977.389648
17  0.170000  0.973323  14909.450195
18  0.180000  0.972079  14846.778320
19  0.190000  0.970888  14784.576172
20  0.200000  0.969428  14709.364258
21  0.210000  0.968087  14640.548828
22  0.220000  0.966970  14584.919922
23  0.230000  0.965915  14531.000977
24  0.240000  0.964826  14476.262695
25  0.250000  0.963717  14421.638672
26  0.260000  0.962865  14381.852539
27  0.270000  0.961975  14337.156250
28  0.280000  0.961023  14290.136719
29  0.290000  0.959788  14230.189453
30  0.300000  0.958598  14171.957031
31  0.310000  0.957432  14112.690430
32  0.320000  0.956693  14078.676758
33  0.330000  0.955737  14034.477539
34  0.340000  0.954896  13995.430664
35  0.350000  0.953861  13949.518555
36  0.360000  0.952869  13905.975586
37  0.370000  0.952027  13866.352539
38  0.380000  0.951218  13828.157227
39  0.390000  0.950242  13779.467773
40  0.400000  0.949395  13740.172852
41  0.410000  0.948609  13703.380859
42  0.420000  0.947991  13677.339844
43  0.430000  0.947245  13642.616211
44  0.440000  0.946525  13613.718750
45  0.450000  0.945597  13569.705078
46  0.460000  0.945093  13549.615234
47  0.470000  0.944488  13520.035156
48  0.480000  0.943925  13497.026367
49  0.490000  0.943326  13470.115234
50  0.500000  0.942442  13429.445312
51  0.510000  0.941792  13401.795898
52  0.520000  0.941057  13364.375000
53  0.530000  0.940224  13327.754883
54  0.540000  0.939684  13305.414062
55  0.550000  0.939190  13283.143555
56  0.560000  0.938509  13252.109375
57  0.570000  0.937693  13213.313477
58  0.580000  0.937161  13195.482422
59  0.590000  0.936791  13177.998047
60  0.600000  0.936299  13158.488281
61  0.610000  0.935624  13130.206055
62  0.620000  0.935046  13104.424805
63  0.630000  0.934458  13079.626953
64  0.640000  0.933707  13041.658203
65  0.650000  0.933122  13015.655273
66  0.660000  0.932540  12994.818359
67  0.670000  0.932180  12978.513672
68  0.680000  0.931666  12964.315430
69  0.690000  0.931377  12953.657227
70  0.700000  0.931024  12937.505859
71  0.710000  0.930454  12913.304688
72  0.720000  0.930079  12898.172852
73  0.730000  0.929621  12880.915039
74  0.740000  0.929092  12855.800781
75  0.750000  0.928685  12841.391602
76  0.760000  0.928009  12816.738281
77  0.770000  0.927404  12791.786133
78  0.780000  0.927003  12771.684570
79  0.790000  0.926600  12754.495117
80  0.800000  0.926218  12738.164062
81  0.810000  0.925938  12727.407227
82  0.820000  0.925200  12694.416016
83  0.830000  0.924674  12669.714844
84  0.840000  0.924198  12649.885742
85  0.850000  0.923360  12614.661133
86  0.860000  0.922943  12593.208008
87  0.870000  0.922387  12569.578125
88  0.880000  0.922120  12560.060547
89  0.890000  0.921804  12548.048828
90  0.900000  0.921201  12525.179688
91  0.910000  0.921084  12519.336914
92  0.920000  0.920924  12514.141602
93  0.930000  0.920777  12513.948242
94  0.940000  0.920577  12509.053711
95  0.950000  0.920290  12497.732422
96  0.960000  0.920019  12487.019531
97  0.970000  0.919748  12475.456055
98  0.980000  0.919328  12461.512695
99  0.990000  0.918646  12433.512695
100  1.000000  0.918031  12408.073242
101  1.010000  0.917728  12394.365234
102  1.020000  0.917314  12377.180664
103  1.030000  0.916767  12355.712891
104  1.040000  0.916325  12341.707031
105  1.050000  0.916057  12330.884766
106  1.060000  0.915566  12310.605469
107  1.070000  0.915155  12291.424805
108  1.080000  0.914986  12289.075195
109  1.090000  0.914776  12284.349609
110  1.100000  0.914582  12278.847656
111  1.110000  0.914213  12264.021484
112  1.120000  0.914142  12262.859375
113  1.130000  0.913901  12255.197266
114  1.140000  0.913856  12251.472656
115  1.150000  0.913451  12232.952148
116  1.160000  0.913251  12226.837891
117  1.170000  0.912946  12217.384766
118  1.180000  0.912886  12215.958008
119  1.190000  0.912564  12203.318359
120  1.200000  0.912791  12215.381836
121  1.210000  0.912735  12216.598633
122  1.220000  0.912293  12202.629883
123  1.230000  0.912036  12193.982422
124  1.240000  0.911867  12190.822266
125  1.250000  0.911573  12181.668945
126  1.260000  0.911402  12179.717773
127  1.270000  0.911400  12182.126953
128  1.280000  0.911048  12170.474609
129  1.290000  0.910784  12162.613281
130  1.300000  0.910384  12146.020508
131  1.310000  0.910045  12134.584961
132  1.320000  0.909469  12110.888672
133  1.330000  0.909394  12111.315430
134  1.340000  0.908966  12094.600586
135  1.350000  0.908687  12085.380859
136  1.360000  0.908502  12079.121094
137  1.370000  0.908416  12077.855469
138  1.380000  0.908331  12075.134766
139  1.390000  0.907756  12053.958008
140  1.400000  0.907295  12037.265625
141  1.410000  0.906910  12025.945312
142  1.420000  0.906435  12008.578125
143  1.430000  0.905762  11984.727539
144  1.440000  0.905496  11973.676758
145  1.450000  0.905773  11984.358398
146  1.460000  0.905320  11968.518555
147  1.470000  0.905235  11966.110352
148  1.480000  0.904882  11955.450195
149  1.490000  0.904880  11957.985352
150  1.500000  0.904833  11954.973633
151  1.510000  0.904407  11942.834961
152  1.520000  0.904213  11936.036133
153  1.530000  0.903957  11927.228516
154  1.540000  0.903998  11930.698242
155  1.550000  0.904107  11938.306641
156  1.560000  0.903872  11931.838867
157  1.570000  0.903606  11925.542969
158  1.580000  0.903511  11923.169922
159  1.590000  0.903403  11918.542969
160  1.600000  0.902974  11900.138672
161  1.610000  0.902882  11902.906250
162  1.620000  0.902320  11881.708008
163  1.630000  0.901795  11860.220703
164  1.640000  0.901579  11853.236328
165  1.650000  0.901076  11832.218750
166  1.660000  0.900952  11831.916992
167  1.670000  0.900526  11817.536133
168  1.680000  0.900365  11812.509766
169  1.690000  0.900151  11807.280273
170  1.700000  0.900216  11808.737305
171  1.710000  0.900037  11801.657227
172  1.720000  0.899978  11799.870117
173  1.730000  0.899562  11784.904297
174  1.740000  0.899128  11772.699219
175  1.750000  0.898981  11763.178711
176  1.760000  0.898789  11762.430664
177  1.770000  0.898357  11742.527344
178  1.780000  0.898528  11753.986328
179  1.790000  0.898412  11749.310547
180  1.800000  0.898423  11746.344727
181  1.810000  0.898229  11746.240234
182  1.820000  0.898208  11744.089844
183  1.830000  0.898201  11742.067383
184  1.840000  0.898282  11735.778320
185  1.850000  0.897963  11728.402344
186  1.860000  0.897853  11723.248047
187  1.870000  0.897717  11723.027344
188  1.880000  0.897607  11717.114258
189  1.890000  0.897720  11720.405273
190  1.900000  0.897335  11706.562500
191  1.910000  0.897256  11704.438477
192  1.920000  0.897181  11704.853516
193  1.930000  0.896927  11699.758789
194  1.940000  0.896836  11700.599609
195  1.950000  0.896785  11698.334961
196  1.960000  0.896410  11679.482422
197  1.970000  0.895986  11665.412109
198  1.980000  0.895697  11660.802734
199  1.990000  0.895486  11654.317383
200  2.000000  0.895608  11657.649414
201  2.010000  0.895234  11641.212891
202  2.020000  0.895228  11645.033203
203  2.030000  0.895285  11651.026367
204  2.040000  0.895414  11654.038086
205  2.050000  0.895372  11657.950195
206  2.060000  0.895390  11665.454102
207  2.070000  0.894845  11644.353516
208  2.080000  0.894447  11632.291992
209  2.090000  0.894509  11638.523438
210  2.100000  0.894331  11632.941406
211  2.110000  0.894091  11627.745117
212  2.120000  0.893914  11621.818359
213  2.130000  0.893112  11584.905273
214  2.140000  0.892537  11564.911133
215  2.150000  0.892543  11568.677734
216  2.160000  0.892305  11561.156250
217  2.170000  0.892057  11551.681641
218  2.180000  0.891929  11547.043945
219  2.190000  0.891948  11551.291992
220  2.200000  0.891739  11545.363281
221  2.210000  0.891569  11538.805664
222  2.220000  0.891494  11540.712891
223  2.230000  0.891228  11532.896484
224  2.240000  0.890987  11528.618164
225  2.250000  0.890854  11520.285156
226  2.260000  0.890609  11512.231445
227  2.270000  0.890740  11518.610352
228  2.280000  0.890736  11520.495117
229  2.290000  0.890988  11533.921875
230  2.300000  0.891121  11540.175781
231  2.310000  0.890854  11528.471680
