# Field snapshot at t = 3
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  0.014472  0.999537  2.498843  0.000093  0.003465  0.000954  0.000026  -0.003971  0.000392  0.001507  0.001012  0.007819
1  0  -0.039243  0.999546  2.498864  0.000561  -0.005316  0.008197  -0.002595  -0.003696  -0.019021  -0.007653  0.002397  -0.004309
2  0  0.019583  0.999479  2.498698  0.000204  -0.000238  0.006028  0.002081  -0.000822  0.006786  0.004339  -0.002997  -0.009437
3  0  0.045493  0.999579  2.498949  0.000147  0.004078  -0.004436  0.000638  -0.003010  0.005286  -0.006287  0.001836  -0.005477
4  0  -0.018572  0.999534  2.498835  0.000223  0.005473  -0.003983  -0.000586  0.003799  -0.003109  0.011131  -0.005225  0.001041
5  0  0.041686  0.999349  2.498372  0.000150  -0.006415  -0.002880  -0.003464  -0.000261  0.007529  -0.001178  -0.002519  0.004910
6  0  0.043164  0.999547  2.498867  0.000155  0.006418  0.004489  0.002003  0.004480  -0.007460  -0.000080  -0.001846  0.003164
7  0  -0.036455  0.999385  2.498464  0.000148  -0.002675  0.005188  0.001717  -0.008348  0.000583  -0.002099  -0.002570  -0.005449
8  0  -0.022765  0.999688  2.499221  0.000255  -0.007872  0.005565  0.000633  0.004855  0.003509  -0.008899  -0.002626  -0.006332
9  0  -0.039748  0.999902  2.499756  0.000333  0.006379  -0.000263  -0.000562  0.001057  -0.001652  0.009588  -0.003360  0.013580
10  0  -0.021131  0.999737  2.499344  0.000287  -0.003320  0.001226  0.003407  -0.000662  0.005000  0.006741  0.007611  -0.011584
11  0  -0.046348  0.999765  2.499412  0.000461  -0.007730  -0.005704  -0.000153  -0.008423  0.007915  -0.000005  0.010662  -0.011032
12  0  -0.037016  0.999577  2.498942  0.000188  -0.003904  0.003944  0.001596  0.005804  -0.002153  -0.009763  0.001647  -0.004319
13  0  0.002185  0.999431  2.498577  0.000072  -0.003038  -0.002813  0.000678  -0.004559  0.000429  -0.001375  0.005452  -0.001346
14  0  0.082752  0.999230  2.498075  0.000380  -0.002120  -0.007850  0.002569  -0.008303  0.010993  -0.000781  -0.003378  0.010248
15  0  0.114963  0.998884  2.497211  0.000246  0.000749  0.007775  -0.009752  -0.004816  0.004490  0.005702  0.002956  0.002210
16  0  -0.029409  0.998885  2.497212  0.000372  0.013791  -0.001283  -0.007403  -0.002317  -0.008028  -0.002637  -0.000845  0.006911
17  0  0.004111  0.999148  2.497870  0.000241  -0.001128  0.002877  0.003307  0.007612  -0.008676  -0.000168  0.001050  -0.009289
18  0  0.014419  0.999489  2.498723  0.000081  0.001243  -0.004055  0.002738  0.000684  0.002998  0.002434  0.002199  0.005980
19  0  -0.029078  0.999538  2.498844  0.000172  -0.007820  -0.005652  -0.002404  -0.002689  0.002424  0.000519  0.007642  0.000988
20  0  -0.055423  0.999421  2.498554  0.000088  0.000536  0.000589  0.001294  0.005325  0.002533  0.003266  -0.006198  -0.001376
21  0  0.014879  0.999427  2.498567  0.000237  -0.007453  -0.003045  -0.001381  0.002639  0.000466  0.004050  0.005324  0.010890
22  0  -0.009300  0.999536  2.498841  0.000351  -0.005880  -0.002260  -0.002988  -0.003410  -0.013839  0.006245  0.002074  0.007491
23  0  0.023966  0.999337  2.498342  0.000091  0.001807  -0.002627  0.000937  0.003755  -0.006548  0.000816  -0.002648  0.003950
24  0  -0.099166  0.999101  2.497754  0.000277  -0.003992  -0.000032  0.000517  -0.010800  0.004220  -0.007475  -0.008267  0.001516
25  0  -0.081740  0.999212  2.498029  0.000243  -0.001334  0.000153  -0.008908  -0.004483  -0.001423  0.000784  0.010227  0.005861
26  0  -0.060283  0.999342  2.498355  0.000234  0.008354  0.001416  -0.006602  -0.006544  0.004852  -0.004575  0.002981  -0.004690
27  0  -0.060645  0.999288  2.498219  0.000242  0.007847  0.004219  0.001739  0.007859  0.004165  0.003191  0.007082  0.004497
28  0  0.057809  0.999433  2.498583  0.000274  0.005922  0.009187  0.001072  0.007445  0.000330  0.004864  0.006753  0.005348
29  0  0.014097  0.999527  2.498818  0.000349  -0.005516  0.015222  -0.002464  0.002592  -0.002490  0.006922  -0.000597  0.004423
30  0  -0.029409  0.999783  2.499457  0.000057  -0.002233  -0.002818  0.000670  -0.004577  0.002267  -0.000784  -0.003986  -0.000744
31  0  -0.017466  0.999529  2.498822  0.000434  0.000057  -0.008530  -0.007449  0.002115  -0.007056  0.004017  0.010920  0.010792
32  0  -0.010507  0.999580  2.498950  0.000153  0.006767  0.003936  -0.003786  0.003285  -0.003275  0.006454  0.000658  -0.003653
33  0  -0.032359  0.999277  2.498192  0.000091  0.002831  -0.000206  -0.001977  -0.005712  -0.002645  0.001160  0.003368  0.005175
34  0  -0.080809  0.999348  2.498369  0.000092  -0.000761  -0.002087  -0.004082  -0.002332  0.001915  0.005927  0.004979  0.001369
35  0  0.048276  0.999335  2.498338  0.000280  -0.004447  -0.009307  0.000423  -0.000233  -0.007083  0.006730  0.004453  0.007639
36  0  0.000910  0.999664  2.499159  0.000317  -0.001220  -0.005902  -0.004614  -0.004616  0.004593  -0.011540  -0.003480  0.008478
37  0  -0.005498  0.999449  2.498621  0.000382  -0.003539  0.014748  -0.002854  -0.001970  0.011026  0.003852  0.001746  -0.000043
38  0  0.064518  0.999462  2.498656  0.000075  -0.004847  -0.000082  -0.000197  0.000063  0.002453  0.003330  -0.005679  -0.001373
39  0  -0.012717  0.999313  2.498283  0.000283  0.001107  -0.003133  -0.001952  0.004073  -0.003853  0.006533  0.013925  0.000763
40  0  0.031999  0.999562  2.498904  0.000426  0.011699  -0.003551  0.004284  0.011797  0.009266  -0.000806  0.005694  0.000569
41  0  0.010211  0.999544  2.498860  0.000083  0.001225  0.000256  -0.003411  0.000799  0.001486  0.005764  0.005771  -0.000737
42  0  0.019802  0.999819  2.499547  0.000165  0.003677  -0.003526  0.003583  0.001962  -0.007101  -0.005950  -0.004922  -0.003465
43  0  -0.004297  0.999891  2.499728  0.000135  -0.001016  0.010283  0.000672  -0.004460  -0.000572  -0.001702  0.001367  0.001593
44  0  -0.009617  0.999680  2.499199  0.000137  0.007086  -0.002315  0.004937  0.004683  0.005842  -0.000707  -0.000643  -0.000487
45  0  0.053486  0.999179  2.497947  0.000115  -0.000427  0.002690  0.003852  -0.005765  0.001033  0.003495  -0.006694  0.000970
46  0  -0.015794  0.999013  2.497533  0.000318  0.001645  0.003534  -0.006718  0.006642  0.008410  -0.000553  0.000173  -0.011932
47  0  0.057574  0.999222  2.498056  0.000179  -0.008408  -0.004093  0.002091  0.004225  0.006024  0.003994  0.003339  -0.002341
48  0  -0.014147  0.999625  2.499062  0.000237  0.001173  -0.001739  -0.002540  0.002693  -0.003113  -0.012846  0.004730  0.004619
49  0  0.001137  0.999835  2.499587  0.000249  -0.002676  0.002931  -0.010640  -0.000532  -0.004197  -0.007734  0.003849  -0.005270
50  0  -0.006367  0.999933  2.499833  0.000178  -0.006048  -0.000114  -0.003156  0.002943  0.002665  -0.006935  0.004497  -0.006867
51  0  -0.012707  0.999812  2.499531  0.000214  0.004790  0.001161  0.006242  -0.002031  0.004767  0.001066  0.006063  -0.009265
52  0  -0.037607  0.999822  2.499554  0.000153  -0.002477  -0.003686  0.008778  -0.001596  0.003313  -0.000728  -0.006057  -0.002235
53  0  -0.030297  0.999539  2.498848  0.000122  -0.001026  -0.003876  0.002837  -0.001480  -0.003644  0.002621  0.008290  -0.002522
54  0  0.026248  0.999486  2.498715  0.000193  -0.000384  -0.008454  0.004254  -0.006519  -0.005823  0.001405  0.004801  -0.001433
55  0  0.008837  0.999650  2.499124  0.000183  -0.009653  0.001505  -0.001577  0.001455  0.001795  -0.003771  0.004238  0.006904
