# Step 1000
# x y theta R psi_density
0 0 1.22362 0.98221 3.22436e-19
1 0 7.35565 0.987602 5.82332e-20
2 0 7.26022 0.966734 1.63801e-20
3 0 6.88695 0.930207 2.64515e-21
4 0 0.171288 0.932533 2.16311e-20
5 0 -0.247344 0.946369 3.10625e-20
6 0 -0.504006 0.9388 5.13157e-20
7 0 5.38492 0.919079 1.12227e-19
8 0 4.93417 0.902167 2.18273e-19
9 0 4.70707 0.903107 1.83962e-19
10 0 -1.80955 0.841386 3.83346e-18
11 0 4.8203 0.537829 7.7506e-17
12 0 5.94816 0.107151 5.96662e-16
13 0 0.959119 0.525301 2.53345e-15
14 0 1.35748 0.909416 7.16059e-15
15 0 1.23685 0.978287 1.13945e-14
16 0 1.1989 0.985336 7.62797e-15
17 0 1.23293 0.956903 4.05316e-14
18 0 1.58186 0.909809 2.02353e-13
19 0 2.11882 0.917675 4.56681e-13
20 0 2.50617 0.936054 4.74953e-13
21 0 2.82853 0.897154 1.09141e-12
22 0 3.40349 0.856593 3.01573e-12
23 0 3.6088 0.766078 4.99025e-12
24 0 3.7709 0.333445 6.71798e-12
25 0 6.3101 0.0775974 3.24734e-12
26 0 0.500598 0.174548 6.26388e-13
27 0 3.56435 0.427015 2.37423e-12
28 0 3.2484 0.824715 4.95389e-12
29 0 -3.12497 0.94514 7.06468e-12
30 0 2.79439 0.914051 4.10393e-12
31 0 2.26533 0.874717 1.02485e-11
32 0 1.61568 0.869383 7.18935e-12
33 0 7.51468 0.876787 9.39151e-12
34 0 6.92914 0.907919 1.51418e-11
35 0 6.54539 0.93487 7.1365e-11
36 0 0.0149844 0.770219 4.83174e-11
37 0 0.494156 0.263806 7.3256e-11
38 0 2.40974 0.408016 7.8142e-11
39 0 2.84353 0.897001 1.05153e-10
40 0 3.05255 0.981374 1.92843e-10
41 0 3.1986 0.993472 1.36839e-10
42 0 -3.22371 0.9866 1.5232e-10
43 0 2.93414 0.983346 1.46131e-10
44 0 2.66121 0.975916 9.71675e-11
45 0 2.48999 0.960631 5.27401e-11
46 0 2.16662 0.961209 3.40499e-11
47 0 1.79154 0.79029 2.14464e-11
48 0 2.0229 0.629479 9.83443e-12
49 0 -0.28581 0.764444 4.7239e-12
50 0 6.0066 0.995757 3.84703e-12
51 0 5.94873 0.994756 2.35798e-12
52 0 5.9634 0.991691 1.1312e-12
53 0 6.03206 0.984698 4.9273e-13
54 0 5.92716 0.978002 1.9692e-13
55 0 5.81807 0.979367 6.91704e-14
56 0 -0.297878 0.958574 2.1356e-14
57 0 0.0987814 0.885711 6.06574e-15
58 0 0.719302 0.881909 1.73355e-15
59 0 1.15485 0.955558 4.55643e-16
60 0 1.32131 0.989836 1.16573e-16
61 0 1.29099 0.991204 2.94277e-17
62 0 7.49062 0.983177 7.09615e-18
63 0 1.25445 0.983512 1.5945e-18
0 1 0.96608 0.921176 6.30463e-20
1 1 1.01983 0.941232 1.09687e-20
2 1 0.966641 0.9604 2.20321e-21
3 1 6.83837 0.905946 1.25764e-21
4 1 0.0514492 0.910742 2.64505e-21
5 1 5.98719 0.941026 3.3546e-20
6 1 5.61752 0.952331 1.35539e-19
7 1 -1.0103 0.958514 3.24845e-19
8 1 -1.31411 0.977928 1.17159e-18
9 1 4.87737 0.976429 7.49667e-18
10 1 5.06707 0.943256 4.24096e-17
11 1 5.46304 0.853003 2.05499e-16
12 1 6.07731 0.750263 7.72496e-16
13 1 0.540283 0.822457 1.7216e-15
14 1 0.919001 0.932026 3.94192e-15
15 1 1.14407 0.962583 1.20532e-14
16 1 7.52893 0.974436 1.73757e-14
17 1 1.43776 0.940142 1.00566e-14
18 1 1.74182 0.90793 6.86148e-14
19 1 2.17108 0.945652 2.2477e-13
20 1 2.48504 0.974746 1.77608e-13
21 1 2.71071 0.955415 1.85713e-14
22 1 2.92553 0.940114 8.27469e-13
23 1 3.08231 0.934557 1.79195e-12
24 1 3.17947 0.703242 9.59866e-13
25 1 2.97736 0.483466 5.02423e-14
26 1 3.02894 0.482234 4.60447e-13
27 1 3.67801 0.734154 1.0534e-12
28 1 3.59381 0.983207 1.37629e-12
29 1 3.2903 0.9596 1.46853e-12
30 1 2.95637 0.923899 1.30107e-12
31 1 2.47184 0.888508 7.59333e-12
32 1 2.12539 0.865191 2.71539e-12
33 1 1.4409 0.829178 5.00497e-13
34 1 0.760874 0.808421 5.21125e-12
35 1 0.0787609 0.850974 1.41232e-11
36 1 -0.293952 0.690521 7.75138e-12
37 1 4.71196 0.207219 9.44237e-12
38 1 3.34114 0.513002 1.98496e-11
39 1 3.08194 0.937115 1.8487e-11
40 1 9.23715 0.99115 3.46816e-11
41 1 3.02666 0.993218 2.76597e-11
42 1 2.96927 0.989459 2.92226e-11
43 1 2.78097 0.987688 2.74011e-11
44 1 2.70976 0.975428 2.03066e-11
45 1 2.38119 0.9536 9.92665e-12
46 1 2.08534 0.935219 5.45354e-12
47 1 1.78443 0.811758 3.40935e-12
48 1 6.9191 0.621598 1.89303e-12
49 1 6.15396 0.778084 1.02698e-12
50 1 5.97145 0.993503 7.10526e-13
51 1 6.07486 0.991844 4.92006e-13
52 1 6.06683 0.993661 2.44874e-13
53 1 -0.184612 0.994134 1.02637e-13
54 1 6.13097 0.992723 3.90966e-14
55 1 5.99503 0.992741 1.34545e-14
56 1 6.05917 0.974802 4.11163e-15
57 1 6.4623 0.899454 1.14429e-15
58 1 0.817841 0.900216 3.22036e-16
59 1 1.11993 0.972999 8.4354e-17
60 1 1.33185 0.997364 2.07324e-17
61 1 1.12874 0.986308 4.93605e-18
62 1 7.27672 0.956386 1.20057e-18
63 1 7.09994 0.931256 2.77033e-19
0 2 0.190027 0.574516 9.01593e-21
1 2 1.3762 0.586137 4.63146e-21
