# Time series data
# step mean_R std_R mean_psi_density max_psi_density
0 0.316781 0.157074 0.000244141 0.0127324
1 0.317381 0.157309 0.000244141 0.0127324
2 0.317983 0.157549 0.000244141 0.0127324
3 0.318589 0.157789 0.000244141 0.0127324
4 0.319199 0.15803 0.000244141 0.0127324
5 0.319811 0.158275 0.000244141 0.0127324
6 0.320428 0.15852 0.000244141 0.0127324
7 0.321048 0.158766 0.000244141 0.0127324
8 0.321672 0.159014 0.000244141 0.0127324
9 0.322299 0.159264 0.000244505 0.0127332
10 0.32293 0.159514 0.000244505 0.0127332
11 0.323565 0.159765 0.000244505 0.0127332
12 0.324203 0.160017 0.000244505 0.0127332
13 0.324845 0.160272 0.000244505 0.0127332
14 0.325491 0.160527 0.000244505 0.0127332
15 0.326139 0.160784 0.000244505 0.0127332
16 0.326792 0.161043 0.000244505 0.0127332
17 0.327447 0.161303 0.000244505 0.0127332
18 0.328108 0.161562 0.000244505 0.0127332
19 0.32877 0.161826 0.000244882 0.0127145
20 0.329437 0.162089 0.000244882 0.0127145
21 0.330107 0.162352 0.000244882 0.0127145
22 0.330781 0.162617 0.000244882 0.0127145
23 0.331458 0.162883 0.000244882 0.0127145
24 0.33214 0.16315 0.000244882 0.0127145
25 0.332825 0.163416 0.000244882 0.0127145
26 0.333513 0.163685 0.000244882 0.0127145
27 0.334203 0.163958 0.000244882 0.0127145
28 0.334898 0.164228 0.000244882 0.0127145
29 0.335596 0.164502 0.000245273 0.012677
30 0.336296 0.164776 0.000245273 0.012677
31 0.337001 0.165052 0.000245273 0.012677
32 0.337709 0.165328 0.000245273 0.012677
33 0.33842 0.165605 0.000245273 0.012677
34 0.339134 0.165883 0.000245273 0.012677
35 0.339851 0.166165 0.000245273 0.012677
36 0.340571 0.166448 0.000245273 0.012677
37 0.341295 0.16673 0.000245273 0.012677
38 0.342021 0.167015 0.000245273 0.012677
39 0.342751 0.167298 0.000245679 0.0126214
40 0.343484 0.167587 0.000245679 0.0126214
41 0.34422 0.167874 0.000245679 0.0126214
42 0.344959 0.168164 0.000245679 0.0126214
43 0.345701 0.168453 0.000245679 0.0126214
44 0.346445 0.168746 0.000245679 0.0126214
45 0.347193 0.169038 0.000245679 0.0126214
46 0.347943 0.169334 0.000245679 0.0126214
47 0.348697 0.169628 0.000245679 0.0126214
48 0.349453 0.169927 0.000245679 0.0126214
49 0.350212 0.170224 0.000246101 0.0126052
50 0.350974 0.170522 0.000246101 0.0126052
51 0.35174 0.170821 0.000246101 0.0126052
52 0.352507 0.171125 0.000246101 0.0126052
53 0.353279 0.171424 0.000246101 0.0126052
54 0.354051 0.171729 0.000246101 0.0126052
55 0.354828 0.172032 0.000246101 0.0126052
56 0.355606 0.172338 0.000246101 0.0126052
57 0.356387 0.172646 0.000246101 0.0126052
58 0.357172 0.172952 0.000246101 0.0126052
59 0.357959 0.17326 0.00024654 0.0126328
60 0.358748 0.173571 0.00024654 0.0126328
61 0.35954 0.17388 0.00024654 0.0126328
62 0.360334 0.174193 0.00024654 0.0126328
63 0.361132 0.174504 0.00024654 0.0126328
64 0.361932 0.174817 0.00024654 0.0126328
65 0.362735 0.17513 0.00024654 0.0126328
66 0.363539 0.175444 0.00024654 0.0126328
67 0.364348 0.175759 0.00024654 0.0126328
68 0.365158 0.176073 0.00024654 0.0126328
69 0.36597 0.17639 0.000246998 0.012728
70 0.366786 0.176706 0.000246998 0.012728
71 0.367604 0.177023 0.000246998 0.012728
72 0.368424 0.177341 0.000246998 0.012728
73 0.369247 0.177658 0.000246998 0.012728
74 0.370072 0.177978 0.000246998 0.012728
75 0.370898 0.178299 0.000246998 0.012728
76 0.371729 0.178617 0.000246998 0.012728
77 0.372559 0.17894 0.000246998 0.012728
78 0.373394 0.17926 0.000246998 0.012728
79 0.374231 0.179581 0.000247476 0.0128115
80 0.375069 0.179903 0.000247476 0.0128115
81 0.37591 0.180225 0.000247476 0.0128115
82 0.376753 0.180548 0.000247476 0.0128115
83 0.377598 0.180872 0.000247476 0.0128115
84 0.378446 0.181194 0.000247476 0.0128115
85 0.379295 0.181518 0.000247476 0.0128115
86 0.380146 0.181842 0.000247476 0.0128115
87 0.380999 0.182167 0.000247476 0.0128115
88 0.381853 0.182496 0.000247476 0.0128115
89 0.38271 0.182821 0.000247976 0.0128852
90 0.38357 0.183145 0.000247976 0.0128852
91 0.38443 0.183473 0.000247976 0.0128852
92 0.385293 0.183799 0.000247976 0.0128852
93 0.386158 0.184126 0.000247976 0.0128852
94 0.387024 0.184454 0.000247976 0.0128852
95 0.387893 0.18478 0.000247976 0.0128852
96 0.388763 0.185107 0.000247976 0.0128852
97 0.389634 0.185434 0.000247976 0.0128852
98 0.390509 0.185759 0.000247976 0.0128852
99 0.391383 0.186089 0.000248498 0.0129506
100 0.392262 0.186413 0.000248498 0.0129506
101 0.39314 0.18674 0.000248498 0.0129506
102 0.394022 0.187063 0.000248498 0.0129506
103 0.394903 0.187392 0.000248498 0.0129506
104 0.395787 0.18772 0.000248498 0.0129506
105 0.396673 0.188043 0.000248498 0.0129506
106 0.397559 0.188371 0.000248498 0.0129506
107 0.398448 0.188695 0.000248498 0.0129506
108 0.399338 0.189021 0.000248498 0.0129506
109 0.400229 0.189346 0.000249043 0.0130092
110 0.401122 0.189672 0.000249043 0.0130092
111 0.402015 0.189999 0.000249043 0.0130092
112 0.402911 0.190322 0.000249043 0.0130092
113 0.403806 0.190648 0.000249043 0.0130092
114 0.404704 0.190972 0.000249043 0.0130092
115 0.405603 0.191298 0.000249043 0.0130092
116 0.406504 0.19162 0.000249043 0.0130092
117 0.407405 0.191943 0.000249043 0.0130092
118 0.408308 0.192266 0.000249043 0.0130092
119 0.409211 0.19259 0.000249614 0.0130625
120 0.410118 0.192909 0.000249614 0.0130625
121 0.411023 0.193232 0.000249614 0.0130625
122 0.41193 0.193553 0.000249614 0.0130625
123 0.412837 0.193876 0.000249614 0.0130625
124 0.413747 0.194194 0.000249614 0.0130625
125 0.414657 0.194514 0.000249614 0.0130625
126 0.415567 0.194835 0.000249614 0.0130625
127 0.416479 0.195153 0.000249614 0.0130625
128 0.417391 0.195473 0.000249614 0.0130625
129 0.418304 0.195794 0.000250211 0.0131112
130 0.419218 0.196108 0.000250211 0.0131112
131 0.420132 0.196427 0.000250211 0.0131112
132 0.421047 0.196746 0.000250211 0.0131112
133 0.421964 0.19706 0.000250211 0.0131112
134 0.42288 0.197376 0.000250211 0.0131112
135 0.423798 0.19769 0.000250211 0.0131112
136 0.424715 0.198007 0.000250211 0.0131112
137 0.425633 0.198322 0.000250211 0.0131112
138 0.42655 0.198637 0.000250211 0.0131112
139 0.427469 0.198949 0.000250835 0.0131559
140 0.428389 0.199261 0.000250835 0.0131559
141 0.42931 0.199573 0.000250835 0.0131559
142 0.430229 0.199887 0.000250835 0.0131559
143 0.431149 0.200197 0.000250835 0.0131559
144 0.432069 0.200508 0.000250835 0.0131559
145 0.43299 0.20082 0.000250835 0.0131559
146 0.433911 0.201129 0.000250835 0.0131559
147 0.434832 0.201438 0.000250835 0.0131559
148 0.435753 0.201747 0.000250835 0.0131559
149 0.436674 0.202056 0.000251487 0.0131963
150 0.437596 0.202362 0.000251487 0.0131963
151 0.438517 0.202668 0.000251487 0.0131963
152 0.43944 0.202973 0.000251487 0.0131963
153 0.440361 0.203279 0.000251487 0.0131963
154 0.441282 0.203586 0.000251487 0.0131963
155 0.442205 0.203886 0.000251487 0.0131963
156 0.443126 0.204189 0.000251487 0.0131963
157 0.444049 0.204489 0.000251487 0.0131963
158 0.444971 0.204789 0.000251487 0.0131963
159 0.445894 0.205085 0.00025217 0.0132316
160 0.446816 0.205382 0.00025217 0.0132316
161 0.447738 0.205677 0.00025217 0.0132316
162 0.44866 0.205973 0.00025217 0.0132316
163 0.449583 0.206266 0.00025217 0.0132316
164 0.450504 0.206559 0.00025217 0.0132316
165 0.451426 0.206849 0.00025217 0.0132316
166 0.452348 0.207139 0.00025217 0.0132316
167 0.45327 0.207427 0.00025217 0.0132316
168 0.454192 0.207714 0.00025217 0.0132316
169 0.455112 0.208001 0.000252882 0.0132606
170 0.456033 0.208284 0.000252882 0.0132606
171 0.456954 0.208568 0.000252882 0.0132606
172 0.457874 0.20885 0.000252882 0.0132606
173 0.458794 0.209131 0.000252882 0.0132606
174 0.459714 0.20941 0.000252882 0.0132606
175 0.460633 0.209686 0.000252882 0.0132606
176 0.461552 0.209964 0.000252882 0.0132606
177 0.46247 0.210242 0.000252882 0.0132606
178 0.463389 0.210513 0.000252882 0.0132606
179 0.464307 0.210785 0.000253625 0.0132812
180 0.465223 0.211059 0.000253625 0.0132812
181 0.466139 0.21133 0.000253625 0.0132812
182 0.467055 0.211598 0.000253625 0.0132812
183 0.46797 0.211867 0.000253625 0.0132812
184 0.468885 0.212133 0.000253625 0.0132812
185 0.469798 0.2124 0.000253625 0.0132812
186 0.470711 0.212664 0.000253625 0.0132812
187 0.471624 0.212927 0.000253625 0.0132812
188 0.472536 0.213188 0.000253625 0.0132812
189 0.473447 0.213448 0.0002544 0.013291
190 0.474358 0.213707 0.0002544 0.013291
191 0.475268 0.213963 0.0002544 0.013291
192 0.476177 0.214218 0.0002544 0.013291
193 0.477086 0.214472 0.0002544 0.013291
194 0.477993 0.214725 0.0002544 0.013291
195 0.478901 0.214975 0.0002544 0.013291
196 0.479809 0.215221 0.0002544 0.013291
197 0.480715 0.215468 0.0002544 0.013291
198 0.48162 0.215713 0.0002544 0.013291
199 0.482525 0.215956 0.000255208 0.0132868
200 0.483428 0.216198 0.000255208 0.0132868
201 0.484331 0.216439 0.000255208 0.0132868
202 0.485232 0.216678 0.000255208 0.0132868
203 0.486134 0.216916 0.000255208 0.0132868
204 0.487033 0.217153 0.000255208 0.0132868
205 0.487932 0.217389 0.000255208 0.0132868
206 0.48883 0.217623 0.000255208 0.0132868
207 0.489727 0.217855 0.000255208 0.0132868
208 0.490623 0.218084 0.000255208 0.0132868
209 0.491518 0.218315 0.000256049 0.013462
210 0.492413 0.218541 0.000256049 0.013462
211 0.493306 0.218766 0.000256049 0.013462
212 0.494198 0.218991 0.000256049 0.013462
213 0.49509 0.219215 0.000256049 0.013462
214 0.495979 0.219435 0.000256049 0.013462
215 0.496868 0.219656 0.000256049 0.013462
216 0.497756 0.219875 0.000256049 0.013462
217 0.498643 0.220093 0.000256049 0.013462
218 0.499529 0.220308 0.000256049 0.013462
219 0.500414 0.220521 0.000256923 0.0137559
220 0.501297 0.220734 0.000256923 0.0137559
221 0.50218 0.220942 0.000256923 0.0137559
222 0.50306 0.221156 0.000256923 0.0137559
223 0.503941 0.221363 0.000256923 0.0137559
224 0.50482 0.22157 0.000256923 0.0137559
225 0.505697 0.221775 0.000256923 0.0137559
226 0.506573 0.221981 0.000256923 0.0137559
227 0.507448 0.222184 0.000256923 0.0137559
228 0.508321 0.222388 0.000256923 0.0137559
229 0.509193 0.22259 0.000257832 0.0142571
230 0.510065 0.222789 0.000257832 0.0142571
231 0.510935 0.222989 0.000257832 0.0142571
232 0.511803 0.223184 0.000257832 0.0142571
233 0.51267 0.22338 0.000257832 0.0142571
234 0.513536 0.223575 0.000257832 0.0142571
235 0.514403 0.223762 0.000257832 0.0142571
236 0.515266 0.223955 0.000257832 0.0142571
237 0.51613 0.224142 0.000257832 0.0142571
238 0.516991 0.22433 0.000257832 0.0142571
239 0.517851 0.224516 0.000258774 0.0147541
240 0.51871 0.224702 0.000258774 0.0147541
241 0.519569 0.224882 0.000258774 0.0147541
242 0.520425 0.225064 0.000258774 0.0147541
243 0.521278 0.225248 0.000258774 0.0147541
244 0.522135 0.225421 0.000258774 0.0147541
245 0.522987 0.225599 0.000258774 0.0147541
246 0.523839 0.225774 0.000258774 0.0147541
247 0.524688 0.225948 0.000258774 0.0147541
248 0.525538 0.226122 0.000258774 0.0147541
249 0.526385 0.226292 0.000259752 0.0152412
250 0.527232 0.22646 0.000259752 0.0152412
251 0.528078 0.226626 0.000259752 0.0152412
252 0.528921 0.226795 0.000259752 0.0152412
253 0.529764 0.22696 0.000259752 0.0152412
254 0.530606 0.22712 0.000259752 0.0152412
255 0.531447 0.227281 0.000259752 0.0152412
256 0.532286 0.22744 0.000259752 0.0152412
257 0.533123 0.227597 0.000259752 0.0152412
258 0.533959 0.227755 0.000259752 0.0152412
259 0.534795 0.227909 0.000260765 0.0157127
260 0.535629 0.228064 0.000260765 0.0157127
261 0.536462 0.228214 0.000260765 0.0157127
262 0.537292 0.228368 0.000260765 0.0157127
263 0.538123 0.228516 0.000260765 0.0157127
264 0.538952 0.228665 0.000260765 0.0157127
265 0.539779 0.228811 0.000260765 0.0157127
266 0.540604 0.228956 0.000260765 0.0157127
267 0.54143 0.229096 0.000260765 0.0157127
268 0.542252 0.229241 0.000260765 0.0157127
269 0.543075 0.22938 0.000261814 0.0161628
270 0.543894 0.229523 0.000261814 0.0161628
271 0.544714 0.22966 0.000261814 0.0161628
272 0.545531 0.229799 0.000261814 0.0161628
273 0.546347 0.229934 0.000261814 0.0161628
274 0.547162 0.230068 0.000261814 0.0161628
275 0.547976 0.230201 0.000261814 0.0161628
276 0.548788 0.230333 0.000261814 0.0161628
277 0.5496 0.230462 0.000261814 0.0161628
278 0.550409 0.230591 0.000261814 0.0161628
279 0.551217 0.230721 0.000262899 0.0165862
280 0.552023 0.230847 0.000262899 0.0165862
281 0.55283 0.230969 0.000262899 0.0165862
282 0.553633 0.231096 0.000262899 0.0165862
283 0.554436 0.231217 0.000262899 0.0165862
284 0.555237 0.231338 0.000262899 0.0165862
285 0.556037 0.231458 0.000262899 0.0165862
286 0.556833 0.231583 0.000262899 0.0165862
287 0.557631 0.231698 0.000262899 0.0165862
288 0.558426 0.231815 0.000262899 0.0165862
289 0.559221 0.231931 0.00026402 0.0169779
290 0.560014 0.232045 0.00026402 0.0169779
291 0.560804 0.232159 0.00026402 0.0169779
292 0.561592 0.232274 0.00026402 0.0169779
293 0.562381 0.232382 0.00026402 0.0169779
294 0.563167 0.232494 0.00026402 0.0169779
295 0.563954 0.2326 0.00026402 0.0169779
