# Time series data
# step mean_R std_R mean_psi_density max_psi_density
0 0.315021 0.158577 1.52588e-05 0.0127324
1 0.315631 0.158836 1.52588e-05 0.0127324
2 0.316242 0.159099 1.52588e-05 0.0127324
3 0.316862 0.159357 1.52588e-05 0.0127324
4 0.317482 0.159618 1.52588e-05 0.0127324
5 0.318108 0.159882 1.52588e-05 0.0127324
6 0.318736 0.160151 1.52588e-05 0.0127324
7 0.319369 0.160414 1.52588e-05 0.0127324
8 0.320001 0.160688 1.52588e-05 0.0127324
9 0.320642 0.160957 1.52814e-05 0.0127362
10 0.321286 0.161225 1.52814e-05 0.0127362
11 0.321931 0.1615 1.52814e-05 0.0127362
12 0.322585 0.161768 1.52814e-05 0.0127362
13 0.323235 0.162052 1.52814e-05 0.0127362
14 0.323895 0.162319 1.52814e-05 0.0127362
15 0.324556 0.162599 1.52814e-05 0.0127362
16 0.325221 0.162878 1.52814e-05 0.0127362
17 0.325889 0.163157 1.52814e-05 0.0127362
18 0.326565 0.163431 1.52814e-05 0.0127362
19 0.32724 0.163714 1.53045e-05 0.0127213
20 0.32792 0.163997 1.53045e-05 0.0127213
21 0.328605 0.164275 1.53045e-05 0.0127213
22 0.329291 0.164562 1.53045e-05 0.0127213
23 0.329981 0.164847 1.53045e-05 0.0127213
24 0.330677 0.165131 1.53045e-05 0.0127213
25 0.331373 0.16542 1.53045e-05 0.0127213
26 0.332073 0.165708 1.53045e-05 0.0127213
27 0.33278 0.165998 1.53045e-05 0.0127213
28 0.333489 0.16628 1.53045e-05 0.0127213
29 0.334198 0.166581 1.53283e-05 0.0126876
30 0.334915 0.166864 1.53283e-05 0.0126876
31 0.335632 0.167162 1.53283e-05 0.0126876
32 0.336356 0.167453 1.53283e-05 0.0126876
33 0.337078 0.167751 1.53283e-05 0.0126876
34 0.337809 0.168042 1.53283e-05 0.0126876
35 0.338541 0.168336 1.53283e-05 0.0126876
36 0.339275 0.168637 1.53283e-05 0.0126876
37 0.340016 0.168929 1.53283e-05 0.0126876
38 0.340757 0.169229 1.53283e-05 0.0126876
39 0.341502 0.169531 1.53526e-05 0.0126353
40 0.342251 0.169829 1.53526e-05 0.0126353
41 0.343 0.170131 1.53526e-05 0.0126353
42 0.343755 0.170432 1.53526e-05 0.0126353
43 0.344516 0.17073 1.53526e-05 0.0126353
44 0.345278 0.171028 1.53526e-05 0.0126353
45 0.346041 0.171339 1.53526e-05 0.0126353
46 0.346809 0.171639 1.53526e-05 0.0126353
47 0.347577 0.171949 1.53526e-05 0.0126353
48 0.34835 0.172261 1.53526e-05 0.0126353
49 0.349132 0.172553 1.53777e-05 0.0127794
50 0.349907 0.172866 1.53777e-05 0.0127794
51 0.350693 0.173172 1.53777e-05 0.0127794
52 0.351475 0.173485 1.53777e-05 0.0127794
53 0.352263 0.173793 1.53777e-05 0.0127794
54 0.353058 0.174097 1.53777e-05 0.0127794
55 0.35385 0.174408 1.53777e-05 0.0127794
56 0.354649 0.174715 1.53777e-05 0.0127794
57 0.355449 0.175025 1.53777e-05 0.0127794
58 0.356252 0.175339 1.53777e-05 0.0127794
59 0.357059 0.175648 1.54035e-05 0.0129247
60 0.357867 0.175959 1.54035e-05 0.0129247
61 0.358676 0.176273 1.54035e-05 0.0129247
62 0.359492 0.176586 1.54035e-05 0.0129247
63 0.360308 0.176897 1.54035e-05 0.0129247
64 0.361128 0.177213 1.54035e-05 0.0129247
65 0.361954 0.177513 1.54035e-05 0.0129247
66 0.362777 0.177835 1.54035e-05 0.0129247
67 0.363605 0.178145 1.54035e-05 0.0129247
68 0.364433 0.178463 1.54035e-05 0.0129247
69 0.365267 0.17878 1.54301e-05 0.0130433
70 0.366104 0.179091 1.54301e-05 0.0130433
71 0.366936 0.179413 1.54301e-05 0.0130433
72 0.367778 0.179729 1.54301e-05 0.0130433
73 0.368621 0.180039 1.54301e-05 0.0130433
74 0.369466 0.180356 1.54301e-05 0.0130433
75 0.370311 0.180679 1.54301e-05 0.0130433
76 0.371163 0.180986 1.54301e-05 0.0130433
77 0.372016 0.181302 1.54301e-05 0.0130433
78 0.372869 0.181618 1.54301e-05 0.0130433
79 0.373723 0.181943 1.54574e-05 0.0131322
80 0.374584 0.182254 1.54574e-05 0.0131322
81 0.375445 0.182567 1.54574e-05 0.0131322
82 0.376307 0.182888 1.54574e-05 0.0131322
83 0.377173 0.1832 1.54574e-05 0.0131322
84 0.378039 0.183521 1.54574e-05 0.0131322
85 0.378908 0.183838 1.54574e-05 0.0131322
86 0.37978 0.184152 1.54574e-05 0.0131322
87 0.380653 0.184473 1.54574e-05 0.0131322
88 0.381528 0.184791 1.54574e-05 0.0131322
89 0.382404 0.185109 1.54857e-05 0.0131883
90 0.383282 0.18543 1.54857e-05 0.0131883
91 0.384164 0.185741 1.54857e-05 0.0131883
92 0.385047 0.186059 1.54857e-05 0.0131883
93 0.385933 0.186374 1.54857e-05 0.0131883
94 0.386821 0.186688 1.54857e-05 0.0131883
95 0.387707 0.187011 1.54857e-05 0.0131883
96 0.388595 0.187331 1.54857e-05 0.0131883
97 0.389486 0.187644 1.54857e-05 0.0131883
98 0.39038 0.187962 1.54857e-05 0.0131883
99 0.391276 0.188276 1.55148e-05 0.0132093
100 0.392174 0.188592 1.55148e-05 0.0132093
101 0.393068 0.188914 1.55148e-05 0.0132093
102 0.393971 0.189222 1.55148e-05 0.0132093
103 0.394869 0.189542 1.55148e-05 0.0132093
104 0.395773 0.189853 1.55148e-05 0.0132093
105 0.396676 0.19017 1.55148e-05 0.0132093
106 0.397583 0.190482 1.55148e-05 0.0132093
107 0.39849 0.190799 1.55148e-05 0.0132093
108 0.399401 0.191106 1.55148e-05 0.0132093
109 0.400306 0.191426 1.55448e-05 0.0131931
110 0.401215 0.191746 1.55448e-05 0.0131931
111 0.402131 0.19205 1.55448e-05 0.0131931
112 0.403044 0.192361 1.55448e-05 0.0131931
113 0.40396 0.192678 1.55448e-05 0.0131931
114 0.404873 0.192989 1.55448e-05 0.0131931
115 0.405787 0.19331 1.55448e-05 0.0131931
116 0.406708 0.193614 1.55448e-05 0.0131931
117 0.407628 0.193922 1.55448e-05 0.0131931
118 0.408551 0.194227 1.55448e-05 0.0131931
119 0.409473 0.194537 1.55759e-05 0.0132242
120 0.410392 0.194849 1.55759e-05 0.0132242
121 0.411317 0.195156 1.55759e-05 0.0132242
122 0.41224 0.195468 1.55759e-05 0.0132242
123 0.413168 0.195768 1.55759e-05 0.0132242
124 0.414095 0.196076 1.55759e-05 0.0132242
125 0.415022 0.196382 1.55759e-05 0.0132242
126 0.415947 0.196694 1.55759e-05 0.0132242
127 0.416877 0.196999 1.55759e-05 0.0132242
128 0.417808 0.197298 1.55759e-05 0.0132242
129 0.418739 0.197603 1.56079e-05 0.0134032
130 0.41967 0.197905 1.56079e-05 0.0134032
131 0.420606 0.198198 1.56079e-05 0.0134032
132 0.421537 0.198501 1.56079e-05 0.0134032
133 0.422469 0.198805 1.56079e-05 0.0134032
134 0.423407 0.199097 1.56079e-05 0.0134032
135 0.424339 0.199402 1.56079e-05 0.0134032
136 0.425277 0.199691 1.56079e-05 0.0134032
137 0.426213 0.199989 1.56079e-05 0.0134032
138 0.42715 0.200291 1.56079e-05 0.0134032
139 0.428086 0.200585 1.56411e-05 0.0136062
140 0.429026 0.200874 1.56411e-05 0.0136062
141 0.429965 0.201163 1.56411e-05 0.0136062
142 0.430905 0.201456 1.56411e-05 0.0136062
143 0.431842 0.201752 1.56411e-05 0.0136062
144 0.432785 0.202032 1.56411e-05 0.0136062
145 0.433723 0.202327 1.56411e-05 0.0136062
146 0.434664 0.202616 1.56411e-05 0.0136062
147 0.435607 0.202894 1.56411e-05 0.0136062
148 0.436546 0.203187 1.56411e-05 0.0136062
149 0.437489 0.203471 1.56753e-05 0.0138305
150 0.43843 0.203753 1.56753e-05 0.0138305
151 0.439374 0.204035 1.56753e-05 0.0138305
152 0.440315 0.204319 1.56753e-05 0.0138305
153 0.44126 0.204596 1.56753e-05 0.0138305
154 0.442202 0.204881 1.56753e-05 0.0138305
155 0.443147 0.205151 1.56753e-05 0.0138305
156 0.444089 0.205431 1.56753e-05 0.0138305
157 0.445034 0.205705 1.56753e-05 0.0138305
158 0.445976 0.205983 1.56753e-05 0.0138305
159 0.446917 0.206261 1.57107e-05 0.0140725
160 0.447861 0.206536 1.57107e-05 0.0140725
161 0.448806 0.206803 1.57107e-05 0.0140725
162 0.449749 0.207074 1.57107e-05 0.0140725
163 0.450695 0.207336 1.57107e-05 0.0140725
164 0.451637 0.207609 1.57107e-05 0.0140725
165 0.452581 0.207875 1.57107e-05 0.0140725
166 0.453528 0.208132 1.57107e-05 0.0140725
167 0.45447 0.208395 1.57107e-05 0.0140725
168 0.455409 0.208669 1.57107e-05 0.0140725
169 0.456356 0.208924 1.57473e-05 0.0143269
170 0.457298 0.209186 1.57473e-05 0.0143269
171 0.458239 0.209447 1.57473e-05 0.0143269
172 0.459184 0.209699 1.57473e-05 0.0143269
173 0.460126 0.209958 1.57473e-05 0.0143269
174 0.461071 0.210205 1.57473e-05 0.0143269
175 0.462011 0.210467 1.57473e-05 0.0143269
176 0.46295 0.210717 1.57473e-05 0.0143269
177 0.463891 0.210975 1.57473e-05 0.0143269
178 0.464833 0.211221 1.57473e-05 0.0143269
179 0.465775 0.211464 1.57851e-05 0.0145875
180 0.466712 0.211718 1.57851e-05 0.0145875
181 0.467655 0.211963 1.57851e-05 0.0145875
182 0.468593 0.212212 1.57851e-05 0.0145875
183 0.46953 0.212454 1.57851e-05 0.0145875
184 0.470467 0.212699 1.57851e-05 0.0145875
185 0.471409 0.212929 1.57851e-05 0.0145875
186 0.472344 0.213183 1.57851e-05 0.0145875
187 0.473282 0.213415 1.57851e-05 0.0145875
188 0.474216 0.213653 1.57851e-05 0.0145875
189 0.475149 0.213899 1.58241e-05 0.014847
190 0.476086 0.214128 1.58241e-05 0.014847
191 0.477019 0.214364 1.58241e-05 0.014847
192 0.477958 0.214583 1.58241e-05 0.014847
193 0.478886 0.214827 1.58241e-05 0.014847
194 0.479824 0.215044 1.58241e-05 0.014847
195 0.480752 0.215283 1.58241e-05 0.014847
196 0.481685 0.215505 1.58241e-05 0.014847
197 0.482613 0.215732 1.58241e-05 0.014847
198 0.483541 0.21596 1.58241e-05 0.014847
199 0.484473 0.216176 1.58645e-05 0.0150975
200 0.485403 0.216399 1.58645e-05 0.0150975
201 0.486327 0.216622 1.58645e-05 0.0150975
202 0.487255 0.216841 1.58645e-05 0.0150975
203 0.488183 0.217054 1.58645e-05 0.0150975
204 0.489107 0.217274 1.58645e-05 0.0150975
205 0.490036 0.217478 1.58645e-05 0.0150975
206 0.490954 0.217708 1.58645e-05 0.0150975
207 0.491881 0.217907 1.58645e-05 0.0150975
208 0.492801 0.218124 1.58645e-05 0.0150975
209 0.493722 0.218332 1.59062e-05 0.0153305
210 0.49464 0.218541 1.59062e-05 0.0153305
211 0.495563 0.218742 1.59062e-05 0.0153305
212 0.496483 0.218944 1.59062e-05 0.0153305
213 0.4974 0.21915 1.59062e-05 0.0153305
214 0.498316 0.219355 1.59062e-05 0.0153305
215 0.499233 0.219552 1.59062e-05 0.0153305
216 0.500147 0.219751 1.59062e-05 0.0153305
217 0.501059 0.219956 1.59062e-05 0.0153305
218 0.501976 0.220137 1.59062e-05 0.0153305
219 0.502887 0.22034 1.59493e-05 0.0155373
220 0.5038 0.220526 1.59493e-05 0.0155373
221 0.504707 0.220729 1.59493e-05 0.0155373
222 0.505617 0.220911 1.59493e-05 0.0155373
223 0.506527 0.221105 1.59493e-05 0.0155373
224 0.507432 0.221296 1.59493e-05 0.0155373
225 0.50834 0.221474 1.59493e-05 0.0155373
226 0.509247 0.221655 1.59493e-05 0.0155373
227 0.510147 0.221848 1.59493e-05 0.0155373
228 0.511049 0.22203 1.59493e-05 0.0155373
229 0.511953 0.222204 1.59938e-05 0.0157093
230 0.512852 0.22239 1.59938e-05 0.0157093
231 0.513752 0.222565 1.59938e-05 0.0157093
232 0.51465 0.222746 1.59938e-05 0.0157093
233 0.515545 0.222919 1.59938e-05 0.0157093
234 0.516443 0.223093 1.59938e-05 0.0157093
235 0.517339 0.223264 1.59938e-05 0.0157093
236 0.518232 0.223436 1.59938e-05 0.0157093
237 0.519125 0.223608 1.59938e-05 0.0157093
238 0.520014 0.223782 1.59938e-05 0.0157093
239 0.520904 0.223948 1.60397e-05 0.0158383
240 0.52179 0.224121 1.60397e-05 0.0158383
241 0.522681 0.224278 1.60397e-05 0.0158383
242 0.523567 0.22444 1.60397e-05 0.0158383
243 0.524452 0.224604 1.60397e-05 0.0158383
244 0.525339 0.224747 1.60397e-05 0.0158383
245 0.526219 0.224924 1.60397e-05 0.0158383
246 0.527099 0.225083 1.60397e-05 0.0158383
247 0.527979 0.225242 1.60397e-05 0.0158383
248 0.52886 0.225387 1.60397e-05 0.0158383
249 0.529735 0.225553 1.60871e-05 0.0159167
250 0.530611 0.225704 1.60871e-05 0.0159167
251 0.531489 0.225843 1.60871e-05 0.0159167
252 0.532357 0.226014 1.60871e-05 0.0159167
253 0.53323 0.226157 1.60871e-05 0.0159167
254 0.534105 0.226292 1.60871e-05 0.0159167
255 0.534973 0.226446 1.60871e-05 0.0159167
256 0.535842 0.226586 1.60871e-05 0.0159167
257 0.536709 0.22674 1.60871e-05 0.0159167
258 0.537574 0.226873 1.60871e-05 0.0159167
259 0.53844 0.227008 1.61361e-05 0.0159382
260 0.539305 0.227149 1.61361e-05 0.0159382
261 0.540161 0.227294 1.61361e-05 0.0159382
262 0.541019 0.227437 1.61361e-05 0.0159382
263 0.541882 0.227567 1.61361e-05 0.0159382
264 0.542736 0.227711 1.61361e-05 0.0159382
265 0.543592 0.227835 1.61361e-05 0.0159382
266 0.544451 0.22796 1.61361e-05 0.0159382
267 0.545305 0.228088 1.61361e-05 0.0159382
