# Step 25000
# x y theta R psi_density
0 0 5.60368 0.997413 1.20165e-06
1 0 5.41793 0.99309 2.28422e-05
2 0 5.42601 0.995651 9.22476e-05
3 0 5.32762 0.997429 4.10546e-05
4 0 -1.05182 0.995716 1.09131e-05
5 0 -1.19538 0.995152 2.4213e-05
6 0 -1.2347 0.995934 2.02968e-06
7 0 4.92453 0.994673 1.31135e-05
8 0 4.78958 0.994668 7.97972e-06
9 0 4.7492 0.990574 2.23683e-06
10 0 -1.75412 0.989837 1.23656e-05
11 0 4.5127 0.990343 1.11351e-05
12 0 10.71 0.986417 4.71034e-06
13 0 4.12842 0.990669 1.19152e-05
14 0 4.17969 0.993727 1.62402e-05
15 0 3.99008 0.989222 1.1341e-06
16 0 3.81078 0.980484 1.65765e-05
17 0 3.54266 0.983211 2.3411e-05
18 0 3.46137 0.992995 5.94428e-05
19 0 3.51224 0.992486 1.01364e-05
20 0 3.45007 0.991111 2.15766e-05
21 0 -2.97103 0.993186 5.99744e-06
22 0 9.67872 0.992594 2.51757e-05
23 0 9.46596 0.989052 9.22184e-05
24 0 9.33406 0.99148 2.07931e-05
25 0 9.36906 0.992689 5.48531e-05
26 0 2.99097 0.994364 2.9255e-05
27 0 3.05939 0.991291 2.02414e-05
28 0 2.91131 0.988408 2.26653e-05
29 0 2.93524 0.990442 3.4448e-05
30 0 2.87342 0.987018 4.7764e-05
31 0 2.81015 0.98462 1.57356e-05
32 0 2.76422 0.983461 4.83053e-05
33 0 9.27587 0.988241 4.12883e-05
34 0 3.00306 0.994762 1.98353e-05
35 0 3.04435 0.992526 5.63847e-06
36 0 -3.18781 0.982645 2.12681e-05
37 0 -2.99618 0.977471 2.98072e-05
38 0 3.43572 0.983295 5.91735e-06
39 0 3.58274 0.988938 3.1553e-05
40 0 3.58533 0.994274 9.43075e-07
41 0 3.56612 0.99142 1.36886e-05
42 0 3.39318 0.98914 5.87244e-06
43 0 9.61543 0.982433 7.90942e-07
44 0 3.21635 0.980401 6.03466e-05
45 0 3.2203 0.984904 2.05637e-05
46 0 3.08138 0.985021 2.00627e-05
47 0 2.98608 0.984832 7.98391e-06
48 0 3.03209 0.983645 1.49206e-05
49 0 2.94406 0.985438 7.66881e-05
50 0 9.32353 0.983432 5.32584e-05
51 0 9.18303 0.982242 3.84691e-06
52 0 9.08899 0.987623 4.15568e-06
53 0 9.12821 0.991158 6.7793e-07
54 0 2.72915 0.992388 1.33087e-05
55 0 8.88245 0.994481 4.89328e-06
56 0 2.61704 0.994722 1.74192e-05
57 0 2.63319 0.995025 4.38269e-05
58 0 2.75373 0.996937 3.62904e-05
59 0 2.76255 0.998596 0.000106113
60 0 2.77047 0.998507 1.92173e-05
61 0 2.75393 0.997982 2.00838e-05
62 0 9.07796 0.998017 6.55659e-05
63 0 2.87882 0.999457 8.41895e-05
64 0 2.82147 0.998597 6.34311e-06
65 0 2.78612 0.998199 4.27914e-06
66 0 2.82693 0.998025 1.91537e-05
67 0 2.84345 0.99869 1.34166e-05
68 0 -3.41979 0.998125 5.35839e-06
69 0 3.01582 0.99465 2.69056e-05
70 0 3.10815 0.995449 1.73024e-05
71 0 3.19233 0.99412 4.05894e-05
72 0 3.26773 0.988007 2.65024e-05
73 0 3.44459 0.984819 3.46561e-05
74 0 3.67057 0.991941 6.36537e-06
75 0 3.77878 0.994907 1.33932e-06
76 0 3.7976 0.996694 7.69375e-05
77 0 -2.38757 0.99739 7.93108e-07
78 0 -2.39453 0.995287 2.62655e-05
79 0 -2.30729 0.997129 4.81087e-05
80 0 3.9631 0.996921 1.00883e-05
81 0 3.84226 0.995093 1.99769e-05
82 0 3.72924 0.996235 1.72576e-05
83 0 3.76304 0.996392 6.52918e-06
84 0 3.81677 0.99794 3.16706e-05
85 0 3.81802 0.998219 1.60933e-06
86 0 3.76521 0.99802 5.48016e-06
87 0 3.66026 0.996745 1.19845e-05
88 0 3.68629 0.998316 9.94356e-06
89 0 3.65777 0.997769 9.45946e-06
90 0 3.76389 0.994953 6.51714e-07
91 0 3.67199 0.987546 2.383e-06
92 0 3.54295 0.983589 3.91259e-07
93 0 3.28603 0.981469 2.33123e-05
94 0 3.12578 0.985236 2.55546e-06
95 0 2.95891 0.997837 9.52765e-06
96 0 3.00564 0.998909 7.34503e-06
97 0 -3.39658 0.999319 2.86821e-06
98 0 -3.31711 0.997227 4.8313e-06
99 0 -3.3102 0.997669 1.31473e-05
100 0 -3.15579 0.998718 5.63117e-06
101 0 3.04317 0.998463 2.27887e-05
102 0 3.00731 0.996821 2.48609e-05
