# Field snapshot at t = 70 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  -0.009970  0.999458  2.498645  0.000332  -0.003422  -0.003003  -0.003529  -0.003416  0.015959  -0.001362  0.003730  0.004133
1  0  0.010366  0.999719  2.499298  0.000159  0.001840  0.006767  -0.004925  0.000764  -0.001255  -0.003179  0.007991  0.003106
2  0  0.010966  0.999762  2.499406  0.000157  -0.010786  -0.001504  0.000850  -0.000899  0.002170  -0.001538  0.003011  0.004542
3  0  0.026865  0.999656  2.499141  0.000276  -0.000850  -0.005896  0.005603  -0.009434  -0.006940  0.006182  0.004868  0.003214
4  0  0.033592  0.999431  2.498578  0.000360  -0.004004  0.002297  -0.010122  0.013366  0.000542  0.002690  0.006950  -0.001122
5  0  -0.033478  0.999403  2.498506  0.000142  0.003835  0.001955  0.004644  0.004444  0.000069  0.000030  0.005293  0.007373
6  0  -0.008452  0.999562  2.498904  0.000156  -0.004142  0.006519  -0.001067  0.008007  0.000793  -0.003037  -0.004223  0.001790
7  0  0.008251  0.999283  2.498208  0.000349  -0.001049  0.002465  -0.008337  -0.006635  0.006111  -0.009556  -0.004141  0.009092
8  0  0.008791  0.998906  2.497264  0.000132  -0.004490  0.000338  0.005397  -0.006994  0.003004  0.002727  -0.002296  -0.003403
9  0  -0.021331  0.998787  2.496968  0.000246  0.001097  -0.004837  -0.000392  -0.002237  -0.011557  0.003801  0.007256  -0.003927
10  0  0.040695  0.999419  2.498546  0.000188  0.003775  0.001861  0.007482  -0.000409  -0.001673  -0.000523  0.005207  -0.009147
11  0  -0.026099  0.999314  2.498286  0.000179  -0.002345  0.009656  0.007908  0.000738  0.001430  -0.002876  -0.001982  0.001830
12  0  -0.058929  0.999169  2.497921  0.000318  0.006634  0.009417  -0.005588  0.002221  0.009287  0.002264  0.003934  0.006469
13  0  0.029855  0.999036  2.497589  0.000087  -0.000043  0.001237  -0.000423  0.003979  -0.001771  0.001838  -0.007205  0.003330
14  0  0.072055  0.999357  2.498392  0.000237  -0.009820  -0.004141  -0.000165  -0.002459  0.007058  0.007581  0.001946  -0.002467
15  0  0.060365  0.999507  2.498768  0.000190  -0.000183  0.009796  0.004726  -0.000349  -0.002828  0.007408  -0.001420  -0.002627
16  0  0.016474  0.999501  2.498752  0.000369  0.005616  0.004942  -0.002060  0.016295  0.001027  -0.002879  -0.005703  0.001133
17  0  -0.005098  0.999053  2.497633  0.000129  -0.006517  -0.000452  -0.006925  -0.001798  -0.000222  0.004092  0.004180  -0.000783
18  0  -0.036986  0.999103  2.497757  0.000250  0.004166  0.007866  -0.004965  0.003034  0.002744  0.002254  0.002243  0.010899
19  0  -0.055640  0.999138  2.497845  0.000277  0.000369  0.000925  0.000653  -0.002116  0.004482  0.003995  0.011950  0.009613
20  0  -0.120545  0.999289  2.498223  0.000522  0.002485  -0.007054  0.004064  -0.007722  0.010412  -0.008162  -0.011228  0.009429
21  0  -0.058270  0.998721  2.496802  0.000117  0.005705  -0.003489  -0.002479  -0.000929  0.004624  0.005041  0.001322  -0.004056
22  0  0.001390  0.999351  2.498377  0.000192  0.002794  0.005737  -0.000170  -0.000254  0.001823  -0.008001  -0.004980  0.007698
23  0  0.000447  0.999518  2.498795  0.000304  -0.000172  -0.001580  0.001074  0.000863  0.001170  -0.014001  0.004094  0.009230
24  0  -0.035348  0.999565  2.498912  0.000202  -0.004103  -0.003235  0.003455  0.008321  -0.001360  0.007053  -0.002848  -0.005853
25  0  0.015805  0.999528  2.498820  0.000260  -0.006020  -0.003075  -0.009279  0.007633  0.002692  -0.002971  0.006916  -0.002538
26  0  -0.061613  0.999337  2.498344  0.000345  -0.009058  0.000501  0.004210  0.000847  0.006843  0.010397  -0.007669  0.005551
27  0  0.019230  0.999264  2.498159  0.000189  -0.009055  0.003523  0.001279  -0.000236  0.002865  -0.002417  0.001574  -0.008734
28  0  0.012264  0.999352  2.498381  0.000400  0.000288  -0.000079  0.002437  -0.006629  -0.017480  -0.002378  -0.006139  0.001092
29  0  0.039692  0.999358  2.498395  0.000392  0.004654  -0.000615  -0.008778  0.000856  -0.007335  0.004234  -0.002142  0.014694
30  0  0.000284  0.998444  2.496109  0.000165  0.000176  0.002638  0.008248  0.000934  -0.003705  0.000842  -0.001925  -0.008442
31  0  0.013847  0.998900  2.497251  0.000167  0.003618  -0.001844  -0.003039  -0.001554  0.000597  -0.003221  -0.011297  -0.000381
32  0  -0.016584  0.998979  2.497447  0.000295  -0.003393  -0.000942  -0.006493  -0.007570  -0.002188  0.003163  0.009421  -0.008929
