# LONG-DURATION Dirac-Kuramoto Stochastic Evolution Timeseries
# Grid: 64 x 64
# Total steps: 10000 (100 seconds evolution)
# dt = 0.01, sigma_theta = 0.05, sigma_psi = 0.05
# Columns: time  R_global  spinor_norm  particle_x  particle_y  particle_drift
0.000000  1.000000  1.000001  32.000004  32.000004  0.000005
1.000000  0.999434  0.999996  31.711500  31.746235  0.384225
2.000000  0.999267  0.999988  31.532818  31.583643  0.625789
3.000000  0.999226  0.999981  31.399763  31.350058  0.884709
4.000000  0.999215  0.999983  31.304300  31.360659  0.944857
5.000000  0.999190  0.999963  31.456930  31.472237  0.757271
6.000000  0.999184  0.999915  31.673279  31.592400  0.522384
7.000000  0.999172  0.999923  31.554863  31.602217  0.596974
8.000000  0.999174  0.999933  31.428452  31.497271  0.761186
9.000000  0.999172  0.999885  31.545269  31.533903  0.651173
10.000000  0.999163  0.999884  31.683954  31.383198  0.693058
11.000000  0.999155  0.999907  31.579334  31.317677  0.801577
12.000000  0.999163  0.999951  31.465466  31.508356  0.726251
13.000000  0.999178  0.999932  31.381804  31.653543  0.708660
14.000000  0.999202  0.999973  31.432486  31.470139  0.776419
15.000000  0.999175  0.999967  31.514244  31.362095  0.801799
16.000000  0.999180  1.000008  31.492302  31.450285  0.748294
17.000000  0.999168  1.000010  31.673882  31.709553  0.436707
18.000000  0.999175  0.999994  31.878529  31.517456  0.497598
19.000000  0.999173  0.999996  31.720564  31.649984  0.447879
20.000000  0.999167  0.999968  31.730608  31.741579  0.373301
21.000000  0.999180  0.999985  31.519791  31.644640  0.597396
22.000000  0.999168  0.999994  31.665548  31.565361  0.548424
23.000000  0.999119  1.000002  31.668831  31.304180  0.770609
24.000000  0.999129  0.999993  31.437147  31.585609  0.698944
25.000000  0.999129  1.000024  31.357838  31.651712  0.730532
26.000000  0.999173  0.999971  31.482012  31.561777  0.678492
27.000000  0.999123  0.999944  31.294479  31.382330  0.937697
28.000000  0.999174  0.999909  31.208015  31.364782  1.015254
29.000000  0.999159  0.999936  31.361225  31.540119  0.787098
30.000000  0.999147  0.999923  31.439543  31.589636  0.694630
31.000000  0.999090  0.999922  31.463093  31.460865  0.760878
32.000000  0.999122  0.999904  31.553614  31.601032  0.598695
33.000000  0.999176  0.999932  31.589268  31.634298  0.549944
34.000000  0.999176  0.999906  31.493734  31.562874  0.668868
35.000000  0.999199  0.999873  31.774212  31.414320  0.627695
36.000000  0.999187  0.999890  31.746914  31.506180  0.554897
37.000000  0.999213  0.999900  31.689791  31.598213  0.507605
38.000000  0.999210  0.999921  31.661358  31.509573  0.595984
39.000000  0.999221  0.999953  31.753534  31.610886  0.460603
40.000000  0.999186  0.999944  31.537628  31.601402  0.610465
