# step F_x F_y v_x v_y alignment
0 0.000753195 1.00583e-05 0.0999069 -0.00038147 0.999853
10 0.000688298 2.6375e-06 0.999909 0.000534058 0.999995
20 0.00174098 -1.01327e-06 0.998802 0.000152588 1
30 0.00377507 -1.4454e-06 0.9972 -0.000648499 1
40 0.00667177 2.9802e-07 0.995026 0.000495911 1
50 0.0207805 0.0010882 0.991669 -0.000572205 0.998601
60 0.0262665 0.000487766 0.986748 0.000495911 0.999837
70 0.0322833 -0.00012171 0.983276 7.6294e-05 0.999993
80 0.0387799 -0.000736546 0.976372 -0.000305176 0.999825
90 0.0457172 -0.0013558 0.970192 -0.000495911 0.999576
100 0.0530666 -0.00198027 0.963745 0.00038147 0.99929
110 0.0608071 -0.00261153 0.955238 -0.000534058 0.999103
120 0.0689233 -0.00325206 0.945931 -0.000114441 0.998894
130 0.0774023 -0.00390411 0.9375 0.000114441 0.998724
140 0.0862313 -0.00457001 0.9272 -0.000228882 0.998612
150 0.0953933 -0.00525123 0.917206 -3.8147e-05 0.998491
160 -0.0487022 -0.00947587 0.905228 -0.000572205 -0.981472
170 -0.0570152 -0.0102689 0.89447 -0.000534058 -0.984059
180 -0.0656418 -0.0109217 0.882568 -0.000724793 -0.986304
190 -0.0745429 -0.0113706 0.87059 0.000495911 -0.988651
200 -0.0836395 -0.0115158 0.858154 -0.00114441 -0.990471
210 -0.0927878 -0.0112004 0.844154 0.000152588 -0.992815
220 -0.101739 -0.0101828 0.831375 0.000305176 -0.995065
230 -0.110087 -0.0081124 0.817947 -0.000457764 -0.997255
240 -0.11721 -0.00456328 0.802879 0.000114441 -0.999249
250 -0.122253 0.000755387 0.789642 -0.000228882 -0.999983
260 -0.124249 0.00756549 0.775375 0.000305176 -0.998127
270 -0.122452 0.0147937 0.760613 0.000457764 -0.992709
280 -0.101183 0.00421616 0.746727 0.000572205 -0.999101
290 -0.0882814 0.00533507 0.731926 0.000419617 -0.998144
300 -0.0738226 0.00654596 0.717163 0.00038147 -0.996045
310 -0.0585511 0.00782027 0.702744 0.00133514 -0.990945
320 -0.0431224 0.00912033 0.687332 0.00133514 -0.977954
330 -0.0281194 0.0104006 0.673218 0.000610352 -0.937585
340 -0.0140535 0.0116121 0.657997 0.00152588 -0.76941
350 -0.00134922 0.0127059 0.644188 0.0012207 -0.10371
360 0.00967461 0.0136398 0.629959 0.00175476 0.580807
370 0.0188181 0.0143824 0.615463 0.00114441 0.795648
380 0.0260009 0.0149171 0.601158 0.00114441 0.868334
390 0.0312483 0.0152436 0.587769 0.001297 0.899728
400 0.0346662 0.0153755 0.574989 0.00183105 0.915408
410 0.0364151 0.0153373 0.5616 0.00205994 0.923011
420 0.0366824 0.0151583 0.549011 0.001297 0.9251
430 0.0356616 0.0148699 0.535965 0.00076294 0.923524
440 0.0361763 0.0335545 0.524826 0.0012207 0.734755
450 0.0370599 0.0331014 0.513344 0.00114441 0.747298
460 0.0379115 0.0326633 0.501633 0.000534058 0.758292
470 0.0387349 0.0322535 0.490913 0.000686646 0.769365
480 0.0395308 0.0318829 0.480118 -7.6294e-05 0.778282
490 0.0402971 0.0315617 0.471687 0.000610352 0.788066
500 0.0410291 0.0312985 0.461769 0 0.795075
510 0.041719 0.0311004 0.453262 0.000534058 0.802442
520 0.042357 0.0309739 0.443306 -0.00144959 0.805268
530 0.0429308 0.0309239 0.436897 0.000534058 0.812125
540 0.0434272 0.0309542 0.428429 0 0.814312
550 0.043832 0.031068 0.422211 7.6294e-05 0.81595
560 0.0441316 0.0312674 0.415459 0.000839233 0.817125
570 0.0443126 0.0315545 0.40905 -0.000152588 0.814363
580 0.0443644 0.0319297 0.404091 0.00144959 0.813735
590 0.0442797 0.0323922 0.398407 0.000610352 0.808
600 0.0440554 0.0329415 0.393372 0.000839233 0.802148
610 0.0436944 0.0335747 0.389595 0.00205994 0.796153
620 0.0432054 0.0342875 0.385017 0.00183105 0.786259
630 0.0426039 0.0350744 0.382347 0.00328064 0.777454
640 0.0419134 0.0359284 0.378532 0.00244141 0.763415
650 0.041163 0.0368401 0.373611 0.00213623 0.748952
660 0.0403881 0.0377984 0.372963 0.00358582 0.736663
670 0.0198413 0.120413 0.370712 0.00396729 0.173134
680 0.0189957 0.121365 0.368462 0.00259399 0.161586
690 0.0182349 0.122208 0.365715 0.00350952 0.157062
700 0.0175845 0.122942 0.365295 0.00534058 0.156046
710 0.0170658 0.123568 0.36274 0.00274658 0.144306
720 0.0166964 0.124089 0.362701 0.00442505 0.14543
730 0.0164898 0.124513 0.361595 0.00404358 0.142365
740 0.0164545 0.124846 0.361061 0.00358582 0.140507
750 0.0165944 0.125099 0.360489 0.00335693 0.140724
760 0.0169095 0.125282 0.359345 0.00389099 0.144481
770 0.0173954 0.125408 0.360832 0.00328064 0.146395
780 0.0180439 0.12549 0.359802 0.00358582 0.152181
790 0.0188444 0.125542 0.359688 0.00175476 0.153263
800 0.0197836 0.125579 0.359879 0.00076294 0.157713
810 0.0208465 0.125615 0.361366 0.00328064 0.172665
820 0.0220179 0.125666 0.360718 0 0.17258
830 0.0232808 0.125746 0.361099 0.000228882 0.182671
840 0.024619 0.125868 0.363121 0.00137329 0.195666
850 0.0260163 0.126047 0.362206 -0.00144959 0.19822
860 0.0274555 0.126292 0.363884 0.000152588 0.212845
870 0.0289202 0.126614 0.365715 -0.00114441 0.219626
880 0.0303933 0.12702 0.365868 -0.001297 0.229261
890 0.031857 0.127515 0.365677 -0.00312805 0.234072
900 0.0332924 0.128102 0.369492 -0.000839233 0.249335
910 0.0346802 0.12878 0.368958 -0.0037384 0.250237
920 0.0360005 0.129547 0.369949 -0.00274658 0.260588
930 0.0372316 0.130399 0.371132 -0.00312805 0.266434
940 -0.0355128 0.0177396 0.372963 -0.00328064 -0.898492
950 -0.0364795 0.017422 0.373268 -0.00396729 -0.906901
960 -0.0375601 0.0171173 0.374794 -0.00350952 -0.913803
970 -0.0387343 0.0168291 0.375977 -0.0038147 -0.921169
980 -0.039978 0.0165607 0.377312 -0.00419617 -0.928068
990 -0.0412641 0.0163159 0.378227 -0.00526428 -0.934971
1000 -0.0425622 0.0160987 0.380821 -0.00396729 -0.938964
1010 -0.04384 0.0159133 0.380745 -0.0038147 -0.943361
1020 -0.0450656 0.0157634 0.383301 -0.00419617 -0.947478
1030 -0.0462075 0.0156517 0.383225 -0.00572205 -0.951824
1040 -0.0472361 0.0155803 0.384522 -0.00350952 -0.952494
1050 -0.0481262 0.0155499 0.385094 -0.0050354 -0.955501
1060 -0.0488563 0.0155593 0.386314 -0.00526428 -0.956892
1070 -0.0494097 0.0156066 0.388641 -0.00404358 -0.956645
1080 -0.0497766 0.0156886 0.387421 -0.00480652 -0.957405
1090 -0.0499521 0.0158003 0.389862 -0.00549316 -0.957595
1100 -0.0499375 0.0159367 0.391693 -0.0043869 -0.956009
1110 -0.0497393 0.0160922 0.390778 -0.00553131 -0.955705
1120 -0.0493689 0.0162617 0.393524 -0.00461578 -0.953404
1130 -0.0488423 0.0164395 0.393105 -0.00545502 -0.95209
1140 -0.0481779 0.0166206 0.393639 -0.00579834 -0.950028
1150 -0.0473971 0.016801 0.395813 -0.00392914 -0.945806
1160 -0.0465213 0.0169773 0.395088 -0.00534058 -0.943949
1170 -0.0455745 0.017145 0.395813 -0.00598908 -0.94118
1180 -0.0445787 0.0173012 0.397568 -0.00427246 -0.936085
1190 -0.0435561 0.0174428 0.398445 -0.00583649 -0.933672
1200 -0.0564431 -0.0571762 0.397911 -0.00564575 -0.692362
1210 -0.0560431 -0.0575241 0.399513 -0.00637054 -0.686317
1220 -0.0557667 -0.0579704 0.398254 -0.00537872 -0.68348
1230 -0.055622 -0.0585093 0.401611 -0.00560761 -0.678812
1240 -0.0556155 -0.0591334 0.400772 -0.00640869 -0.673372
1250 -0.0557514 -0.0598339 0.400848 -0.00484467 -0.672815
1260 -0.0560321 -0.0605994 0.40081 -0.00675201 -0.666432
1270 -0.0564578 -0.0614174 0.402794 -0.0044632 -0.668558
1280 -0.0570274 -0.0622749 0.400314 -0.00629425 -0.663674
1290 -0.0577364 -0.0631567 0.403709 -0.00522614 -0.665115
1300 -0.0585778 -0.064047 0.402184 -0.00709534 -0.661777
1310 -0.059543 -0.0649291 0.40329 -0.00595093 -0.664929
1320 -0.0606195 -0.0657865 0.404472 -0.00614166 -0.666394
1330 -0.0617912 -0.0666028 0.403214 -0.00549316 -0.670081
1340 -0.0630389 -0.0673624 0.403481 -0.00705719 -0.670414
1350 -0.0643419 -0.0680512 0.404434 -0.00659943 -0.675079
1360 -0.0656755 -0.0686565 0.404358 -0.00679016 -0.679015
1370 -0.0670124 -0.0691671 0.405998 -0.00617981 -0.68482
1380 -0.0683242 -0.0695745 0.404625 -0.00629425 -0.689484
1390 -0.0695823 -0.0698727 0.405006 -0.00728607 -0.692773
1400 -0.070757 -0.0700575 0.406456 -0.00564575 -0.70077
1410 -0.071822 -0.0701295 0.40699 -0.00724793 -0.702934
1420 -0.072752 -0.0700894 0.406723 -0.00808716 -0.706227
1430 -0.0735251 -0.0699423 0.407181 -0.00686646 -0.712815
1440 -0.0741245 -0.0696945 0.407066 -0.00652313 -0.717473
1450 -0.0267364 -0.015374 0.407639 -0.00793457 -0.857033
1460 -0.0264832 -0.0151462 0.408173 -0.00732422 -0.859014
1470 -0.0261903 -0.0149357 0.405998 -0.0100708 -0.856122
1480 -0.0258676 -0.0147465 0.409203 -0.00659943 -0.86065
1490 -0.0255257 -0.0145818 0.409813 -0.00804901 -0.858398
1500 -0.0251744 -0.0144443 0.407867 -0.00789642 -0.857572
1510 -0.0248236 -0.014336 0.410004 -0.00926972 -0.854439
1520 -0.0244822 -0.014259 0.409927 -0.00759125 -0.854655
1530 -0.0241586 -0.0142147 0.411072 -0.00854492 -0.85115
1540 -0.0238596 -0.0142037 0.409126 -0.00808716 -0.848992
1550 -0.0235924 -0.0142268 0.409317 -0.00915527 -0.844587
1560 -0.0233618 -0.0142841 0.411377 -0.00980377 -0.84049
1570 -0.0231725 -0.0143755 0.408783 -0.00892639 -0.838051
1580 -0.0230278 -0.0145004 0.409699 -0.00896454 -0.834351
1590 -0.0229309 -0.0146572 0.411568 -0.00923157 -0.830292
1600 -0.0228839 -0.0148453 0.411568 -0.00846863 -0.827559
1610 -0.0228887 -0.0150621 0.409737 -0.00835419 -0.823974
1620 -0.022946 -0.0153051 0.411224 -0.00934601 -0.819098
1630 -0.0230564 -0.0155707 0.410919 -0.00846863 -0.817014
1640 -0.0232197 -0.015855 0.412407 -0.00644684 -0.816924
1650 -0.0234352 -0.0161536 0.409546 -0.00923157 -0.810356
1660 -0.0237016 -0.0164611 0.410919 -0.0087738 -0.80898
1670 -0.0240166 -0.0167709 0.408707 -0.00770569 -0.808946
1680 -0.0243772 -0.0170769 0.411186 -0.00759125 -0.808298
1690 -0.0039289 -0.00706508 0.411224 -0.00717163 -0.470694
1700 -0.00397801 -0.00718157 0.409966 -0.00747681 -0.468517
1710 -0.00402555 -0.00727888 0.410881 -0.00801087 -0.466814
1720 -0.00406931 -0.00735485 0.410843 -0.00549316 -0.472381
1730 -0.00410753 -0.00740718 0.410194 -0.00694275 -0.47009
1740 -0.00413879 -0.00743484 0.410233 -0.00507355 -0.475548
1750 -0.00416122 -0.00743729 0.409813 -0.0069809 -0.473342
1760 -0.00417378 -0.00741495 0.408249 -0.00621796 -0.47719
1770 -0.0041754 -0.00736959 0.409851 -0.00522614 -0.481817
1780 -0.00416552 -0.00730375 0.409813 -0.00473023 -0.485358
1790 -0.00414363 -0.00721972 0.409012 -0.00591278 -0.485186
1800 -0.00411 -0.0071214 0.409203 -0.00392914 -0.49152
1810 -0.00406518 -0.00701283 0.409431 -0.00526428 -0.490345
1820 -0.00401019 -0.00689757 0.409317 -0.00297546 -0.49632
1830 -0.00394621 -0.00677954 0.41008 -0.00419617 -0.494191
1840 -0.0038749 -0.00666235 0.408134 -0.0043869 -0.49344
1850 -0.00379792 -0.00654927 0.40657 -0.00396729 -0.493189
1860 -0.00371696 -0.00644319 0.409241 -0.000801086 -0.497999
1870 -0.00363387 -0.00634658 0.408211 -0.00232697 -0.491931
1880 -0.0035504 -0.00626153 0.40657 -0.00370026 -0.485307
1890 -0.00346804 -0.00618954 0.408363 -0.00179291 -0.484972
1900 -0.00338811 -0.0061321 0.407715 -0.000991821 -0.481481
1910 -0.00331218 -0.00609041 0.40699 -0.00236511 -0.472643
1920 -0.00324114 -0.00606484 0.408134 -0.000610352 -0.47001
1930 -0.00317585 -0.00605612 0.407524 -0.00137329 -0.461433
1940 -0.00101951 -0.00189675 0.40741 -0.000419617 -0.47254
1950 -0.00100191 -0.00194307 0.406914 -0.000610352 -0.45696
1960 -0.000987668 -0.00199687 0.407066 -0.000305176 -0.442671
1970 -0.000976869 -0.00205786 0.407715 -0.000114441 -0.428583
1980 -0.000969567 -0.00212598 0.407257 0.000801086 -0.41673
1990 -0.000965617 -0.00220054 0.407181 0.00297546 -0.408506
2000 -0.00096487 -0.0022815 0.405998 -3.8147e-05 -0.389423
2010 -0.000966995 -0.00236844 0.407715 0.00202179 -0.382578
2020 -0.000972102 -0.00246071 0.406189 0.00106812 -0.369863
2030 -0.000979915 -0.00255755 0.410118 0.00423431 -0.367405
2040 -0.000990099 -0.00265823 0.404396 0.0012207 -0.351868
2050 -0.00100229 -0.00276176 0.407524 0.00308991 -0.348264
2060 -0.0010163 -0.00286689 0.406342 0.00213623 -0.339074
2070 -0.00103158 -0.00297168 0.406609 0.00312805 -0.335196
2080 -0.00104764 -0.00307456 0.405617 0.00209808 -0.327427
2090 -0.00106402 -0.00317351 0.408936 0.00595093 -0.331651
2100 -0.00108014 -0.0032666 0.405426 0.0018692 -0.318318
2110 -0.00109543 -0.00335164 0.406418 0.00213623 -0.315655
