# step x_com y_com R_at_com distance_to_defect
0 48.01 64 0.999756 15.99
100 48.9963 64 0.849449 15.0037
200 49.9057 63.9997 0.415699 14.0943
300 50.6875 63.9999 0.842028 13.3125
400 51.3249 64.0012 0.908998 12.6751
500 51.834 64.002 0.852832 12.166
600 52.2545 64.0023 0.837215 11.7455
700 52.6297 64.0054 0.723599 11.3703
800 52.9905 64.0085 0.754756 11.0095
900 53.3544 64.0083 0.749335 10.6456
1000 53.7288 64.0045 0.697094 10.2712
1100 54.1148 63.9999 0.707258 9.88515
1200 54.51 63.9946 0.896654 9.48998
1300 54.9111 63.9888 0.88055 9.08891
1400 55.3156 63.9824 0.867291 8.68439
1500 55.7233 63.9748 0.968137 8.27674
1600 56.1335 63.966 0.970525 7.86653
1700 56.5441 63.9579 0.978981 7.45599
1800 56.9539 63.9521 0.978052 7.04623
1900 57.3623 63.949 0.981847 6.6379
2000 57.7695 63.9488 0.985377 6.23069
2100 58.1764 63.9515 0.983211 5.8238
2200 58.5832 63.9554 0.983795 5.41694
2300 58.9904 63.9595 0.985464 5.00981
2400 59.398 63.9626 0.987454 4.60216
2500 59.8077 63.9641 0.990559 4.19242
2600 60.2188 63.9635 0.988767 3.78134
2700 60.6292 63.961 0.992958 3.37101
2800 61.037 63.9566 0.994167 2.96332
2900 61.4432 63.9511 0.994405 2.55724
3000 61.8483 63.9441 0.996402 2.15247
3100 62.2531 63.9358 0.996123 1.74811
3200 62.658 63.9254 0.998288 1.34409
3300 63.0639 63.9159 0.998473 0.93984
3400 63.4723 63.9065 0.998295 0.535926
3500 63.8808 63.8975 0.995239 0.157163
3600 64.2904 63.8893 0.995978 0.310753
3700 64.7006 63.8815 0.979248 0.710544
3800 65.1115 63.875 0.980912 1.11855
3900 65.5253 63.8685 0.885987 1.53094
4000 65.9408 63.8619 0.900181 1.94573
4100 66.3603 63.8557 0.909504 2.36473
4200 66.784 63.8491 0.848914 2.78804
4300 67.2142 63.8429 0.834458 3.21806
4400 67.6513 63.8359 0.876973 3.65496
4500 68.0991 63.8291 0.885219 4.10262
4600 68.5602 63.8226 0.867848 4.5636
4700 69.0358 63.8154 0.85677 5.03922
4800 69.5287 63.8087 0.891277 5.53197
4900 70.037 63.8018 0.898643 6.04028
5000 70.5602 63.7942 0.858509 6.56342
5100 71.0955 63.7848 0.85398 7.09875
5200 71.644 63.7715 0.919928 7.64741
5300 72.2189 63.7499 0.921286 8.22272
5400 72.8355 63.7148 0.949634 8.84013
5500 73.4846 63.6524 0.952752 9.49093
5600 74.1718 63.5568 0.928433 10.1815
5700 74.8924 63.4156 0.845477 10.9081
5800 75.6422 63.2417 0.513123 11.6669
5900 76.4225 63.0428 0.531351 12.4593
6000 77.2371 62.7979 0.526947 13.2916
6100 78.0779 62.6263 0.279228 14.1448
6200 78.9263 62.622 0.895207 14.9898
6300 79.773 62.7595 0.998368 15.8217
6400 80.6078 62.8599 0.999463 16.6469
6500 81.4308 62.9689 0.999129 17.4612
6600 82.2321 63.0417 0.999807 18.2573
6700 83.0064 63.1563 0.999949 19.0251
6800 83.7486 63.2544 0.999986 19.7627
6900 84.449 63.2832 0.999986 20.4616
7000 85.0858 63.2891 0.999996 21.0978
7100 85.6203 63.2886 0.999999 21.632
7200 85.9863 63.297 0.999999 21.9976
7300 86.0926 63.3163 0.999999 22.1032
7400 85.8564 63.3544 0.999999 21.866
7500 85.1244 63.4206 0.999996 21.1324
7600 83.828 63.481 0.999986 19.8348
7700 82.0546 63.4968 0.999849 18.0616
7800 80.1748 63.442 0.994702 16.1845
7900 78.3154 63.3675 0.73777 14.3294
8000 76.5153 63.3187 0.513098 12.5338
8100 75.1739 63.3345 0.88458 11.1937
8200 74.0273 63.361 0.939131 10.0476
8300 72.4538 63.4051 0.863087 8.47468
8400 70.778 63.4561 0.483692 6.7998
8500 69.297 63.5118 0.808461 5.31949
8600 67.8059 63.5562 0.794517 3.83173
8700 66.094 63.5879 0.986392 2.13417
8800 64.3718 63.6008 0.998877 0.545464
8900 62.6692 63.5929 0.99683 1.39168
9000 60.9549 63.5728 0.984476 3.07487
9100 59.3044 63.5756 0.967956 4.71473
9200 57.8437 63.6062 0.962833 6.16892
9300 56.5024 63.6498 0.958411 7.50576
9400 55.2186 63.687 0.982671 8.78701
9500 53.9618 63.6914 0.992434 10.0429
9600 52.8068 63.6768 0.995497 11.1979
9700 51.7758 63.6468 0.993917 12.2293
9800 50.8397 63.5959 0.995121 13.1665
9900 49.9973 63.5488 0.894522 14.0099
10000 49.2866 63.5018 0.582598 14.7218
10100 48.7991 63.4679 0.386165 15.2102
10200 48.537 63.4481 0.934442 15.4728
10300 48.5156 63.4218 0.94336 15.4952
10400 48.6638 63.4013 0.660354 15.3478
10500 48.9444 63.3815 0.329289 15.0683
10600 49.2735 63.3697 0.828489 14.74
10700 49.6124 63.3634 0.979873 14.4016
10800 49.9323 63.3788 0.741341 14.0814
10900 50.2363 63.4148 0.364183 13.7762
11000 50.5108 63.4433 0.990029 13.5007
11100 50.771 63.4429 0.997295 13.2407
11200 51.0039 63.4358 0.994407 13.0083
11300 51.245 63.4269 0.983364 12.7679
11400 51.5108 63.3887 0.994362 12.5042
11500 51.8071 63.3353 0.995605 12.211
11600 52.1355 63.2956 0.996953 11.8854
11700 52.4775 63.2635 0.996396 11.546
11800 52.8267 63.2361 0.997053 11.1994
11900 53.1848 63.2237 0.997196 10.843
12000 53.5436 63.2194 0.99642 10.4855
12100 53.8915 63.217 0.996465 10.1388
12200 54.2424 63.2278 0.995885 9.78815
12300 54.6162 63.2256 0.990561 9.41569
12400 54.9951 63.2157 0.992225 9.03901
12500 55.3936 63.2087 0.992826 8.64266
12600 55.7933 63.1988 0.983608 8.2457
12700 56.1876 63.1914 0.981938 7.85417
12800 56.5668 63.1906 0.972754 7.47715
12900 56.9235 63.1886 0.976729 7.12288
13000 57.2418 63.1843 0.975265 6.80722
13100 57.5132 63.1806 0.959094 6.53836
13200 57.7648 63.1703 0.959324 6.29011
13300 58.0019 63.1627 0.966075 6.05622
13400 58.2447 63.1491 0.967338 5.81785
13500 58.5149 63.1411 0.961791 5.55191
13600 58.807 63.1367 0.957484 5.26423
13700 59.1256 63.1336 0.962961 4.95083
13800 59.4612 63.1301 0.96753 4.62141
13900 59.7842 63.1281 0.974136 4.30506
14000 60.0502 63.1286 0.969304 4.04481
14100 60.2648 63.118 0.970388 3.83792
14200 60.4487 63.108 0.975243 3.66159
14300 60.6075 63.1002 0.983314 3.5098
14400 60.7625 63.0935 0.980275 3.362
14500 60.9396 63.094 0.978766 3.19173
14600 61.1627 63.1031 0.981923 2.97572
14700 61.4406 63.1051 0.98353 2.71136
14800 61.7477 63.102 0.987374 2.42468
14900 62.1067 63.0895 0.985301 2.10088
15000 62.5161 63.0643 0.990466 1.75429
15100 62.9727 63.0285 0.991839 1.4139
15200 63.4688 62.9995 0.991398 1.13278
15300 63.981 62.9786 0.992262 1.02158
15400 64.512 62.9711 0.992985 1.14923
15500 65.0105 62.9649 0.993697 1.44657
15600 65.4717 62.9747 0.993541 1.7936
15700 65.8692 62.9827 0.987977 2.12811
15800 66.2078 63.0003 0.984663 2.42363
15900 66.5112 63.0095 0.969405 2.69951
16000 66.782 63.007 0.974321 2.95389
16100 67.0562 62.9804 0.973883 3.22177
16200 67.3278 62.9609 0.969928 3.48627
16300 67.599 62.9515 0.959642 3.7486
16400 67.8781 62.9454 0.96797 4.01897
16500 68.1658 62.9408 0.971736 4.29835
16600 68.4675 62.936 0.968799 4.59246
16700 68.7775 62.942 0.964151 4.89319
16800 69.0986 62.9446 0.969068 5.20671
16900 69.4302 62.9372 0.97443 5.53325
17000 69.7772 62.9223 0.974899 5.8769
17100 70.1329 62.925 0.970786 6.22641
17200 70.4918 62.9394 0.971444 6.57787
17300 70.8363 62.9462 0.977309 6.91702
17400 71.1935 62.9428 0.9791 7.27082
17500 71.5785 62.9388 0.978047 7.65241
17600 71.9727 62.9496 0.974699 8.04163
17700 72.3831 62.9601 0.977246 8.44739
17800 72.8126 62.9623 0.980092 8.87349
17900 73.2663 62.9635 0.979053 9.32407
18000 73.7287 62.96 0.97368 9.78409
18100 74.2006 62.9602 0.972198 10.2534
18200 74.6783 62.9514 0.972153 10.7297
18300 75.1666 62.9465 0.974794 11.2162
18400 75.666 62.9484 0.970768 11.7133
18500 76.1699 62.9413 0.962974 12.2158
18600 76.6762 62.9159 0.971673 12.7225
18700 77.2068 62.8826 0.980206 13.254
18800 77.7623 62.8504 0.653338 13.8102
18900 78.3294 62.8053 0.313331 14.3792
19000 78.8854 62.7792 0.796889 14.9354
19100 79.42 62.7317 0.986058 15.4721
19200 79.9192 62.6955 0.997245 15.9725
19300 80.3613 62.6347 0.991321 16.4182
19400 80.7183 62.5694 0.999003 16.7794
19500 81.0445 62.4635 0.999522 17.1136
19600 81.3248 62.3551 0.999679 17.4027
19700 81.6066 62.2133 0.99985 17.697
19800 81.9045 62.1366 0.999813 18.0012
19900 82.2325 62.1402 0.999796 18.3271
20000 82.5181 62.1496 0.999948 18.6103
20100 82.7431 62.1473 0.999951 18.8344
20200 82.9069 62.1171 0.999952 19.0004
20300 82.9445 62.1437 0.999949 19.0353
20400 82.7723 62.2293 0.999947 18.8557
20500 82.3462 62.3447 0.999852 18.4207
20600 81.7594 62.4084 0.999834 17.8306
20700 81.0599 62.4807 0.999133 17.1274
20800 80.2956 62.543 0.999889 16.3606
20900 79.5547 62.5854 0.996359 15.6189
21000 78.4323 62.5984 0.326964 14.5001
21100 76.6189 62.6707 0.976398 12.6888
21200 74.5933 62.8087 0.976661 10.6601
21300 72.4739 62.9696 0.977791 8.53633
21400 70.0957 63.0763 0.979084 6.16525
21500 67.6272 63.1886 0.985813 3.71684
21600 65.4004 63.2579 0.986687 1.58489
21700 63.5657 63.3138 0.983513 0.812076
21800 61.9196 63.3778 0.981575 2.1714
21900 60.6389 63.4511 0.979885 3.40559
22000 59.6705 63.4726 0.970647 4.36154
