# step E_total KE PE <beta> norm
0 0.677026 0.177028 0.499998 1 1
100 0.677006 0.177023 0.499984 0.999968 0.999967
200 0.676978 0.177017 0.49996 0.999935 0.999935
300 0.676901 0.177016 0.499885 0.999902 0.999901
400 0.676784 0.177068 0.499716 0.999868 0.999867
500 0.676978 0.17712 0.499858 0.999833 0.999831
600 0.676903 0.177121 0.499782 0.999799 0.999799
700 0.675849 0.177148 0.498701 0.999765 0.999763
800 0.673509 0.177727 0.495782 0.999731 0.999728
900 0.676423 0.178721 0.497702 0.999697 0.999696
1000 0.678032 0.178892 0.499139 0.999661 0.99966
1100 0.672674 0.178939 0.493735 0.999627 0.999626
1200 0.661715 0.180506 0.481209 0.999595 0.999592
1300 0.669916 0.184713 0.485202 0.99956 0.99956
1400 0.681448 0.18602 0.495427 0.999529 0.999527
1500 0.674068 0.186539 0.487529 0.999494 0.999492
1600 0.661347 0.187459 0.473887 0.999462 0.999461
1700 0.666749 0.192073 0.474676 0.999429 0.999426
1800 0.68234 0.194422 0.487918 0.999398 0.999395
1900 0.678984 0.195802 0.483182 0.999364 0.999363
2000 0.675119 0.196575 0.478544 0.999333 0.999328
2100 0.677044 0.19862 0.478424 0.999295 0.999295
2200 0.687742 0.19985 0.487892 0.999261 0.99926
2300 0.686555 0.199167 0.487389 0.999228 0.999226
2400 0.680365 0.199542 0.480823 0.999193 0.999191
2500 0.680334 0.20146 0.478874 0.999159 0.999157
2600 0.694332 0.203638 0.490694 0.999125 0.999125
2700 0.698013 0.203135 0.494878 0.999092 0.999087
2800 0.690017 0.20282 0.487197 0.999059 0.999055
2900 0.685331 0.202781 0.48255 0.999026 0.999024
3000 0.697512 0.203587 0.493925 0.998993 0.998988
3100 0.701609 0.203538 0.498071 0.99896 0.998955
3200 0.698486 0.203284 0.495202 0.998925 0.998923
3300 0.695713 0.202912 0.492801 0.998892 0.99889
3400 0.698585 0.202747 0.495838 0.998857 0.998854
3500 0.701193 0.202571 0.498622 0.998825 0.998822
3600 0.699976 0.20235 0.497627 0.998789 0.998786
3700 0.697493 0.202001 0.495492 0.998755 0.998753
3800 0.697619 0.201807 0.495812 0.99872 0.998713
3900 0.70043 0.20182 0.49861 0.998686 0.998683
4000 0.700339 0.201736 0.498603 0.998653 0.998648
4100 0.69895 0.201535 0.497415 0.998617 0.998618
4200 0.698552 0.201318 0.497234 0.998582 0.998577
4300 0.700113 0.201387 0.498726 0.998549 0.998545
4400 0.700427 0.201375 0.499052 0.998515 0.998509
4500 0.699896 0.201337 0.498559 0.998481 0.998476
4600 0.699472 0.201242 0.49823 0.998445 0.998442
4700 0.700026 0.201262 0.498764 0.998413 0.998407
4800 0.700377 0.201264 0.499112 0.99838 0.998377
4900 0.700139 0.201241 0.498898 0.998347 0.998344
5000 0.699814 0.201188 0.498627 0.998315 0.998309
5100 0.699949 0.201175 0.498774 0.998279 0.998277
5200 0.700252 0.201183 0.499069 0.998244 0.998245
5300 0.700152 0.201166 0.498985 0.998215 0.998208
5400 0.699926 0.201136 0.49879 0.998178 0.998177
5500 0.699904 0.201116 0.498788 0.998144 0.998138
5600 0.700121 0.201124 0.498997 0.99811 0.998108
5700 0.700101 0.201113 0.498988 0.998075 0.998076
5800 0.699958 0.201094 0.498864 0.998041 0.998041
5900 0.699886 0.201081 0.498804 0.998011 0.998005
6000 0.70001 0.201088 0.498922 0.997973 0.99797
6100 0.700031 0.201081 0.49895 0.997938 0.997934
6200 0.699945 0.201069 0.498876 0.997906 0.997908
6300 0.699857 0.201054 0.498804 0.997868 0.997868
6400 0.699913 0.201057 0.498856 0.997837 0.997837
