# step x y dist
0 48.01 64 15.99
100 48.9965 64 15.0035
200 49.9084 64 14.0916
300 50.694 63.9999 13.306
400 51.336 64 12.664
500 51.8498 64 12.1502
600 52.2721 64 11.7279
700 52.6449 64 11.3551
800 53.0035 64 10.9965
900 53.3709 63.9999 10.6291
1000 53.7576 63.9998 10.2424
1100 54.166 63.9998 9.834
1200 54.5939 63.9998 9.40607
1300 55.0368 63.9993 8.9632
1400 55.4899 63.9978 8.5101
1500 55.9511 63.9969 8.0489
1600 56.4179 63.9965 7.58212
1700 56.8879 63.9953 7.11209
1800 57.3582 63.9916 6.64177
1900 57.829 63.9873 6.17104
2000 58.2984 63.9834 5.70159
2100 58.7662 63.9797 5.23386
2200 59.2314 63.9749 4.76863
2300 59.695 63.9697 4.30512
2400 60.1582 63.9644 3.84198
2500 60.6178 63.9594 3.38247
2600 61.0752 63.9549 2.92512
2700 61.5301 63.9516 2.47041
2800 61.9838 63.949 2.01685
2900 62.4362 63.946 1.56469
3000 62.8864 63.9425 1.1151
3100 63.3355 63.9387 0.667277
3200 63.7849 63.9346 0.224811
3300 64.2352 63.9299 0.245392
3400 64.6862 63.924 0.690358
3500 65.137 63.9167 1.14009
3600 65.5899 63.9092 1.59246
3700 66.0439 63.9013 2.04628
3800 66.4989 63.8935 2.50122
3900 66.9551 63.8859 2.95727
4000 67.412 63.8791 3.41412
4100 67.8716 63.8726 3.87365
4200 68.3341 63.8667 4.33616
4300 68.8017 63.8604 4.80368
4400 69.2766 63.8543 5.27856
4500 69.7624 63.8481 5.76444
4600 70.2625 63.842 6.26453
4700 70.7786 63.8355 6.78064
4800 71.3121 63.8287 7.31406
4900 71.8627 63.8217 7.86474
5000 72.4284 63.8139 8.43041
5100 73.007 63.8047 9.0091
5200 73.5947 63.7913 9.59697
5300 74.1901 63.7693 10.1927
5400 74.7934 63.7314 10.7967
5500 75.4064 63.6648 11.4113
5600 76.0322 63.5549 12.0405
5700 76.6776 63.3875 12.6924
5800 77.3495 63.155 13.3762
5900 78.0547 62.8643 14.1005
6000 78.7964 62.5474 14.8675
6100 79.5696 62.2664 15.6658
6200 80.3621 62.0775 16.4746
6300 81.155 62.0007 17.2711
6400 81.9238 62.0568 18.0288
6500 82.6496 62.2677 18.7299
6600 83.3173 62.5681 19.3703
6700 83.9249 62.8208 19.9597
6800 84.4752 62.9892 20.5001
6900 84.9737 63.0653 20.9945
7000 85.4068 63.0081 21.4298
7100 85.7585 62.8937 21.7866
7200 86.0172 62.79 22.0505
7300 86.0756 62.6741 22.1154
7400 85.7099 62.5163 21.7605
7500 84.8805 62.353 20.9453
7600 83.8563 62.2073 19.9371
7700 82.4716 62.1058 18.5684
7800 80.3414 62.0787 16.4539
7900 77.7988 62.1166 13.9267
8000 75.734 62.1695 11.8759
8100 74.0518 62.2551 10.2022
8200 72.3276 62.388 8.48221
8300 70.7876 62.5609 6.93851
8400 69.6884 62.7946 5.81472
8500 68.7763 63.0141 4.87698
8600 67.7991 63.2097 3.88041
8700 66.7255 63.4494 2.7806
8800 65.5591 63.7657 1.5766
8900 64.3179 64.0927 0.331179
9000 63.0414 64.3882 1.03423
9100 61.7738 64.6653 2.3235
9200 60.616 64.9115 3.50464
9300 59.6499 65.095 4.48581
9400 58.8516 65.2006 5.28651
9500 58.1455 65.2549 5.98752
9600 57.4991 65.2859 6.62689
9700 56.8662 65.316 7.25413
9800 56.1806 65.3534 7.93567
9900 55.4116 65.4128 8.7038
10000 54.6291 65.4902 9.48863
10100 53.9358 65.5874 10.1887
10200 53.4349 65.6844 10.6985
10300 53.1612 65.7773 10.9836
10400 53.145 65.8705 11.015
10500 53.3424 65.963 10.8369
10600 53.7052 66.0454 10.4961
10700 54.1378 66.1043 10.0842
10800 54.5741 66.1451 9.66693
10900 54.9705 66.1652 9.28549
11000 55.3108 66.1713 8.9564
11100 55.5772 66.1654 8.69668
11200 55.7893 66.1516 8.48797
11300 55.9583 66.1325 8.3196
11400 56.1093 66.1085 8.16757
11500 56.2365 66.0745 8.03588
11600 56.3571 66.0404 7.91061
11700 56.4777 66.0146 7.78741
11800 56.5986 66.0058 7.66835
11900 56.7196 66.0204 7.55549
12000 56.8506 66.0579 7.43966
12100 57.0063 66.1167 7.30698
12200 57.1898 66.1742 7.1488
12300 57.4071 66.2217 6.95721
12400 57.662 66.2465 6.72439
12500 57.9502 66.2457 6.45318
12600 58.255 66.2204 6.15915
12700 58.5586 66.1741 5.85966
12800 58.8395 66.1196 5.57887
12900 59.0781 66.0585 5.33499
13000 59.2593 65.9985 5.14469
13100 59.3712 65.9415 5.01952
13200 59.4155 65.8905 4.95904
13300 59.416 65.8447 4.94128
13400 59.3966 65.8038 4.94422
13500 59.3796 65.7661 4.94646
13600 59.394 65.7328 4.92113
13700 59.4646 65.6984 4.84302
13800 59.5863 65.6673 4.71816
13900 59.742 65.6385 4.56237
14000 59.9153 65.613 4.39165
14100 60.1053 65.5861 4.20526
14200 60.312 65.5587 4.00392
14300 60.5485 65.5287 3.77486
14400 60.8269 65.4904 3.50564
14500 61.1471 65.4426 3.19692
14600 61.4881 65.3862 2.869
14700 61.8308 65.3228 2.54072
14800 62.1634 65.2543 2.22403
14900 62.4926 65.1819 1.91556
15000 62.8445 65.1102 1.60238
15100 63.2452 65.039 1.28424
15200 63.7013 64.9708 1.01572
15300 64.1907 64.9042 0.924118
15400 64.6766 64.8445 1.08213
15500 65.1211 64.7914 1.37231
15600 65.4962 64.7473 1.67243
15700 65.7999 64.7112 1.93537
15800 66.0488 64.6805 2.15884
15900 66.2734 64.6527 2.36522
16000 66.5037 64.6215 2.57973
16100 66.7605 64.5875 2.82234
16200 67.0484 64.5493 3.09746
16300 67.3655 64.5047 3.40314
16400 67.7047 64.4581 3.73289
16500 68.0619 64.4066 4.0822
16600 68.4267 64.3578 4.44118
16700 68.7989 64.3063 4.80864
16800 69.1725 64.2531 5.17873
16900 69.5532 64.1966 5.55666
17000 69.9338 64.1408 5.93545
17100 70.3242 64.0848 6.32473
17200 70.7089 64.0294 6.70894
17300 71.0934 63.976 7.09349
17400 71.472 63.9307 7.47232
17500 71.8647 63.8929 7.86547
17600 72.2738 63.8626 8.27494
17700 72.7052 63.8351 8.70678
17800 73.1458 63.8066 9.14783
17900 73.5882 63.7773 9.59074
18000 74.0272 63.7435 10.0305
18100 74.4602 63.7044 10.4643
18200 74.8702 63.6541 10.8757
18300 75.2383 63.5922 11.2457
18400 75.5542 63.5104 11.5645
18500 75.8225 63.4034 11.8375
18600 76.0635 63.27 12.0856
18700 76.2964 63.1094 12.3286
18800 76.5275 62.9326 12.5729
18900 76.7717 62.7794 12.8299
19000 77.0519 62.6793 13.1186
19100 77.3712 62.6184 13.4424
19200 77.706 62.5953 13.7778
19300 78.0398 62.6186 14.1076
19400 78.3701 62.6224 14.436
19500 78.6921 62.552 14.7633
19600 78.9867 62.4237 15.0694
19700 79.2625 62.255 15.362
19800 79.5171 62.011 15.6441
19900 79.7514 61.7957 15.9049
20000 79.9778 61.6998 16.1425
20100 80.1658 61.7273 16.3248
20200 80.1979 61.8582 16.3389
20300 80.0981 62.0533 16.2154
20400 80.0468 62.243 16.1427
20500 79.7701 62.39 15.852
20600 78.9134 62.4631 14.9924
20700 77.7824 62.4274 13.8719
20800 76.8749 62.2974 12.987
20900 75.8783 62.1381 12.0234
21000 74.4215 61.9881 10.6139
21100 72.7683 61.8723 9.02279
21200 71.1 61.843 7.42041
21300 69.3326 61.8363 5.75483
21400 67.476 61.8144 4.10604
21500 65.6618 61.8148 2.74523
21600 64.0874 61.828 2.1738
21700 62.9051 61.8401 2.42155
21800 62.1401 61.8578 2.83695
21900 61.7741 61.8921 3.06566
