step,time,R_avg,R_std,norm,energy,max_density
0,0,0.968168,0.117788,1,2.44341,0.035367
10,0.1,0.968082,0.118042,0.999998,2.44422,0.0352888
20,0.2,0.968127,0.118,0.999995,2.4659,0.0351135
30,0.3,0.96824,0.117694,0.999992,2.47146,0.0348576
40,0.4,0.968168,0.117734,0.99999,2.48385,0.0345002
50,0.5,0.968019,0.118113,0.999988,2.50746,0.0339844
60,0.6,0.968191,0.11778,0.999987,2.52648,0.0332278
70,0.7,0.968083,0.117868,0.999986,2.5517,0.032156
80,0.8,0.968204,0.117594,0.999984,2.58087,0.0307461
90,0.9,0.968112,0.117857,0.99998,2.60728,0.0305403
100,1,0.968275,0.117561,0.999979,2.62709,0.030921
110,1.1,0.968148,0.117759,0.999976,2.65388,0.0309991
120,1.2,0.968133,0.118081,0.999974,2.68533,0.0307025
130,1.3,0.968304,0.117549,0.999971,2.70774,0.0299833
140,1.4,0.968137,0.117843,0.99997,2.72588,0.02882
150,1.5,0.9682,0.117746,0.999967,2.74793,0.0272325
160,1.6,0.968319,0.117338,0.999965,2.76326,0.0257891
170,1.7,0.9682,0.11764,0.999962,2.78021,0.0266832
180,1.8,0.968224,0.117536,0.999961,2.79397,0.0288111
190,1.9,0.968169,0.117803,0.999958,2.80629,0.0307856
200,2,0.968044,0.118072,0.999955,2.81948,0.0322843
210,2.1,0.96825,0.117522,0.999952,2.8306,0.033082
220,2.2,0.968169,0.117959,0.99995,2.8479,0.033099
230,2.3,0.968152,0.117769,0.999948,2.85456,0.032413
240,2.4,0.968256,0.117659,0.999946,2.86841,0.0312358
250,2.5,0.968141,0.117933,0.999944,2.88411,0.029806
260,2.6,0.96818,0.117803,0.999942,2.88698,0.0283754
270,2.7,0.968173,0.117834,0.99994,2.89394,0.027177
280,2.8,0.968207,0.117644,0.999939,2.90051,0.026344
290,2.9,0.968045,0.118004,0.999936,2.90815,0.0259442
300,3,0.968207,0.117517,0.999934,2.91499,0.0259226
310,3.1,0.96815,0.117938,0.99993,2.92382,0.0261226
