time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000001489,1.489028166e-06,2.448792348,0.06059369001,2.388198658,32.0200475,0,32.00004765,0,-4.807556183e-05,6.829020618e-18,-4.462742377e-05,1.06124228e-16,0.968811321,0.986384213,0.7547614574,0.0002705962236,1,0
0.01999999955,1.000001277,1.277326842e-06,2.447692274,0.06061439141,2.387077883,32.04003959,0,32.00004084,0,-9.438191045e-05,1.647080761e-18,-8.796099862e-05,1.15658279e-16,0.96880231,0.9855585098,0.7547614574,0.0002737800984,1,0
0.03999999911,1.000001073,1.073094493e-06,2.446200868,0.06065084139,2.385550026,32.06002992,0,32.00003434,0,-0.0001463734019,-1.089699378e-18,-0.0001350581162,5.422181577e-17,0.9687742022,0.9855585098,0.7547472119,0.0002794832868,1,0
0.05999999866,1.000000869,8.689855882e-07,2.448052045,0.06069984752,2.387352197,32.08001723,0,32.00002784,0,-0.000199991384,2.653750765e-18,-0.0001819061229,-5.609375555e-17,0.9687510815,0.9855585098,0.7547614574,0.0002840955499,1,0
0.07999999821,1.000000659,6.589602577e-07,2.448484637,0.06076202728,2.38772261,32.10000031,0,32.00002112,0,-0.0002553667845,6.546621374e-20,-0.0002279145568,1.320822421e-16,0.9687735293,0.9855585098,0.7536726594,0.0002791989479,1,0
0.09999999404,1.000000485,4.852459476e-07,2.447723999,0.06083948442,2.386884514,32.11997956,0,32.00001557,0,-0.0003127555891,-9.451978443e-19,-0.0002720536718,3.6662524e-17,0.9688065449,0.9869937897,0.7536726594,0.0002720124799,1,0
0.1199999973,1.000000349,3.486914073e-07,2.448785679,0.06092859815,2.387857081,32.13995396,0,32.0000112,0,-0.0003717050653,1.721339274e-18,-0.0003178436679,-3.155132593e-18,0.9688086406,0.9869937897,0.7536726594,0.0002681595018,1,0
0.1400000006,1.0000002,2.004401256e-07,2.456717492,0.06100948662,2.395708005,32.15992091,0,32.00000643,0,-0.0004148660968,1.716181555e-18,-0.0003579153326,2.032684398e-16,0.9688533966,0.9870479703,0.7551433444,0.0002631247341,1,0
0.1599999964,1.000000052,5.153135674e-08,2.448750958,0.06112311722,2.387627841,32.17987975,0,32.00000163,0,-0.0004773787326,4.085593864e-19,-0.00040447766,7.190464861e-17,0.968806208,0.986384213,0.754701674,0.0002730063345,1,0
0.1799999923,0.9999998522,-1.477535777e-07,2.4476882,0.06125423306,2.386433967,32.19982795,0,31.99999526,0,-0.000542089935,1.893542149e-18,-0.0004498252225,-2.98181756e-17,0.9687887243,0.986384213,0.7547614574,0.0002797107078,1,0
