time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835490453,0.9999580383,0,0.007373334467,0,0
0.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835784636,0.9999580383,0,0.007322206592,0,0
1,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835961191,0.9999580383,0,0.007310537208,0,0
1.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835675723,0.9999580383,0,0.007320270625,0,0
2,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835793394,0.9999580383,0,0.007326190408,0,0
2.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835743432,0.9999580383,0,0.007322785349,0,0
3,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835628671,0.9999580383,0,0.007316236375,0,0
3.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835857865,0.9999580383,0,0.007320446469,0,0
4,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9835351685,0.9999580383,0,0.007331640702,0,0
4.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9836127581,0.9999580383,0.3240173459,0.007278366684,0,0
5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9836722472,0.9999580383,0.3240173459,0.007239826035,0,0
5.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9836641304,0.9999580383,0.3240173459,0.007263471781,0,0
6,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9836052212,0.9999580383,0.3240173459,0.007284987895,0,0
6.5,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9831577978,0.9999580383,0,0.007802043101,0,0
7,1,0,0.06556841081,0,0,0,0,0,0,0,0,0,0,0.9836463468,0.9999580383,0.3240173459,0.007244652114,0,0
