time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997891298,1,0,0.0001244885664,0,0
0.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.999809641,1,0,0.0001237320117,0,0
1,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9998447706,1,0,6.371598886e-05,0,0
1.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9998128236,1,0.953517437,8.381440548e-06,0,0
2,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9998386054,1,0.953517437,6.731592009e-06,0,0
2.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9999144646,1,0.953517437,2.226277054e-06,0,0
3,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997928265,1,0.953517437,7.922971304e-06,0,0
3.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997577018,1,0.953517437,1.007353839e-05,0,0
4,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997658342,1,0.9535173774,9.866778422e-06,0,0
4.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9992252536,1,0,0.0006303035727,0,0
5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997583865,1,0.9535173774,9.972108156e-06,0,0
5.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997703181,1,0.9535173774,9.29614279e-06,0,0
6,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997542221,1,0.9535173774,1.014643781e-05,0,0
6.5,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997687345,1,0.9535173774,9.513371748e-06,0,0
7,1,0,0.710240289,0,0,0,0,0,0,0,0,0,0,0.9997557904,1,0.9535173774,1.018997896e-05,0,0
