time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000000862,8.624361345e-07,1.690294105,0.710240102,0.9800540032,64.01005512,0,64.0000552,0,0.8166436538,-1.228584278e-18,-1.578205292e-07,2.547432911e-17,0.9996173404,1,0,0.0001362086894,1,0
0.5,0.9999884017,-1.159825396e-05,1.710058522,0.7101866171,0.9998719051,64.50641708,0,63.99925558,0,0.8165942715,5.149392424e-19,-4.620835008e-05,1.099195395e-16,0.9997433145,1,0.953517437,1.093009407e-05,1,0
1,0.9999756203,-2.437972519e-05,1.709225348,0.7101233146,0.9991020339,64.98974562,0,63.99842041,0,0.8165314804,-2.775260716e-19,-7.602183943e-05,-1.227909907e-16,0.9998154093,1,0.953517437,8.047339888e-06,1,0
1.5,0.9999628496,-3.715042305e-05,1.709085849,0.7100412278,0.999044621,65.45981174,0,63.99756061,0,0.8164683766,8.692668189e-20,-8.94037933e-05,-1.101880922e-16,0.999781421,1,0.9534030557,9.666785685e-06,1,0
2,0.9999497925,-5.020752087e-05,1.709163704,0.7099498713,0.9992138329,65.92787068,0,63.99666415,0,0.8164066835,5.825100547e-20,-9.567238969e-05,-7.193041931e-17,0.9997931934,1,0.953517437,9.103054401e-06,1,0
2.5,0.9999367341,-6.326591608e-05,1.709041274,0.7098441043,0.9991971699,66.40484565,0,63.99576603,0,0.8163366971,2.020240303e-19,-9.979285171e-05,-9.472528748e-17,0.9997565788,1,0.953517437,1.061381234e-05,1,0
3,0.9999235325,-7.646752737e-05,1.709080967,0.7097210873,0.9993598793,66.89172524,0,63.99486556,0,0.8162533322,-3.66832566e-19,-0.0001105338086,3.094820203e-17,0.999787784,1,0.953517437,9.41322578e-06,1,0
3.5,0.9999103184,-8.968162786e-05,1.708484019,0.7095984841,0.9988855348,67.38124261,0,63.99396632,0,0.8161697893,-6.385002899e-19,-0.0001227507539,3.567788355e-16,0.9997251489,1,0.953517437,1.15673297e-05,1,0
4,0.9998967685,-0.0001032314872,1.709392345,0.7094961529,0.9998961925,67.86639723,0,63.99303927,0,0.8160998926,-3.63699706e-19,-0.0001253894588,6.480476159e-17,0.9997736055,1,0.9534030557,1.006510943e-05,1,0
4.5,0.9998828868,-0.0001171132162,1.708860187,0.7094027887,0.9994573983,68.34615465,0,63.99208478,0,0.8160372024,4.471208947e-19,-0.0001292116281,2.754052239e-17,0.9997436413,1,0.953517437,1.08604581e-05,1,0
5,0.9998686688,-0.0001313311863,1.708993388,0.7093119315,0.9996814569,68.82398581,0,63.99110573,0,0.8159766294,1.979015065e-19,-0.0001335456409,9.164803677e-19,0.9998042916,1,0.953517437,8.473520673e-06,1,0
5.5,0.9998545626,-0.0001454373655,1.708894881,0.7092383516,0.9996565296,69.30324943,0,63.99013311,0,0.8159269038,7.805744926e-19,-0.000136455915,1.146459462e-16,0.9997368961,1,0.953517437,1.101311e-05,1,0
6,0.9998402371,-0.0001597629102,1.708922654,0.7091789694,0.9997436849,69.78456946,0,63.98914507,0,0.8158859652,8.035213905e-19,-0.0001387110614,-1.939072364e-16,0.9997316572,1,0.8486856222,1.224038195e-05,1,0
6.5,0.9998258258,-0.0001741741763,1.708893085,0.7091382796,0.9997548057,70.26673991,0,63.98815128,0,0.8158562991,-1.78843678e-18,-0.0001395901338,7.824455448e-17,0.9997889335,1,0.953517437,9.434243001e-06,1,0
7,0.9998110892,-0.0001889107962,1.708849446,0.7091039301,0.9997455162,70.74856414,0,63.98713547,0,0.8158303414,-1.278270494e-19,-0.0001404330436,2.592555042e-16,0.9997377449,1,0.953517437,1.110954981e-05,1,0
7.5,0.9997965713,-0.0002034286779,1.708820976,0.7090788893,0.9997420865,71.22980671,0,63.98613371,0,0.8158099985,-8.222728143e-19,-0.0001411892847,-1.874506193e-17,0.9997138842,1,0.7790475488,1.491182582e-05,1,0
8,0.9997819063,-0.0002180936625,1.708800162,0.709063971,0.9997361907,71.71075028,0,63.98512198,0,0.8157956022,-7.474484062e-20,-0.000141760929,-1.225266916e-16,0.9997371353,1,0.953517437,1.110866393e-05,1,0
8.5,0.9997668033,-0.0002331966553,1.708777258,0.7090539272,0.9997233304,72.19168346,0,63.98408226,0,0.8157839427,1.411090149e-18,-0.0001422290304,2.021812075e-16,0.9997230898,1,0.953517437,1.17640809e-05,1,0
9,0.9997518381,-0.0002481618861,1.708800441,0.7090542147,0.9997462265,72.67272913,0,63.98305089,0,0.8157784989,2.275221683e-19,-0.0001429950969,-3.3771681e-17,0.9998071544,1,0.953517437,8.194938244e-06,1,0
9.5,0.9997369652,-0.0002630347833,1.70874914,0.7090588096,0.9996903305,73.15382833,0,63.98202544,0,0.8157758347,-1.477935048e-18,-0.0001435522552,-3.509789318e-17,0.999758527,1,0.953517437,1.067186877e-05,1,0
10,0.9997221272,-0.0002778728215,1.708690691,0.7090786131,0.9996120777,73.63491646,0,63.98100125,0,0.8157821292,-4.790117953e-19,-0.0001442007583,-2.109659439e-17,0.9997815058,1,0.953517437,9.313071287e-06,1,0
10.5,0.9997069718,-0.0002930281571,1.708548791,0.7091111707,0.99943762,74.11595033,0,63.9799563,0,0.8157964787,-5.013462159e-19,-0.0001456960614,-1.594435839e-17,0.9997619388,1,0.9535173774,1.061095546e-05,1,0
11,0.9996918594,-0.0003081405975,1.708691377,0.7091329353,0.9995584418,74.5969653,0,63.97891378,0,0.8158054934,1.033146155e-18,-0.0001460437067,1.041181075e-16,0.9997736188,1,0.953517437,9.928007313e-06,1,0
11.5,0.9996765568,-0.0003234431673,1.708546988,0.7091739589,0.9993730289,75.07795227,0,63.97785943,0,0.8158271507,-1.113587845e-18,-0.0001487882258,-4.272854767e-17,0.9997359682,1,0.953517437,1.119350367e-05,1,0
12,0.9996616282,-0.0003383718158,1.708488181,0.7092240007,0.9992641805,75.55895762,0,63.97682832,0,0.8158551207,1.10110606e-18,-0.0001523019687,1.509459442e-16,0.9997486547,1,0.953517437,1.060739154e-05,1,0
12.5,0.9996464566,-0.0003535433843,1.708624141,0.7092782049,0.9993459356,76.03993157,0,63.97577979,0,0.8158869756,4.751434931e-19,-0.0001560926045,2.452203214e-17,0.9997875373,1,0.953517437,9.604254023e-06,1,0
13,0.999631615,-0.0003683849597,1.708530902,0.7093349618,0.9991959398,76.52091742,0,63.97474962,0,0.8159224162,-3.079533886e-19,-0.0001609955999,-1.375210224e-16,0.999786997,1,0.9534030557,9.480489093e-06,1,0
13.5,0.9996165045,-0.0003834954714,1.708149789,0.7093997649,0.9987500236,77.00187069,0,63.97369965,0,0.815965549,-5.400417175e-20,-0.000167705558,-4.765891552e-17,0.9997320118,1,0.953517437,1.179269107e-05,1,0
14,0.9996015152,-0.0003984847624,1.707458489,0.7094671592,0.9979913298,77.48282325,0,63.97265534,0,0.8160103956,7.308655826e-19,-0.0001776338234,-9.72605897e-17,0.9997246592,1,0.953517437,1.225859949e-05,1,0
14.5,0.9995865422,-0.0004134578287,1.707985136,0.7095167374,0.9984683981,77.96376731,0,63.97160813,0,0.8160437316,-2.712991888e-19,-0.0001869579351,9.808432074e-17,0.99972423,1,0.953517437,1.230631985e-05,1,0
15,0.99957176,-0.000428240034,1.708327472,0.7095467093,0.9987807625,78.4447197,0,63.97056718,0,0.8160695698,1.47868409e-18,-0.0001955475672,-7.607193201e-17,0.9997142972,1,0.953517437,1.281523453e-05,1,0
15.5,0.9995570682,-0.0004429317522,1.707828326,0.7095564693,0.9982718563,78.92567065,0,63.96952625,0,0.8160848387,3.17208723e-19,-0.0002040819362,7.150814931e-17,0.9997269282,1,0.9531846642,1.202751342e-05,1,0
16,0.9995422867,-0.0004577132921,1.708341294,0.7095409272,0.9988003672,79.40660259,0,63.96847544,0,0.8160825353,-4.307006923e-19,-0.000216857561,3.34620325e-17,0.9997111732,1,0.953517437,1.293950451e-05,1,0
16.5,0.9995275824,-0.0004724176365,1.708074611,0.7095009578,0.9985736528,79.88752854,0,63.96742642,0,0.8160607448,-5.748663549e-19,-0.0002283101246,1.82886548e-17,0.9997088356,1,0.953517437,1.297576431e-05,1,0
17,0.9995127043,-0.0004872956851,1.707744481,0.709444759,0.9982997223,80.36843037,0,63.96636068,0,0.8160292269,1.412193987e-19,-0.0002338172837,1.517208971e-16,0.9997343351,1,0.953517437,1.183832567e-05,1,0
17.5,0.9994976676,-0.0005023324153,1.708273327,0.7093698983,0.9989034292,80.84931075,0,63.96527838,0,0.8159896824,7.494075242e-20,-0.0002405972169,-1.138145174e-16,0.9997076368,1,0.953517437,1.306235938e-05,1,0
18,0.9994826341,-0.0005173659148,1.708212468,0.7092701262,0.9989423422,81.33018311,0,63.96419279,0,0.8159335164,7.010911615e-19,-0.0002483424991,3.539282548e-17,0.9997130986,1,0.953517437,1.277770039e-05,1,0
18.5,0.9994677247,-0.0005322753378,1.708446276,0.7091697159,0.9992765603,81.81105301,0,63.9631128,0,0.8158730654,3.465318048e-19,-0.0002547735354,1.063889372e-16,0.9999508894,1,0.953517437,1.706827468e-06,1,0
19,0.9994528156,-0.0005471844159,1.70814553,0.7090630494,0.999082481,82.29190832,0,63.96203016,0,0.8158092116,-1.263592703e-21,-0.0002567627439,-2.380927907e-17,0.9997826006,1,0.9534030557,9.647893201e-06,1,0
19.5,0.999437449,-0.0005625509673,1.708063731,0.7089609327,0.999102798,82.77271388,0,63.9609158,0,0.8157452438,-8.144209162e-19,-0.0002592507215,-1.488778043e-17,0.9998096171,1,0.953517437,8.015200588e-06,1,0
20,0.9994222361,-0.0005777638974,1.708004696,0.7088577482,0.9991469475,83.25352045,0,63.95981019,0,0.8156784879,4.61581516e-20,-0.0002627925371,1.275140645e-17,0.9997289074,1,0.953517437,1.201965764e-05,1,0
20.5,0.9994067873,-0.0005932126676,1.707830509,0.7087767912,0.9990537183,83.73429398,0,63.9586872,0,0.815626125,2.480214443e-19,-0.0002643340844,-5.79299811e-17,0.9997293491,1,0.953517437,1.192094503e-05,1,0
21,0.9993915599,-0.0006084401263,1.707958939,0.7087175436,0.9992413953,84.21507204,0,63.95757697,0,0.815587156,-3.26444344e-19,-0.0002649803586,7.8904e-17,0.9997182366,1,0.953517437,1.242533087e-05,1,0
