x,y,theta
0,0,3.88214e-21
1,0,5.34476e-21
2,0,5.78374e-21
3,0,8.72386e-22
4,0,1.84859e-21
5,0,9.13364e-22
6,0,2.63157e-22
7,0,3.15141e-22
8,0,1.02042e-21
9,0,2.30866e-21
10,0,3.47778e-21
11,0,1.28508e-21
12,0,2.17931e-21
13,0,2.34211e-21
14,0,1.72997e-21
15,0,7.95323e-22
16,0,5.38565e-23
17,0,1.77594e-22
18,0,8.19902e-22
19,0,6.7471e-22
20,0,2.6845e-21
21,0,2.85214e-21
22,0,1.81381e-21
23,0,2.48253e-21
24,0,3.24276e-21
25,0,2.27587e-21
26,0,6.47931e-22
27,0,1.24938e-21
28,0,3.85465e-21
29,0,6.53989e-22
30,0,2.71076e-21
31,0,5.78193e-21
32,0,5.40522e-22
33,0,3.1498e-21
34,0,3.11003e-21
35,0,1.63409e-21
36,0,1.65865e-21
37,0,1.613e-21
38,0,1.07605e-21
39,0,6.72994e-22
40,0,8.73789e-22
41,0,1.04087e-21
42,0,3.0847e-22
43,0,9.49668e-22
44,0,7.63514e-22
45,0,7.21046e-22
46,0,5.18575e-22
47,0,3.66645e-21
48,0,6.48276e-22
49,0,3.17904e-21
50,0,1.08055e-21
51,0,2.08288e-21
52,0,7.23366e-22
53,0,3.48321e-21
54,0,4.77727e-22
55,0,1.51788e-21
56,0,1.35687e-21
57,0,3.90313e-21
58,0,3.46945e-21
59,0,8.67362e-22
60,0,3.46945e-20
61,0,8.67362e-22
62,0,3.1225e-20
63,0,1.73472e-20
64,0,1.10426e-19
65,0,1.38778e-20
66,0,4.16334e-20
67,0,0
68,0,1.73472e-20
69,0,2.71051e-22
70,0,1.95156e-21
71,0,1.73472e-21
72,0,3.07579e-21
73,0,2.11419e-21
74,0,4.91279e-22
75,0,3.29326e-21
76,0,5.60736e-22
77,0,2.04049e-21
78,0,1.16479e-21
79,0,3.40683e-21
80,0,7.4421e-22
81,0,3.8204e-21
82,0,5.80676e-22
83,0,7.98894e-22
84,0,7.00998e-22
85,0,1.05184e-21
86,0,3.24118e-22
87,0,1.04622e-21
88,0,8.49063e-22
89,0,6.47274e-22
90,0,9.90132e-22
91,0,1.57559e-21
92,0,1.60369e-21
93,0,1.6928e-21
94,0,3.01668e-21
95,0,3.26815e-21
96,0,5.86504e-22
97,0,5.84137e-21
98,0,2.73453e-21
99,0,7.39922e-22
100,0,3.80167e-21
101,0,1.32763e-21
102,0,5.7081e-22
103,0,2.23422e-21
104,0,3.17932e-21
105,0,2.44615e-21
106,0,1.774e-21
107,0,2.76428e-21
108,0,2.66255e-21
109,0,6.58801e-22
110,0,8.48219e-22
111,0,1.89411e-22
112,0,5.7046e-23
113,0,7.80756e-22
114,0,1.79803e-21
115,0,2.40239e-21
116,0,2.13877e-21
117,0,1.34552e-21
118,0,3.45748e-21
119,0,2.32083e-21
120,0,1.06315e-21
121,0,2.40634e-22
122,0,3.09129e-22
123,0,8.59448e-22
124,0,1.7523e-21
125,0,7.29832e-22
126,0,5.67093e-21
127,0,5.09639e-21
0,1,4.59317e-21
1,1,6.37046e-21
2,1,6.87389e-21
3,1,6.98545e-22
4,1,2.2545e-21
5,1,1.49726e-21
6,1,6.84219e-22
7,1,7.15869e-22
8,1,1.61551e-22
9,1,4.98735e-22
10,1,3.09822e-22
11,1,5.31005e-22
12,1,5.56813e-22
13,1,2.0122e-22
14,1,6.80152e-22
15,1,2.61408e-21
16,1,1.8083e-21
17,1,3.10411e-21
18,1,3.32078e-21
19,1,3.05156e-21
20,1,4.84365e-21
21,1,5.45375e-21
22,1,3.52809e-21
23,1,4.65353e-21
24,1,4.9446e-21
25,1,5.67727e-21
26,1,1.4002e-21
27,1,4.57788e-21
28,1,7.86645e-21
29,1,3.4242e-21
30,1,6.31086e-21
31,1,1.04896e-20
32,1,8.50046e-22
33,1,6.40696e-21
34,1,5.50672e-21
35,1,7.68116e-22
36,1,1.96505e-21
37,1,2.09733e-21
38,1,1.18993e-21
39,1,9.12763e-22
40,1,1.04915e-21
41,1,2.342e-21
42,1,1.24903e-21
43,1,2.30152e-21
44,1,2.12867e-21
45,1,1.89509e-21
46,1,2.07698e-21
47,1,4.12274e-21
48,1,1.78972e-21
49,1,4.32566e-21
50,1,2.22753e-21
51,1,3.05176e-21
52,1,1.71778e-21
53,1,5.54625e-21
54,1,1.25436e-21
55,1,1.52282e-21
56,1,1.82953e-21
57,1,3.29952e-21
58,1,1.19213e-20
59,1,6.62778e-21
60,1,4.35262e-20
61,1,1.19046e-21
62,1,2.60702e-21
63,1,2.50284e-20
64,1,6.37171e-20
65,1,1.14213e-19
66,1,2.06359e-20
67,1,2.86302e-22
68,1,2.09101e-20
69,1,8.92453e-22
70,1,3.13309e-21
71,1,5.41638e-21
72,1,5.86982e-22
73,1,1.51163e-21
74,1,1.30201e-21
75,1,5.48906e-21
76,1,1.54634e-21
77,1,2.91883e-21
78,1,1.57191e-21
79,1,3.56722e-21
80,1,1.14291e-21
81,1,3.86584e-21
82,1,1.35431e-21
83,1,1.484e-21
84,1,1.69057e-21
85,1,2.28426e-21
86,1,1.10898e-21
87,1,2.54108e-21
88,1,1.0877e-21
89,1,9.94406e-22
90,1,1.6128e-21
91,1,2.29888e-21
92,1,1.97153e-21
93,1,9.20791e-22
94,1,7.58414e-21
95,1,5.65045e-21
96,1,1.13474e-21
97,1,1.0038e-20
98,1,7.05652e-21
99,1,2.78878e-21
100,1,8.12298e-21
101,1,3.31282e-21
102,1,1.30841e-21
103,1,4.27405e-21
104,1,4.98592e-21
105,1,3.43791e-21
106,1,3.04637e-21
107,1,4.52538e-21
108,1,4.82811e-21
109,1,2.64003e-21
110,1,3.23653e-21
111,1,3.19946e-21
112,1,2.01664e-21
113,1,2.25251e-21
114,1,1.05207e-21
115,1,1.81819e-22
116,1,3.82344e-22
117,1,4.81545e-22
118,1,3.51322e-22
119,1,4.62275e-22
120,1,2.02609e-22
121,1,4.7444e-22
122,1,9.91662e-22
123,1,1.10093e-21
124,1,2.66855e-21
125,1,7.47593e-22
126,1,6.32106e-21
127,1,6.8229e-21
