x,y,R
0,0,0.372789
1,0,0.731814
2,0,0.683808
3,0,0.626577
4,0,0.560165
5,0,0.486926
6,0,0.413777
7,0,0.35509
8,0,0.331617
9,0,0.35509
10,0,0.413777
11,0,0.486926
12,0,0.560165
13,0,0.626577
14,0,0.683808
15,0,0.507577
0,1,0.731814
1,1,0.99662
2,1,0.996104
3,1,0.99552
4,1,0.994882
5,1,0.994226
6,1,0.993625
7,1,0.993189
8,1,0.993027
9,1,0.993189
10,1,0.993625
11,1,0.994226
12,1,0.994882
13,1,0.99552
14,1,0.996104
15,1,0.733252
0,2,0.683808
1,2,0.996104
2,2,0.995409
3,2,0.994584
4,2,0.99363
5,2,0.992582
6,2,0.991547
7,2,0.99074
8,2,0.990428
9,2,0.99074
10,2,0.991547
11,2,0.992582
12,2,0.99363
13,2,0.994584
14,2,0.995409
15,2,0.685479
0,3,0.626577
1,3,0.99552
2,3,0.994584
3,3,0.993413
4,3,0.991969
5,3,0.990248
6,3,0.988359
7,3,0.986713
8,3,0.986026
9,3,0.986713
10,3,0.98836
11,3,0.990248
12,3,0.991969
13,3,0.993413
14,3,0.994584
15,3,0.628382
0,4,0.560165
1,4,0.994882
2,4,0.99363
3,4,0.991969
4,4,0.989772
5,4,0.986894
6,4,0.983259
7,4,0.979457
8,4,0.977646
9,4,0.979457
10,4,0.98326
11,4,0.986894
12,4,0.989772
13,4,0.991969
14,4,0.99363
15,4,0.561866
0,5,0.486926
1,5,0.994226
2,5,0.992582
3,5,0.990248
4,5,0.986894
5,5,0.982047
6,5,0.974859
7,5,0.964676
8,5,0.958509
9,5,0.964718
10,5,0.974866
11,5,0.982047
12,5,0.986894
13,5,0.990248
14,5,0.992582
15,5,0.488108
0,6,0.413777
1,6,0.993625
2,6,0.991547
3,6,0.98836
4,6,0.98326
5,6,0.97487
6,6,0.960816
7,6,0.927376
8,6,0.900627
9,6,0.931396
10,6,0.960824
11,6,0.974863
12,6,0.983259
13,6,0.98836
14,6,0.991547
15,6,0.413919
0,7,0.35509
1,7,0.993189
2,7,0.99074
3,7,0.986713
4,7,0.979456
5,7,0.964632
6,7,0.923689
7,7,0.661262
8,7,0.580248
9,7,0.833758
10,7,0.929487
11,7,0.964697
12,7,0.979457
13,7,0.986713
14,7,0.99074
15,7,0.35393
0,8,0.331617
1,8,0.993027
2,8,0.990428
3,8,0.986026
4,8,0.977645
5,8,0.958452
6,8,0.897502
7,8,0.453872
8,8,0.125458
9,8,0.70057
10,8,0.900734
11,8,0.958509
12,8,0.977646
13,8,0.986026
14,8,0.990428
15,8,0.329792
0,9,0.35509
1,9,0.993189
2,9,0.99074
3,9,0.986713
4,9,0.979458
5,9,0.964738
6,9,0.933101
7,9,0.67835
8,9,0.6011
9,9,0.833758
10,9,0.929487
11,9,0.964697
12,9,0.979457
13,9,0.986713
14,9,0.99074
15,9,0.35393
0,10,0.413777
1,10,0.993625
2,10,0.991547
3,10,0.98836
4,10,0.98326
5,10,0.97487
6,10,0.960816
7,10,0.927376
8,10,0.900627
9,10,0.931396
10,10,0.960824
11,10,0.974863
12,10,0.983259
13,10,0.98836
14,10,0.991547
15,10,0.413919
0,11,0.486926
1,11,0.994226
2,11,0.992582
3,11,0.990248
4,11,0.986894
5,11,0.982047
6,11,0.974859
7,11,0.964676
8,11,0.958509
9,11,0.964718
10,11,0.974866
11,11,0.982047
12,11,0.986894
13,11,0.990248
14,11,0.992582
15,11,0.488108
0,12,0.560165
1,12,0.994882
2,12,0.99363
3,12,0.991969
4,12,0.989772
5,12,0.986894
6,12,0.983259
7,12,0.979457
8,12,0.977646
9,12,0.979457
10,12,0.98326
11,12,0.986894
12,12,0.989772
13,12,0.991969
14,12,0.99363
15,12,0.561866
0,13,0.626577
1,13,0.99552
2,13,0.994584
3,13,0.993413
4,13,0.991969
5,13,0.990248
6,13,0.988359
7,13,0.986713
8,13,0.986026
9,13,0.986713
10,13,0.98836
11,13,0.990248
12,13,0.991969
13,13,0.993413
14,13,0.994584
15,13,0.628382
0,14,0.683808
1,14,0.996104
2,14,0.995409
3,14,0.994584
4,14,0.99363
5,14,0.992582
6,14,0.991547
7,14,0.99074
8,14,0.990428
9,14,0.99074
10,14,0.991547
11,14,0.992582
12,14,0.99363
13,14,0.994584
14,14,0.995409
15,14,0.685479
0,15,0.350554
1,15,0.733252
2,15,0.685478
3,15,0.628382
4,15,0.561866
5,15,0.488107
6,15,0.413919
7,15,0.35393
8,15,0.329792
9,15,0.35393
10,15,0.413919
11,15,0.488108
12,15,0.561866
13,15,0.628382
14,15,0.685479
15,15,0.482587
