time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000000874,8.737723705e-07,1.153975541,0.1549780634,0.9989974776,64.01005597,0,64.00005593,0,0.3041273055,-3.387835319e-19,-2.562555132e-10,-4.509022823e-17,0.9997551198,1,0.953517437,1.011388319e-05,1,0
0.09999999404,0.9999981502,-1.849790507e-06,1.153853696,0.1549772008,0.998876495,64.10985136,0,63.99988164,0,0.3041248646,-1.519746855e-18,-1.563114854e-06,-1.287865337e-16,0.9997574212,1,0.953517437,9.842064124e-06,1,0
0.1999999881,0.9999954741,-4.52588726e-06,1.153855549,0.1549762396,0.9988793096,64.20950018,0,63.99971026,0,0.3041206997,-8.522407476e-19,-3.41876524e-06,-1.546960114e-16,0.9997567389,1,0.953517437,9.910776248e-06,1,0
0.2999999821,0.9999928102,-7.189816778e-06,1.153979413,0.1549753167,0.999004096,64.30886663,0,63.99953967,0,0.3041151696,3.327749056e-20,-5.411250725e-06,1.735941854e-17,0.9997560739,1,0.953517437,1.009940592e-05,1,0
0.3999999762,0.9999901894,-9.810592149e-06,1.153642521,0.1549736503,0.9986688705,64.40782146,0,63.99937182,0,0.3041069862,-1.075791355e-18,-9.233718758e-06,1.395198089e-16,0.9997491397,1,0.953517437,1.024333024e-05,1,0
0.5,0.9999876402,-1.235975901e-05,1.153993674,0.154971337,0.9990223373,64.506239,0,63.99920858,0,0.3040964722,-1.274322209e-18,-1.4307987e-05,1.021056162e-16,0.9997439963,1,0.953517437,1.050898666e-05,1,0
0.5999999642,0.9999850329,-1.496711655e-05,1.154003616,0.1549687249,0.9990348907,64.60398884,0,63.99904162,0,0.3040846209,5.343726538e-19,-1.923971276e-05,6.656735251e-17,0.9997446327,1,0.953517437,1.058496784e-05,1,0
0.6999999881,0.9999825343,-1.746574554e-05,1.153686698,0.1549652112,0.9987214871,64.70096514,0,63.99888159,0,0.3040708874,1.122860476e-18,-2.389433096e-05,1.638865782e-16,0.9997461293,1,0.953517437,1.043736307e-05,1,0
0.7999999523,0.9999799112,-2.0088775e-05,1.153867906,0.1549609676,0.9989069384,64.79704402,0,63.99871373,0,0.3040577583,-5.189017898e-19,-2.658499385e-05,5.620814912e-17,0.9997506003,1,0.953517437,1.015685221e-05,1,0
0.8999999762,0.9999771797,-2.282034188e-05,1.154039192,0.1549558152,0.9990833768,64.89212526,0,63.99853864,0,0.3040426268,-1.589964479e-18,-3.06391584e-05,-8.103213686e-17,0.9997486322,1,0.953517437,1.034918596e-05,1,0
1,0.999974568,-2.543203896e-05,1.154053232,0.1549507147,0.9991025174,64.98613079,0,63.99837095,0,0.3040294024,1.151722574e-18,-3.269406492e-05,-2.36814851e-16,0.9997508135,1,0.953517437,1.033401562e-05,1,0
1.100000024,0.9999719956,-2.800435529e-05,1.154067434,0.1549447809,0.9991226531,65.07897261,0,63.99820559,0,0.3040152273,2.404239927e-18,-3.515331316e-05,-6.37279799e-18,0.9997476286,1,0.953517437,1.042103333e-05,1,0
1.199999928,0.9999694294,-3.057059726e-05,1.153514981,0.1549365491,0.9985784314,65.17057609,0,63.99804043,0,0.3039985801,2.07644071e-18,-3.961288063e-05,-1.272636299e-16,0.999742941,1,0.953517437,1.068212853e-05,1,0
