x,y,theta
0,0,8.03246e-12
1,0,0.1
2,0,0.2
3,0,0.3
4,0,0.4
5,0,0.5
6,0,0.6
7,0,0.7
8,0,0.8
9,0,0.9
10,0,1
11,0,1.1
12,0,1.2
13,0,1.3
14,0,1.4
15,0,1.5
16,0,1.6
17,0,1.7
18,0,1.8
19,0,1.9
20,0,2
21,0,2.1
22,0,2.2
23,0,2.3
24,0,2.4
25,0,2.5
26,0,2.6
27,0,2.7
28,0,2.8
29,0,2.9
30,0,3
31,0,3.1
32,0,3.2
33,0,3.3
34,0,3.4
35,0,3.5
36,0,3.6
37,0,3.7
38,0,3.8
39,0,3.9
40,0,4
41,0,4.1
42,0,4.2
43,0,4.3
44,0,4.4
45,0,4.5
46,0,4.6
47,0,4.7
48,0,4.8
49,0,4.9
50,0,5
51,0,5.1
52,0,5.2
53,0,5.3
54,0,5.4
55,0,5.5
56,0,5.6
57,0,5.7
58,0,5.8
59,0,5.9
60,0,6
61,0,6.1
62,0,6.2
63,0,6.3
64,0,6.4
65,0,6.5
66,0,6.6
67,0,6.7
68,0,6.8
69,0,6.9
70,0,7
71,0,7.1
72,0,7.2
73,0,7.3
74,0,7.4
75,0,7.5
76,0,7.6
77,0,7.7
78,0,7.8
79,0,7.9
80,0,8
81,0,8.1
82,0,8.2
83,0,8.3
84,0,8.4
85,0,8.5
86,0,8.6
87,0,8.7
88,0,8.8
89,0,8.9
90,0,9
91,0,9.1
92,0,9.2
93,0,9.3
94,0,9.4
95,0,9.5
96,0,9.6
97,0,9.7
98,0,9.8
99,0,9.9
100,0,10
101,0,10.1
102,0,10.2
103,0,10.3
104,0,10.4
105,0,10.5
106,0,10.6
107,0,10.7
108,0,10.8
109,0,10.9
110,0,11
111,0,11.1
112,0,11.2
113,0,11.3
114,0,11.4
115,0,11.5
116,0,11.6
117,0,11.7
118,0,11.8
119,0,11.9
120,0,12
121,0,12.1
122,0,12.2
123,0,12.3
124,0,12.4
125,0,12.5
126,0,12.6
127,0,12.7
0,1,7.56359e-12
1,1,0.1
2,1,0.2
3,1,0.3
4,1,0.4
5,1,0.5
6,1,0.6
7,1,0.7
8,1,0.8
9,1,0.9
10,1,1
11,1,1.1
12,1,1.2
13,1,1.3
14,1,1.4
15,1,1.5
16,1,1.6
17,1,1.7
18,1,1.8
19,1,1.9
20,1,2
21,1,2.1
22,1,2.2
23,1,2.3
24,1,2.4
25,1,2.5
26,1,2.6
27,1,2.7
28,1,2.8
29,1,2.9
30,1,3
31,1,3.1
32,1,3.2
33,1,3.3
34,1,3.4
35,1,3.5
36,1,3.6
37,1,3.7
38,1,3.8
39,1,3.9
40,1,4
41,1,4.1
42,1,4.2
43,1,4.3
44,1,4.4
45,1,4.5
46,1,4.6
47,1,4.7
48,1,4.8
49,1,4.9
50,1,5
51,1,5.1
52,1,5.2
53,1,5.3
54,1,5.4
55,1,5.5
56,1,5.6
57,1,5.7
58,1,5.8
59,1,5.9
60,1,6
61,1,6.1
62,1,6.2
63,1,6.3
64,1,6.4
65,1,6.5
66,1,6.6
67,1,6.7
68,1,6.8
69,1,6.9
70,1,7
71,1,7.1
72,1,7.2
73,1,7.3
74,1,7.4
75,1,7.5
76,1,7.6
77,1,7.7
78,1,7.8
79,1,7.9
80,1,8
81,1,8.1
82,1,8.2
83,1,8.3
84,1,8.4
85,1,8.5
86,1,8.6
87,1,8.7
88,1,8.8
89,1,8.9
90,1,9
91,1,9.1
92,1,9.2
93,1,9.3
94,1,9.4
95,1,9.5
96,1,9.6
97,1,9.7
98,1,9.8
99,1,9.9
100,1,10
101,1,10.1
102,1,10.2
103,1,10.3
104,1,10.4
105,1,10.5
106,1,10.6
107,1,10.7
108,1,10.8
109,1,10.9
110,1,11
111,1,11.1
112,1,11.2
113,1,11.3
114,1,11.4
115,1,11.5
116,1,11.6
117,1,11.7
118,1,11.8
119,1,11.9
120,1,12
121,1,12.1
122,1,12.2
123,1,12.3
124,1,12.4
125,1,12.5
126,1,12.6
127,1,12.7
0,2,6.35723e-12
