time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000000674,6.740153653e-07,1.442738574,0.4568404403,0.9858981336,64.01004294,0,64.00004314,0,-5.458444309e-07,6.574037216e-18,-1.762206175e-05,-1.499709364e-16,0.999762817,1,0.953517437,9.737838599e-06,1,1
0.5,0.9999920191,-7.980887648e-06,1.445464993,0.4568625376,0.9886024553,64.48413132,0,63.99948876,0,-0.001127614002,-1.339033994e-17,-0.0007356267499,-8.885100653e-17,0.9997471613,1,0.953517437,1.060835583e-05,1,1
1,0.9999819359,-1.806411004e-05,1.456872139,0.4568979743,0.9999741644,64.84329587,0,63.99884754,0,-0.003061650891,6.584066767e-18,-0.0009509251663,3.73205062e-18,0.9997559871,1,0.953517437,1.029498508e-05,1,1
1.5,0.9999699962,-3.000381027e-05,1.455530583,0.4568979933,0.9986325901,65.08046699,0,63.99809088,0,-0.004091517835,7.188808441e-18,-0.00077632498,3.378288238e-16,0.9997423368,1,0.953517437,1.088262765e-05,1,1
2,0.9999568875,-4.311245969e-05,1.456544264,0.4568761523,0.9996681119,65.26351168,0,63.99725463,0,-0.004094472402,3.965622462e-18,-0.0006310174307,-6.48186593e-17,0.9997710243,1,0.953517437,9.444923627e-06,1,1
2.5,0.9999439733,-5.602667651e-05,1.455921718,0.4568654789,0.9990562391,65.44945849,0,63.99643104,0,-0.00383466617,4.519862131e-18,-0.0006402474176,2.717121686e-16,0.9997635445,1,0.953517437,9.656844568e-06,1,1
3,0.9999300639,-6.993612048e-05,1.456080089,0.4568616839,0.9992184048,65.65516104,0,63.99554138,0,-0.00376593366,8.735637185e-19,-0.00071369384,1.437223631e-16,0.9997498389,1,0.953517437,1.01886345e-05,1,1
3.5,0.9999158554,-8.414463327e-05,1.456344065,0.4568535186,0.9994905461,65.87653815,0,63.99463365,0,-0.003842113936,-7.597786542e-19,-0.0007654940955,5.731621845e-17,0.9997443277,1,0.953517437,1.072635559e-05,1,1
4,0.9999012341,-9.876594317e-05,1.456512324,0.456841632,0.999670692,66.10698839,0,63.99370031,0,-0.003941519899,-2.268542409e-18,-0.0007795379231,-4.70248046e-17,0.9997536553,1,0.953517437,1.008746764e-05,1,1
4.5,0.999886739,-0.0001132609855,1.456475453,0.4568282908,0.9996471618,66.34255193,0,63.99277507,0,-0.004028270056,-2.204057293e-19,-0.0007719870718,-2.702642142e-18,0.9997540487,1,0.953517437,1.024420408e-05,1,1
5,0.9998721965,-0.0001278035382,1.456573691,0.456818846,0.9997548451,66.58124655,0,63.99184573,0,-0.004063408335,-2.009414911e-19,-0.0007633503509,6.454560273e-17,0.9997549916,1,0.953517437,1.001509054e-05,1,1
5.5,0.9998575227,-0.0001424773068,1.456610593,0.45681009,0.999800503,66.82202245,0,63.99090857,0,-0.004082049144,-1.038184634e-18,-0.0007575294601,-8.513308656e-17,0.9997503559,1,0.953517437,1.044250275e-05,1,1
