x,y,R
0,0,0.338453
1,0,0.744136
2,0,0.739343
3,0,0.734442
4,0,0.729434
5,0,0.724314
6,0,0.719082
7,0,0.713735
8,0,0.708273
9,0,0.702693
10,0,0.696994
11,0,0.691174
12,0,0.685231
13,0,0.679166
14,0,0.672976
15,0,0.559016
16,0,0.542554
17,0,0.653651
18,0,0.646956
19,0,0.640134
20,0,0.633185
21,0,0.626111
22,0,0.618911
23,0,0.611587
24,0,0.604142
25,0,0.596576
26,0,0.588893
27,0,0.581096
28,0,0.573189
29,0,0.565176
30,0,0.557063
31,0,0.496631
32,0,0.454957
33,0,0.532183
34,0,0.523735
35,0,0.515225
36,0,0.506664
37,0,0.498063
38,0,0.489435
39,0,0.480796
40,0,0.47216
41,0,0.463545
42,0,0.45497
43,0,0.446456
44,0,0.438024
45,0,0.429699
46,0,0.421506
47,0,0.44647
48,0,0.371444
49,0,0.398005
50,0,0.390633
51,0,0.383547
52,0,0.376784
53,0,0.370377
54,0,0.364366
55,0,0.358785
56,0,0.353672
57,0,0.349062
58,0,0.344989
59,0,0.341484
60,0,0.338574
61,0,0.336285
62,0,0.334635
63,0,0.454486
64,0,0.356306
65,0,0.333639
66,0,0.334635
67,0,0.336285
68,0,0.338574
69,0,0.341484
70,0,0.344989
71,0,0.349063
72,0,0.353672
73,0,0.358785
74,0,0.364366
75,0,0.370377
76,0,0.376784
77,0,0.383547
78,0,0.390633
79,0,0.534339
80,0,0.438361
81,0,0.413473
82,0,0.421506
83,0,0.429699
84,0,0.438024
85,0,0.446456
86,0,0.45497
87,0,0.463545
88,0,0.47216
89,0,0.480796
90,0,0.489435
91,0,0.498063
92,0,0.506664
93,0,0.515225
94,0,0.523735
95,0,0.640008
96,0,0.553135
97,0,0.548855
98,0,0.557063
99,0,0.565176
100,0,0.573189
101,0,0.581096
102,0,0.588893
103,0,0.596576
104,0,0.604142
105,0,0.611588
106,0,0.618911
107,0,0.626111
108,0,0.633186
109,0,0.640134
110,0,0.646956
111,0,0.73256
112,0,0.652567
113,0,0.66666
114,0,0.672976
115,0,0.679166
116,0,0.685232
117,0,0.691174
118,0,0.696994
119,0,0.702693
120,0,0.708273
121,0,0.713736
122,0,0.719082
123,0,0.724314
124,0,0.729434
125,0,0.734443
126,0,0.739343
127,0,0.526601
0,1,0.744136
1,1,0.999958
2,1,0.999957
3,1,0.999957
4,1,0.999956
5,1,0.999955
6,1,0.999954
7,1,0.999954
8,1,0.999953
9,1,0.999952
10,1,0.999952
11,1,0.999951
12,1,0.99995
13,1,0.999949
14,1,0.999949
15,1,0.999948
16,1,0.999947
17,1,0.999946
18,1,0.999945
19,1,0.999944
20,1,0.999943
21,1,0.999943
22,1,0.999942
23,1,0.999941
24,1,0.99994
25,1,0.999939
26,1,0.999938
27,1,0.999937
28,1,0.999937
29,1,0.999936
30,1,0.999935
31,1,0.999934
32,1,0.999933
33,1,0.999932
34,1,0.999932
35,1,0.999931
36,1,0.99993
37,1,0.999929
38,1,0.999928
39,1,0.999927
40,1,0.999927
41,1,0.999926
42,1,0.999925
43,1,0.999924
44,1,0.999924
45,1,0.999923
46,1,0.999922
47,1,0.999922
48,1,0.999921
49,1,0.99992
50,1,0.99992
51,1,0.999919
52,1,0.999919
53,1,0.999919
54,1,0.999918
55,1,0.999918
56,1,0.999917
57,1,0.999917
58,1,0.999917
59,1,0.999916
60,1,0.999916
61,1,0.999916
62,1,0.999916
63,1,0.999916
64,1,0.999916
65,1,0.999916
66,1,0.999916
67,1,0.999916
68,1,0.999916
69,1,0.999916
70,1,0.999917
71,1,0.999917
72,1,0.999917
73,1,0.999918
74,1,0.999918
75,1,0.999918
76,1,0.999919
77,1,0.999919
78,1,0.99992
79,1,0.99992
80,1,0.999921
81,1,0.999922
82,1,0.999922
83,1,0.999923
84,1,0.999924
85,1,0.999924
86,1,0.999925
87,1,0.999926
88,1,0.999927
89,1,0.999927
90,1,0.999928
91,1,0.999929
92,1,0.99993
93,1,0.999931
94,1,0.999932
95,1,0.999932
96,1,0.999933
97,1,0.999934
98,1,0.999935
99,1,0.999936
100,1,0.999937
101,1,0.999937
102,1,0.999938
103,1,0.999939
104,1,0.99994
105,1,0.999941
106,1,0.999942
107,1,0.999943
108,1,0.999943
109,1,0.999944
110,1,0.999945
111,1,0.999946
112,1,0.999947
113,1,0.999948
114,1,0.999948
115,1,0.999949
116,1,0.99995
117,1,0.999951
118,1,0.999952
119,1,0.999952
120,1,0.999953
121,1,0.999954
122,1,0.999955
123,1,0.999955
124,1,0.999956
125,1,0.999957
126,1,0.999957
127,1,0.744155
0,2,0.739343
1,2,0.999957
2,2,0.999957
3,2,0.999956
4,2,0.999955
5,2,0.999954
6,2,0.999954
7,2,0.999953
8,2,0.999952
9,2,0.999951
10,2,0.999951
11,2,0.99995
12,2,0.999949
13,2,0.999948
14,2,0.999947
15,2,0.999947
16,2,0.999946
17,2,0.999945
18,2,0.999944
19,2,0.999943
20,2,0.999942
21,2,0.999941
22,2,0.999941
23,2,0.99994
24,2,0.999939
25,2,0.999938
26,2,0.999937
27,2,0.999936
28,2,0.999935
29,2,0.999934
30,2,0.999933
31,2,0.999932
32,2,0.999932
33,2,0.999931
34,2,0.99993
35,2,0.999929
36,2,0.999928
37,2,0.999927
38,2,0.999926
39,2,0.999925
40,2,0.999925
41,2,0.999924
42,2,0.999923
43,2,0.999922
44,2,0.999921
45,2,0.999921
46,2,0.99992
47,2,0.999919
48,2,0.999919
49,2,0.999918
50,2,0.999917
51,2,0.999917
52,2,0.999916
53,2,0.999916
54,2,0.999915
55,2,0.999915
56,2,0.999915
57,2,0.999914
58,2,0.999914
59,2,0.999914
60,2,0.999914
61,2,0.999913
62,2,0.999913
63,2,0.999913
64,2,0.999913
65,2,0.999913
66,2,0.999913
67,2,0.999913
68,2,0.999914
69,2,0.999914
70,2,0.999914
71,2,0.999914
72,2,0.999915
73,2,0.999915
74,2,0.999915
75,2,0.999916
76,2,0.999916
77,2,0.999917
78,2,0.999917
79,2,0.999918
80,2,0.999919
81,2,0.999919
82,2,0.99992
83,2,0.999921
84,2,0.999921
85,2,0.999922
86,2,0.999923
87,2,0.999924
88,2,0.999925
89,2,0.999925
90,2,0.999926
91,2,0.999927
92,2,0.999928
93,2,0.999929
94,2,0.99993
95,2,0.999931
96,2,0.999931
97,2,0.999932
98,2,0.999933
99,2,0.999934
100,2,0.999935
101,2,0.999936
102,2,0.999937
103,2,0.999938
104,2,0.999939
105,2,0.99994
106,2,0.999941
107,2,0.999941
108,2,0.999942
109,2,0.999943
110,2,0.999944
111,2,0.999945
112,2,0.999946
113,2,0.999947
114,2,0.999947
115,2,0.999948
116,2,0.999949
117,2,0.99995
118,2,0.999951
119,2,0.999951
120,2,0.999952
121,2,0.999953
122,2,0.999954
123,2,0.999954
124,2,0.999955
125,2,0.999956
126,2,0.999957
127,2,0.739362
0,3,0.734442
1,3,0.999957
2,3,0.999956
3,3,0.999955
4,3,0.999954
5,3,0.999954
6,3,0.999953
7,3,0.999952
8,3,0.999951
9,3,0.999951
10,3,0.99995
11,3,0.999949
12,3,0.999948
13,3,0.999947
14,3,0.999946
15,3,0.999946
16,3,0.999945
17,3,0.999944
18,3,0.999943
19,3,0.999942
20,3,0.999941
21,3,0.99994
22,3,0.999939
23,3,0.999938
24,3,0.999937
25,3,0.999936
26,3,0.999935
27,3,0.999934
28,3,0.999934
29,3,0.999933
30,3,0.999932
31,3,0.999931
32,3,0.99993
33,3,0.999929
34,3,0.999928
35,3,0.999927
36,3,0.999926
37,3,0.999925
38,3,0.999924
39,3,0.999923
40,3,0.999922
41,3,0.999922
42,3,0.999921
43,3,0.99992
44,3,0.999919
45,3,0.999918
46,3,0.999918
47,3,0.999917
48,3,0.999916
49,3,0.999915
50,3,0.999915
51,3,0.999914
52,3,0.999914
53,3,0.999913
54,3,0.999913
