x,y,theta
0,0,1.61573e-11
1,0,1.59056e-11
2,0,1.59896e-11
3,0,1.60691e-11
4,0,1.58695e-11
5,0,1.55405e-11
6,0,1.52441e-11
7,0,1.51729e-11
8,0,1.53082e-11
9,0,1.5458e-11
10,0,1.55402e-11
11,0,1.55879e-11
12,0,1.55991e-11
13,0,1.57253e-11
14,0,1.60006e-11
15,0,1.65619e-11
16,0,1.72687e-11
17,0,1.69525e-11
18,0,1.65019e-11
19,0,1.5805e-11
20,0,1.47603e-11
21,0,1.38687e-11
22,0,1.38155e-11
23,0,1.49168e-11
24,0,1.6701e-11
25,0,1.82324e-11
26,0,1.85887e-11
27,0,1.7503e-11
28,0,1.5572e-11
29,0,1.38907e-11
30,0,1.34713e-11
31,0,1.50459e-11
32,0,1.79647e-11
33,0,1.93417e-11
34,0,1.89952e-11
35,0,1.69607e-11
36,0,1.45956e-11
37,0,1.37878e-11
38,0,1.49459e-11
39,0,1.69478e-11
40,0,1.78833e-11
41,0,1.70566e-11
42,0,1.546e-11
43,0,1.46886e-11
44,0,1.52078e-11
45,0,1.60878e-11
46,0,1.62139e-11
47,0,1.59014e-11
48,0,1.59375e-11
49,0,1.58752e-11
50,0,1.61508e-11
51,0,1.60573e-11
52,0,1.56575e-11
53,0,1.55585e-11
54,0,1.58417e-11
55,0,1.59656e-11
56,0,1.59077e-11
57,0,1.55233e-11
58,0,1.50653e-11
59,0,1.50271e-11
60,0,1.56561e-11
61,0,1.61209e-11
62,0,1.67162e-11
63,0,1.70998e-11
64,0,1.71628e-11
65,0,1.60957e-11
66,0,1.57667e-11
67,0,1.58449e-11
68,0,1.63583e-11
69,0,1.63195e-11
70,0,1.60534e-11
71,0,1.55128e-11
72,0,1.49773e-11
73,0,1.50388e-11
74,0,1.57372e-11
75,0,1.6187e-11
76,0,1.58823e-11
77,0,1.54549e-11
78,0,1.54274e-11
79,0,1.61575e-11
80,0,1.71926e-11
81,0,1.67794e-11
82,0,1.60372e-11
83,0,1.53964e-11
84,0,1.50753e-11
85,0,1.51798e-11
86,0,1.55019e-11
87,0,1.57511e-11
88,0,1.56915e-11
89,0,1.54858e-11
90,0,1.54019e-11
91,0,1.56007e-11
92,0,1.58692e-11
93,0,1.6069e-11
94,0,1.61927e-11
95,0,1.6357e-11
96,0,1.64467e-11
97,0,1.57516e-11
98,0,1.55633e-11
99,0,1.56125e-11
100,0,1.54878e-11
101,0,1.55386e-11
102,0,1.63554e-11
103,0,1.76196e-11
104,0,1.78566e-11
105,0,1.62569e-11
106,0,1.41474e-11
107,0,1.38592e-11
108,0,1.62989e-11
109,0,1.96221e-11
110,0,2.09951e-11
111,0,1.9434e-11
112,0,1.61102e-11
113,0,1.28735e-11
114,0,1.25381e-11
115,0,1.45631e-11
116,0,1.70677e-11
117,0,1.85474e-11
118,0,1.8551e-11
119,0,1.7486e-11
120,0,1.59959e-11
121,0,1.48312e-11
122,0,1.43748e-11
123,0,1.46324e-11
124,0,1.52132e-11
125,0,1.56812e-11
126,0,1.57696e-11
127,0,1.58169e-11
0,1,1.56341e-11
1,1,1.57326e-11
2,1,1.59494e-11
3,1,1.60306e-11
