time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999998317,-1.683269016e-07,1.228570902,0.2375873242,0.9909835777,38.40999497,0,31.99999463,0,-2.80816153e-05,-6.862871106e-19,2.365166243e-09,-6.028936888e-17,0.9681621851,0.9998266101,0.2824447453,0.01387579118,1,1
0.09999999404,0.9999974791,-2.520887348e-06,1.228860705,0.2375868665,0.9912738387,38.50978427,0,31.99991923,0,-0.0003018022119,3.969834327e-18,-4.662372037e-07,-8.54451974e-17,0.9681637612,0.9998266101,0.2824447453,0.01386284765,1,1
0.1999999881,0.999995135,-4.864985414e-06,1.229140675,0.2375866404,0.9915540344,38.60898017,0,31.99984415,0,-0.0005629808039,-2.744358834e-18,-1.768750628e-06,4.865501433e-16,0.9681618996,0.9998266101,0.2824447453,0.01385590819,1,1
0.2999999821,0.9999927946,-7.205408074e-06,1.229409782,0.237586599,0.9918231826,38.70705649,0,31.99976915,0,-0.0008120787979,-2.112285199e-18,-3.824355668e-06,1.361988892e-16,0.9681661441,0.9998266101,0.2824447453,0.01386629202,1,1
0.3999999762,0.9999903688,-9.631220757e-06,1.229666893,0.2375866803,0.9920802128,38.80350776,0,31.99969145,0,-0.001049632991,5.267094826e-18,-6.547283804e-06,-2.140976706e-16,0.9681759272,0.9998266101,0.2824447453,0.01388808991,1,1
0.5,0.999988006,-1.199396696e-05,1.229911263,0.237586899,0.9923243636,38.897872,0,31.99961573,0,-0.001276243153,-2.781581158e-18,-9.8466075e-06,1.590762573e-17,0.968166595,0.9998266101,0.2824447453,0.01385950431,1,1
0.5999999642,0.999985676,-1.432397661e-05,1.230142119,0.237587232,0.9925548871,38.98972422,0,31.99954116,0,-0.001492452923,2.288272953e-18,-1.361359601e-05,6.935210224e-17,0.9680880849,0.9998266101,0,0.01400922165,1,1
0.6999999881,0.9999832035,-1.679650937e-05,1.230358626,0.2375875994,0.9927710264,39.07868518,0,31.99946195,0,-0.001698988451,2.518726446e-19,-1.769131291e-05,-3.525295829e-17,0.9678863105,0.9998266101,0,0.01412907358,1,1
0.7999999523,0.9999809303,-1.906969208e-05,1.230560768,0.2375880674,0.9929727003,39.16445447,0,31.99938927,0,-0.001896450943,-2.880250781e-18,-2.197049419e-05,-1.220765571e-17,0.9681241653,0.9998266101,0.2824447453,0.0139060088,1,1
0.8999999762,0.9999786148,-2.13851772e-05,1.230748061,0.2375886051,0.9931594555,39.24677156,0,31.99931519,0,-0.002085551442,-4.687921127e-18,-2.63241998e-05,-8.74795116e-18,0.9681352192,0.9998266101,0.2824447453,0.01390124131,1,1
1,0.9999761717,-2.382830707e-05,1.230920316,0.2375891502,0.9933311653,39.3254473,0,31.99923697,0,-0.002266892556,2.056071374e-18,-3.064646662e-05,-1.663768373e-16,0.9681770166,0.9998266101,0.2824447453,0.01386805054,1,1
1.100000024,0.9999737551,-2.624485091e-05,1.231077818,0.2375897517,0.9934880667,39.40036861,0,31.99915957,0,-0.002441153331,-1.381610822e-18,-3.486737928e-05,5.207966812e-17,0.9680922555,0.9998266101,0.2824447453,0.01393943445,1,1
1.199999928,0.9999714339,-2.856611198e-05,1.231220935,0.2375904156,0.9936305191,39.47148479,0,31.99908517,0,-0.00260904681,-1.561552848e-18,-3.889234629e-05,-3.473631714e-17,0.9680770781,0.9998266101,0.2824447453,0.01394844015,1,1
1.299999952,0.9999689219,-3.10781406e-05,1.231349761,0.2375910546,0.9937587064,39.53879402,0,31.99900491,0,-0.002771144729,3.328976508e-18,-4.263414381e-05,-1.404912676e-16,0.9681198874,0.9998266101,0.2824447453,0.01391066765,1,1
1.399999976,0.9999664596,-3.354035393e-05,1.231465222,0.2375917527,0.9938734698,39.60237456,0,31.998926,0,-0.002928110735,-2.352551881e-18,-4.605828299e-05,1.802674222e-17,0.9681036627,0.9998266101,0.2824447453,0.0139251939,1,1
1.5,0.9999640073,-3.599265438e-05,1.231567941,0.2375924895,0.993975452,39.66234729,0,31.99884744,0,-0.003080499358,-5.853760735e-18,-4.91130273e-05,-1.811940958e-16,0.9682547975,0.9998266101,0.2824447453,0.01383731477,1,1
1.599999905,0.9999615235,-3.847654826e-05,1.231658697,0.2375932752,0.9940654214,39.71888019,0,31.99876799,0,-0.003228870322,7.3798799e-18,-5.183572097e-05,-1.118293212e-16,0.9681574957,0.9998266101,0.2824447453,0.01386109886,1,1
1.699999928,0.9999590325,-4.096750641e-05,1.231738497,0.2375940993,0.9941443974,39.77218421,0,31.99868842,0,-0.003373738219,-8.490748458e-18,-5.414771662e-05,-1.746699196e-16,0.9679817183,0.9998266101,0,0.01407337506,1,1
1.799999952,0.9999566606,-4.333943153e-05,1.23180834,0.2375950198,0.9942133206,39.82250709,0,31.99861242,0,-0.003515589125,-4.669386011e-18,-5.61122654e-05,-3.336332925e-17,0.9679866652,0.9998266101,0,0.0140857501,1,1
1.899999976,0.9999540576,-4.594235705e-05,1.231868929,0.2375959401,0.9942729886,39.87010229,0,31.99852917,0,-0.003654803521,2.418413854e-18,-5.773591852e-05,-1.995948123e-17,0.9680943312,0.9998266101,0.2824447453,0.01389869453,1,1
2,0.9999512937,-4.870634717e-05,1.231921312,0.2375969124,0.9943243992,39.91525676,0,31.99844052,0,-0.00379181954,-1.447979526e-18,-5.899806025e-05,8.275866828e-17,0.9681322276,0.9998266101,0.2824447453,0.01393147658,1,1
2.099999905,0.9999486148,-5.138519757e-05,1.231966853,0.237598004,0.9943688489,39.95827486,0,31.99835493,0,-0.00392697244,-1.838802021e-18,-5.996917531e-05,-1.521735773e-16,0.9681400905,0.9998266101,0.2824447453,0.01390033217,1,1
2.200000048,0.9999459903,-5.400965459e-05,1.232006302,0.237599168,0.994407134,39.99945149,0,31.99827107,0,-0.004060514708,-1.019422515e-18,-6.065579707e-05,1.961621439e-17,0.9679420975,0.9998266101,0,0.01408656378,1,1
2.299999952,0.9999434507,-5.654928362e-05,1.23204085,0.2376004158,0.9944404339,40.03908085,0,31.99818982,0,-0.004192725458,1.594439302e-18,-6.11207911e-05,-7.844386178e-18,0.9681740155,0.9998266101,0.2824447453,0.01384518111,1,1
2.399999857,0.9999409752,-5.902481211e-05,1.232071665,0.2376017775,0.9944698879,40.07744542,0,31.9981105,0,-0.004323845206,-1.274362937e-18,-6.132661996e-05,-3.1332836e-17,0.9680649103,0.9998266101,0,0.01401501048,1,1
2.5,0.9999383367,-6.166331825e-05,1.232098612,0.2376032022,0.9944954096,40.11480572,0,31.99802611,0,-0.004453987534,-1.500435023e-18,-6.130410095e-05,-1.135273455e-16,0.9681035721,0.9998266101,0.2824447453,0.01388369615,1,1
2.599999905,0.999935753,-6.424696184e-05,1.23212331,0.237604762,0.9945185482,40.15142172,0,31.99794354,0,-0.004583338591,-6.136114156e-19,-6.112921586e-05,-1.151481803e-16,0.9681882337,0.9998266101,0.3326936364,0.01388290893,1,1
2.700000048,0.9999330802,-6.691980884e-05,1.232146721,0.2376063832,0.9945403377,40.18751877,0,31.99785821,0,-0.004712013699,4.519207328e-19,-6.07873126e-05,-5.018647528e-17,0.9682539338,0.9998266101,0.2824447453,0.01387913341,1,1
2.799999952,0.9999303064,-6.969360087e-05,1.232168285,0.2376080954,0.9945601901,40.22330477,0,31.9977695,0,-0.004840033308,1.392048834e-18,-6.029580166e-05,5.001140502e-17,0.9680896217,0.9998266101,0.2824447453,0.01392125694,1,1
2.899999857,0.9999276978,-7.230224114e-05,1.232188419,0.2376099587,0.9945784598,40.25897496,0,31.99768617,0,-0.004967485856,-5.326749427e-19,-5.968395253e-05,-8.322070012e-17,0.9681220025,0.9998266101,0.2824447453,0.01391258112,1,1
3,0.9999248717,-7.512825906e-05,1.232209254,0.2376118882,0.9945973659,40.29467361,0,31.99759576,0,-0.005094458927,-2.573735613e-19,-5.891986168e-05,-6.390750022e-18,0.9681319736,0.9998266101,0.2824447453,0.01391754076,1,1
3.099999905,0.9999221535,-7.784646886e-05,1.232230517,0.2376139829,0.9946165341,40.33055058,0,31.99750878,0,-0.005220880491,-4.003499452e-18,-5.810069467e-05,1.614698847e-16,0.9681314986,0.9998266101,0.2824447453,0.01389855448,1,1
3.199999809,0.9999194948,-8.050515421e-05,1.232252879,0.2376162089,0.9946366699,40.36671681,0,31.99742375,0,-0.00534659012,3.905303028e-19,-5.722404705e-05,5.617441787e-17,0.967538886,0.9998266101,0,0.01460171448,1,1
3.299999952,0.9999168443,-8.315566093e-05,1.232273841,0.2376185504,0.9946552903,40.40326174,0,31.99733904,0,-0.005471770295,2.795659462e-18,-5.632504063e-05,2.62899022e-17,0.9681381756,0.9998266101,0.2824447751,0.01388952233,1,1
3.399999857,0.9999142115,-8.578853533e-05,1.23229684,0.2376210596,0.9946757806,40.44025683,0,31.99725495,0,-0.005596449053,7.357553491e-19,-5.537065699e-05,1.702554042e-17,0.9681774378,0.9998266101,0.2824447751,0.01385319774,1,1
3.5,0.9999114675,-8.853250355e-05,1.232320991,0.2376236917,0.9946972992,40.4777494,0,31.99716728,0,-0.005720569515,-1.907021995e-18,-5.430456815e-05,2.619321076e-18,0.9681330187,0.9998266101,0,0.01399746965,1,1
3.599999905,0.9999087973,-9.120272018e-05,1.23234572,0.2376264889,0.9947192312,40.51578309,0,31.99708219,0,-0.005844018534,-9.006710603e-19,-5.321039341e-05,-1.037679643e-16,0.9679196144,0.9998266101,0,0.01414524632,1,1
3.699999809,0.9999061138,-9.388618296e-05,1.232372473,0.2376294132,0.9947430602,40.5543769,0,31.99699628,0,-0.005966637994,1.652659133e-18,-5.21301814e-05,-1.097570451e-19,0.9681614719,0.9998266101,0.2824448347,0.01385519984,1,1
3.799999952,0.9999035094,-9.649060437e-05,1.232399963,0.2376324975,0.9947674659,40.59354411,0,31.996913,0,-0.006088470457,-2.029934118e-18,-5.101633245e-05,-1.768067564e-17,0.9681802317,0.9998266101,0.2824449241,0.01385289349,1,1
3.899999857,0.9999007544,-9.924557805e-05,1.232429906,0.2376357537,0.9947941522,40.63327505,0,31.99682518,0,-0.006209569624,-8.201532164e-19,-4.984620279e-05,9.194733788e-17,0.9681829727,0.9998266101,0.2824449539,0.01384817949,1,1
