x,y,theta
0,0,0.000257949
1,0,0.000268227
2,0,0.000278291
3,0,0.00028779
4,0,0.00029661
5,0,0.00030429
6,0,0.000309989
7,0,0.000312779
8,0,0.000311523
9,0,0.000304983
10,0,0.00029243
11,0,0.000273269
12,0,0.000247347
13,0,0.000215665
14,0,0.000180015
15,0,0.00014361
16,0,0.000108396
17,0,7.75069e-05
18,0,5.25273e-05
19,0,3.43118e-05
20,0,2.19229e-05
21,0,1.42754e-05
22,0,9.88528e-06
23,0,7.58278e-06
24,0,6.45449e-06
25,0,5.92734e-06
26,0,5.66518e-06
27,0,5.51019e-06
28,0,5.3935e-06
29,0,5.28625e-06
30,0,5.17993e-06
31,0,5.07381e-06
32,0,4.97543e-06
33,0,4.87604e-06
34,0,4.77302e-06
35,0,4.66985e-06
36,0,4.56406e-06
37,0,4.45971e-06
38,0,4.35387e-06
39,0,4.25076e-06
40,0,4.14814e-06
41,0,4.05112e-06
42,0,3.95645e-06
43,0,3.86897e-06
44,0,3.78491e-06
45,0,3.70849e-06
46,0,3.63532e-06
47,0,3.56844e-06
48,0,3.50828e-06
49,0,3.46262e-06
50,0,3.41873e-06
51,0,3.38098e-06
52,0,3.34741e-06
53,0,3.32261e-06
54,0,3.30413e-06
55,0,3.29648e-06
56,0,3.29733e-06
57,0,3.3103e-06
58,0,3.33305e-06
59,0,3.36895e-06
60,0,3.41581e-06
61,0,3.47785e-06
62,0,3.55356e-06
63,0,3.64734e-06
64,0,3.75737e-06
65,0,3.88749e-06
66,0,4.03513e-06
67,0,4.20563e-06
68,0,4.39796e-06
69,0,4.61843e-06
70,0,4.86609e-06
71,0,5.14717e-06
72,0,5.4607e-06
73,0,5.81432e-06
74,0,6.20799e-06
75,0,6.65001e-06
76,0,7.14069e-06
77,0,7.69026e-06
78,0,8.29996e-06
79,0,8.98174e-06
80,0,9.71314e-06
81,0,1.05007e-05
82,0,1.13643e-05
83,0,1.23153e-05
84,0,1.3348e-05
85,0,1.44751e-05
86,0,1.56931e-05
87,0,1.70169e-05
88,0,1.8446e-05
89,0,2.00005e-05
90,0,2.16836e-05
91,0,2.352e-05
92,0,2.55147e-05
93,0,2.76933e-05
94,0,3.00646e-05
95,0,3.26482e-05
96,0,3.53425e-05
97,0,3.81859e-05
98,0,4.12381e-05
99,0,4.4512e-05
100,0,4.80014e-05
101,0,5.17163e-05
102,0,5.56604e-05
103,0,5.98374e-05
104,0,6.42571e-05
105,0,6.89231e-05
106,0,7.38575e-05
107,0,7.90715e-05
108,0,8.46041e-05
109,0,9.04871e-05
110,0,9.6762e-05
111,0,0.000103458
112,0,0.000110332
113,0,0.000117427
114,0,0.000124793
115,0,0.000132503
116,0,0.000140421
117,0,0.000148627
118,0,0.000157018
119,0,0.000165657
120,0,0.000174569
121,0,0.000183726
122,0,0.000193338
123,0,0.000203151
124,0,0.000213573
125,0,0.000224141
126,0,0.000235482
127,0,0.000246846
0,1,0.000236684
1,1,0.000246092
2,1,0.000254974
3,1,0.000263289
4,1,0.000270918
5,1,0.000277503
6,1,0.000282433
7,1,0.000284802
8,1,0.000283694
9,1,0.000278033
10,1,0.000267093
11,1,0.000250176
12,1,0.00022739
13,1,0.000199394
14,1,0.000167855
15,1,0.00013508
16,1,0.000103605
17,1,7.56533e-05
18,1,5.28573e-05
19,1,3.57249e-05
20,1,2.38934e-05
21,1,1.63658e-05
22,1,1.19238e-05
23,1,9.50008e-06
24,1,8.24712e-06
25,1,7.58882e-06
26,1,7.21329e-06
27,1,6.95639e-06
28,1,6.74419e-06
29,1,6.54763e-06
30,1,6.35713e-06
31,1,6.17331e-06
32,1,5.99199e-06
33,1,5.81566e-06
34,1,5.64067e-06
35,1,5.46828e-06
36,1,5.29824e-06
37,1,5.1318e-06
38,1,4.9689e-06
39,1,4.81102e-06
40,1,4.6588e-06
41,1,4.51383e-06
42,1,4.37637e-06
43,1,4.24749e-06
44,1,4.12673e-06
45,1,4.01468e-06
46,1,3.9103e-06
47,1,3.81377e-06
48,1,3.72644e-06
49,1,3.65545e-06
50,1,3.59037e-06
51,1,3.53193e-06
52,1,3.48095e-06
53,1,3.43892e-06
54,1,3.40635e-06
55,1,3.3844e-06
56,1,3.37333e-06
57,1,3.3744e-06
58,1,3.38723e-06
59,1,3.41288e-06
60,1,3.45151e-06
61,1,3.50447e-06
62,1,3.57255e-06
63,1,3.65732e-06
64,1,3.75949e-06
65,1,3.8801e-06
66,1,4.01949e-06
67,1,4.17997e-06
68,1,4.36259e-06
69,1,4.57051e-06
70,1,4.8058e-06
71,1,5.07142e-06
72,1,5.36946e-06
73,1,5.7038e-06
74,1,6.07735e-06
75,1,6.4946e-06
76,1,6.95871e-06
77,1,7.47502e-06
78,1,8.04719e-06
79,1,8.67986e-06
80,1,9.36669e-06
81,1,1.01027e-05
82,1,1.09079e-05
83,1,1.17888e-05
84,1,1.27454e-05
85,1,1.37827e-05
86,1,1.49033e-05
87,1,1.61143e-05
88,1,1.74211e-05
89,1,1.88365e-05
90,1,2.03697e-05
91,1,2.20365e-05
92,1,2.38475e-05
93,1,2.58176e-05
94,1,2.79514e-05
95,1,3.02484e-05
96,1,3.26929e-05
97,1,3.52631e-05
98,1,3.8008e-05
99,1,4.09405e-05
100,1,4.40606e-05
101,1,4.73774e-05
102,1,5.08948e-05
