time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000001998,1.997990859e-06,1.694879371,0.6951216607,0.9997577099,128.010256,0,128.000256,0,0.8270950651,1.001787145e-19,5.177105106e-09,7.140409326e-17,0.9999245316,1,0.777777791,4.054793025e-06,1,1
0.09999999404,0.9999986305,-1.369494616e-06,1.694863904,0.6951187111,0.9997451929,128.1098202,0,127.9998272,0,0.8270918653,-5.639841654e-19,-4.404911822e-07,-1.139868498e-16,0.9999101251,1,0,1.866905814e-05,1,1
0.1999999881,0.9999952749,-4.72509278e-06,1.695100091,0.6951157027,0.9999843886,128.2093482,0,127.9994,0,0.8270885502,-1.65847345e-19,-8.989168155e-07,-1.433086228e-16,0.9999129556,1,0,1.853768959e-05,1,1
0.2999999821,0.9999919445,-8.055486001e-06,1.694864485,0.6951127994,0.9997516861,128.3088099,0,127.998976,0,0.8270852471,4.953444508e-19,-1.341904101e-06,2.567030999e-17,0.9999245317,1,0.777777791,4.05478374e-06,1,1
0.3999999762,0.9999886401,-1.135985355e-05,1.694849299,0.6951098259,0.9997394736,128.4081761,0,127.9985552,0,0.8270818638,-5.279588265e-19,-1.778658466e-06,-2.384156067e-16,0.9999101252,1,0,1.866904827e-05,1,1
0.5,0.9999853945,-1.460551642e-05,1.695081628,0.6951068065,0.9999748213,128.5074254,0,127.9981419,0,0.8270784236,-4.226605513e-19,-2.229104789e-06,-1.561989008e-16,0.9999129556,1,0,1.853768927e-05,1,1
0.5999999642,0.9999821687,-1.783129055e-05,1.694851265,0.6951038978,0.9997473671,128.6065323,0,127.9977313,0,0.8270750612,-5.601375768e-19,-2.656722829e-06,7.405464829e-17,0.9999245318,1,0.777777791,4.054774454e-06,1,1
0.6999999881,0.9999788198,-2.118022652e-05,1.694835454,0.6951007864,0.9997346675,128.7054638,0,127.9973049,0,0.8270715309,8.931561697e-20,-3.083589431e-06,-1.027335261e-16,0.9999101253,1,0,1.866903856e-05,1,1
0.7999999523,0.9999756051,-2.439485717e-05,1.695062835,0.6950976624,0.9999651721,128.8042441,0,127.9968957,0,0.8270680485,6.620128795e-22,-3.519909547e-06,1.65239702e-16,0.9999129556,1,0,1.853768883e-05,1,1
0.8999999762,0.9999724365,-2.756351901e-05,1.694837536,0.695094678,0.9997428578,128.9028601,0,127.9964923,0,0.8270647222,-2.730666081e-21,-3.934139155e-06,1.920336356e-16,0.9999245318,1,0.777777791,4.054765411e-06,1,1
1,0.9999691764,-3.082356004e-05,1.694820946,0.6950915005,0.9997294454,129.0012983,0,127.9960772,0,0.8270612751,-4.830192885e-19,-4.347526004e-06,6.677636434e-17,0.9999101253,1,0,1.866902909e-05,1,1
1.100000024,0.9999660221,-3.397793595e-05,1.695043936,0.6950882651,0.9999556704,129.0995953,0,127.9956756,0,0.8270578642,-5.447571608e-19,-4.766223607e-06,1.311021976e-17,0.9999129555,1,0,1.853768839e-05,1,1
1.199999928,0.999962799,-3.720103338e-05,1.694822759,0.6950851081,0.9997376506,129.1977454,0,127.995265,0,0.8270545253,9.665166769e-20,-5.171982761e-06,-6.128584434e-17,0.9999245318,1,0.777777791,4.054756625e-06,1,1
1.299999952,0.9999596014,-4.039859203e-05,1.694805631,0.6950818352,0.9997237956,129.2957825,0,127.9948575,0,0.8270511508,2.968842929e-19,-5.56823252e-06,-1.564646857e-17,0.9999101253,1,0,1.866901981e-05,1,1
1.399999976,0.9999564051,-4.35949295e-05,1.695024629,0.6950784158,0.9999462128,129.3937304,0,127.9944502,0,0.827047705,-3.015392463e-19,-5.973017228e-06,8.04279419e-17,0.9999129554,1,0,1.853768799e-05,1,1
1.5,0.9999532139,-4.678607274e-05,1.694807598,0.69507516,0.9997324379,129.4916187,0,127.9940435,0,0.8270443792,3.619779794e-19,-6.375065834e-06,5.073028983e-18,0.9999245319,1,0.777777791,4.054748185e-06,1,1
1.599999905,0.9999500059,-4.999414872e-05,1.694790435,0.6950717565,0.9997186786,129.5894764,0,127.9936346,0,0.8270409593,-4.296506578e-19,-6.753749672e-06,-9.016971119e-17,0.9999101254,1,0,1.866901095e-05,1,1
1.699999928,0.9999468232,-5.317676935e-05,1.695005157,0.6950682192,0.9999369375,129.6873416,0,127.993229,0,0.8270374615,-1.995379194e-19,-7.139935138e-06,3.679705934e-17,0.9999129554,1,0,1.853768763e-05,1,1
1.799999952,0.9999435985,-5.640145718e-05,1.694792785,0.6950648516,0.9997279337,129.7852369,0,127.9928177,0,0.827034043,3.375235713e-19,-7.533462288e-06,-9.057922221e-17,0.9999245319,1,0.777777791,4.054739747e-06,1,1
1.899999976,0.9999404632,-5.953679385e-05,1.694776173,0.6950614048,0.999714768,129.8832098,0,127.992418,0,0.8270306058,-1.335269781e-19,-7.903012716e-06,-1.84807129e-16,0.9999101255,1,0,1.866900226e-05,1,1
2,0.9999373866,-6.261342447e-05,1.69498581,0.6950578433,0.9999279668,129.9812834,0,127.9920254,0,0.8270271053,-7.31378002e-20,-8.279092644e-06,2.522865024e-17,0.9999129554,1,0,1.853768729e-05,1,1
2.099999905,0.9999342721,-6.572792957e-05,1.694778896,0.6950544717,0.9997244242,130.0794678,0,127.9916281,0,0.827023701,-3.360341923e-20,-8.659622449e-06,2.181865127e-17,0.999924532,1,0.777777791,4.05473165e-06,1,1
2.200000048,0.9999310995,-6.890054665e-05,1.694762776,0.6950509275,0.9997118482,130.1777793,0,127.9912231,0,0.8270201634,-2.739528121e-20,-9.015700725e-06,1.058059514e-16,0.9999101255,1,0,1.866899357e-05,1,1
2.299999952,0.9999279924,-7.200762392e-05,1.694966403,0.6950472609,0.9999191419,130.2762463,0,127.9908264,0,0.8270165665,8.91844322e-20,-9.381524206e-06,1.701741268e-16,0.9999129554,1,0,1.853768694e-05,1,1
2.399999857,0.9999248533,-7.514671535e-05,1.694764879,0.6950438038,0.9997210756,130.3748631,0,127.9904257,0,0.8270130939,-1.993669547e-19,-9.757817268e-06,-3.389549953e-17,0.9999245321,1,0.777777791,4.054723891e-06,1,1
2.5,0.9999217614,-7.823860356e-05,1.694749499,0.6950402386,0.9997092607,130.4736412,0,127.9900311,0,0.8270095723,-3.773734991e-19,-1.010876958e-05,4.027218278e-18,0.9999101256,1,0,1.86689854e-05,1,1
2.599999905,0.9999186415,-8.135847474e-05,1.694946862,0.6950364738,0.9999103879,130.5725653,0,127.9896328,0,0.8270059134,-4.21897965e-19,-1.046752931e-05,-1.383977772e-16,0.9999129554,1,0,1.853768663e-05,1,1
