time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000001918,1.918346757e-06,1.026330728,0.02644671541,0.9998840129,127.9180157,0,128.0002458,0,0.09857703428,-3.867121008e-19,-1.398610252e-08,-6.656111613e-17,0.9997584494,1,0.953517437,9.912489643e-06,1,1
0.09999999404,0.9999938912,-6.108777054e-06,1.026000129,0.02644653321,0.9995535962,126.3980631,0,127.9992229,0,0.09857549568,1.416930608e-18,-2.499943889e-07,-1.772728884e-16,0.9997536522,1,0.953517437,1.015607202e-05,1,1
0.1999999881,0.999985549,-1.445104954e-05,1.025849061,0.02644638173,0.9994026796,125.5199034,0,127.9981596,0,0.09857299837,3.918056742e-19,-4.811224659e-07,1.455631704e-16,0.9997558173,1,0.953517437,1.012471659e-05,1,1
0.2999999821,0.999976978,-2.302196379e-05,1.026136594,0.02644629319,0.9996903009,125.654327,0,127.9970672,0,0.09857002666,7.848951404e-19,-6.266951907e-07,2.516736432e-17,0.9997503178,1,0.953517437,1.032600281e-05,1,1
0.3999999762,0.9999683828,-3.161722723e-05,1.026155576,0.02644629843,0.9997092778,126.7865085,0,127.9959715,0,0.09856720874,-2.794679435e-19,-7.60876557e-07,-1.650268657e-16,0.9997549694,1,0.953517437,1.011832632e-05,1,1
0.5,0.9999600521,-3.994785562e-05,1.026188172,0.02644643371,0.9997417385,128.5216565,0,127.9949098,0,0.09856528134,-3.115493019e-19,-8.449555507e-07,2.9008197e-17,0.9997440938,1,0.953517437,1.044608699e-05,1,1
0.5999999642,0.9999519616,-4.803835911e-05,1.026163082,0.02644670502,0.999716377,130.2353167,0,127.9938786,0,0.09856461033,2.606677648e-19,-9.436304429e-07,9.514486237e-17,0.9997467983,1,0.953517437,1.048835121e-05,1,1
0.6999999881,0.9999441436,-5.585639799e-05,1.026069219,0.02644711842,0.9996221003,131.3112253,0,127.9928826,0,0.09856526728,3.00852209e-19,-1.011231625e-06,5.598101872e-17,0.9997546882,1,0.953517437,1.014288312e-05,1,1
0.7999999523,0.9999367237,-6.327629897e-05,1.02600668,0.02644769309,0.9995589869,131.3760042,0,127.9919374,0,0.0985667819,-9.911691795e-19,-1.173016529e-06,-5.56785284e-17,0.9997481667,1,0.953517437,1.031577487e-05,1,1
0.8999999762,0.9999292772,-7.072284316e-05,1.026108952,0.02644832716,0.999660625,130.4412856,0,127.9909888,0,0.09856790175,1.775617658e-19,-1.275087282e-06,1.159508948e-16,0.9997538635,1,0.953517437,1.011432086e-05,1,1
1,0.9999217364,-7.826359964e-05,1.025929298,0.02644908085,0.9994802175,128.8993879,0,127.9900279,0,0.0985687948,1.765244991e-18,-1.423351271e-06,-2.065815216e-16,0.9997436169,1,0.953517437,1.055633877e-05,1,1
1.100000024,0.9999139272,-8.607276324e-05,1.025693971,0.02644980428,0.9992441666,127.3738602,0,127.9890326,0,0.09856850334,-7.874759432e-20,-1.642039933e-06,7.75924095e-17,0.9997494449,1,0.953517437,1.035594535e-05,1,1
1.199999928,0.9999057655,-9.423451095e-05,1.026083632,0.02645043899,0.999633193,126.4820308,0,127.9879925,0,0.09856702897,1.597676208e-18,-1.811342396e-06,5.984303026e-18,0.9997506838,1,0.953517437,1.027311362e-05,1,1
1.299999952,0.9998974062,-0.0001025938351,1.026141886,0.02645103958,0.9996908468,126.5999319,0,127.9869271,0,0.09856485008,-2.180573826e-18,-1.897840973e-06,1.814936225e-16,0.9998046203,1,0.953517437,7.718191356e-06,1,1
1.399999976,0.9998889712,-0.0001110287891,1.026109234,0.02645158516,0.9996576485,127.7190477,0,127.985852,0,0.09856239265,-4.237613159e-19,-1.972671843e-06,6.66136996e-17,0.9997585397,1,0.953517437,1.000211504e-05,1,1
1.5,0.9998805888,-0.0001194112061,1.026102217,0.02645218293,0.9996500344,129.4495596,0,127.9847836,0,0.09856047043,1.046424838e-18,-2.05635856e-06,-1.516152009e-16,0.9997800578,1,0.953517437,9.218587839e-06,1,1
1.599999905,0.9998725136,-0.0001274863854,1.026130458,0.02645284513,0.9996776124,131.1688078,0,127.9837546,0,0.09855941343,4.254960053e-19,-2.12693497e-06,-1.905087138e-16,0.9997436456,1,0.953517437,1.058509388e-05,1,1
1.699999928,0.999864752,-0.0001352479596,1.026082108,0.02645357349,0.9996285349,132.2583815,0,127.9827655,0,0.09855931269,-5.245582398e-19,-2.205211228e-06,-7.374087258e-17,0.9997377281,1,0.953517437,1.077991872e-05,1,1
1.799999952,0.9998573181,-0.0001426818841,1.026154789,0.02645437464,0.9997004142,132.3396552,0,127.9818184,0,0.09856015482,2.326296613e-19,-2.276501843e-06,1.063146172e-16,0.9998149013,1,0.953517437,7.152614972e-06,1,1
1.899999976,0.9998499796,-0.0001500203872,1.025772179,0.02645534663,0.9993168328,131.4179685,0,127.9808835,0,0.098561541,1.536320897e-18,-2.364153099e-06,-3.155391473e-16,0.9997446666,1,0.953517437,1.053789799e-05,1,1
2,0.9998425949,-0.0001574051087,1.026116836,0.02645631785,0.9996605186,129.8806428,0,127.9799426,0,0.09856275863,1.244322446e-18,-2.515641592e-06,5.550266929e-17,0.9997353919,1,0.953517437,1.089264044e-05,1,1
2.099999905,0.9998348993,-0.0001651006686,1.026022079,0.02645738701,0.9995646925,128.3494694,0,127.9789624,0,0.09856326944,5.649809117e-19,-2.608662082e-06,9.050778211e-17,0.9997434003,1,0.953517437,1.060865391e-05,1,1
2.200000048,0.999826982,-0.0001730179889,1.025967324,0.02645837634,0.9995089478,127.4439594,0,127.9779536,0,0.09856261027,4.644652162e-19,-2.713173534e-06,-8.674493504e-17,0.9997478295,1,0.953517437,1.042722234e-05,1,1
2.299999952,0.9998187959,-0.0001812041456,1.025923135,0.02645912492,0.9994640097,127.5453531,0,127.9769104,0,0.0985609249,1.013929871e-18,-2.855596995e-06,-1.557054499e-16,0.9997441133,1,0.953517437,1.049322833e-05,1,1
2.399999857,0.9998104087,-0.0001895913356,1.025931641,0.02645991394,0.9994717266,128.6514429,0,127.9758416,0,0.09855825607,2.83274619e-19,-3.065845731e-06,1.536524738e-16,0.9997560118,1,0.953517437,1.006280249e-05,1,1
2.5,0.9998021387,-0.0001978613158,1.026121662,0.02646035147,0.9996613109,130.3774121,0,127.9747877,0,0.09855610666,-2.132372293e-19,-3.122396836e-06,-3.339536584e-17,0.9997825532,1,0.953517437,8.493100619e-06,1,1
2.599999905,0.9997940397,-0.0002059603448,1.026027248,0.02646089069,0.999566357,132.102319,0,127.9737554,0,0.09855424582,7.084239334e-19,-3.22865552e-06,3.565753587e-17,0.9997467931,1,0.953517437,1.044497624e-05,1,1
2.700000048,0.999786284,-0.0002137160104,1.026047043,0.02646148747,0.9995855552,133.2055988,0,127.9727672,0,0.09855342774,-7.454550549e-20,-3.313092169e-06,-3.521645399e-17,0.9997493756,1,0.953517437,1.03431039e-05,1,1
2.799999952,0.9997788981,-0.0002211018964,1.026002933,0.02646215477,0.9995407786,133.3033793,0,127.9718262,0,0.0985537369,1.851296256e-19,-3.402699123e-06,6.776276642e-17,0.999739245,1,0.953517437,1.072614757e-05,1,1
2.899999857,0.9997716551,-0.0002283448777,1.025998011,0.02646304722,0.9995349635,132.3946859,0,127.9709036,0,0.09855539221,5.709415509e-19,-3.493127793e-06,-2.817309949e-17,0.9997498604,1,0.953517437,1.02753103e-05,1,1
3,0.9997643655,-0.0002356344572,1.025839266,0.02646408112,0.999375185,130.8618642,0,127.9699751,0,0.09855721409,-5.603972527e-19,-3.645872499e-06,2.177991377e-16,0.999750393,1,0.953517437,1.031001944e-05,1,1
3.099999905,0.999756837,-0.0002431630347,1.025525796,0.02646518561,0.9990606106,129.3249855,0,127.9690156,0,0.0985584804,1.797276543e-18,-3.757215221e-06,-1.257774561e-16,0.9997456277,1,0.953517437,1.054166559e-05,1,1
