x,y,theta
0,0,-2.35412
1,0,-2.34179
2,0,-2.3255
3,0,-2.30857
4,0,-2.29108
5,0,-2.27298
6,0,-2.25433
7,0,-2.2351
8,0,-2.2154
9,0,-2.19509
10,0,-2.17407
11,0,-2.15242
12,0,-2.13013
13,0,-2.1073
14,0,-2.08387
15,0,-2.05773
16,0,-2.03402
17,0,-2.00973
18,0,-1.98353
19,0,-1.95691
20,0,-1.92973
21,0,-1.90192
22,0,-1.87349
23,0,-1.84445
24,0,-1.81498
25,0,-1.78502
26,0,-1.75472
27,0,-1.72411
28,0,-1.69328
29,0,-1.6622
30,0,-1.63094
31,0,-1.59828
32,0,-1.56707
33,0,-1.53592
34,0,-1.50452
35,0,-1.47349
36,0,-1.44272
37,0,-1.41212
38,0,-1.38176
39,0,-1.35153
40,0,-1.32149
41,0,-1.2919
42,0,-1.2629
43,0,-1.23459
44,0,-1.20678
45,0,-1.17952
46,0,-1.15296
47,0,-1.12697
48,0,-1.10153
49,0,-1.07645
50,0,-1.05194
51,0,-1.02825
52,0,-1.00554
53,0,-0.983654
54,0,-0.962406
55,0,-0.941718
56,0,-0.921595
57,0,-0.901899
58,0,-0.882616
59,0,-0.863943
60,0,-0.84597
61,0,-0.828763
62,0,-0.812006
63,0,-0.798278
0,1,-2.3666
1,1,-2.35445
2,1,-2.33798
3,1,-2.321
4,1,-2.30338
5,1,-2.28523
6,1,-2.26645
7,1,-2.24713
8,1,-2.2273
9,1,-2.20683
10,1,-2.18569
11,1,-2.16387
12,1,-2.14136
13,1,-2.11823
14,1,-2.09456
15,1,-2.0702
16,1,-2.04514
17,1,-2.01933
18,1,-1.99273
19,1,-1.96564
20,1,-1.93802
21,1,-1.90964
22,1,-1.8806
23,1,-1.85103
24,1,-1.82092
25,1,-1.79031
26,1,-1.75927
27,1,-1.72793
28,1,-1.6964
29,1,-1.66462
30,1,-1.63263
31,1,-1.60044
32,1,-1.56792
33,1,-1.53554
34,1,-1.50347
35,1,-1.47162
36,1,-1.43994
37,1,-1.40848
38,1,-1.37726
39,1,-1.34639
40,1,-1.31582
41,1,-1.28583
42,1,-1.2563
43,1,-1.22747
44,1,-1.19913
45,1,-1.17134
46,1,-1.14428
47,1,-1.1179
48,1,-1.0921
49,1,-1.0668
50,1,-1.04208
51,1,-1.01808
52,1,-0.995003
53,1,-0.972814
54,1,-0.951247
55,1,-0.930305
56,1,-0.909979
57,1,-0.890178
58,1,-0.870886
59,1,-0.852247
60,1,-0.834332
61,1,-0.817035
62,1,-0.800305
63,1,-0.787641
0,2,-2.38309
1,2,-2.37097
2,2,-2.35456
3,2,-2.33749
4,2,-2.31976
5,2,-2.30155
6,2,-2.28275
7,2,-2.26336
8,2,-2.2433
9,2,-2.22262
10,2,-2.20134
11,2,-2.17923
12,2,-2.15641
13,2,-2.13298
14,2,-2.10892
15,2,-2.08413
16,2,-2.05855
17,2,-2.0322
18,2,-2.00514
19,2,-1.97738
20,2,-1.94901
21,2,-1.91999
22,2,-1.89025
23,2,-1.85984
24,2,-1.82888
25,2,-1.7974
26,2,-1.76546
27,2,-1.7331
28,2,-1.70052
29,2,-1.66771
30,2,-1.63469
31,2,-1.60133
32,2,-1.56784
33,2,-1.53444
34,2,-1.50129
35,2,-1.46831
36,2,-1.43549
37,2,-1.40285
38,2,-1.37063
39,2,-1.33882
40,2,-1.30748
41,2,-1.27668
42,2,-1.24648
43,2,-1.21685
44,2,-1.18778
45,2,-1.15934
46,2,-1.13164
47,2,-1.10466
48,2,-1.07837
49,2,-1.05267
50,2,-1.02756
51,2,-1.00326
52,2,-0.97985
53,2,-0.957343
54,2,-0.935466
55,2,-0.914214
56,2,-0.893674
57,2,-0.873735
58,2,-0.854406
59,2,-0.835786
60,2,-0.81789
61,2,-0.800607
62,2,-0.783852
63,2,-0.771277
0,3,-2.39979
1,3,-2.38771
2,3,-2.37134
3,3,-2.35427
4,3,-2.33664
5,3,-2.31842
6,3,-2.29945
7,3,-2.2799
8,3,-2.25978
9,3,-2.239
10,3,-2.21744
11,3,-2.19506
12,3,-2.17199
13,3,-2.14824
14,3,-2.12373
15,3,-2.09852
16,3,-2.07251
17,3,-2.04569
18,3,-2.01809
19,3,-1.98962
20,3,-1.96063
21,3,-1.93083
22,3,-1.90032
23,3,-1.86906
24,3,-1.83721
25,3,-1.80479
26,3,-1.77186
27,3,-1.73851
28,3,-1.70488
29,3,-1.67099
30,3,-1.63678
31,3,-1.60226
32,3,-1.56757
33,3,-1.53299
34,3,-1.49869
35,3,-1.46457
36,3,-1.43061
37,3,-1.39691
38,3,-1.36359
39,3,-1.33079
40,3,-1.29856
41,3,-1.26691
42,3,-1.23584
43,3,-1.20538
44,3,-1.17552
45,3,-1.14643
46,3,-1.11808
47,3,-1.0905
48,3,-1.06368
49,3,-1.0375
50,3,-1.01204
51,3,-0.987437
52,3,-0.963882
53,3,-0.941184
54,3,-0.919055
55,3,-0.897584
56,3,-0.876832
57,3,-0.856705
58,3,-0.837173
59,3,-0.818445
60,3,-0.800532
61,3,-0.783326
62,3,-0.766617
63,3,-0.754105
0,4,-2.41718
1,4,-2.40505
2,4,-2.38865
3,4,-2.37171
4,4,-2.35411
5,4,-2.33579
6,4,-2.3168
7,4,-2.29719
8,4,-2.27697
9,4,-2.25601
10,4,-2.23435
11,4,-2.21178
12,4,-2.18842
13,4,-2.16421
14,4,-2.13937
15,4,-2.1138
16,4,-2.08741
17,4,-2.06012
18,4,-2.03194
19,4,-2.00292
20,4,-1.97312
21,4,-1.94261
22,4,-1.91124
23,4,-1.87906
24,4,-1.84629
25,4,-1.81292
26,4,-1.77895
27,4,-1.7445
28,4,-1.70972
29,4,-1.67466
30,4,-1.63922
31,4,-1.60345
32,4,-1.56757
33,4,-1.53179
34,4,-1.49624
35,4,-1.4609
