x,y,R
0,0,0.340146
1,0,0.742789
2,0,0.732906
3,0,0.722581
4,0,0.711804
5,0,0.700544
6,0,0.688791
7,0,0.67654
8,0,0.663785
9,0,0.650513
10,0,0.636711
11,0,0.62239
12,0,0.60756
13,0,0.592241
14,0,0.576453
15,0,0.503742
16,0,0.4555
17,0,0.526624
18,0,0.509389
19,0,0.491983
20,0,0.4745
21,0,0.45708
22,0,0.439887
23,0,0.423106
24,0,0.406957
25,0,0.391689
26,0,0.377574
27,0,0.36491
28,0,0.353999
29,0,0.34514
30,0,0.338598
31,0,0.451613
32,0,0.356805
33,0,0.334583
34,0,0.33862
35,0,0.345185
36,0,0.354069
37,0,0.365003
38,0,0.377689
39,0,0.391815
40,0,0.407078
41,0,0.423218
42,0,0.439987
43,0,0.457173
44,0,0.474583
45,0,0.492059
46,0,0.509473
47,0,0.634471
48,0,0.557295
49,0,0.560312
50,0,0.576542
51,0,0.59234
52,0,0.607664
53,0,0.622489
54,0,0.636798
55,0,0.65059
56,0,0.663863
57,0,0.676621
58,0,0.688867
59,0,0.700608
60,0,0.711859
61,0,0.722636
62,0,0.732946
63,0,0.524362
0,1,0.742824
1,1,0.999823
2,1,0.999819
3,1,0.999815
4,1,0.99981
5,1,0.999803
6,1,0.999797
7,1,0.99979
8,1,0.999783
9,1,0.999776
10,1,0.999768
11,1,0.999761
12,1,0.999755
13,1,0.999749
14,1,0.999742
15,1,0.999733
16,1,0.999727
17,1,0.999719
18,1,0.999711
19,1,0.999704
20,1,0.999698
21,1,0.99969
22,1,0.999683
23,1,0.999678
24,1,0.999672
25,1,0.999667
26,1,0.999663
27,1,0.99966
28,1,0.999656
29,1,0.999654
30,1,0.999654
31,1,0.999651
32,1,0.999647
33,1,0.99965
34,1,0.999656
35,1,0.999661
36,1,0.999665
37,1,0.999667
38,1,0.999668
39,1,0.999669
40,1,0.999673
41,1,0.999679
42,1,0.999686
43,1,0.999692
44,1,0.999698
45,1,0.999706
46,1,0.999713
47,1,0.999719
48,1,0.999724
49,1,0.999728
50,1,0.999735
51,1,0.999748
52,1,0.999764
53,1,0.999774
54,1,0.999776
55,1,0.999779
56,1,0.999784
57,1,0.99979
58,1,0.999797
59,1,0.999804
60,1,0.99981
61,1,0.999816
62,1,0.999823
63,1,0.742854
0,2,0.732964
1,2,0.999819
2,2,0.999814
3,2,0.999808
4,2,0.999803
5,2,0.999796
6,2,0.999789
7,2,0.999783
8,2,0.999775
9,2,0.999767
10,2,0.999759
11,2,0.99975
12,2,0.999743
13,2,0.999737
14,2,0.999729
15,2,0.99972
16,2,0.999712
17,2,0.999705
18,2,0.999696
19,2,0.999687
20,2,0.999681
21,2,0.999673
22,2,0.999665
23,2,0.999659
24,2,0.999652
25,2,0.999646
26,2,0.99964
27,2,0.999637
28,2,0.999634
29,2,0.999632
30,2,0.999631
31,2,0.999628
32,2,0.999626
33,2,0.999628
34,2,0.999631
35,2,0.999634
36,2,0.999636
37,2,0.999639
38,2,0.999642
39,2,0.999646
40,2,0.999652
41,2,0.999657
42,2,0.999663
43,2,0.999668
44,2,0.999674
45,2,0.999681
46,2,0.99969
47,2,0.999698
48,2,0.999704
49,2,0.999708
50,2,0.999715
51,2,0.999729
52,2,0.999746
53,2,0.999757
54,2,0.999761
55,2,0.999764
56,2,0.99977
57,2,0.999777
58,2,0.999785
59,2,0.999793
60,2,0.9998
61,2,0.999807
62,2,0.999815
63,2,0.73297
0,3,0.72264
1,3,0.999812
2,3,0.999806
3,3,0.9998
4,3,0.999794
5,3,0.999786
6,3,0.999779
7,3,0.999773
8,3,0.999765
9,3,0.999757
10,3,0.999748
11,3,0.999738
12,3,0.999731
13,3,0.999723
14,3,0.999715
15,3,0.999706
16,3,0.999697
17,3,0.999689
18,3,0.999678
19,3,0.999668
20,3,0.99966
21,3,0.999653
22,3,0.999645
23,3,0.999637
24,3,0.999631
25,3,0.999623
26,3,0.999617
27,3,0.999612
28,3,0.999609
29,3,0.999606
30,3,0.999603
31,3,0.999601
32,3,0.9996
33,3,0.999601
34,3,0.999604
35,3,0.999606
36,3,0.999609
37,3,0.999613
38,3,0.999619
39,3,0.999625
40,3,0.999631
41,3,0.999637
42,3,0.999643
43,3,0.999648
44,3,0.999655
45,3,0.999664
46,3,0.999674
47,3,0.999684
48,3,0.99969
49,3,0.999695
50,3,0.999704
51,3,0.999719
52,3,0.999736
53,3,0.999748
54,3,0.999753
55,3,0.999758
56,3,0.999764
57,3,0.999772
58,3,0.99978
59,3,0.999788
60,3,0.999795
61,3,0.999803
62,3,0.99981
63,3,0.722641
0,4,0.711836
1,4,0.999804
2,4,0.999798
3,4,0.999792
4,4,0.999786
5,4,0.999777
6,4,0.999768
7,4,0.999761
8,4,0.999754
9,4,0.999745
10,4,0.999735
11,4,0.999726
12,4,0.999717
13,4,0.999708
14,4,0.999699
15,4,0.99969
16,4,0.999682
17,4,0.999672
18,4,0.99966
19,4,0.999648
20,4,0.999639
