time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999991527,-8.473301137e-07,1.139015107,0.1415164443,0.9974986627,64.0099458,0,127.9998916,0,2.224316323e-09,8.718670074e-18,-6.522515143e-07,6.804772984e-17,0.9997541063,1,0,4.088336091e-05,1,1
0.5,0.9999847867,-1.521331965e-05,1.13804376,0.1415287534,0.9965150063,64.5023814,0,127.9980576,0,-0.0001221535574,1.503463053e-18,-4.399246022e-05,-5.415959635e-17,0.9997303595,1,0,5.700081238e-05,1,1
1,0.9999703607,-2.963934682e-05,1.139405962,0.1415498861,0.9978560755,64.9588013,0,127.996217,0,-0.0003801644243,3.521276048e-18,-8.942151365e-05,-2.481496062e-17,0.9997481744,1,0,4.107203315e-05,1,1
1.5,0.9999558646,-4.41353833e-05,1.140448061,0.1415567588,0.998891302,65.3541179,0,127.9943687,0,-0.0006948268222,6.141935176e-19,-0.0001049499587,3.48128516e-17,0.9997304137,1,0,5.700479355e-05,1,1
2,0.9999413543,-5.864565012e-05,1.14094202,0.1415507869,0.9993912335,65.67922012,0,127.9925202,0,-0.0009739616452,-1.474188103e-18,-0.0001037243354,-1.959124536e-16,0.9997481461,1,0,4.161797595e-05,1,1
2.5,0.9999264493,-7.355072863e-05,1.141241767,0.1415417176,0.9997000496,65.94056127,0,127.9906233,0,-0.001147444287,-2.822328096e-18,-9.444590684e-05,4.417432929e-17,0.9997334213,1,0,5.639190725e-05,1,1
3,0.9999111635,-8.883654812e-05,1.141412183,0.1415351401,0.999877043,66.15498767,0,127.9886789,0,-0.001228727926,-9.988484634e-19,-8.170897353e-05,1.911878828e-16,0.9997332304,1,0,5.687373136e-05,1,1
3.5,0.9998958424,-0.0001041575691,1.141370616,0.1415306804,0.9998399357,66.34264812,0,127.9867317,0,-0.001237587558,-1.377441743e-19,-7.139266087e-05,-2.424999828e-17,0.9997481802,1,0,4.114746943e-05,1,1
4,0.9998803896,-0.0001196103952,1.141383331,0.1415275423,0.9998557886,66.52108637,0,127.9847693,0,-0.001206657897,-7.038532892e-19,-6.547216105e-05,2.25350969e-17,0.9997328411,1,0,5.690775765e-05,1,1
4.5,0.9998648217,-0.0001351783226,1.141191759,0.1415251126,0.9996666462,66.70224197,0,127.9827932,0,-0.001169858328,1.290767463e-18,-6.756999396e-05,-2.000031554e-16,0.999742722,1,0,4.115151753e-05,1,1
5,0.9998488712,-0.0001511288193,1.141217315,0.1415228557,0.9996944598,66.89220124,0,127.9807694,0,-0.001142366544,1.013485667e-18,-7.470630919e-05,9.937898882e-17,0.9997475726,1,0,5.596236158e-05,1,1
5.5,0.9998328592,-0.0001671408229,1.141078832,0.1415203262,0.9995585058,67.09268372,0,127.9787391,0,-0.001135289904,1.582904376e-18,-8.056529279e-05,6.269255934e-17,0.9997471493,1,0,4.115320515e-05,1,1
6,0.9998163971,-0.0001836028562,1.141167832,0.1415173332,0.9996504987,67.30284279,0,127.9766526,0,-0.001141838681,-5.766433857e-19,-8.317184302e-05,-2.229941357e-18,0.9997280623,1,0,5.713632591e-05,1,1
6.5,0.9997994347,-0.0002005653477,1.14117086,0.1415141417,0.999656718,67.52086194,0,127.9745027,0,-0.001155531849,-3.416402568e-19,-8.541918036e-05,7.633742539e-17,0.9997473196,1,0,4.162177521e-05,1,1
7,0.9997822711,-0.0002177288581,1.141179947,0.141510879,0.9996690676,67.74488797,0,127.9723273,0,-0.00117062042,-1.386901449e-18,-8.560299169e-05,2.323780488e-17,0.9997320875,1,0,5.640339812e-05,1,1
