x,y,theta
0,0,1.36558e-20
1,0,1.2437e-20
2,0,3.07614e-21
3,0,4.42174e-21
4,0,5.82476e-22
5,0,3.93242e-21
6,0,6.00361e-21
7,0,1.94406e-21
8,0,2.75309e-21
9,0,1.28554e-21
10,0,7.41663e-22
11,0,5.51448e-22
12,0,5.18025e-21
13,0,3.18931e-21
14,0,1.14084e-21
15,0,-7.79099e-05
16,0,1.39331e-20
17,0,1.28513e-21
18,0,1.46729e-22
19,0,2.84966e-21
20,0,3.75116e-21
21,0,2.83305e-21
22,0,1.77426e-21
23,0,3.79112e-21
24,0,2.32264e-22
25,0,4.36635e-21
26,0,2.6582e-21
27,0,1.58034e-21
28,0,1.69678e-20
29,0,1.38778e-20
30,0,4.16334e-20
31,0,6.93889e-21
32,0,4.23517e-24
33,0,4.71845e-19
34,0,1.249e-19
35,0,1.73472e-20
36,0,2.60209e-21
37,0,1.62697e-21
38,0,2.58599e-21
39,0,4.35936e-21
40,0,2.34328e-22
41,0,3.73713e-21
42,0,1.75965e-21
43,0,2.81443e-21
44,0,3.73493e-21
45,0,2.74809e-21
46,0,1.41165e-22
47,0,-9.00929e-09
48,0,1.38497e-20
49,0,7.76411e-22
50,0,1.04821e-21
51,0,3.25528e-21
52,0,5.14524e-21
53,0,5.64113e-22
54,0,7.71498e-22
55,0,1.30863e-21
56,0,2.81189e-21
57,0,2.02823e-21
58,0,6.01069e-21
59,0,3.75974e-21
60,0,5.74641e-22
61,0,4.31105e-21
62,0,3.22668e-21
63,0,1.23017e-20
0,1,1.08065e-20
1,1,8.98234e-21
2,1,6.88988e-21
3,1,1.03691e-20
4,1,6.39998e-21
5,1,1.19136e-20
6,1,1.28018e-21
7,1,4.64163e-21
8,1,3.02848e-21
9,1,9.80122e-21
10,1,3.17368e-21
11,1,2.58932e-21
12,1,9.998e-22
13,1,1.94478e-21
14,1,1.28662e-21
15,1,1.36816e-21
16,1,2.37559e-20
17,1,5.35859e-21
18,1,6.33508e-21
19,1,9.82924e-21
20,1,4.29038e-21
21,1,1.62839e-21
22,1,1.35134e-21
