x,y,theta
0,0,-2.35596
1,0,-2.34985
2,0,-2.34185
3,0,-2.33373
4,0,-2.32547
5,0,-2.31708
6,0,-2.30857
7,0,-2.29991
8,0,-2.29112
9,0,-2.2822
10,0,-2.27313
11,0,-2.26393
12,0,-2.25458
13,0,-2.24508
14,0,-2.23544
15,0,-2.22455
16,0,-2.21449
17,0,-2.20563
18,0,-2.19538
19,0,-2.18499
20,0,-2.17444
21,0,-2.16374
22,0,-2.15287
23,0,-2.14185
24,0,-2.13068
25,0,-2.11934
26,0,-2.10784
27,0,-2.09619
28,0,-2.08437
29,0,-2.0724
30,0,-2.06026
31,0,-2.0474
32,0,-2.03445
33,0,-2.02291
34,0,-2.01014
35,0,-1.99722
36,0,-1.98414
37,0,-1.97092
38,0,-1.95754
39,0,-1.94402
40,0,-1.93035
41,0,-1.91654
42,0,-1.90259
43,0,-1.8885
44,0,-1.87429
45,0,-1.85994
46,0,-1.84547
47,0,-1.82998
48,0,-1.81567
49,0,-1.80137
50,0,-1.78646
51,0,-1.77145
52,0,-1.75634
53,0,-1.74115
54,0,-1.72588
55,0,-1.71054
56,0,-1.69512
57,0,-1.67965
58,0,-1.66413
59,0,-1.64856
60,0,-1.63295
61,0,-1.61732
62,0,-1.60166
63,0,-1.58534
64,0,-1.56994
65,0,-1.55461
66,0,-1.53894
67,0,-1.52328
68,0,-1.50764
69,0,-1.49204
70,0,-1.47647
71,0,-1.46095
72,0,-1.44548
73,0,-1.43007
74,0,-1.41472
75,0,-1.39946
76,0,-1.38427
77,0,-1.36917
78,0,-1.35416
79,0,-1.33892
80,0,-1.32426
81,0,-1.30974
82,0,-1.29516
83,0,-1.28069
84,0,-1.26635
85,0,-1.25214
86,0,-1.23806
87,0,-1.22411
88,0,-1.21031
89,0,-1.19664
90,0,-1.18313
91,0,-1.16975
92,0,-1.15653
93,0,-1.14346
94,0,-1.13055
95,0,-1.11772
96,0,-1.10514
97,0,-1.09274
98,0,-1.08045
99,0,-1.06832
100,0,-1.05635
101,0,-1.04454
102,0,-1.03289
103,0,-1.0214
104,0,-1.01007
105,0,-0.998897
106,0,-0.987883
107,0,-0.977027
108,0,-0.966328
109,0,-0.955784
110,0,-0.945396
111,0,-0.935256
112,0,-0.925087
113,0,-0.915145
114,0,-0.905362
115,0,-0.895728
116,0,-0.886239
117,0,-0.876896
118,0,-0.867695
119,0,-0.858635
120,0,-0.849715
121,0,-0.840933
122,0,-0.832287
123,0,-0.823774
124,0,-0.815394
125,0,-0.807144
126,0,-0.799022
127,0,-0.792471
0,1,-2.36183
1,1,-2.35584
2,1,-2.34784
3,1,-2.33971
4,1,-2.33145
5,1,-2.32305
6,1,-2.31453
7,1,-2.30587
8,1,-2.29707
9,1,-2.28812
10,1,-2.27904
11,1,-2.26982
12,1,-2.26045
13,1,-2.25093
14,1,-2.24126
15,1,-2.23144
16,1,-2.22148
17,1,-2.21135
18,1,-2.20107
19,1,-2.19064
20,1,-2.18005
21,1,-2.16929
22,1,-2.15838
23,1,-2.14731
24,1,-2.13608
25,1,-2.12468
26,1,-2.11312
27,1,-2.1014
28,1,-2.08951
29,1,-2.07746
30,1,-2.06524
31,1,-2.05287
32,1,-2.04033
33,1,-2.02763
34,1,-2.01476
35,1,-2.00174
36,1,-1.98856
37,1,-1.97523
38,1,-1.96174
39,1,-1.9481
40,1,-1.93431
41,1,-1.92037
42,1,-1.90629
43,1,-1.89207
44,1,-1.87772
45,1,-1.86323
46,1,-1.84862
47,1,-1.83388
48,1,-1.81902
49,1,-1.80405
50,1,-1.78898
51,1,-1.7738
52,1,-1.75853
53,1,-1.74316
54,1,-1.72772
55,1,-1.7122
56,1,-1.69661
57,1,-1.68096
58,1,-1.66525
59,1,-1.6495
60,1,-1.6337
61,1,-1.61788
62,1,-1.60203
63,1,-1.58617
64,1,-1.5703
65,1,-1.55442
66,1,-1.53856
67,1,-1.52271
68,1,-1.50689
69,1,-1.4911
70,1,-1.47535
71,1,-1.45964
72,1,-1.44399
73,1,-1.4284
74,1,-1.41289
75,1,-1.39744
76,1,-1.38208
77,1,-1.36681
78,1,-1.35164
79,1,-1.33657
80,1,-1.3216
81,1,-1.30675
82,1,-1.29202
83,1,-1.27741
84,1,-1.26292
85,1,-1.24857
86,1,-1.23436
87,1,-1.22028
88,1,-1.20635
89,1,-1.19256
90,1,-1.17893
91,1,-1.16544
92,1,-1.15212
93,1,-1.13894
94,1,-1.12593
95,1,-1.11307
96,1,-1.10037
97,1,-1.08784
98,1,-1.07547
99,1,-1.06326
100,1,-1.05122
101,1,-1.03934
102,1,-1.02762
103,1,-1.01606
104,1,-1.00467
105,1,-0.993444
106,1,-0.982378
107,1,-0.971472
108,1,-0.960727
109,1,-0.95014
110,1,-0.939711
111,1,-0.929439
112,1,-0.919322
113,1,-0.909358
114,1,-0.899547
115,1,-0.889886
116,1,-0.880375
117,1,-0.87101
118,1,-0.86179
119,1,-0.852715
120,1,-0.84378
121,1,-0.834986
122,1,-0.826329
123,1,-0.817808
124,1,-0.809421
125,1,-0.801167
126,1,-0.793042
127,1,-0.786934
0,2,-2.36983
1,2,-2.36384
2,2,-2.35584
3,2,-2.34771
4,2,-2.33944
5,2,-2.33104
6,2,-2.32251
7,2,-2.31383
8,2,-2.30502
9,2,-2.29606
10,2,-2.28696
11,2,-2.27771
12,2,-2.26832
13,2,-2.25877
14,2,-2.24907
15,2,-2.23922
16,2,-2.22921
17,2,-2.21904
18,2,-2.20871
19,2,-2.19823
