time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999999087,-9.126376233e-08,1.158269832,0.3105375299,0.8477323017,32.00999704,0,31.99999707,0,0.2890451084,2.614412088e-18,2.153274923e-09,1.511753442e-16,0.968091783,0.9998266101,0.2843107283,0.01392656041,1,0
0.09999999404,0.9999978935,-2.106547256e-06,1.167055447,0.3074967409,0.8595587062,32.10981198,0,31.9999325,0,0.2821144218,-4.473470175e-18,-0.001528602058,7.678450233e-18,0.9682527615,0.9998266101,0.2843572199,0.01384943849,1,0
0.1999999881,0.9999959923,-4.00771739e-06,1.171934794,0.3049054663,0.8670293278,32.20903606,0,31.9998699,0,0.2752656958,1.700518377e-18,-0.002898434818,-1.024399381e-16,0.9680134712,0.9998266101,0.2844014764,0.01400823521,1,0
0.2999999821,0.9999939413,-6.058705975e-06,1.177864696,0.3027420318,0.8751226646,32.30713102,0,31.99979683,0,0.2685726882,-3.15360579e-18,-0.00408239628,1.611169839e-16,0.9680170001,0.9998266101,0.2844430506,0.01397088101,1,0
0.3999999762,0.9999919312,-8.068808132e-06,1.181365231,0.3009602092,0.8804050214,32.40359404,0,31.99971354,0,0.2620867211,5.98088637e-18,-0.005137270618,-6.462553948e-17,0.9681587618,0.9998266101,0.284481734,0.01388666478,1,0
0.5,0.9999898215,-1.017848479e-05,1.191578642,0.2995163971,0.892062245,32.49794305,0,31.99960896,0,0.2558726982,-2.086096412e-18,-0.006034241276,-1.722826658e-16,0.9679642789,0.9998266101,0.2845172584,0.01404038782,1,0
0.5999999642,0.9999877706,-1.222936128e-05,1.196713615,0.2983622614,0.8983513536,32.5897479,0,31.99948055,0,0.2499919877,1.389531552e-18,-0.00673682995,-8.613165711e-17,0.9680158797,0.9998266101,0.2845496237,0.01396358122,1,0
0.6999999881,0.999985638,-1.436199779e-05,1.202508558,0.2974402142,0.9050683442,32.67862192,0,31.99931701,0,0.2444598,-3.854308293e-18,-0.007276966359,-2.71164078e-17,0.968155743,0.9998266101,0.2845786512,0.01388094454,1,0
0.7999999523,0.999983487,-1.651301706e-05,1.211702507,0.2966915652,0.9150109414,32.76425039,0,31.9991132,0,0.2392668258,-2.433735968e-20,-0.007684519277,1.185880419e-16,0.9680474759,0.9998266101,0.2846045494,0.01399219755,1,0
0.8999999762,0.9999813749,-1.862509732e-05,1.215998144,0.2960799496,0.9199181948,32.84639058,0,31.99886297,0,0.234521273,-3.300890381e-18,-0.007922463796,2.147220613e-16,0.9680645151,0.9998266101,0.284627229,0.01392873245,1,0
1,0.9999791443,-2.085566916e-05,1.220944241,0.295551714,0.9253925269,32.92487124,0,31.99855292,0,0.230145464,2.066735602e-18,-0.008040272501,-2.082414554e-16,0.9680117674,0.9998266101,0.2846468985,0.01394723536,1,0
1.100000024,0.9999768491,-2.315094837e-05,1.229025121,0.295077984,0.9339471371,32.99960755,0,31.99817538,0,0.2262003906,-6.419683497e-19,-0.008031224934,6.532591472e-17,0.9680339084,0.9998266101,0.2846637368,0.01398494381,1,0
1.199999928,0.9999744827,-2.551732485e-05,1.234181589,0.2946290796,0.9395525094,33.07059003,0,31.99772047,0,0.2226706821,-5.243009737e-19,-0.007904613586,-7.072491809e-17,0.9681002039,0.9998266101,0.2846780121,0.01395288409,1,0
1.299999952,0.9999722143,-2.778567066e-05,1.234530266,0.2941776161,0.9403526498,33.13788619,0,31.99718415,0,0.2194815122,4.952982201e-19,-0.007697071513,-4.845921825e-17,0.9679859082,0.9998266101,0.2846899033,0.01399358694,1,0
1.399999976,0.9999698908,-3.010922773e-05,1.238287392,0.2937185057,0.9445688863,33.20161533,0,31.99655398,0,0.2166120903,4.228246543e-18,-0.007402436419,1.307607852e-16,0.9680416848,0.9998266101,0.2846997678,0.01396052026,1,0
1.5,0.9999675496,-3.245043656e-05,1.24413688,0.293244095,0.950892785,33.26195474,0,31.99582689,0,0.2140480766,4.190979551e-19,-0.007034487289,-2.830269723e-17,0.9681417797,0.9998266101,0.2847079039,0.01389765309,1,0
1.599999905,0.9999649937,-3.500627467e-05,1.245588517,0.2927458115,0.9528427058,33.31911467,0,31.99499669,0,0.2118280305,-9.112341504e-19,-0.006621276953,6.059070891e-17,0.9680588681,0.9998266101,0.2847146094,0.01392599664,1,0
1.699999928,0.9999625973,-3.740268301e-05,1.2480017,0.2922320131,0.9557696864,33.37335549,0,31.99407911,0,0.2098603299,5.533694484e-18,-0.006168036435,-7.744841113e-17,0.9680227408,0.9998266101,0.2847201526,0.01394154779,1,0
1.799999952,0.9999602071,-3.979290584e-05,1.249676283,0.2917090722,0.9579672106,33.42494082,0,31.99307666,0,0.2081096048,2.220438586e-18,-0.005682800588,1.793824777e-16,0.96809542,0.9998266101,0.284724921,0.01392892016,1,0
1.899999976,0.9999576799,-4.232014139e-05,1.249371968,0.2911808051,0.9581911629,33.47414596,0,31.99199428,0,0.2065562075,-2.156234843e-18,-0.005184642592,-1.493247453e-17,0.9679930878,0.9998266101,0.2847290039,0.01398515758,1,0
2,0.9999551602,-4.483977979e-05,1.250298634,0.2906519873,0.9596466465,33.52126127,0,31.99084693,0,0.205181662,-1.466595801e-18,-0.004691299076,-9.740483829e-18,0.9680641447,0.9998266101,0.2847328186,0.01395970868,1,0
2.099999905,0.9999525871,-4.741293319e-05,1.250914315,0.2901304342,0.9607838808,33.56656926,0,31.98964241,0,0.2039519983,-5.931701406e-18,-0.004211683809,7.947655448e-17,0.9678361966,0.9998266101,0.2847362757,0.01408404368,1,0
2.200000048,0.999949963,-5.003702111e-05,1.251839606,0.2896188465,0.9622207598,33.6103481,0,31.98838917,0,0.2028483912,-2.407040265e-19,-0.003772368625,1.257964813e-17,0.9680458533,0.9998266101,0.2847394943,0.01392830923,1,0
2.299999952,0.9999473935,-5.260649246e-05,1.251491135,0.2891250021,0.962366133,33.65286925,0,31.98709724,0,0.2018428178,-6.519967223e-19,-0.003373106976,7.928444473e-17,0.968065717,0.9998266101,0.2847427428,0.01398468196,1,0
2.399999857,0.9999447905,-5.520951619e-05,1.251857356,0.2886483022,0.963209054,33.69438401,0,31.98576947,0,0.2009091372,5.380371937e-18,-0.003020279324,1.172970003e-18,0.9679355807,0.9998266101,0.2847460508,0.01403839518,1,0
2.5,0.9999421048,-5.78952079e-05,1.251570618,0.2881933631,0.9633772554,33.73512838,0,31.9844088,0,0.2000294295,7.3675306e-19,-0.002711331858,-6.20285408e-17,0.96804557,0.9998266101,0.2847493291,0.01395264789,1,0
2.599999905,0.9999395328,-6.046724259e-05,1.251635031,0.2877565108,0.9638785198,33.77532781,0,31.98302502,0,0.1991873945,7.0412489e-19,-0.002437928558,1.693575342e-18,0.9680073367,0.9998266101,0.284752667,0.01402893878,1,0
2.700000048,0.9999369681,-6.303190838e-05,1.251416178,0.287343047,0.9640731305,33.8151768,0,31.98161829,0,0.1983727411,-1.707278295e-19,-0.002216519477,5.585449096e-17,0.9679734378,0.9998266101,0.2847560644,0.01398518827,1,0
2.799999952,0.9999343764,-6.562356334e-05,1.251202646,0.2869476083,0.9642550373,33.85485008,0,31.98019168,0,0.1975754503,-1.906403933e-18,-0.00203673365,-6.39483484e-17,0.9681220375,0.9998266101,0.2847595215,0.01392534354,1,0
2.899999857,0.9999316788,-6.832121702e-05,1.25117743,0.286565698,0.9646117318,33.89449825,0,31.97874577,0,0.1967895331,-1.864827231e-18,-0.001897079691,-2.346848035e-17,0.9680944873,0.9998266101,0.2847630382,0.01393295314,1,0
3,0.9999290001,-7.099990348e-05,1.251074396,0.2861994511,0.9648749446,33.93425547,0,31.97728823,0,0.1960069884,1.101605768e-18,-0.001795997478,-9.720335859e-17,0.9680246378,0.9998266101,0.284766674,0.01396561605,1,0
3.099999905,0.9999264509,-7.354908534e-05,1.250777565,0.2858461491,0.9649314157,33.97423315,0,31.97582553,0,0.1952255831,-3.084683612e-18,-0.001725876683,9.015621782e-17,0.9680888228,0.9998266101,0.2847703099,0.01392343903,1,0
3.199999809,0.999923787,-7.621302101e-05,1.250865241,0.2855017684,0.9653634727,34.01450953,0,31.97435298,0,0.1944403524,-1.556815745e-18,-0.001685800217,-1.133279938e-16,0.96812241,0.9998266101,0.2847740352,0.01390706967,1,0
3.299999952,0.9999211418,-7.885817185e-05,1.251071123,0.2851537473,0.9659173758,34.05515603,0,31.97287718,0,0.1936614065,-9.286986021e-19,-0.001675962071,-5.410158419e-17,0.9681244531,0.9998266101,0.2847777903,0.01391727487,1,0
3.399999857,0.9999185508,-8.14492472e-05,1.250738941,0.2848060876,0.9659328531,34.09622343,0,31.97140254,0,0.1928823251,-3.266443323e-18,-0.001691009765,-8.327802706e-17,0.9680340032,0.9998266101,0.2847814858,0.01394968291,1,0
3.5,0.9999159135,-8.408651817e-05,1.250771817,0.284456644,0.9663151729,34.13774267,0,31.96992806,0,0.1921034256,3.0699441e-19,-0.001728103623,-2.891887519e-17,0.9680279155,0.9998266101,0.2847852409,0.01394215565,1,0
3.599999905,0.9999133685,-8.663149996e-05,1.250872384,0.2841068226,0.9667655615,34.17973944,0,31.96846153,0,0.1913250361,-1.237376546e-18,-0.001778170876,-2.66045786e-17,0.9680563283,0.9998266101,0.2847890854,0.01392932749,1,0
3.699999809,0.9999108335,-8.916648255e-05,1.251440375,0.2837538428,0.9676865318,34.22222101,0,31.96700338,0,0.1905491262,-2.002447098e-18,-0.001839937297,-9.485815326e-17,0.9681139397,0.9998266101,0.2847928107,0.0139332684,1,0
3.799999952,0.9999083893,-9.161073041e-05,1.251170048,0.2833987449,0.9677713027,34.26519018,0,31.96555832,0,0.189777286,-7.793033018e-20,-0.001903973178,5.291319065e-17,0.9680573926,0.9998266101,0.2847965062,0.01395359791,1,0
3.899999857,0.999905768,-9.423195463e-05,1.251374673,0.2830395151,0.9683351579,34.3086296,0,31.96411936,0,0.1890141747,4.782646117e-18,-0.001971263075,-5.204452403e-17,0.9680114261,0.9998266101,0.2848001122,0.01396042757,1,0
4,0.9999031413,-9.685873992e-05,1.252066034,0.2826736529,0.9693923808,34.35253161,0,31.96269249,0,0.1882657944,-2.737381218e-18,-0.002047926051,-1.138069182e-16,0.9681501296,0.9998266101,0.2848036289,0.01392652937,1,0
4.099999905,0.9999005548,-9.944515954e-05,1.251802695,0.28230408,0.9694986153,34.39687888,0,31.96127847,0,0.1875315931,-1.893579566e-18,-0.002124658768,1.159279246e-16,0.9680566809,0.9998266101,0.2848071158,0.01395146734,1,0
4.199999809,0.9998980134,-0.0001019866344,1.25211102,0.2819322943,0.9701787259,34.44164907,0,31.95987534,0,0.1868143726,-2.653277638e-18,-0.002194802873,8.013265189e-17,0.968076419,0.9998266101,0.2848104239,0.01391748094,1,0
4.299999714,0.999895455,-0.0001045449714,1.253082147,0.2815589039,0.9715232433,34.48681638,0,31.9584784,0,0.1861163102,5.320207273e-19,-0.002259555018,-8.595158974e-17,0.9681278272,0.9998266101,0.2848135829,0.01392800525,1,0
4.400000095,0.9998928979,-0.000107102131,1.252698053,0.281185793,0.97151226,34.5323557,0,31.95708498,0,0.1854396141,-1.883536499e-18,-0.002314939039,5.014787978e-17,0.9680114594,0.9998266101,0.2848165929,0.01396048228,1,0
4.5,0.9998903414,-0.0001096585954,1.253348014,0.2808143777,0.9725336366,34.57824183,0,31.95569174,0,0.1847868741,6.598834985e-19,-0.002361554387,5.326577635e-18,0.9680614139,0.9998266101,0.2848194242,0.01392573432,1,0
4.599999905,0.9998876355,-0.0001123644844,1.253604391,0.2804459245,0.9731584666,34.62444533,0,31.95429178,0,0.1841598536,2.877933896e-19,-0.002399390069,1.263594284e-16,0.968069514,0.9998266101,0.2848221064,0.01390986459,1,0
4.699999809,0.9998850196,-0.0001149804496,1.253862675,0.2800819964,0.9737806784,34.67095043,0,31.9528918,0,0.1835588947,3.205839852e-18,-0.002428546949,-2.502040452e-17,0.9680551,0.9998266101,0.2848245502,0.01391897139,1,0
4.799999714,0.9998824309,-0.0001175690804,1.254806097,0.2797240655,0.9750820318,34.717732,0,31.95149017,0,0.1829850429,2.887366711e-18,-0.002449011451,5.582103424e-17,0.968155886,0.9998266101,0.2848268449,0.0139062416,1,0
4.900000095,0.9998797648,-0.0001202351743,1.254692925,0.2793735361,0.9753193886,34.76476439,0,31.95008472,0,0.1824392518,-1.861545862e-18,-0.002459761934,4.928155833e-17,0.9680394214,0.9998266101,0.2848289609,0.01393253998,1,0
5,0.9998771299,-0.0001228700759,1.255111612,0.2790309766,0.9760806351,34.81203016,0,31.94868004,0,0.1819208766,-9.754739985e-19,-0.002462984005,-3.893066006e-17,0.9680393549,0.9998266101,0.284830898,0.01392989842,1,0
