time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.999999803,-1.970422202e-07,1.228570834,0.2375873151,0.9909835186,38.40999384,0,31.99999371,0,-2.808662547e-05,-7.512976132e-18,1.500054425e-09,9.52575613e-17,0.9680826069,0.9998266101,0.334563911,0.01389692365,1,1
0.09999999404,0.9999975201,-2.479889515e-06,1.228860735,0.2375868905,0.9912738442,38.50978587,0,31.99992046,0,-0.0003017954776,-4.473541624e-18,-4.751451682e-07,-1.18449079e-17,0.9679705801,0.9998266101,0.2824447453,0.01400559615,1,1
0.1999999881,0.9999951256,-4.874399263e-06,1.229140669,0.2375866441,0.9915540247,38.60897977,0,31.99984377,0,-0.0005629714038,-9.030214218e-18,-1.778095886e-06,-7.802270256e-17,0.9681277255,0.9998266101,0.2824447453,0.01387650004,1,1
0.2999999821,0.9999929176,-7.082401051e-06,1.229409956,0.2375866301,0.9918233259,38.70706137,0,31.999773,0,-0.0008120668846,-3.395425905e-18,-3.830253996e-06,-8.795775984e-18,0.9681474368,0.9998266101,0.2824447453,0.01387759357,1,1
0.3999999762,0.9999904653,-9.534690927e-06,1.229667026,0.2375867109,0.9920803154,38.80351161,0,31.99969446,0,-0.001049628789,4.638886876e-18,-6.547551087e-06,7.174992351e-17,0.9681234873,0.9998266101,0.2824447453,0.01388669708,1,1
0.5,0.999988055,-1.194502993e-05,1.22991132,0.2375869081,0.9923244115,38.89787391,0,31.99961727,0,-0.001276228801,2.47777091e-18,-9.844187779e-06,-6.922507792e-17,0.9681655638,0.9998266101,0.2824447453,0.01387919584,1,1
0.5999999642,0.9999858927,-1.410728677e-05,1.230142399,0.237587297,0.9925551022,38.98973266,0,31.99954798,0,-0.001492452057,1.948248421e-19,-1.355742746e-05,5.811236328e-18,0.9679322551,0.9998266101,0.2824447453,0.01400491571,1,1
0.6999999881,0.9999834901,-1.650986388e-05,1.230358994,0.2375876798,0.9927713147,39.07869662,0,31.99947095,0,-0.001698987806,4.84002934e-18,-1.763014505e-05,-7.428637721e-17,0.9682231503,0.9998266101,0.2824447453,0.01384777997,1,1
0.7999999523,0.9999810233,-1.897667711e-05,1.230560887,0.2375880932,0.9929727935,39.16445845,0,31.99939203,0,-0.001896435579,-4.968595819e-19,-2.190826899e-05,-9.569950191e-17,0.9679962385,0.9998266101,0.2824447453,0.01397305053,1,1
0.8999999762,0.9999784299,-2.157008607e-05,1.230747841,0.2375885678,0.9931592735,39.2467646,0,31.99930887,0,-0.002085513269,-2.212912202e-18,-2.624975446e-05,-1.377941452e-16,0.9681470952,0.9998266101,0.2824447453,0.01387334272,1,1
1,0.9999761368,-2.386317955e-05,1.230920254,0.2375891345,0.9933311194,39.32544616,0,31.99923538,0,-0.002266872883,-8.842126136e-18,-3.058674411e-05,1.305904265e-18,0.9681474225,0.9998266101,0.2824447453,0.01386515541,1,1
1.100000024,0.9999735291,-2.647089905e-05,1.231077519,0.2375896771,0.9934878424,39.40035995,0,31.99915205,0,-0.002441132386,3.146920104e-18,-3.480471805e-05,-3.306352407e-17,0.968227055,0.9998266101,0.2824447453,0.01386343171,1,1
1.199999928,0.9999710297,-2.897028044e-05,1.231220407,0.2375902963,0.9936301108,39.47146911,0,31.99907199,0,-0.002609002184,-9.979963815e-19,-3.882558041e-05,-4.593761001e-17,0.9681007796,0.9998266101,0.334563911,0.01388017291,1,1
1.299999952,0.9999684435,-3.155654942e-05,1.231349147,0.2375909099,0.9937582375,39.53877551,0,31.9989892,0,-0.002771113097,4.241302222e-18,-4.25851079e-05,9.361060119e-17,0.9681782336,0.9998266101,0.2824447453,0.01385207704,1,1
1.399999976,0.9999660424,-3.395761841e-05,1.231464671,0.2375916291,0.9938730414,39.60235842,0,31.9989121,0,-0.002928074879,-4.197003984e-19,-4.600407381e-05,5.340110866e-17,0.9681905589,0.9998266101,0.2824447453,0.013841716,1,1
