time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999998132,-1.868099938e-07,1.301507178,0.3105235757,0.9909836027,38.40999427,0,31.99999402,0,0.289018385,-2.747967577e-18,-2.986429163e-09,-1.395465023e-16,0.9682810563,0.9998266101,0.2824447453,0.01378753471,1,1
0.09999999404,0.9999971642,-2.835806339e-06,1.301660682,0.3103871856,0.9912734969,38.50977215,0,31.99990918,0,0.2887572253,5.098565365e-18,-4.793388744e-07,-2.892545619e-17,0.9680579071,0.9998266101,0.334563911,0.01391600418,1,1
0.1999999881,0.9999946954,-5.304561406e-06,1.301810984,0.3102573605,0.9915536236,38.60896387,0,31.99983,0,0.2885080684,6.848004854e-18,-1.779673662e-06,3.507998789e-16,0.9680726118,0.9998266101,0.2824447453,0.01394329154,1,1
0.2999999821,0.9999921234,-7.876580538e-06,1.301956139,0.3101336872,0.9918224514,38.70703554,0,31.99974755,0,0.2882703512,-2.609839714e-18,-3.819930544e-06,-1.832945692e-17,0.9681626841,0.9998266101,0.2824447453,0.01386563527,1,1
0.3999999762,0.999989558,-1.044200168e-05,1.302095087,0.3100158368,0.9920792501,38.8034964,0,31.99966536,0,0.2880435458,-7.768020679e-18,-6.539709453e-06,3.116285409e-17,0.9681363819,0.9998266101,0.2824447453,0.01389444363,1,1
0.5,0.9999870279,-1.297214735e-05,1.302226547,0.3099034916,0.9923230555,38.89789278,0,31.99958439,0,0.2878271335,-4.185126341e-18,-9.83156158e-06,1.101906167e-16,0.9681721398,0.9998266101,0.2824447453,0.01384915078,1,1
0.5999999642,0.9999846794,-1.532060572e-05,1.302349552,0.3097962917,0.9925532599,38.98982609,0,31.99950906,0,0.2876205784,-1.254203335e-18,-1.35966874e-05,-1.998146694e-17,0.9682889036,0.9998266101,0.2824447453,0.01379968857,1,1
0.6999999881,0.9999820126,-1.798743912e-05,1.302462618,0.3096937495,0.992768868,39.07893263,0,31.99942358,0,0.2874231422,5.163388684e-18,-1.769399964e-05,-1.28607232e-16,0.9681703766,0.9998266101,0.2824447453,0.01385625743,1,1
0.7999999523,0.9999793676,-2.063242861e-05,1.302565271,0.3095955409,0.9929697299,39.16494713,0,31.99933878,0,0.2872342792,1.59913515e-18,-2.19636001e-05,-6.460170905e-17,0.9682631266,0.9998266101,0.2824447453,0.0138445081,1,1
0.8999999762,0.9999768374,-2.316255957e-05,1.302657142,0.3095013255,0.9931558162,39.24766508,0,31.99925751,0,0.2870534121,-1.877117207e-19,-2.634796379e-05,1.243696729e-16,0.9681847472,0.9998266101,0.2824447453,0.01387230811,1,1
1,0.999974374,-2.562600139e-05,1.302737753,0.3094107211,0.9933270318,39.32694864,0,31.99917815,0,0.286879901,4.799225461e-18,-3.076254684e-05,-1.585298077e-16,0.9681823821,0.9998266101,0.2824447453,0.01385108491,1,1
1.100000024,0.9999717559,-2.824409575e-05,1.302806653,0.3093232564,0.9934833969,39.40272474,0,31.99909388,0,0.2867129999,1.564600791e-19,-3.504973638e-05,-1.224338796e-16,0.9681914021,0.9998266101,0.2824447453,0.01386604341,1,1
1.199999928,0.9999690347,-3.096532374e-05,1.302863922,0.3092385993,0.9936253228,39.4750005,0,31.99900612,0,0.2865521296,7.325584004e-18,-3.918616805e-05,-9.559504267e-17,0.9681730271,0.9998266101,0.2824447453,0.01387422975,1,1
1.299999952,0.9999664859,-3.351406808e-05,1.302910103,0.3091564767,0.9937536259,39.54385619,0,31.99892372,0,0.286396723,-4.969374443e-19,-4.307264153e-05,8.365767976e-17,0.9681656932,0.9998266101,0.2824447453,0.01388992874,1,1
1.399999976,0.9999638833,-3.611670585e-05,1.302945378,0.3090765677,0.9938688103,39.60941036,0,31.9988392,0,0.2862462027,-2.187964669e-18,-4.675094269e-05,-1.277908224e-16,0.9681396352,0.9998266101,0.2824447453,0.0138870952,1,1
1.5,0.9999613376,-3.866235857e-05,1.302970421,0.3089985869,0.993971834,39.67184592,0,31.9987563,0,0.2861000053,-1.94555022e-18,-5.009622373e-05,1.21351977e-16,0.9681612968,0.9998266101,0.2824447453,0.01388810633,1,1
1.599999905,0.9999586521,-4.134788485e-05,1.302985557,0.3089222341,0.9940633225,39.73137565,0,31.99866862,0,0.2859575545,1.317509629e-18,-5.316322485e-05,-1.463962436e-16,0.9681763385,0.9998266101,0.2824447453,0.01386652819,1,1
1.699999928,0.9999560077,-4.399229038e-05,1.302991971,0.3088473772,0.9941445941,39.78826067,0,31.9985818,0,0.2858184351,2.56933167e-18,-5.591304514e-05,8.95720503e-17,0.9681927171,0.9998266101,0.2824447453,0.01386296521,1,1
1.799999952,0.9999533996,-4.660044582e-05,1.30299046,0.3087738294,0.9942166309,39.8427783,0,31.99849594,0,0.2856821823,1.824436332e-18,-5.835397389e-05,1.730474749e-17,0.9683121791,0.9998266101,0.2824447453,0.01377119662,1,1
1.899999976,0.9999507444,-4.925558354e-05,1.302981787,0.3087014498,0.9942803371,39.89521731,0,31.99840809,0,0.2855484402,8.175912872e-19,-6.050320922e-05,5.752167084e-17,0.9681489528,0.9998266101,0.2824447453,0.0138794034,1,1
2,0.9999480281,-5.197191988e-05,1.302966854,0.308630098,0.9943367561,39.94587584,0,31.99831788,0,0.2854168314,3.098174642e-18,-6.236584204e-05,-5.081969601e-17,0.9682277172,0.9998266101,0.2824447453,0.01382293802,1,1
2.099999905,0.9999454326,-5.45674452e-05,1.302947028,0.3085598163,0.9943872122,39.99505767,0,31.99823134,0,0.28528715,-4.647229129e-18,-6.396734992e-05,-8.565781408e-17,0.9681002333,0.9998266101,0.2824447453,0.01390025508,1,1
2.200000048,0.9999427556,-5.724436913e-05,1.302923009,0.308490439,0.99443257,40.04304277,0,31.99814154,0,0.2851590038,4.893477589e-18,-6.532013135e-05,-1.757050576e-17,0.9681876796,0.9998266101,0.2824447453,0.01384074784,1,1
2.299999952,0.9999400636,-5.993635414e-05,1.302895408,0.3084219883,0.9944734199,40.09010733,0,31.99805088,0,0.285032237,-6.692911086e-19,-6.647212624e-05,3.200406074e-17,0.9681471587,0.9998266101,0.2824447453,0.01389080614,1,1
2.399999857,0.9999373827,-6.261730227e-05,1.302865644,0.3083544867,0.9945111575,40.13650652,0,31.99796028,0,0.2849067478,1.349116545e-18,-6.742474412e-05,-5.347203686e-17,0.9682213863,0.9998266101,0.2824447453,0.01384779365,1,1
2.5,0.9999346312,-6.536879956e-05,1.302833942,0.3082879002,0.9945460421,40.18246869,0,31.99786669,0,0.2847822441,6.623618234e-18,-6.819623395e-05,5.561100213e-17,0.9681355911,0.9998266101,0.2824447453,0.01387929441,1,1
2.599999905,0.9999318399,-6.816006072e-05,1.302801302,0.3082223225,0.9945789797,40.22820151,0,31.99777117,0,0.2846587114,-1.14656474e-18,-6.883718952e-05,3.894763479e-17,0.9681487422,0.9998266101,0.2824447453,0.01388863157,1,1
2.700000048,0.9999291687,-7.083129004e-05,1.302767719,0.3081577756,0.9946099435,40.2738917,0,31.99767926,0,0.2845361032,6.00139273e-19,-6.933185079e-05,-1.065233313e-17,0.9681471417,0.9998266101,0.2824447453,0.0138701884,1,1
2.799999952,0.999926341,-7.365895677e-05,1.302735179,0.3080942696,0.9946409094,40.31968113,0,31.99758172,0,0.2844142482,3.801218196e-19,-6.971407141e-05,3.900951642e-17,0.9682064466,0.9998266101,0.2824447453,0.01386152749,1,1
2.899999857,0.9999235666,-7.643344309e-05,1.302702945,0.3080319062,0.9946710388,40.36570549,0,31.99748535,0,0.2842931544,2.755980542e-19,-6.996590224e-05,-7.85365382e-17,0.9681250906,0.9998266101,0.2824447453,0.01387557097,1,1
3,0.9999207691,-7.923092038e-05,1.302671362,0.3079707505,0.9947006119,40.41206393,0,31.99738754,0,0.2841728904,-8.324014637e-19,-7.016843409e-05,-6.006095709e-17,0.9680965669,0.9998266101,0.2824447453,0.01390071634,1,1
3.099999905,0.9999180155,-8.198452631e-05,1.302642377,0.3079108966,0.9947314807,40.45883798,0,31.99729088,0,0.2840535385,6.115851352e-19,-7.03421483e-05,5.060861047e-17,0.9681779746,0.9998266101,0.2824447751,0.0138781819,1,1
3.199999809,0.9999152226,-8.477741081e-05,1.302613511,0.3078522843,0.9947612263,40.50608198,0,31.99719237,0,0.2839348663,3.836479502e-19,-7.038141561e-05,4.176921215e-17,0.9681008616,0.9998266101,0.2824447751,0.01390538461,1,1
