x,y,theta
0,0,-2.3546
1,0,-2.34341
2,0,-2.32702
3,0,-2.31011
4,0,-2.29266
5,0,-2.27465
6,0,-2.25608
7,0,-2.23692
8,0,-2.21717
9,0,-2.19681
10,0,-2.17583
11,0,-2.15423
12,0,-2.13199
13,0,-2.10912
14,0,-2.08559
15,0,-2.0593
16,0,-2.03546
17,0,-2.01118
18,0,-1.98512
19,0,-1.95844
20,0,-1.93116
21,0,-1.90332
22,0,-1.87492
23,0,-1.84601
24,0,-1.81662
25,0,-1.78679
26,0,-1.75656
27,0,-1.72598
28,0,-1.69511
29,0,-1.664
30,0,-1.6327
31,0,-1.59999
32,0,-1.56908
33,0,-1.53832
34,0,-1.5069
35,0,-1.47561
36,0,-1.4445
37,0,-1.41363
38,0,-1.38307
39,0,-1.35285
40,0,-1.32303
41,0,-1.29366
42,0,-1.26476
43,0,-1.23639
44,0,-1.20856
45,0,-1.1813
46,0,-1.15464
47,0,-1.12846
48,0,-1.1031
49,0,-1.0784
50,0,-1.05426
51,0,-1.03076
52,0,-1.0079
53,0,-0.98569
54,0,-0.96411
55,0,-0.943159
56,0,-0.922824
57,0,-0.903097
58,0,-0.883965
59,0,-0.865415
60,0,-0.847432
61,0,-0.830003
62,0,-0.813112
63,0,-0.799656
0,1,-2.36756
1,1,-2.35549
2,1,-2.33908
3,1,-2.32214
4,1,-2.30465
5,1,-2.28658
6,1,-2.26793
7,1,-2.24868
8,1,-2.22881
9,1,-2.20831
10,1,-2.18717
11,1,-2.16538
12,1,-2.14292
13,1,-2.1198
14,1,-2.096
15,1,-2.07152
16,1,-2.04638
17,1,-2.02056
18,1,-1.99408
19,1,-1.96695
20,1,-1.9392
21,1,-1.91083
22,1,-1.88189
23,1,-1.85239
24,1,-1.82238
25,1,-1.7919
26,1,-1.761
27,1,-1.72972
28,1,-1.69813
29,1,-1.66627
30,1,-1.63423
31,1,-1.60204
32,1,-1.5698
33,1,-1.53755
34,1,-1.50537
35,1,-1.47333
36,1,-1.44148
37,1,-1.4099
38,1,-1.37863
39,1,-1.34774
40,1,-1.31727
41,1,-1.28728
42,1,-1.2578
43,1,-1.22887
44,1,-1.20053
45,1,-1.17279
46,1,-1.14569
47,1,-1.11923
48,1,-1.09344
49,1,-1.06832
50,1,-1.04387
51,1,-1.02009
52,1,-0.99699
53,1,-0.974559
54,1,-0.952789
55,1,-0.931673
56,1,-0.9112
57,1,-0.891355
58,1,-0.872127
59,1,-0.853501
60,1,-0.83546
61,1,-0.817989
62,1,-0.801072
63,1,-0.7885
0,2,-2.38395
1,2,-2.37189
2,2,-2.35549
3,2,-2.33853
4,2,-2.32099
5,2,-2.30287
6,2,-2.28413
7,2,-2.26477
8,2,-2.24476
9,2,-2.22409
10,2,-2.20274
11,2,-2.1807
12,2,-2.15797
13,2,-2.13452
14,2,-2.11036
15,2,-2.08548
16,2,-2.05987
17,2,-2.03355
18,2,-2.00652
19,2,-1.97879
20,2,-1.95037
21,2,-1.9213
22,2,-1.8916
23,2,-1.8613
24,2,-1.83043
25,2,-1.79905
26,2,-1.76721
27,2,-1.73496
28,2,-1.70236
29,2,-1.66947
30,2,-1.63637
31,2,-1.60312
32,2,-1.5698
33,2,-1.53648
34,2,-1.50323
35,2,-1.47013
36,2,-1.43725
37,2,-1.40466
38,2,-1.37242
39,2,-1.34059
40,2,-1.30923
41,2,-1.27838
42,2,-1.2481
43,2,-1.21841
44,2,-1.18936
45,2,-1.16097
46,2,-1.13326
47,2,-1.10625
48,2,-1.07996
49,2,-1.05438
50,2,-1.02952
51,2,-1.00538
52,2,-0.981962
53,2,-0.959251
54,2,-0.937241
55,2,-0.91592
56,2,-0.895275
57,2,-0.87529
58,2,-0.85595
59,2,-0.837238
60,2,-0.819136
61,2,-0.801627
62,2,-0.784691
63,2,-0.772116
0,3,-2.40087
1,3,-2.38883
2,3,-2.37245
3,3,-2.35549
4,3,-2.33793
5,3,-2.31976
6,3,-2.30096
7,3,-2.2815
8,3,-2.26136
9,3,-2.24053
10,3,-2.219
11,3,-2.19673
12,3,-2.17372
13,3,-2.14996
14,3,-2.12544
15,3,-2.10015
16,3,-2.07409
17,3,-2.04725
18,3,-2.01966
19,3,-1.9913
20,3,-1.96221
21,3,-1.93241
22,3,-1.90191
23,3,-1.87076
24,3,-1.839
25,3,-1.80667
26,3,-1.77383
27,3,-1.74055
28,3,-1.70687
29,3,-1.67288
30,3,-1.63866
31,3,-1.60427
32,3,-1.5698
33,3,-1.53533
34,3,-1.50094
35,3,-1.46672
36,3,-1.43274
37,3,-1.39908
38,3,-1.3658
39,3,-1.33298
40,3,-1.30066
41,3,-1.26892
42,3,-1.23779
43,3,-1.20732
44,3,-1.17753
45,3,-1.14846
46,3,-1.12014
47,3,-1.09256
48,3,-1.06575
49,3,-1.03972
50,3,-1.01445
51,3,-0.989957
52,3,-0.966224
53,3,-0.943243
54,3,-0.921004
55,3,-0.899491
56,3,-0.878689
57,3,-0.85858
58,3,-0.839145
59,3,-0.820365
60,3,-0.802221
61,3,-0.784691
62,3,-0.767756
63,3,-0.755191
0,4,-2.41832
1,4,-2.40633
2,4,-2.38998
3,4,-2.37304
4,4,-2.35549
5,4,-2.33729
6,4,-2.31844
7,4,-2.29891
8,4,-2.27866
9,4,-2.25769
10,4,-2.23598
11,4,-2.2135
12,4,-2.19023
13,4,-2.16617
14,4,-2.14129
15,4,-2.1156
16,4,-2.08907
17,4,-2.06172
18,4,-2.03355
19,4,-2.00456
20,4,-1.97477
21,4,-1.9442
22,4,-1.91288
23,4,-1.88084
24,4,-1.84813
25,4,-1.8148
26,4,-1.78091
27,4,-1.74652
28,4,-1.7117
29,4,-1.67654
30,4,-1.64111
31,4,-1.6055
32,4,-1.5698
33,4,-1.5341
34,4,-1.49849
35,4,-1.46307
36,4,-1.42791
37,4,-1.3931
38,4,-1.35873
39,4,-1.32485
40,4,-1.29154
41,4,-1.25885
42,4,-1.22683
43,4,-1.19553
44,4,-1.16499
45,4,-1.13522
46,4,-1.10625
47,4,-1.07811
48,4,-1.05078
49,4,-1.02429
50,4,-0.998618
51,4,-0.97377
52,4,-0.949733
53,4,-0.926495
54,4,-0.904041
55,4,-0.882352
56,4,-0.861411
57,4,-0.841196
58,4,-0.821685
59,4,-0.802858
60,4,-0.784691
61,4,-0.767162
62,4,-0.750247
63,4,-0.737708
0,5,-2.43633
1,5,-2.42439
2,5,-2.40811
3,5,-2.39121
4,5,-2.37368
5,5,-2.35549
6,5,-2.33661
7,5,-2.31702
8,5,-2.29669
9,5,-2.2756
10,5,-2.25373
11,5,-2.23105
12,5,-2.20754
13,5,-2.18319
14,5,-2.15797
15,5,-2.13187
16,5,-2.10489
17,5,-2.07702
18,5,-2.04826
19,5,-2.01862
20,5,-1.98811
21,5,-1.95675
