timestep,field_energy,max_E,max_B,total_flux,avg_lorentz_force,charge_rms,current_rms,maxwell_violation
0,39269.10067,314.1627263,2.220446049e-16,8.668782648e-19,0.00655870649,0.003246556525,0.003246556524,16.28007003
1,-nan,0.07496737105,1.387778781e-17,-nan,-nan,0.003241284073,0.003241269675,nan
2,nan,0.06780674705,4.857225733e-17,-nan,nan,0.003227377761,0.003227187856,nan
3,0.001514989151,0.05125999565,2.220446049e-16,8.517189439e-19,0.0005013008763,0.003205215438,0.003204378522,0.03976835071
4,-nan,0.07911920724,2.775557562e-17,-nan,-nan,0.003175371863,0.003173061429,nan
5,nan,0.07911920724,2.220446049e-16,-nan,nan,0.003138586036,0.003133687293,nan
6,0.003739189098,0.06345903493,2.220446049e-16,8.151761043e-19,0.0007775945337,0.003095717029,0.00308696331,0.03849024844
7,-nan,0.09780854224,2.220446049e-16,-nan,-nan,0.00304770691,0.00303384347,nan
8,nan,0.07911920724,2.081668171e-17,-nan,nan,0.002995535304,0.002975467365,nan
9,0.003657255015,0.06011641472,1.387778781e-17,3.225476372e-27,0.0005254243199,0.002940173236,0.002913073269,0.03673052906
10,-nan,0.09780854224,2.220446049e-16,-nan,-nan,0.002882541867,0.002847906687,nan
11,nan,0.07911920724,2.081668171e-17,-nan,nan,0.002823479971,0.002781140264,nan
12,0.0009271783773,0.05006790273,1.387778781e-17,1.80793606e-27,0.0003882093678,0.0027637217,0.002713817261,0.03441748882
13,-nan,0.07911920724,2.081668171e-17,-nan,-nan,0.002703886911,0.002646829116,nan
14,nan,0.07911920724,2.220446049e-16,-nan,nan,0.002644481313,0.00258092089,nan
15,0.001061217789,0.03288984372,5.551115123e-17,4.821162827e-27,0.0002224925212,0.0025859092,0.00251669861,0.03220772225
16,-nan,0.08218288605,1.387778781e-17,-nan,-nan,0.002528488265,0.00245462496,nan
17,nan,0.08218288605,2.081668171e-17,-nan,nan,0.002472464299,0.002395053342,nan
18,0.001053118819,0.03288984372,0,0,0.000156902848,0.002418017734,0.002338220434,0.03013481854
19,-nan,0.08218288605,1.387778781e-17,-nan,-nan,0.002365268396,0.002284245087,nan
20,nan,0.08218288605,4.857225733e-17,-nan,nan,0.002314286091,0.002233138299,nan
21,0.00100135849,0.03418922501,2.220446049e-16,3.559812931e-19,0.0001093072927,0.002265099045,0.002184822298,0.02825913341
22,-nan,0.08218288605,2.220446049e-16,-nan,-nan,0.002217711977,0.002139157652,nan
23,nan,0.08218291718,3.469446952e-17,-nan,nan,0.002172119568,0.002095972886,nan
24,0.002561526575,0.05210638163,5.551115123e-17,8.035271378e-28,9.047328062e-05,0.002128316864,0.002055095397,0.02684653978
25,-nan,0.08218288605,0,-nan,-nan,0.002086304369,0.002016369784,nan
26,nan,0.08218288605,4.163336342e-17,-nan,nan,0.002046088694,0.001979666303,nan
27,0.0003265164659,0.0259876257,2.081668171e-17,2.410581413e-27,6.402676658e-05,0.002007676154,0.001944876636,0.02498856985
28,-nan,0.07911920724,2.220446049e-16,-nan,-nan,0.001971063736,0.00191190163,nan
29,nan,0.07911920724,4.857225733e-17,-nan,nan,0.001936232456,0.001880639523,nan
30,0.001398473586,0.04811287034,5.551115123e-17,8.838798516e-27,5.535792499e-05,0.001903136911,0.001850983993,0.02388616778
31,-nan,0.07911920724,0,-nan,-nan,0.001871703808,0.001822818128,nan
32,nan,0.07911920724,2.775557562e-17,-nan,nan,0.001841833703,0.001796014177,nan
33,0.002397235309,0.05750358233,2.775557562e-17,2.008817845e-27,4.415144824e-05,0.001813413264,0.001770444099,0.02293242103
34,-nan,0.09780854224,4.163336342e-17,-nan,-nan,0.001786326391,0.001745989025,nan
35,nan,0.07911920724,0,-nan,nan,0.001760465443,0.001722548856,nan
36,0.001645306864,0.04748106109,1.387778781e-17,4.017635689e-28,3.730339722e-05,0.001735737298,0.001700045199,0.02185542795
37,-nan,0.07911920724,4.163336342e-17,-nan,-nan,0.001712062949,0.001678417087,nan
38,nan,0.07911920724,5.551115123e-17,-nan,nan,0.001689370739,0.001657610046,nan
39,0.001240162395,0.05750656256,2.775557562e-17,4.017635689e-28,3.37036224e-05,0.001667591429,0.001637571878,0.02095238519
40,-nan,0.07911920724,2.220446049e-16,-nan,-nan,0.001646653875,0.001618246194,nan
41,nan,0.07911920724,0,-nan,nan,0.001626484996,0.001599572661,nan
42,0.001643880238,0.05750656256,0,0,2.783772252e-05,0.001607014082,0.00158149173,0.02027106533
43,-nan,0.07911920724,4.163336342e-17,-nan,-nan,0.001588178106,0.001563950972,nan
44,nan,0.07911920724,1.387778781e-17,-nan,nan,0.001569924192,0.001546906947,nan
45,0.001236121547,0.05125999565,5.551115123e-17,1.607054276e-27,2.300649704e-05,0.001552214403,0.001530330102,0.01952079605
46,-nan,0.07911920724,5.551115123e-17,-nan,-nan,0.001535023472,0.001514202379,nan
47,nan,0.07911920724,0,-nan,nan,0.001518337961,0.00149851622,nan
48,0.0008254058926,0.05125999565,1.387778781e-17,8.035271378e-28,2.273431811e-05,0.001502149445,0.001483267425,0.01881136382
49,-nan,0.07911920724,1.387778781e-17,-nan,-nan,0.001486448879,0.001468450231,nan
50,nan,0.07911920724,2.775557562e-17,-nan,nan,0.001471221383,0.00145405251,nan
