time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999999042,-9.57899019e-08,1.304296964,0.3105375341,0.9937522373,32.00999685,0,31.99999693,0,0.2890450999,-2.833300998e-18,-1.880897933e-06,8.937558575e-17,0.999564023,1,0,0.0002519657075,1,1
0.09999999404,0.9999975901,-2.409904378e-06,1.306874705,0.3105320865,0.995625327,32.10980229,0,31.99992281,0,0.2890294657,2.076356327e-18,-6.520280995e-05,1.488461273e-16,0.9997922851,1,0.953517437,8.304271425e-06,1,1
0.1999999881,0.999995426,-4.574038966e-06,1.306933466,0.3105196951,0.9957042405,32.2090193,0,31.99985343,0,0.28899171,-8.737146546e-19,-0.0001296863096,2.393490416e-16,0.9997415761,1,0.953517437,1.080474763e-05,1,1
0.2999999821,0.9999932126,-6.787396102e-06,1.307397671,0.3105001062,0.9962021458,32.30711826,0,31.9997823,0,0.2889322789,-1.711764689e-18,-0.0001882546687,-1.240549225e-16,0.9995560543,1,0,0.0002522832931,1,1
0.3999999762,0.9999908933,-9.106677989e-06,1.309061676,0.3104741457,0.9979118926,32.40360204,0,31.99970742,0,0.288854698,1.040847569e-18,-0.0002395124325,7.398211363e-17,0.9997791416,1,0.953517437,9.061966244e-06,1,1
0.5,0.999988711,-1.128895146e-05,1.310732892,0.3104426755,0.9996391141,32.49802467,0,31.99963629,0,0.2887663028,6.372387642e-18,-0.0002703481285,2.16857041e-16,0.9997955711,1,0.953517437,8.460926815e-06,1,1
0.5999999642,0.9999863774,-1.362257344e-05,1.307444295,0.3104070601,0.9964143495,32.58997253,0,31.99955923,0,0.2886654529,3.043669406e-18,-0.0003009289886,-5.120179602e-17,0.9995627674,1,0,0.0002520028953,1,1
0.6999999881,0.9999841039,-1.589612207e-05,1.307209547,0.3103609679,0.9962564581,32.67910797,0,31.99948294,0,0.2885431667,-1.90246066e-18,-0.0003286295835,-1.172842427e-16,0.9997458024,1,0.953517437,1.054512239e-05,1,1
0.7999999523,0.999981743,-1.825698311e-05,1.308099714,0.3103161938,0.997223599,32.76514737,0,31.99940255,0,0.2884275326,1.664316395e-18,-0.0003562444031,-4.274259647e-17,0.9997387127,1,0.953517437,1.079562313e-05,1,1
0.8999999762,0.9999793178,-2.068224779e-05,1.306691843,0.3102689104,0.9958956256,32.84788241,0,31.99931845,0,0.2883108057,-6.219131328e-19,-0.0003684217843,6.226045686e-18,0.999746318,1,0.953517437,1.047358092e-05,1,1
1,0.9999769946,-2.300538839e-05,1.308439855,0.3102103686,0.9977343461,32.92718162,0,31.99923597,0,0.2881733741,-4.495360085e-19,-0.0003884963873,-1.645790796e-16,0.9995463401,1,0,0.0002525855901,1,1
1.100000024,0.9999745523,-2.544768054e-05,1.310366567,0.3101645286,0.9997379391,33.00297298,0,31.99914778,0,0.2880734695,-6.05880877e-19,-0.0003916480691,-6.120159158e-17,0.9998279551,1,0.953517437,7.358733014e-06,1,1
1.199999928,0.9999720782,-2.79218452e-05,1.308550308,0.310092516,0.9980231319,33.07526389,0,31.99905639,0,0.2879232065,-3.785739295e-18,-0.0004020758746,1.002586986e-16,0.9996016212,1,0,0.0002504105405,1,1
1.299999952,0.9999696152,-3.038484684e-05,1.308616237,0.3100162545,0.9981928754,33.14412613,0,31.99896345,0,0.2877731729,4.325153508e-19,-0.0004071286116,1.880289031e-17,0.9997461634,1,0.953517437,1.044498605e-05,1,1
1.399999976,0.9999670598,-3.294015475e-05,1.308766537,0.3099448594,0.9984401193,33.2096848,0,31.99886529,0,0.2876411105,-7.106056677e-18,-0.0004079985784,-1.429915468e-16,0.9997369491,1,0.953517437,1.08253866e-05,1,1
1.5,0.9999644822,-3.551777257e-05,1.309125529,0.3098837317,0.998883804,33.27212177,0,31.99876417,0,0.2875377994,-3.502680574e-18,-0.0004060375754,-1.156504338e-18,0.9997368213,1,0.953517437,1.097841821e-05,1,1
1.599999905,0.9999617177,-3.828231317e-05,1.30844641,0.3098083044,0.9983018067,33.33165375,0,31.99865496,0,0.2874173633,-1.391910745e-18,-0.0003993461766,-4.136158497e-17,0.9997241042,1,0.953517437,1.130669321e-05,1,1
1.699999928,0.9999591531,-4.084685531e-05,1.30861405,0.3097409044,0.9985568386,33.3885488,0,31.99854976,0,0.2873181991,1.868577906e-18,-0.0003905468994,-1.732460219e-16,0.9997651964,1,0.953517437,9.674222336e-06,1,1
1.799999952,0.9999564092,-4.359079268e-05,1.309306586,0.309682245,0.9993265137,33.44307276,0,31.99843685,0,0.2872392632,-2.655449743e-18,-0.0003810113631,-6.492407625e-17,0.9998058173,1,0.953517437,8.401792016e-06,1,1
1.899999976,0.9999536016,-4.639838788e-05,1.309365886,0.3096191558,0.9994660461,33.49552264,0,31.99831986,0,0.2871619592,-6.005008751e-19,-0.000369817112,1.626878608e-16,0.9995843864,1,0,0.0002513464912,1,1
2,0.9999508361,-4.916391801e-05,1.308964056,0.3095650732,0.9991342581,33.54620102,0,31.99820221,0,0.2871028059,-4.353959113e-19,-0.0003591033984,-4.600486831e-17,0.9997552354,1,0.953517437,1.012909036e-05,1,1
2.099999905,0.9999480766,-5.192343735e-05,1.309390365,0.3095155534,0.9996249755,33.5954044,0,31.99808284,0,0.2870573705,-9.857830676e-19,-0.0003538090827,-3.420663125e-17,0.9997366771,1,0.953517437,1.094634217e-05,1,1
2.200000048,0.9999452312,-5.476882583e-05,1.309303594,0.3094692091,0.9995984426,33.64341832,0,31.99795883,0,0.2870195042,-2.07287141e-18,-0.0003455792999,-7.801863406e-17,0.9997675804,1,0.953517437,9.56263836e-06,1,1
2.299999952,0.999942495,-5.75049644e-05,1.309087529,0.3094203839,0.9994441482,33.69052368,0,31.99783698,0,0.2869861195,9.855714601e-19,-0.0003374090015,7.338980798e-17,0.9997490709,1,0.953517437,1.022680341e-05,1,1
2.399999857,0.9999396896,-6.031035311e-05,1.309307213,0.309370878,0.9997253581,33.73696955,0,31.99771122,0,0.286959383,-2.665586965e-18,-0.0003302524878,-4.418657322e-17,0.9998086799,1,0.953517437,7.999989854e-06,1,1
2.5,0.9999368235,-6.317646545e-05,1.309063763,0.3093337507,0.9995301427,33.78298815,0,31.99758211,0,0.2869439721,-6.682244141e-19,-0.0003255112731,5.179121158e-18,0.9997549113,1,0.953517437,1.004096241e-05,1,1
2.599999905,0.9999339801,-6.601987583e-05,1.309210544,0.3092947274,0.9997261546,33.82878927,0,31.99745194,0,0.2869326659,-1.002061267e-18,-0.0003215726408,-8.326701543e-17,0.9997872606,1,0.953517437,8.826833824e-06,1,1
2.700000048,0.9999311202,-6.887975237e-05,1.30936543,0.3092567395,0.9999283558,33.87455157,0,31.99732016,0,0.2869260726,1.109229974e-18,-0.0003187942221,-1.567677722e-16,0.9995805626,1,0,0.000251319652,1,1
2.799999952,0.9999283905,-7.160948962e-05,1.309059962,0.3092176901,0.9996704135,33.92043302,0,31.99719122,0,0.2869225071,3.072689111e-18,-0.0003164037009,6.899542878e-17,0.9998045881,1,0.953517437,8.15653709e-06,1,1
2.899999857,0.9999254957,-7.450431181e-05,1.308957451,0.309193536,0.9995997241,33.9665496,0,31.99705613,0,0.2869226581,-4.818775299e-19,-0.0003162191373,2.371921915e-17,0.9997258855,1,0.953517437,1.131137027e-05,1,1
3,0.9999226593,-7.734069215e-05,1.308821909,0.309159771,0.9995048629,34.01301051,0,31.99692189,0,0.286924397,1.180797195e-18,-0.0003176956827,3.361163266e-17,0.9997266182,1,0.953517437,1.12578696e-05,1,1
3.099999905,0.999919852,-8.014798569e-05,1.308766133,0.3091325675,0.9994825195,34.05989231,0,31.99678758,0,0.2869274986,1.409446476e-18,-0.0003194283932,-3.970022197e-17,0.9997639567,1,0.953517437,9.554535155e-06,1,1
3.199999809,0.9999170889,-8.29111323e-05,1.308697289,0.3091086293,0.9994432286,34.10725184,0,31.99665386,0,0.2869305817,6.352658126e-19,-0.0003206774977,7.17508023e-17,0.9995644412,1,0,0.0002519383434,1,1
3.299999952,0.9999142511,-8.574891193e-05,1.308975585,0.3090829158,0.9997523133,34.15512328,0,31.99651721,0,0.2869339879,-3.436449075e-19,-0.0003255454274,-2.231849871e-17,0.999790958,1,0.953517437,8.588655083e-06,1,1
3.399999857,0.9999114976,-8.850238832e-05,1.308610025,0.3090539886,0.9994202927,34.20353356,0,31.99638267,0,0.2869374884,7.156928964e-19,-0.0003328503381,-5.371928002e-17,0.9995335976,1,0,0.0002530617177,1,1
3.5,0.9999086956,-9.13044369e-05,1.308564568,0.3090277704,0.9994052755,34.25248607,0,31.99624597,0,0.2869396801,7.213852692e-19,-0.0003395309169,-6.303315585e-17,0.9997457027,1,0.953517437,1.049666018e-05,1,1
3.599999905,0.9999058308,-9.41692248e-05,1.308670414,0.3090049259,0.9995378612,34.30197724,0,31.99610707,0,0.2869402721,1.494579093e-18,-0.0003441250255,2.090269213e-19,0.9997588159,1,0.953517437,9.776159669e-06,1,1
3.699999809,0.9999029515,-9.704854951e-05,1.308831702,0.3089843109,0.9997233903,34.35199636,0,31.99596723,0,0.2869394186,-2.184538028e-18,-0.0003473758583,7.959214047e-17,0.9998077199,1,0.953517437,7.87150222e-06,1,1
3.799999952,0.9999001407,-9.985929219e-05,1.308467502,0.3089617131,0.9993851925,34.40252656,0,31.99582931,0,0.2869372064,-1.242105951e-18,-0.000353776117,-3.261455526e-17,0.999527466,1,0,0.0002532806755,1,1
3.899999857,0.9998972577,-0.0001027422584,1.308626666,0.3089424051,0.9995668838,34.45353877,0,31.99568883,0,0.2869337108,-1.990178843e-20,-0.0003573350466,-5.407294085e-17,0.9997682258,1,0.953517437,9.748424355e-06,1,1
4,0.9998944293,-0.0001055706554,1.308429836,0.3089227396,0.9993927812,34.50500929,0,31.99554987,0,0.2869287916,-2.262530886e-18,-0.0003620406028,-2.564466495e-17,0.9998101859,1,0.953517437,7.930971233e-06,1,1
4.099999905,0.9998916938,-0.0001083062042,1.308394463,0.3088809822,0.9994020885,34.55691008,0,31.99541375,0,0.2868926297,-2.25930507e-18,-0.0004019451358,-2.684760377e-17,0.9997629249,1,0.953517437,9.924320557e-06,1,1
4.199999809,0.999888836,-0.000111164029,1.308378002,0.3088551439,0.999414265,34.60920308,0,31.99527357,0,0.2868706396,-6.385113777e-19,-0.000420899892,3.721364346e-18,0.9997459164,1,0.953517437,1.055281012e-05,1,1
4.299999714,0.9998860433,-0.0001139566994,1.308537401,0.308829875,0.9996016154,34.6618647,0,31.99513547,0,0.2868471601,1.96361483e-18,-0.0004381298069,-7.896125964e-18,0.9997715445,1,0.953517437,9.72363487e-06,1,1
4.400000095,0.9998831575,-0.0001168424963,1.308524395,0.3088073142,0.9996137456,34.71486078,0,31.99499362,0,0.2868227786,-4.191774008e-19,-0.0004529957265,-1.243591762e-16,0.9997420261,1,0.953517437,1.076423237e-05,1,1
4.5,0.9998801496,-0.0001198503548,1.308353406,0.308788397,0.9994641454,34.76816273,0,31.99484743,0,0.286799695,4.908834322e-18,-0.000465174841,-1.094702446e-16,0.9997245193,1,0.953517437,1.115875867e-05,1,1
