x,y,theta
0,0,-2.3546
1,0,-2.35139
2,0,-2.34338
3,0,-2.33525
4,0,-2.32699
5,0,-2.3186
6,0,-2.31008
7,0,-2.30142
8,0,-2.29262
9,0,-2.28369
10,0,-2.27462
11,0,-2.2654
12,0,-2.25604
13,0,-2.24654
14,0,-2.23688
15,0,-2.22489
16,0,-2.21536
17,0,-2.20703
18,0,-2.19677
19,0,-2.18636
20,0,-2.1758
21,0,-2.16507
22,0,-2.15419
23,0,-2.14315
24,0,-2.13196
25,0,-2.1206
26,0,-2.10908
27,0,-2.0974
28,0,-2.08556
29,0,-2.07355
30,0,-2.06139
31,0,-2.04794
32,0,-2.03512
33,0,-2.02395
34,0,-2.01115
35,0,-1.99819
36,0,-1.98508
37,0,-1.97182
38,0,-1.9584
39,0,-1.94484
40,0,-1.93113
41,0,-1.91728
42,0,-1.90328
43,0,-1.88915
44,0,-1.87489
45,0,-1.8605
46,0,-1.84598
47,0,-1.83036
48,0,-1.81477
49,0,-1.80173
50,0,-1.78677
51,0,-1.7717
52,0,-1.75654
53,0,-1.74129
54,0,-1.72597
55,0,-1.71056
56,0,-1.6951
57,0,-1.67957
58,0,-1.66399
59,0,-1.64836
60,0,-1.63269
61,0,-1.61699
62,0,-1.60127
63,0,-1.58427
64,0,-1.56885
65,0,-1.55405
66,0,-1.53832
67,0,-1.5226
68,0,-1.50691
69,0,-1.49124
70,0,-1.47562
71,0,-1.46004
72,0,-1.44451
73,0,-1.42905
74,0,-1.41365
75,0,-1.39833
76,0,-1.38309
77,0,-1.36793
78,0,-1.35287
79,0,-1.33759
80,0,-1.32242
81,0,-1.30831
82,0,-1.29368
83,0,-1.27917
84,0,-1.26479
85,0,-1.25054
86,0,-1.23642
87,0,-1.22243
88,0,-1.20859
89,0,-1.19489
90,0,-1.18134
91,0,-1.16793
92,0,-1.15468
93,0,-1.14158
94,0,-1.12864
95,0,-1.11572
96,0,-1.10309
97,0,-1.09075
98,0,-1.07843
99,0,-1.06628
100,0,-1.05429
101,0,-1.04246
102,0,-1.0308
103,0,-1.01929
104,0,-1.00794
105,0,-0.996754
106,0,-0.985726
107,0,-0.974858
108,0,-0.964147
109,0,-0.953593
110,0,-0.943194
111,0,-0.933142
112,0,-0.922818
113,0,-0.91292
114,0,-0.903132
115,0,-0.893492
116,0,-0.883999
117,0,-0.874651
118,0,-0.865448
119,0,-0.856386
120,0,-0.847464
121,0,-0.838681
122,0,-0.830034
123,0,-0.821522
124,0,-0.813142
125,0,-0.804894
126,0,-0.796774
127,0,-0.791341
0,1,-2.35959
1,1,-2.35549
2,1,-2.34748
3,1,-2.33935
4,1,-2.33108
5,1,-2.32269
6,1,-2.31416
7,1,-2.30549
8,1,-2.29669
9,1,-2.28775
10,1,-2.27866
11,1,-2.26943
12,1,-2.26006
13,1,-2.25054
14,1,-2.24087
15,1,-2.23105
16,1,-2.22108
17,1,-2.21095
18,1,-2.20067
19,1,-2.19023
20,1,-2.17964
21,1,-2.16888
22,1,-2.15797
23,1,-2.14689
24,1,-2.13565
25,1,-2.12425
26,1,-2.11269
27,1,-2.10096
28,1,-2.08907
29,1,-2.07702
30,1,-2.0648
31,1,-2.05242
32,1,-2.03988
33,1,-2.02718
34,1,-2.01431
35,1,-2.00129
36,1,-1.98811
37,1,-1.97477
38,1,-1.96128
39,1,-1.94763
40,1,-1.93384
41,1,-1.9199
42,1,-1.90582
43,1,-1.8916
44,1,-1.87724
45,1,-1.86275
46,1,-1.84813
47,1,-1.83339
48,1,-1.81854
49,1,-1.80357
50,1,-1.78849
51,1,-1.77331
52,1,-1.75804
53,1,-1.74267
54,1,-1.72723
55,1,-1.7117
56,1,-1.69611
57,1,-1.68046
58,1,-1.66475
59,1,-1.649
60,1,-1.63321
61,1,-1.61738
62,1,-1.60153
63,1,-1.58567
64,1,-1.5698
65,1,-1.55392
66,1,-1.53806
67,1,-1.52221
68,1,-1.50639
69,1,-1.4906
70,1,-1.47485
71,1,-1.45915
72,1,-1.4435
73,1,-1.42791
74,1,-1.41239
75,1,-1.39695
76,1,-1.38159
77,1,-1.36632
78,1,-1.35115
79,1,-1.33608
80,1,-1.32112
81,1,-1.30627
82,1,-1.29154
83,1,-1.27693
84,1,-1.26245
85,1,-1.2481
86,1,-1.23388
87,1,-1.21981
88,1,-1.20588
89,1,-1.1921
90,1,-1.17847
91,1,-1.16499
92,1,-1.15166
93,1,-1.13849
94,1,-1.12547
95,1,-1.11262
96,1,-1.09993
97,1,-1.0874
98,1,-1.07503
99,1,-1.06282
100,1,-1.05078
101,1,-1.0389
102,1,-1.02719
103,1,-1.01564
104,1,-1.00425
105,1,-0.993025
106,1,-0.981962
107,1,-0.971059
108,1,-0.960317
109,1,-0.949733
110,1,-0.939307
111,1,-0.929038
112,1,-0.918924
113,1,-0.908964
114,1,-0.899156
115,1,-0.889498
116,1,-0.879989
117,1,-0.870627
118,1,-0.861411
119,1,-0.852338
120,1,-0.843407
121,1,-0.834615
122,1,-0.825961
123,1,-0.817443
124,1,-0.809059
125,1,-0.800807
126,1,-0.792685
127,1,-0.788471
0,2,-2.36759
1,2,-2.36349
2,2,-2.35549
3,2,-2.34735
4,2,-2.33908
5,2,-2.33068
6,2,-2.32214
7,2,-2.31347
8,2,-2.30465
9,2,-2.29569
10,2,-2.28658
11,2,-2.27733
12,2,-2.26793
13,2,-2.25838
14,2,-2.24868
15,2,-2.23882
16,2,-2.22881
17,2,-2.21864
18,2,-2.20831
19,2,-2.19782
20,2,-2.18717
21,2,-2.17636
22,2,-2.16538
23,2,-2.15423
24,2,-2.14292
25,2,-2.13144
26,2,-2.1198
27,2,-2.10798
28,2,-2.096
29,2,-2.08385
30,2,-2.07152
31,2,-2.05903
32,2,-2.04638
33,2,-2.03355
34,2,-2.02056
35,2,-2.0074
36,2,-1.99408
37,2,-1.9806
38,2,-1.96695
39,2,-1.95315
40,2,-1.9392
41,2,-1.92509
42,2,-1.91083
43,2,-1.89643
44,2,-1.88189
45,2,-1.86721
46,2,-1.85239
47,2,-1.83745
48,2,-1.82238
49,2,-1.8072
50,2,-1.7919
51,2,-1.7765
52,2,-1.761
53,2,-1.7454
54,2,-1.72972
55,2,-1.71396
56,2,-1.69813
57,2,-1.68223
58,2,-1.66627
59,2,-1.65027
60,2,-1.63423
61,2,-1.61815
62,2,-1.60204
63,2,-1.58592
64,2,-1.5698
65,2,-1.55367
66,2,-1.53755
67,2,-1.52145
68,2,-1.50537
69,2,-1.48933
70,2,-1.47333
71,2,-1.45738
72,2,-1.44148
73,2,-1.42565
74,2,-1.4099
75,2,-1.39422
76,2,-1.37863
77,2,-1.36313
78,2,-1.34774
79,2,-1.33245
80,2,-1.31727
81,2,-1.30222
82,2,-1.28728
83,2,-1.27248
84,2,-1.2578
85,2,-1.24327
86,2,-1.22887
87,2,-1.21463
88,2,-1.20053
89,2,-1.18658
90,2,-1.17279
91,2,-1.15916
92,2,-1.14569
93,2,-1.13238
94,2,-1.11923
95,2,-1.10625
96,2,-1.09344
97,2,-1.08079
98,2,-1.06832
99,2,-1.05601
