time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000000939,9.389934343e-07,1.627393673,0.7100940642,0.9172996091,64.01006002,0,64.00006011,0,0.8165474054,7.283567778e-19,-2.877598947e-05,-7.734449096e-17,0.9836374464,0.9999580383,0.3240173459,0.007263749219,1,0
0.09999999404,0.9999987567,-1.243332638e-06,1.627199119,0.7086997564,0.9184993624,64.10988982,0,63.99992021,0,0.8155364337,9.669809298e-19,-0.0003182183176,2.659665457e-16,0.9836135685,0.9999580383,0.3240295053,0.007285211773,1,1
0.1999999881,0.9999964882,-3.511806273e-06,1.628712017,0.7074304227,0.9212815947,64.20956437,0,63.99977414,0,0.8144497243,-1.896446492e-19,-0.000594759362,-5.960916691e-17,0.9836203134,0.9999580383,0.3240419626,0.007281853947,1,1
0.2999999821,0.9999940696,-5.930351699e-06,1.625842056,0.7062783686,0.9195636879,64.30894711,0,63.99961585,0,0.8132945301,7.705720873e-19,-0.0008585228362,2.353370354e-16,0.9831138866,0.9999580383,0,0.007765624676,1,1
0.3999999762,0.9999917281,-8.271945406e-06,1.629988094,0.7052338976,0.9247541967,64.40792766,0,63.99945651,0,0.8120809603,1.037036502e-18,-0.001110776552,-2.467323984e-16,0.9836377417,0.9999580383,0.3240675926,0.007274216454,1,1
0.5,0.9999894153,-1.058468064e-05,1.631636412,0.7042844499,0.927351962,64.50638771,0,63.99928941,0,0.8108174773,-3.474896314e-19,-0.001347484669,3.028313387e-16,0.9836212785,0.9999580383,0.3240807652,0.007267294119,1,1
0.5999999642,0.9999870658,-1.293422983e-05,1.632949286,0.7034156241,0.9295336621,64.60422308,0,63.99910567,0,0.8095175599,-2.252085232e-19,-0.001572852072,1.599082921e-17,0.9836163421,0.9999580383,0.3240941465,0.00728099808,1,1
0.6999999881,0.9999847226,-1.527741073e-05,1.633670526,0.7026115735,0.9310589521,64.701355,0,63.99890303,0,0.8081897966,1.253457284e-19,-0.001785084075,-9.034206142e-17,0.9836219659,0.9999580383,0.3241077363,0.007279071981,1,1
0.7999999523,0.9999823306,-1.766935974e-05,1.633478433,0.7018572035,0.9316212293,64.79772176,0,63.99867257,0,0.8068433849,6.039051782e-19,-0.001990039707,-2.633791175e-17,0.9835777731,0.9999580383,0.3241215348,0.007295138666,1,1
0.8999999762,0.9999798355,-2.016451265e-05,1.63495916,0.7011382049,0.9338209554,64.89328895,0,63.99840505,0,0.8054835649,-1.915947581e-18,-0.002181493311,1.261797327e-16,0.9836329425,0.9999580383,0.3241354823,0.0072588107,1,1
1,0.9999774579,-2.254212778e-05,1.635391403,0.7004427171,0.9349486856,64.98806973,0,63.99810889,0,0.8041213692,-7.067441493e-19,-0.002364262217,-4.354574761e-17,0.9836119082,0.9999580383,0.3241496384,0.00729989262,1,1
1.100000024,0.9999751527,-2.484725549e-05,1.637480154,0.6997603412,0.9377198124,65.08209008,0,63.99777511,0,0.8027611161,5.083359743e-19,-0.002536867638,5.489316412e-17,0.9831512427,0.9999580383,0,0.007754371657,1,1
1.199999928,0.9999727699,-2.723007627e-05,1.6376654,0.6990833458,0.938582054,65.17539786,0,63.99738924,0,0.8014032738,-4.799650307e-19,-0.002700932622,3.202673817e-17,0.9836511642,0.9999580383,0.3241781294,0.007257364354,1,1
1.299999952,0.9999704074,-2.959259723e-05,1.636309827,0.6984058915,0.9379039351,65.26808207,0,63.99695339,0,0.8000561977,8.95592036e-19,-0.002855233256,1.38793952e-16,0.983603463,0.9999580383,0.3241924644,0.007268588276,1,1
1.399999976,0.9999679793,-3.202072294e-05,1.636906605,0.6977237993,0.9391828058,65.36023875,0,63.99645926,0,0.7987184902,2.969963297e-19,-0.002998825363,-7.667353043e-17,0.9836186094,0.9999580383,0.3242067099,0.00729064833,1,1
1.5,0.9999655487,-3.445125995e-05,1.637798918,0.6970363758,0.9407625421,65.45198701,0,63.99590988,0,0.797388878,7.398795749e-19,-0.003139584141,-1.07199834e-16,0.9836448409,0.9999580383,0.3242209852,0.007255098518,1,1
1.599999905,0.9999630335,-3.69665471e-05,1.636643014,0.6963398172,0.9403031972,65.54344231,0,63.99530156,0,0.7960688735,-8.232033844e-19,-0.003267163306,-9.748543637e-17,0.9836315033,0.9999580383,0.3242351413,0.007270621791,1,1
1.699999928,0.9999606668,-3.93331928e-05,1.636985424,0.695636716,0.9413487076,65.63474132,0,63.99465307,0,0.7947525244,1.426082317e-20,-0.00339485694,4.593059433e-17,0.9835985141,0.9999580383,0.3242493272,0.007294092407,1,1
1.799999952,0.9999582639,-4.173605184e-05,1.637964388,0.6949202463,0.9430441419,65.72598774,0,63.99395769,0,0.7934445567,2.0378541e-18,-0.003520059967,-1.535948176e-17,0.9836500296,0.9999580383,0.3242635727,0.00725648344,1,1
1.899999976,0.9999558891,-4.411085245e-05,1.636676208,0.6941881529,0.9424880553,65.81729202,0,63.99322669,0,0.7921418903,-6.740372728e-19,-0.003639651313,1.858951437e-17,0.983602485,0.9999580383,0.3242778778,0.007267418973,1,1
2,0.9999534849,-4.651514528e-05,1.6373779,0.6934434532,0.9439344471,65.90874438,0,63.99246487,0,0.7908412598,5.096689371e-19,-0.003758382359,-7.625679182e-17,0.9836187512,0.9999580383,0.3242924511,0.007273099417,1,1
2.099999905,0.9999510386,-4.896144251e-05,1.637586019,0.6926794571,0.9449065622,66.00042326,0,63.99168038,0,0.7895440303,-4.712634065e-20,-0.003872529189,-4.712557743e-17,0.9836219284,0.9999580383,0.3243072331,0.0072893513,1,1
2.200000048,0.9999485961,-5.140388583e-05,1.637018484,0.6918933803,0.9451251036,66.09239492,0,63.99088545,0,0.7882483907,-1.321131412e-18,-0.003984159078,-1.993469189e-17,0.9836394255,0.9999580383,0.3243223727,0.007287237194,1,1
2.299999952,0.9999462083,-5.379174423e-05,1.636908218,0.6910817579,0.9458264599,66.18470835,0,63.99009238,0,0.7869562867,-2.098258395e-19,-0.004097392911,-5.936630872e-17,0.983626123,0.9999580383,0.3243379295,0.007268342672,1,1
2.399999857,0.9999437237,-5.62762615e-05,1.636527283,0.6902466563,0.9462806262,66.27738243,0,63.98930074,0,0.7856596542,-8.587135647e-19,-0.004213991752,5.499146876e-17,0.9836113179,0.9999580383,0.3243538737,0.007284286666,1,1
2.5,0.9999413183,-5.868166228e-05,1.637211838,0.6893815556,0.9478302826,66.37044082,0,63.98852984,0,0.7843674685,-1.168268125e-18,-0.004328063717,-2.488524783e-17,0.9836589235,0.9999580383,0.324370265,0.0072512893,1,1
2.599999905,0.9999388535,-6.114651181e-05,1.636946339,0.6884852544,0.9484610843,66.46386995,0,63.98777774,0,0.783074267,-5.966559224e-19,-0.004450976145,1.449644443e-17,0.983617253,0.9999580383,0.3243870735,0.007260067271,1,1
2.700000048,0.9999363401,-6.365991511e-05,1.636532799,0.687557377,0.9489754222,66.55765216,0,63.98705049,0,0.7817836124,-3.813439884e-19,-0.004569653156,-2.569491912e-16,0.9836336439,0.9999580383,0.3244042397,0.007272609756,1,1
2.799999952,0.9999338454,-6.615461542e-05,1.636442583,0.6865966092,0.9498459739,66.65176077,0,63.98635514,0,0.7804957799,8.187285069e-19,-0.004691411259,6.633448943e-17,0.9836247624,0.9999580383,0.324421674,0.007261469377,1,1
2.899999857,0.9999314689,-6.853114115e-05,1.636121531,0.6856036664,0.9505178646,66.74616119,0,63.98569919,0,0.7792127355,-9.944327326e-19,-0.004804195418,2.804680192e-16,0.9836278182,0.9999580383,0.3244394064,0.007263524446,1,1
3,0.9999290236,-7.097641332e-05,1.637366355,0.6845804917,0.952785863,66.84079108,0,63.98506887,0,0.7779383066,-1.328273186e-19,-0.004920250836,4.867984106e-17,0.9836416664,0.9999580383,0.3244572282,0.007260021267,1,1
3.099999905,0.9999266155,-7.3384541e-05,1.637303766,0.6835277936,0.9537759722,66.93560241,0,63.98446759,0,0.7766752444,-3.468574619e-19,-0.005024270361,-3.122681542e-17,0.9835962163,0.9999580383,0.3244751096,0.007281287684,1,1
3.199999809,0.9999240887,-7.591125326e-05,1.637088664,0.6824459263,0.9546427375,67.03052529,0,63.9838799,0,0.7754224299,4.816612332e-19,-0.005120329879,-1.845956801e-17,0.9836474422,0.9999580383,0.3244930208,0.007281616232,1,1
3.299999952,0.9999216462,-7.835382335e-05,1.637957716,0.6813402342,0.9566174817,67.12551293,0,63.98331173,0,0.7741826047,3.139147775e-19,-0.005203680577,-2.433535949e-16,0.9835848946,0.9999580383,0.3245109022,0.007295859775,1,1
3.399999857,0.9999192162,-8.07837514e-05,1.637962183,0.6802118938,0.9577502892,67.22049984,0,63.98275068,0,0.7729581148,3.080627396e-19,-0.005292460886,-3.136276414e-17,0.9836242806,0.9999580383,0.3245286047,0.007281771365,1,1
3.5,0.9999167359,-8.326405049e-05,1.638496534,0.6790654448,0.9594310887,67.31542324,0,63.98218394,0,0.7717525027,-6.467453884e-19,-0.005371936338,-6.773020365e-17,0.9835759729,0.9999580383,0.3245461285,0.007292746572,1,1
3.599999905,0.9999141872,-8.58128404e-05,1.638765523,0.6779072245,0.9608582986,67.41022844,0,63.98160117,0,0.7705713626,5.759534528e-19,-0.005443364692,-6.415439292e-17,0.9836223211,0.9999580383,0.3245634139,0.00726194013,1,1
3.699999809,0.999911671,-8.832899005e-05,1.636455689,0.6767396116,0.9597160773,67.50487475,0,63.98099972,0,0.7694143546,-6.920983996e-20,-0.005512722109,-1.49821662e-16,0.9831589852,0.9999580383,0,0.007740889443,1,1
