x,y,theta
0,0,-2.35496
1,0,-2.34269
2,0,-2.32635
3,0,-2.30945
4,0,-2.29197
5,0,-2.27391
6,0,-2.25531
7,0,-2.2362
8,0,-2.21657
9,0,-2.19632
10,0,-2.17538
11,0,-2.15377
12,0,-2.13152
13,0,-2.10869
14,0,-2.08527
15,0,-2.05908
16,0,-2.03533
17,0,-2.01109
18,0,-1.98501
19,0,-1.95832
20,0,-1.93103
21,0,-1.90317
22,0,-1.87476
23,0,-1.84584
24,0,-1.81643
25,0,-1.78659
26,0,-1.75634
27,0,-1.72575
28,0,-1.69486
29,0,-1.66374
30,0,-1.63243
31,0,-1.59971
32,0,-1.56876
33,0,-1.53794
34,0,-1.5065
35,0,-1.47521
36,0,-1.44409
37,0,-1.41321
38,0,-1.38262
39,0,-1.35237
40,0,-1.32253
41,0,-1.29312
42,0,-1.2642
43,0,-1.2358
44,0,-1.20795
45,0,-1.18068
46,0,-1.154
47,0,-1.1278
48,0,-1.1024
49,0,-1.07764
50,0,-1.05346
51,0,-1.02994
52,0,-1.00708
53,0,-0.984853
54,0,-0.96326
55,0,-0.942296
56,0,-0.921946
57,0,-0.902204
58,0,-0.883046
59,0,-0.864466
60,0,-0.846471
61,0,-0.829075
62,0,-0.812272
63,0,-0.798844
0,1,-2.3669
1,1,-2.35485
2,1,-2.33844
3,1,-2.32151
4,1,-2.30399
5,1,-2.28586
6,1,-2.26718
7,1,-2.24798
8,1,-2.22822
9,1,-2.20782
10,1,-2.18672
11,1,-2.16492
12,1,-2.14246
13,1,-2.11938
14,1,-2.09567
15,1,-2.07128
16,1,-2.0462
17,1,-2.02041
18,1,-1.99393
19,1,-1.96679
20,1,-1.93902
21,1,-1.91065
22,1,-1.88168
23,1,-1.85218
24,1,-1.82215
25,1,-1.79166
26,1,-1.76074
27,1,-1.72945
28,1,-1.69784
29,1,-1.66598
30,1,-1.63392
31,1,-1.60172
32,1,-1.56944
33,1,-1.53716
34,1,-1.50497
35,1,-1.47291
36,1,-1.44105
37,1,-1.40945
38,1,-1.37816
39,1,-1.34725
40,1,-1.31676
41,1,-1.28674
42,1,-1.25724
43,1,-1.22829
44,1,-1.19992
45,1,-1.17218
46,1,-1.14505
47,1,-1.11857
48,1,-1.09275
49,1,-1.06759
50,1,-1.04312
51,1,-1.01932
52,1,-0.996198
53,1,-0.973752
54,1,-0.951963
55,1,-0.930831
56,1,-0.910339
57,1,-0.890477
58,1,-0.871225
59,1,-0.852567
60,1,-0.834517
61,1,-0.81708
62,1,-0.800271
63,1,-0.787801
0,2,-2.38343
1,2,-2.37136
2,2,-2.35494
3,2,-2.33798
4,2,-2.32041
5,2,-2.30222
6,2,-2.28345
7,2,-2.26411
8,2,-2.24418
9,2,-2.22359
10,2,-2.20229
11,2,-2.18027
12,2,-2.15754
13,2,-2.13412
14,2,-2.11
15,2,-2.08518
16,2,-2.05963
17,2,-2.03335
18,2,-2.00633
19,2,-1.97858
20,2,-1.95016
21,2,-1.92108
22,2,-1.89136
23,2,-1.86104
24,2,-1.83017
25,2,-1.79878
26,2,-1.76692
27,2,-1.73466
28,2,-1.70204
29,2,-1.66914
30,2,-1.63603
31,2,-1.60277
32,2,-1.56943
33,2,-1.53608
34,2,-1.50282
35,2,-1.4697
36,2,-1.43681
37,2,-1.4042
38,2,-1.37195
39,2,-1.3401
40,2,-1.30871
41,2,-1.27785
42,2,-1.24754
43,2,-1.21784
44,2,-1.18877
45,2,-1.16037
46,2,-1.13264
47,2,-1.10562
48,2,-1.0793
49,2,-1.0537
50,2,-1.02883
51,2,-1.00467
52,2,-0.981224
53,2,-0.958491
54,2,-0.936463
55,2,-0.915125
56,2,-0.894466
57,2,-0.874465
58,2,-0.855106
59,2,-0.836365
60,2,-0.818253
61,2,-0.800782
62,2,-0.783978
63,2,-0.77154
0,3,-2.40041
1,3,-2.38837
2,3,-2.37197
3,3,-2.355
4,3,-2.33741
5,3,-2.3192
6,3,-2.30034
7,3,-2.2809
8,3,-2.26084
9,3,-2.24007
10,3,-2.21857
11,3,-2.19633
12,3,-2.17334
13,3,-2.14961
14,3,-2.1251
15,3,-2.09983
16,3,-2.0738
17,3,-2.04701
18,3,-2.01945
19,3,-1.99108
20,3,-1.96198
21,3,-1.93216
22,3,-1.90165
23,3,-1.8705
24,3,-1.83872
25,3,-1.80638
26,3,-1.77353
27,3,-1.74023
28,3,-1.70654
29,3,-1.67254
30,3,-1.63831
31,3,-1.6039
32,3,-1.56942
33,3,-1.53493
34,3,-1.50052
35,3,-1.46628
36,3,-1.43229
37,3,-1.39861
38,3,-1.36532
39,3,-1.33248
40,3,-1.30015
41,3,-1.26839
42,3,-1.23724
43,3,-1.20675
44,3,-1.17695
45,3,-1.14787
46,3,-1.11952
47,3,-1.09193
48,3,-1.0651
49,3,-1.03905
50,3,-1.01377
51,3,-0.989263
52,3,-0.965505
53,3,-0.942499
54,3,-0.92024
55,3,-0.898714
56,3,-0.877905
57,3,-0.857785
58,3,-0.83833
59,3,-0.819515
60,3,-0.801362
