timestep,field_energy,max_E,max_B,total_flux,avg_lorentz_force,charge_rms,current_rms,maxwell_violation
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0.02541032929,0.05259193609,1.222304047e-06,1.076732651e-07,9.774931778e-05,0.0008098603408,0.0008098603408,0.01210192421
5,0.02218913838,0.05259193622,8.201884617e-07,2.164013498e-08,9.708053264e-05,0.000809094149,0.000809094149,0.01184340093
6,0.01753996611,0.053682785,8.924840817e-07,3.435504455e-08,9.683268531e-05,0.0008081945699,0.0008081945698,0.01145128226
7,0.01758516258,0.0525919384,7.046952472e-08,1.686054414e-09,9.617068555e-05,0.0008071623057,0.0008071623057,0.01144195949
8,0.01835964495,0.05259193609,1.08847092e-06,4.200686411e-08,9.538476285e-05,0.0008059990887,0.0008059990887,0.01149782997
9,0.02199441908,0.05259193609,1.0884707e-06,2.451521862e-07,9.426659064e-05,0.000804706945,0.000804706945,0.01178553379
10,0.02237762632,0.05666339079,8.924840478e-07,1.570783771e-08,9.362281676e-05,0.0008032874667,0.0008032874666,0.01179273757
11,0.02605686575,0.05344857489,1.222304047e-06,3.515807567e-08,9.246458891e-05,0.0008017428545,0.0008017428544,0.01208420811
12,0.02623572352,0.05638760654,9.058263512e-07,3.500539985e-08,9.160087847e-05,0.000800075065,0.0008000750648,0.01207636132
13,0.02350641127,0.07437622928,8.924840817e-07,1.950667759e-08,9.077540592e-05,0.0007982868443,0.0007982868441,0.01184796993
14,0.02532672429,0.06623257568,8.924840477e-07,4.24299388e-08,8.970399823e-05,0.0007963807899,0.0007963807897,0.01197165332
15,0.02169782986,0.05330653461,1.11052489e-06,2.231083994e-07,8.865430911e-05,0.0007943596339,0.0007943596336,0.01165878695
16,0.02386899217,0.0558551047,8.924840817e-07,1.867588753e-08,8.782165795e-05,0.000792226348,0.0007922263477,0.01181169973
17,0.02561196738,0.05321309979,9.322172227e-07,5.110450023e-08,8.660886931e-05,0.0007899834854,0.0007899834851,0.01193875658
18,0.02745585453,0.0525919402,9.651512578e-07,7.242840629e-08,8.537026566e-05,0.0007876345163,0.0007876345159,0.0120575164
19,0.02400574954,0.05547595274,1.222304047e-06,4.933831241e-08,8.425081094e-05,0.0007851824765,0.0007851824762,0.01175678953
20,0.02394543569,0.05311304219,1.088347509e-06,2.510487504e-07,8.294486209e-05,0.0007826312444,0.0007826312441,0.01173264347
21,0.02303789024,0.05259194134,1.165488223e-06,3.847103662e-08,8.143503065e-05,0.0007799836945,0.0007799836942,0.01162929305
22,0.02468865067,0.05511692609,8.924840817e-07,2.668192871e-08,8.018732534e-05,0.0007772437076,0.0007772437073,0.011737751
