# Test Particle Trajectory
# charge = -1, mass = 1
# t,x,y,vx,vy,E_x,E_y,B_z,F_x,F_y,KE
0.000000,60.000000,50.000000,0.000000,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000000,0.005000
0.000500,60.000000,50.000050,-0.000005,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000001,0.005000
0.001000,60.000000,50.000100,-0.000011,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000001,0.005000
0.001500,60.000000,50.000150,-0.000016,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000002,0.005000
0.002000,60.000000,50.000200,-0.000021,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000002,0.005000
0.002500,60.000000,50.000250,-0.000026,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000003,0.005000
0.003000,60.000000,50.000300,-0.000032,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000003,0.005000
0.003500,60.000000,50.000350,-0.000037,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000004,0.005000
0.004000,60.000000,50.000400,-0.000042,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000004,0.005000
0.004500,60.000000,50.000450,-0.000048,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000005,0.005000
0.005000,60.000000,50.000500,-0.000053,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000005,0.005000
0.005500,60.000000,50.000550,-0.000058,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000006,0.005000
0.006000,60.000000,50.000600,-0.000064,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000006,0.005000
0.006500,60.000000,50.000650,-0.000069,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000007,0.005000
0.007000,60.000000,50.000700,-0.000074,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000007,0.005000
0.007500,60.000000,50.000750,-0.000079,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000008,0.005000
0.008000,60.000000,50.000800,-0.000085,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000008,0.005000
0.008500,60.000000,50.000850,-0.000090,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000009,0.005000
0.009000,60.000000,50.000900,-0.000095,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000010,0.005000
0.009500,60.000000,50.000950,-0.000101,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000010,0.005000
0.010000,59.999999,50.001000,-0.000106,0.100000,0.000600,0.000000,0.100000,-0.010600,-0.000011,0.005000
