time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,0.9999999767,-2.33484474e-08,-4091.356406,0.2375873701,2.488982901,32.00049923,0,31.99999925,0,6.436482666e-11,4.093523869e-18,-5.994937376e-10,3.296636898e-16,0.999764439,1,0.953517437,9.61296633e-06,1,0
0.05000000075,0.9999855055,-1.449447164e-05,-4092.082236,0.2375865467,2.489946658,32.0500241,0,31.99953625,0,-3.638124752e-05,-6.026883343e-19,-3.84308064e-05,2.066383843e-16,0.9998563354,1,0.953517437,6.141659739e-06,1,1
0.1000000015,0.9999694752,-3.05247855e-05,-4091.623359,0.237588388,2.489950954,32.09942897,0,31.99902323,0,-5.487276159e-05,-3.275440683e-18,-5.014000873e-05,-4.088198286e-17,0.9997995462,1,0.953517437,8.84633285e-06,1,1
0.150000006,0.9999520868,-4.791317361e-05,-4091.679764,0.2375911844,2.489978761,32.14865161,0,31.99846676,0,-7.946792831e-05,-6.262169901e-18,-6.290064676e-05,-6.51543034e-17,0.9998072337,1,0.953517437,8.700515937e-06,1,1
0.200000003,0.9999339923,-6.60076905e-05,-4092.085293,0.2375968967,2.490031399,32.19764568,0,31.99788782,0,-0.0001185546187,4.726154047e-18,-7.314195868e-05,-2.810955091e-17,0.9998568005,1,0.953517437,5.903568248e-06,1,1
0.25,0.9999171298,-8.287023711e-05,-4091.638309,0.2376068537,2.490113138,32.24640961,0,31.99734786,0,-0.0001765974521,3.437992049e-18,-9.856814696e-05,-1.849131902e-16,0.9998020067,1,0.953517437,8.781643714e-06,1,1
0.3000000119,0.9998991044,-0.00010089564,-4091.5978,0.2376138605,2.490216923,32.2948022,0,31.99677114,0,-0.0002395333458,-8.973870829e-19,-0.000127191641,-4.927251495e-17,0.9997973775,1,0.953517437,9.00605453e-06,1,1
0.3500000238,0.9998820247,-0.0001179752602,-4092.345337,0.2376228446,2.490347127,32.34282874,0,31.99622399,0,-0.0002988528879,-4.510941017e-21,-0.0001381642392,-6.921799956e-17,0.9998890036,1,0.953517437,4.632043736e-06,1,1
0.400000006,0.9998639677,-0.0001360323202,-4092.21252,0.2376298499,2.490497586,32.39036816,0,31.99564633,0,-0.0003647542252,-6.943470898e-18,-0.0001584539834,-1.807098365e-17,0.9998719071,1,0.953517437,5.629362047e-06,1,1
0.4500000179,0.9998466009,-0.0001533990535,-4092.60827,0.2376406708,2.49447764,32.43741652,0,31.99509061,0,-0.0004463237486,3.110546299e-19,-0.0001850720144,1.059833056e-16,0.9999214879,1,0.953517437,2.779626118e-06,1,1
0.5,0.9998286789,-0.0001713211175,-4092.751469,0.2376479472,2.499568886,32.48387803,0,31.99451643,0,-0.000515039479,2.06747233e-18,-0.0002122344132,-1.045060378e-16,0.9999403029,1,0.9660600424,1.756069824e-06,1,1
0.5500000119,0.9998100048,-0.0001899951699,-4092.055564,0.2376570039,2.492765234,32.52969315,0,31.99391864,0,-0.0005990230896,-1.995568969e-18,-0.0002302963803,7.070027384e-18,0.9998535417,1,0.953517437,6.014121818e-06,1,1
0.6000000238,0.9997917225,-0.0002082775257,-4092.224481,0.2376677603,2.491298711,32.57485299,0,31.99333321,0,-0.0007033294544,-7.867033292e-18,-0.0002602551916,-8.112414468e-17,0.9998744068,1,0.953517437,4.991051726e-06,1,1
0.6500000358,0.9997731685,-0.0002268314511,-4091.361537,0.2376805822,2.486300111,32.61928913,0,31.99273936,0,-0.0008294248174,-3.193422175e-18,-0.00028722476,1.057115914e-16,0.9997669734,1,0.953517437,9.894852031e-06,1,1
0.7000000477,0.9997551549,-0.0002448450658,-4091.600235,0.2376911997,2.491794528,32.66298535,0,31.99216325,0,-0.0009427811357,1.278832013e-18,-0.0003054882553,-8.581924234e-17,0.9997971314,1,0.953517437,8.342622626e-06,1,1
0.7500000596,0.9997365082,-0.0002634917542,-4092.095228,0.2376975183,2.499340544,32.70586629,0,31.99156667,0,-0.001081328735,6.23305142e-19,-0.0003295464261,-4.434184847e-17,0.9998589815,1,0.953517437,5.725327133e-06,1,1
0.8000000119,0.9997170549,-0.0002829451406,-4091.7715,0.2377062988,2.490134288,32.74789057,0,31.99094464,0,-0.001246125111,-2.659874585e-18,-0.0003457971772,-4.697844672e-17,0.9998172963,1,0.953517437,7.828689024e-06,1,1
0.8500000238,0.9996976484,-0.0003023516326,-4090.538135,0.2377160682,2.499243209,32.78905673,0,31.99032386,0,-0.001387190843,1.429198139e-18,-0.0003782999367,-6.530703468e-17,0.9996534903,1,0,0.0002585556923,1,1
0.9000000358,0.9996782327,-0.0003217673206,-4091.650486,0.2377282042,2.48889644,32.82933578,0,31.98970283,0,-0.001558562355,1.047886514e-18,-0.0003959304198,2.852016809e-16,0.9998026327,1,0.953517437,8.231888278e-06,1,1
0.9500000477,0.9996586152,-0.0003413847658,-4091.966774,0.2377376014,2.493183051,32.86870062,0,31.98907547,0,-0.001717482159,5.373405067e-19,-0.0004086051565,3.110869495e-17,0.9998425112,1,0.953517437,6.210671466e-06,1,1
1,0.9996389277,-0.0003610723437,-4091.812071,0.23774387,2.493472661,32.90713585,0,31.98844617,0,-0.001938340087,-3.473405011e-18,-0.0004265681482,-1.355115547e-16,0.9998233565,1,0.953517437,7.376084245e-06,1,1
1.050000072,0.9996200547,-0.0003799453268,-4092.007183,0.2377434668,2.495515276,32.94465899,0,31.9878427,0,-0.002037370261,4.31521483e-18,-0.0004347008743,1.288888453e-16,0.9998473649,1,0.953517437,6.275019832e-06,1,1
1.100000024,0.9996005417,-0.0003994582782,-4092.342987,0.2377480737,2.494051927,32.98121092,0,31.9872187,0,-0.002193086956,-1.999581667e-18,-0.000443011231,-1.841685702e-16,0.9998881164,1,0.953517437,4.656667586e-06,1,1
1.150000095,0.9995803934,-0.0004196065714,-4091.846483,0.2377510244,2.491119347,33.01678767,0,31.98657449,0,-0.002338531989,-1.369084629e-19,-0.0004493724519,8.308993911e-18,0.9998272632,1,0.953517437,7.241887608e-06,1,1
1.200000048,0.9995601122,-0.0004398877776,-4092.336254,0.2377533805,2.494612737,33.05140502,0,31.98592618,0,-0.002505784929,1.332877628e-18,-0.00045352971,-1.481275433e-16,0.9998876883,1,0.953517437,4.798913956e-06,1,1
1.25,0.9995400411,-0.0004599588929,-4092.092061,0.237754087,2.494884885,33.08507599,0,31.98528494,0,-0.002664266014,5.014600096e-18,-0.0004558490697,-6.260208488e-17,0.9998571624,1,0.953517437,5.950567915e-06,1,1
1.300000072,0.999518379,-0.0004816210331,-4091.836551,0.2377525443,2.494668159,33.11774722,0,31.98459219,0,-0.002811755592,6.647300951e-18,-0.0004565708776,8.982827003e-18,0.9998257623,1,0.953517437,7.720144634e-06,1,1
1.350000024,0.999497687,-0.0005023129625,-4092.218302,0.2377500964,2.495399369,33.14951345,0,31.98393077,0,-0.002930217686,2.825450582e-18,-0.0004567228644,1.058486565e-16,0.9998723566,1,0.953517437,5.144635452e-06,1,1
1.400000095,0.99947713,-0.0005228700216,-4091.938898,0.237747344,2.495643644,33.18036123,0,31.98327341,0,-0.003087388486,3.287686859e-19,-0.0004551154659,2.545097967e-17,0.9998386304,1,0.953517437,6.949990021e-06,1,1
1.450000048,0.9994553231,-0.000544676912,-4092.110657,0.2377424541,2.496358935,33.21026051,0,31.98257613,0,-0.003204488896,-2.643167294e-18,-0.000452756968,1.757128632e-17,0.9998599157,1,0.953517437,5.922682721e-06,1,1
1.500000119,0.9994340606,-0.0005659394329,-4092.102911,0.2377370846,2.496092899,33.23929064,0,31.98189642,0,-0.003283115836,6.968535508e-19,-0.0004498950203,4.841194163e-17,0.9998588162,1,0.953517437,6.108782872e-06,1,1
1.550000072,0.9994125484,-0.0005874515862,-4092.514227,0.2377304481,2.498529851,33.26744681,0,31.98120848,0,-0.003358632676,-4.970746985e-18,-0.0004473763507,-1.187211874e-16,0.9999097671,1,0.953517437,3.793098144e-06,1,1
1.600000024,0.9993896111,-0.0006103888593,-4092.109402,0.237722691,2.497528888,33.2947153,0,31.98047486,0,-0.003463023839,3.06766484e-18,-0.000439600398,-3.165563451e-17,0.9998595436,1,0.953517437,6.020392661e-06,1,1
1.650000095,0.9993675143,-0.0006324856725,-4091.914887,0.2377134949,2.494952209,33.32119953,0,31.97976876,0,-0.003600701812,-1.598333677e-19,-0.0004274804657,-1.00914769e-16,0.9998358984,1,0.953517437,6.522283636e-06,1,1
1.700000048,0.9993457173,-0.0006542826722,-4092.307572,0.2377043767,2.496826267,33.34690989,0,31.97907126,0,-0.003721358964,2.338568989e-18,-0.0004151583771,1.299699196e-17,0.9998838246,1,0.953517437,5.042203791e-06,1,1
1.750000119,0.9993228105,-0.0006771894805,-4092.068446,0.2376946544,2.498052266,33.37183069,0,31.978338,0,-0.003796159887,-4.407213266e-18,-0.000410689685,3.524208176e-17,0.9998547223,1,0.953517437,6.189105508e-06,1,1
1.800000072,0.99929917,-0.0007008300191,-4091.901378,0.2376837546,2.497099265,33.39600554,0,31.97758196,0,-0.003867090111,-5.760075113e-18,-0.000407752907,1.725648255e-16,0.9998341067,1,0.953517437,6.715371823e-06,1,1
1.850000143,0.9992758538,-0.0007241462409,-4092.024418,0.2376740091,2.498188,33.41950478,0,31.97683643,0,-0.003915369692,-3.179978279e-18,-0.0004061717248,3.540646029e-17,0.9998494581,1,0.953517437,5.544737497e-06,1,1
1.900000095,0.9992528029,-0.0007471970669,-4091.830082,0.2376658574,2.498130384,33.44236202,0,31.97609924,0,-0.003944127444,-4.731186247e-18,-0.0004039685416,1.033399747e-16,0.9998257603,1,0.953517437,7.315940757e-06,1,1
1.950000048,0.9992295926,-0.000770407443,-4091.628415,0.2376573897,2.49739532,33.46459986,0,31.97535731,0,-0.003972377588,-6.262393783e-18,-0.0004008383719,1.17570569e-16,0.9998004787,1,0.953517437,8.963046013e-06,1,1
2,0.9992063994,-0.0007936006429,-4091.346947,0.2376464135,2.497463021,33.48625976,0,31.9746154,0,-0.004024339815,1.670653397e-18,-0.000392285999,4.045982827e-18,0.999765793,1,0.953517437,1.019266764e-05,1,1
2.050000191,0.999182692,-0.0008173080386,-4091.697504,0.2376360309,2.497955084,33.50736019,0,31.97385679,0,-0.004073983557,-6.967905105e-19,-0.00037634414,7.975607562e-17,0.9998086736,1,0.953517437,8.693289277e-06,1,1
2.100000143,0.9991592394,-0.0008407606368,-4091.973592,0.2376275096,2.497151366,33.52796397,0,31.97310642,0,-0.004105824346,-7.08068207e-19,-0.0003586177758,-4.970697859e-17,0.9998432492,1,0.953517437,6.670401003e-06,1,1
2.150000095,0.9991358564,-0.0008641436207,-4091.934679,0.237618058,2.49772202,33.54810171,0,31.97235868,0,-0.004129959129,-1.303755578e-18,-0.0003539714377,-2.892018105e-17,0.9998377341,1,0.953517437,7.156198491e-06,1,1
2.200000048,0.9991130121,-0.000886987859,-4091.815119,0.2376066634,2.497594412,33.56782615,0,31.97162813,0,-0.004165426928,-2.893795653e-18,-0.0003460386098,5.886632494e-17,0.9998230464,1,0.953517437,7.191847473e-06,1,1
2.25,0.9990891695,-0.0009108305371,-4091.054215,0.2375951384,2.497500303,33.58712166,0,31.97086527,0,-0.004193570592,2.360565807e-18,-0.0003439762247,8.145447696e-17,0.9997293992,1,0.953517437,1.137698205e-05,1,1
2.300000191,0.9990664295,-0.0009335705201,-4091.998359,0.2375842383,2.49758223,33.6060947,0,31.97013827,0,-0.004219444266,-8.629777583e-20,-0.0003364638536,1.128047542e-16,0.9998455366,1,0.953517437,6.496528506e-06,1,1
2.350000143,0.9990425145,-0.0009574854626,-4091.719992,0.2375738251,2.49748407,33.62470431,0,31.96937313,0,-0.00423885306,-1.518649043e-18,-0.000327952347,-9.049999806e-17,0.9998113991,1,0.953517437,8.210037672e-06,1,1
2.400000095,0.9990186343,-0.0009813656912,-4092.20397,0.2375642489,2.497522126,33.64302403,0,31.96860917,0,-0.004249126699,-9.482860936e-19,-0.0003183141892,6.673854857e-17,0.9998707999,1,0.953517437,5.173842298e-06,1,1
2.450000048,0.9989948202,-0.001005179758,-4091.919664,0.2375549287,2.497419263,33.66108976,0,31.96784711,0,-0.004258124025,-1.411020043e-18,-0.0003108360771,-1.228292619e-17,0.9998360322,1,0.953517437,6.974446633e-06,1,1
2.5,0.9989705643,-0.001029435724,-4092.063496,0.2375459586,2.497347591,33.6789167,0,31.96707068,0,-0.004260782203,-3.292407979e-18,-0.0003033964844,-1.958214078e-18,0.9998533653,1,0.953517437,6.188340853e-06,1,1
2.550000191,0.9989461521,-0.001053847949,-4091.496529,0.2375371368,2.497359319,33.69654537,0,31.96628958,0,-0.004260626019,-1.890197265e-18,-0.0002994994115,1.277408101e-16,0.9997840915,1,0.953517437,9.181101648e-06,1,1
2.600000143,0.9989219102,-0.001078089823,-4092.031095,0.2375286788,2.497289206,33.71401799,0,31.96551394,0,-0.004257723589,6.098476455e-19,-0.0002937546669,-5.407848667e-17,0.9998496232,1,0.953517437,6.443491133e-06,1,1
2.650000095,0.998897971,-0.001102029048,-4092.457285,0.2375211752,2.497243369,33.73136612,0,31.96474763,0,-0.004251684404,3.636484658e-19,-0.0002889758884,5.605413258e-17,0.9999020253,1,0.953517437,4.301731471e-06,1,1
2.700000048,0.9988742322,-0.001125767844,-4092.673016,0.2375136182,2.496977859,33.74861349,0,31.96398766,0,-0.004243987429,-2.777250541e-18,-0.0002823975508,-9.503190659e-17,0.999928598,1,0.9548714757,1.791707875e-06,1,1
2.750000238,0.9988507028,-0.001149297209,-4091.955685,0.2375064786,2.497046908,33.76578683,0,31.96323492,0,-0.00423093263,-6.888391594e-19,-0.0002810554106,-1.964803613e-18,0.9998400435,1,0.953517437,6.710597762e-06,1,1
2.800000191,0.9988273306,-0.001172669414,-4091.947789,0.2374998284,2.497034792,33.78290747,0,31.96248692,0,-0.004217673217,2.084978269e-19,-0.0002801748993,-1.217180521e-18,0.9998396946,1,0.953517437,6.279976439e-06,1,1
2.850000143,0.9988039462,-0.001196053791,-4091.485052,0.2374931906,2.496865156,33.79999293,0,31.96173908,0,-0.00420441155,3.758021278e-18,-0.0002771345591,-1.193570294e-16,0.9997821105,1,0.953517437,9.526434336e-06,1,1
2.900000095,0.9987806626,-0.001219337432,-4092.141362,0.2374866871,2.496770085,33.81706787,0,31.96099346,0,-0.004186488489,-2.178334584e-20,-0.0002746327572,3.401566914e-17,0.9998628455,1,0.953517437,5.633936144e-06,1,1
2.950000048,0.9987569599,-0.001243040084,-4092.240158,0.2374804493,2.496492337,33.8341332,0,31.96023514,0,-0.00416646407,9.900735457e-19,-0.0002740021565,2.685982586e-18,0.9998754944,1,0.953517437,4.562479596e-06,1,1
3.000000238,0.9987340867,-0.0012659133,-4092.067725,0.2374745141,2.496542462,33.85124946,0,31.95950337,0,-0.004145417998,1.687598131e-18,-0.0002732071874,3.456375072e-17,0.9998537532,1,0.953517437,5.573875185e-06,1,1
3.050000191,0.9987102979,-0.001289702101,-4091.933372,0.2374683477,2.496473633,33.86837424,0,31.95874182,0,-0.004122098677,-1.348347788e-18,-0.0002724619924,9.002688416e-17,0.9998377364,1,0.953517437,6.918275115e-06,1,1
3.100000143,0.9986871145,-0.00131288551,-4091.359349,0.2374625464,2.496374087,33.88557522,0,31.9579992,0,-0.004100551588,-4.383712311e-19,-0.0002722240303,-1.493285019e-16,0.9997667151,1,0.953517437,9.881621201e-06,1,1
3.150000095,0.9986632281,-0.001336771946,-4092.330043,0.2374565327,2.496220848,33.90282181,0,31.95723489,0,-0.004079614322,-1.650458716e-18,-0.0002724425229,6.397304283e-17,0.999886171,1,0.953517437,3.918519553e-06,1,1
3.200000048,0.9986398076,-0.001360192375,-4092.092383,0.2374508764,2.496173582,33.92016468,0,31.9564858,0,-0.004061368551,-1.892675533e-18,-0.00027261976,6.036564359e-17,0.9998571344,1,0.953517437,6.009916323e-06,1,1
3.250000238,0.9986161284,-0.001383871559,-4092.593513,0.2374451168,2.496498902,33.93759016,0,31.9557276,0,-0.004045419811,3.806172474e-18,-0.0002732734966,1.450390584e-16,0.9999187558,1,0.953517437,2.845864686e-06,1,1
3.300000191,0.9985929899,-0.00140701015,-4091.23011,0.2374395812,2.495935679,33.95513574,0,31.95498708,0,-0.004027313115,-3.56603646e-19,-0.0002743653762,-6.375969748e-17,0.9997508112,1,0.953517437,1.07613621e-05,1,1
3.350000143,0.9985690493,-0.001430950705,-4092.042464,0.2374338305,2.495816365,33.97276344,0,31.95422142,0,-0.004004385492,-2.464027086e-18,-0.0002762285264,-4.024469711e-18,0.9998504609,1,0.953517437,5.632556662e-06,1,1
3.400000095,0.998545833,-0.001454167036,-4091.378516,0.2374279481,2.495514266,33.99053354,0,31.95347787,0,-0.003989469967,-1.522659047e-19,-0.0002805427111,1.204089286e-16,0.9997688766,1,0.953517437,1.005961876e-05,1,1
3.450000048,0.9985225086,-0.001477491449,-4092.059564,0.2374222076,2.495697227,34.00842342,0,31.9527313,0,-0.003970823538,8.737043925e-19,-0.0002835702166,1.010865853e-16,0.9998525353,1,0.953517437,6.426710525e-06,1,1
3.500000238,0.9984988239,-0.00150117611,-4091.756839,0.2374162594,2.495607414,34.02643004,0,31.95197275,0,-0.003956115007,-2.781795917e-18,-0.0002872470127,2.634356297e-17,0.999815432,1,0.953517437,7.699351907e-06,1,1
3.550000191,0.9984758472,-0.001524152819,-4091.848501,0.2374106413,2.495521832,34.04459543,0,31.95123664,0,-0.003939749657,-1.694448514e-18,-0.0002890661577,-5.544478145e-18,0.9998267216,1,0.953517437,7.490278144e-06,1,1
3.600000143,0.9984524495,-0.001547550548,-4091.434093,0.2374046754,2.4957963,34.06288237,0,31.95048794,0,-0.003924256967,-1.819837078e-18,-0.0002945176174,-2.529774542e-17,0.9997761502,1,0.953517437,8.925462062e-06,1,1
3.650000095,0.9984290501,-0.001570949935,-4091.854422,0.2373987805,2.495356296,34.08130844,0,31.94973936,0,-0.003909649763,2.514915344e-20,-0.000296516177,-5.443694585e-17,0.9998274422,1,0.953517437,7.242897813e-06,1,1
3.700000286,0.9984056928,-0.001594307232,-4092.16181,0.2373929678,2.495277631,34.0998768,0,31.94899124,0,-0.003898811817,-4.003623651e-18,-0.0002985048545,8.636351238e-17,0.9998654455,1,0.953517437,5.702990035e-06,1,1
3.750000238,0.9983820622,-0.001617937838,-4091.772413,0.2373869849,2.495136003,34.11857945,0,31.94823426,0,-0.003888748543,-1.145296576e-18,-0.0003019822325,-7.598565024e-17,0.9998173242,1,0.953517437,7.768743314e-06,1,1
3.800000191,0.9983591831,-0.001640816931,-4091.709367,0.2373810726,2.495726399,34.13745123,0,31.94750188,0,-0.003878953831,8.550897155e-19,-0.0003049971898,1.031511564e-17,0.9998094925,1,0.953517437,8.100791711e-06,1,1
3.850000143,0.9983356571,-0.001664342922,-4092.16822,0.2373746602,2.495057676,34.15644328,0,31.94674753,0,-0.00387460919,1.972444313e-18,-0.0003088615673,4.06596472e-17,0.9998658588,1,0.953517437,5.645982015e-06,1,1
3.900000095,0.9983120237,-0.001687976288,-4091.518268,0.2373681405,2.494917947,34.17557195,0,31.94599096,0,-0.003864665967,1.364711164e-18,-0.0003145595584,5.056370119e-17,0.9997859693,1,0.953517437,9.386544351e-06,1,1
3.950000286,0.9982891731,-0.001710826851,-4092.064699,0.2373617982,2.494924553,34.19486817,0,31.94525942,0,-0.003855745269,1.715324178e-19,-0.0003211694433,1.028306627e-16,0.99985333,1,0.953517437,6.188536892e-06,1,1
4,0.9982660655,-0.001733934459,-4092.265073,0.2373558556,2.495664226,34.21429295,0,31.94451988,0,-0.003852586659,1.169140865e-18,-0.0003227018648,-5.621022874e-18,0.9998779494,1,0.953517437,5.340284693e-06,1,1
4.050000191,0.9982425921,-0.001757407872,-4092.1231,0.237349844,2.495605561,34.23384009,0,31.94376814,0,-0.003850293416,-4.287737234e-20,-0.0003248130388,-1.270608504e-16,0.9998603954,1,0.953517437,6.108414506e-06,1,1
4.100000381,0.9982190906,-0.001780909401,-4092.287086,0.23734383,2.494741923,34.25352159,0,31.94301569,0,-0.003849048343,-1.473460547e-18,-0.0003258835908,7.976566467e-17,0.9998807534,1,0.953517437,4.886319414e-06,1,1
4.150000095,0.9981951846,-0.001804815423,-4091.961253,0.2373373327,2.494683972,34.27331865,0,31.94225023,0,-0.003847195762,1.312440329e-18,-0.0003282365707,1.922664048e-17,0.9998404443,1,0.953517437,6.767982264e-06,1,1
4.200000286,0.9981721414,-0.001827858631,-4091.773748,0.2373308904,2.494178772,34.29327427,0,31.94151236,0,-0.003845485423,-3.58573102e-20,-0.0003342813496,1.534958583e-17,0.9998175562,1,0.953517437,7.990698591e-06,1,1
4.25,0.9981479797,-0.001852020322,-4091.473784,0.2373241351,2.494496666,34.31331537,0,31.94073948,0,-0.003844737789,-6.69734583e-19,-0.0003398451651,-6.152344075e-17,0.9997805313,1,0.953517437,9.180758643e-06,1,1
4.300000191,0.9981241638,-0.001875836238,-4092.161129,0.2373177543,2.494523385,34.33349014,0,31.93997817,0,-0.003844950165,-1.492058269e-18,-0.0003426263983,-8.178425517e-17,0.9998648099,1,0.953517437,5.84474638e-06,1,1
4.350000381,0.9981006675,-0.0018993325,-4091.503423,0.2373109998,2.494792524,34.35379484,0,31.9392265,0,-0.003845877986,4.397580519e-20,-0.0003489863889,4.502224396e-17,0.9997843134,1,0.953517437,9.111675338e-06,1,1
