timestep,field_energy,max_E,max_B,total_flux,avg_lorentz_force,charge_rms,current_rms,maxwell_violation
0,0.01031855444,0.05259272655,4.351075219e-11,5.371509846e-13,0.00153672138,0.003246600056,0.003246600056,0.04244315677
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0.007348651797,0.05259193609,6.409447808e-07,5.201253485e-08,0.0007219608865,0.003246596782,0.003246596782,0.04109436305
4,0.007314352192,0.05259193609,2.611389413e-10,9.280915841e-13,0.0006250424988,0.003246595122,0.003246595122,0.04173094056
5,0.008720371067,0.05545386931,6.409447808e-07,4.86798827e-08,0.00163363664,0.003246593198,0.003246593198,0.040771088
6,0.008638219797,0.05259193609,4.352440062e-10,5.263418355e-12,0.001536667277,0.003246591186,0.003246591186,0.04229087361
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0.009696924878,0.0554555387,1.387808981e-06,1.311807001e-07,0.001633568846,0.003246583777,0.003246583777,0.04086278091
10,0.00961477988,0.05259193609,2.059718202e-07,2.628904228e-09,0.001536626035,0.003246580963,0.003246580963,0.04237915632
11,0.01132960316,0.0554563668,1.185180123e-06,1.220117852e-07,0.001294028218,0.003246577751,0.003246577751,0.04115444365
12,0.01126220006,0.05259193609,1.733932036e-07,1.523736231e-09,0.001196838347,0.003246574502,0.003246574502,0.04239404319
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0.006721245948,0.05259193609,7.863821894e-07,4.670225202e-08,0.0007217700512,0.003246563186,0.003246563186,0.04103551708
16,0.006686963738,0.05259193609,1.958692617e-09,6.962846361e-12,0.0006251107697,0.003246558996,0.003246558996,0.04167264325
17,0.0111870465,0.07437622928,8.007915514e-07,1.042443063e-07,0.001293912066,0.003246554575,0.003246554575,0.04114096615
18,0.0111196537,0.07437622928,2.393907063e-09,2.414122413e-11,0.001196765333,0.003246550002,0.003246550002,0.04238075823
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0.002432431861,0.0468335034,3.95585619e-07,1.182011982e-08,0.0004011481142,0.003246511807,0.003246511806,0.04076282249
26,0.002411903219,0.0468335034,3.477742918e-07,1.222785829e-09,0.0003040673794,0.003246505251,0.003246505251,0.04114802797
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0.008302461086,0.05546355102,1.019389915e-06,9.768972069e-08,0.001633099286,0.003246484795,0.003246484795,0.04073082544
30,0.008220354758,0.05259193609,4.282856351e-07,5.402496645e-09,0.001536300605,0.003246477279,0.003246477278,0.04225118173
31,0.009457946654,0.05536358121,6.397171025e-07,2.902964311e-08,0.001704552449,0.003246469557,0.003246469556,0.04081007255
32,0.009372757615,0.05249120046,4.267509122e-07,5.780770763e-09,0.001607792992,0.003246461815,0.003246461815,0.04238351594
33,0.004923737441,0.0468335034,5.073593592e-07,1.994402476e-08,0.0009915306526,0.003246453998,0.003246453997,0.04070273012
34,0.004872227039,0.0468335034,7.952094158e-08,5.815807601e-10,0.0008945097898,0.003246445964,0.003246445963,0.04166364322
35,0.003224391787,0.0468335034,4.768064275e-07,8.490539469e-10,0.0001013306106,0.003246437672,0.003246437672,0.04096292244
36,0.003217248318,0.0468335034,8.269179073e-09,3.868481066e-14,5.127473529e-07,0.003246428996,0.003246428996,0.04109669728
37,0.004965775856,0.06304346553,7.548002914e-07,3.797016338e-08,0.000131002845,0.003246420151,0.00324642015,0.04111400986
38,0.004957418953,0.06304346553,4.981705289e-07,1.240926388e-10,3.502597399e-05,0.0032464111,0.0032464111,0.04126987837
39,0.004639295511,0.05959174557,2.289476863e-07,4.683111783e-09,0.0009037907771,0.003246401918,0.003246401918,0.04069561541
40,0.004589974322,0.05713445081,5.644101497e-07,3.199236971e-09,0.0008085109882,0.003246392482,0.003246392481,0.04161672598
41,0.003869715248,0.05259193609,5.520606392e-07,6.383973189e-09,0.0007212331934,0.003246382653,0.003246382652,0.04076630446
42,0.003835475755,0.05259193609,6.591291013e-07,4.967014312e-09,0.0006251621684,0.003246372766,0.003246372765,0.04140671287
43,0.003455320991,0.04973438765,9.437243318e-07,1.66898691e-08,0.0009241178843,0.003246362576,0.003246362575,0.04062590214
44,0.003410434302,0.04798404051,8.090786636e-07,7.632794257e-09,0.0008274425788,0.003246352257,0.003246352256,0.04146618651
45,0.004662196486,0.07042221795,1.342991173e-07,8.810553223e-10,0.000101323258,0.00324634161,0.003246341609,0.04109625058
46,0.004655067116,0.07042221795,3.036548405e-07,1.76893794e-12,6.56700698e-07,0.003246330615,0.003246330614,0.04122930138
47,0.009818457557,0.05547031243,9.037165201e-07,1.08848539e-07,0.001632488597,0.003246319644,0.003246319643,0.04087167806
48,0.009736396527,0.05259193609,6.26932341e-07,7.95954886e-09,0.001535835809,0.003246308749,0.003246308748,0.04238612574
49,0.005235392775,0.07042221795,6.646741876e-07,2.715910349e-08,0.0008595821408,0.003246297476,0.003246297475,0.04079587786
50,0.005190818618,0.07042221795,5.757941967e-11,3.579887e-13,0.000762698009,0.00324628553,0.003246285528,0.04162680583
