time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000000464,4.635378061e-07,-4094.331987,0.1051607257,0.2996779066,32.00101482,0,32.00001483,0,-9.260598649e-10,5.173112171e-18,-2.040785459e-09,2.573631879e-16,0.9998448384,1,0.953517437,5.461593156e-06,1,0
0.05000000075,0.9999851407,-1.485932187e-05,-4095.42833,0.1051594927,0.2999591036,32.05051897,0,31.99952451,0,-3.107607669e-05,7.75080393e-18,-3.050361272e-05,2.632551925e-18,0.9999796403,1,0.9825977683,1.427620553e-07,1,1
0.1000000015,0.9999702656,-2.973438067e-05,-4093.546194,0.1051593569,0.2917009841,32.100007,0,31.99904846,0,-6.149281441e-05,-1.252610326e-18,-5.956660307e-05,-8.087521601e-17,0.9996874818,1,0,0.0002462263042,1,1
0.150000006,0.9999557583,-4.424165753e-05,-4093.302578,0.105158852,0.2997037563,32.14944943,0,31.99858433,0,-7.7450968e-05,-5.46410448e-18,-7.499782786e-05,8.907879941e-18,0.9996593863,1,0,0.000246379945,1,1
0.200000003,0.9999412414,-5.875858199e-05,-4094.794168,0.105157145,0.2999014238,32.19880614,0,31.99811968,0,-7.775239599e-05,6.928023618e-18,-7.562771922e-05,1.366380985e-17,0.9999023591,1,0.953517437,2.769204184e-06,1,1
0.25,0.9999267493,-7.325074303e-05,-4094.050744,0.1051554318,0.2996599305,32.2480514,0,31.99765597,0,-7.829560634e-05,5.382202433e-18,-7.624619057e-05,-5.570246848e-17,0.9998104496,1,0.953517437,7.134619199e-06,1,1
0.3000000119,0.9999123099,-8.769012503e-05,-4092.090004,0.1051537553,0.2994907911,32.29715875,0,31.99719383,0,-7.896228362e-05,-5.554379969e-19,-7.728493496e-05,-1.146084472e-16,0.9995556705,1,0,0.000252254767,1,1
0.3500000238,0.9998978305,-0.0001021694682,-4095.180344,0.1051520683,0.2999693506,32.34609859,0,31.99673049,0,-7.970380957e-05,-4.044914737e-18,-7.796993454e-05,-1.992038407e-17,0.9999502812,1,0.9660600424,1.684911927e-06,1,1
0.400000006,0.9998830476,-0.0001169524387,-4095.173507,0.1051503997,0.299875101,32.3948358,0,31.99625726,0,-8.069519656e-05,-7.139441467e-19,-7.934214724e-05,6.566630275e-17,0.9999488293,1,0.9660600424,1.213342106e-06,1,1
0.4500000179,0.9998684966,-0.0001315033957,-4095.190383,0.1051487345,0.2996514105,32.44336158,0,31.99579168,0,-8.175808485e-05,4.015177907e-18,-8.015316069e-05,-1.5263688e-16,0.9999508823,1,0.9660600424,1.254269976e-06,1,1
0.5,0.9998534648,-0.0001465352488,-4095.268355,0.105147038,0.2999022838,32.4916275,0,31.99531055,0,-8.252422466e-05,-4.144584924e-18,-8.108110208e-05,-3.232977483e-17,0.9999604948,1,0.9660600424,9.180818874e-07,1,1
0.5500000119,0.9998387566,-0.0001612434015,-4094.489313,0.1051453751,0.2998507817,32.53963418,0,31.99483997,0,-8.358447448e-05,5.011121189e-18,-8.206999876e-05,6.149661583e-17,0.9998646724,1,0.953517437,5.239931948e-06,1,1
0.6000000238,0.9998240188,-0.0001759812248,-4094.991244,0.105143687,0.2999137803,32.58734568,0,31.99436849,0,-8.454551446e-05,-2.064909042e-19,-8.257480556e-05,1.494385991e-16,0.9999265194,1,0.9660600424,2.057606828e-06,1,1
0.6500000358,0.9998094281,-0.0001905719483,-4094.279479,0.1051420371,0.2999426101,32.6347438,0,31.99390198,0,-8.571761122e-05,-1.349934734e-18,-8.323262257e-05,-7.075969152e-17,0.9998388475,1,0.953517437,6.564531032e-06,1,1
0.7000000477,0.9997945944,-0.000205405589,-4094.083558,0.1051403174,0.2994975405,32.68179356,0,31.9934271,0,-8.698469525e-05,1.853243827e-18,-8.346888144e-05,7.850887335e-17,0.9998148455,1,0.953517437,7.146725542e-06,1,1
0.7500000596,0.9997797611,-0.0002202388549,-4094.86295,0.1051386113,0.2999019813,32.72847985,0,31.99295252,0,-8.8720108e-05,2.465346924e-18,-8.418782641e-05,-9.111374863e-17,0.9999110498,1,0.9660600424,2.607435665e-06,1,1
0.8000000119,0.9997654958,-0.0002345042154,-4095.170851,0.1051369778,0.2998529701,32.77479994,0,31.99249621,0,-8.98403999e-05,-1.380680177e-18,-8.484924072e-05,7.920436532e-17,0.9999483632,1,0.953517437,1.38080632e-06,1,1
