# Test Particle Trajectory
# charge = -1, mass = 0.1
# t,x,y,vx,vy,E_x,E_y,B_z,F_x,F_y,KE
0.000000,55.000000,50.000000,0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000005
0.001000,55.000000,50.000010,0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000005
0.002000,55.000000,50.000020,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.003000,55.000000,50.000030,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.004000,55.000000,50.000040,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.005000,55.000000,50.000050,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.006000,55.000000,50.000060,0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000005
0.007000,55.000000,50.000070,0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000005
0.008000,55.000000,50.000080,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.009000,55.000000,50.000090,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.010000,55.000000,50.000100,-0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000005
0.011000,55.000000,50.000110,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.012000,55.000000,50.000120,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.013000,55.000000,50.000130,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.014000,55.000000,50.000140,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.015000,55.000000,50.000150,-0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000005
0.016000,55.000000,50.000160,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.017000,55.000000,50.000170,-0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000005
0.018000,55.000000,50.000180,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.019000,55.000000,50.000190,-0.000000,0.010000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000005
0.020000,55.000000,50.000200,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
0.021000,55.000000,50.000210,-0.000000,0.010000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000005
