timestep,field_energy,max_E,max_B,total_flux,avg_lorentz_force,charge_rms,current_rms,maxwell_violation
0,0,0,0,0,0,0,0,0
1,0.001602415781,0.06022725652,9.848664851e-13,2.998969092e-17,0.0001013282125,0.003246599479,0.003246599479,0.04081236762
2,0.001595225443,0.06022725652,1.312901068e-18,8.081919241e-25,4.977461344e-08,0.003246598347,0.003246598347,0.04094760776
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0.00160240782,0.06022725652,9.848664842e-13,3.002320675e-17,0.0001013321984,0.003246589635,0.003246589635,0.04081231931
8,0.001595225448,0.06022725652,2.052360831e-17,2.607981642e-23,1.180430262e-07,0.003246587251,0.003246587251,0.04094739455
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0.001602399814,0.06022725652,9.848664815e-13,3.013422754e-17,0.0001013349207,0.003246572399,0.003246572399,0.04081217917
14,0.001595225459,0.06022725652,8.408241958e-17,1.589804373e-22,1.97299432e-07,0.003246568688,0.003246568688,0.04094708795
15,0.0112995563,0.05545799299,3.410209769e-06,1.953831184e-07,0.001633451836,0.003246564667,0.003246564667,0.04101276938
16,0.01121742151,0.0552029922,1.958626115e-09,2.352114622e-11,0.00153655045,0.003246560544,0.003246560544,0.04252359713
17,0.007552928818,0.05259193609,7.33886178e-06,6.905885642e-08,0.0003822956539,0.003246556133,0.003246556133,0.04125154455
18,0.007533387806,0.05259193609,2.393862729e-09,3.885439606e-12,0.0002853651931,0.003246551451,0.003246551451,0.04161402483
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0.009355803817,0.05546041138,3.410209769e-06,1.066476108e-07,0.001633314264,0.003246536067,0.003246536067,0.04083036145
22,0.009273680455,0.0552029922,3.39492939e-09,4.047735131e-11,0.00153645598,0.003246530595,0.003246530595,0.04234747611
23,0.007552908753,0.05259193609,9.473084842e-06,7.455814065e-08,0.0003822133481,0.003246524781,0.003246524781,0.04125123761
24,0.00753337654,0.05259193609,3.96073171e-09,6.430299757e-12,0.0002854009149,0.00324651893,0.00324651893,0.04161354398
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0.009355732548,0.05546276338,3.410209769e-06,1.066636175e-07,0.001633156815,0.003246499908,0.003246499907,0.04083002022
28,0.009273621682,0.0552029922,5.222880182e-09,6.226958173e-11,0.001536343179,0.003246493103,0.003246493103,0.04234690655
29,0.007552888548,0.05259193609,1.161072497e-05,8.006289609e-08,0.0003821265553,0.003246486083,0.003246486082,0.04125084164
30,0.007533365315,0.05259193609,5.919226451e-09,9.612496048e-12,0.0002854335008,0.003246479001,0.003246479,0.04161297068
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0.009355660793,0.05546509902,3.410209769e-06,1.06683181e-07,0.001632979554,0.003246455668,0.003246455666,0.04082958795
34,0.009273563492,0.0552029922,7.442399877e-09,8.872940959e-11,0.001536212218,0.003246447427,0.003246447425,0.04234622872
35,0.007552868108,0.05259193609,1.375175145e-05,8.557298876e-08,0.0003820349859,0.003246438919,0.003246438916,0.04125034306
36,0.007533354063,0.05259193609,8.269179073e-09,1.343225898e-11,0.0002854627141,0.003246430409,0.003246430406,0.04161228922
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0.009355587664,0.05546737465,3.410209769e-06,1.067062665e-07,0.001632782055,0.003246403489,0.003246403484,0.04082906687
40,0.009273504932,0.0552029922,1.005340551e-08,1.198558065e-10,0.001536062627,0.003246394161,0.003246394155,0.04234544976
41,0.007552847568,0.05259193609,1.58961321e-05,9.108829842e-08,0.0003819389681,0.003246384406,0.0032463844,0.04124975549
42,0.007533342902,0.05259193609,1.101070578e-08,1.789031118e-11,0.0002854888359,0.003246374458,0.003246374451,0.04161151596
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0.009355513448,0.05546959936,3.410209769e-06,1.067328911e-07,0.001632564334,0.003246343373,0.003246343363,0.04082845671
46,0.009273446421,0.0552029922,1.305579334e-08,1.556456996e-10,0.001535894234,0.003246332521,0.00324633251,0.04234456023
47,0.007552826795,0.05259193609,1.804383313e-05,9.660869328e-08,0.0003818382334,0.003246321552,0.003246321539,0.04124906664
48,0.007533331743,0.05259193609,1.414358181e-08,2.29867689e-11,0.0002855114889,0.003246310066,0.003246310051,0.04161063745
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0.0093554382,0.05547178588,3.410209769e-06,1.067630529e-07,0.001632326416,0.003246274546,0.003246274525,0.04082774815
52,0.009273387921,0.0552029922,1.644958557e-08,1.961004868e-10,0.001535707649,0.003246262531,0.003246262508,0.04234356025
53,0.007552805858,0.05259193609,2.019482232e-05,1.021340225e-07,0.0003817327847,0.003246250126,0.0032462501,0.04124827373
54,0.007533320544,0.05259193609,1.766772799e-08,2.872202159e-11,0.0002855306621,0.003246237404,0.003246237376,0.04160965576
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0.00935536197,0.05547392876,3.410209769e-06,1.067967632e-07,0.001632068899,0.003246198078,0.00324619804,0.04082695397
58,0.009273329598,0.0552029922,2.023460998e-08,2.412170127e-10,0.001535502603,0.003246184534,0.003246184492,0.04234245425
59,0.007552784763,0.05259193609,2.234906799e-05,1.076641715e-07,0.0003816227883,0.003246170853,0.003246170807,0.04124738563
60,0.007533309425,0.05259193609,2.158320832e-08,3.509669121e-11,0.0002855465731,0.003246156877,0.003246156827,0.04160857613
61,0.008336616368,0.05692199147,9.626738413e-07,1.039286672e-07,0.0007207165914,0.003246142973,0.003246142919,0.04118175255
62,0.008302414116,0.05692199147,2.060152269e-07,1.477449727e-09,0.0006251146244,0.003246128627,0.003246128568,0.04181506074
63,0.008564302279,0.05547602799,5.707660091e-07,3.637686144e-08,0.001346955814,0.003246114197,0.003246114132,0.04086890428
64,0.008494652767,0.05259193609,2.441088431e-08,2.514065513e-10,0.001250263586,0.003246099287,0.003246099218,0.04215775176
65,0.006553375613,0.07437622928,5.658545675e-07,4.128032088e-08,0.0001085150413,0.003246084362,0.003246084287,0.04126580238
66,0.006545886529,0.07437622928,2.588984072e-08,1.441173276e-12,9.490042857e-06,0.003246069197,0.003246069117,0.04140493439
