timestep,field_energy,max_E,max_B,total_flux,avg_lorentz_force,charge_rms,current_rms,maxwell_violation
0,0.002394402974,0.08514015703,1.141532006e-06,3.270580921e-08,0.006436311389,0.01325414108,0.01325414097,0.1606307302
1,0.003163983994,0.08513716198,2.140770488e-06,5.563091504e-08,0.006465323879,0.01325059777,0.01325059735,0.1606605121
2,0.002362422611,0.0850955119,2.538899853e-06,6.782909895e-08,0.005318436166,0.01324485972,0.0132448588,0.1606859512
3,0.002525802835,0.08501528673,6.861678825e-06,1.40119238e-07,0.01045058688,0.01323694149,0.01323693984,0.1612325737
4,0.002810664351,0.08489657949,1.299536416e-05,3.556065527e-07,0.01060070857,0.01322685723,0.01322685458,0.1598844069
5,0.002138381628,0.08473987491,3.066443488e-06,8.889727882e-08,0.005776487436,0.01321463928,0.01321463536,0.1603027114
6,0.001694298409,0.08454515255,1.089193335e-05,3.536144559e-07,0.01039737375,0.01320030086,0.01320029532,0.1607103023
7,0.001941181547,0.08431268162,6.900572231e-06,1.463143329e-07,0.006073878576,0.01318387144,0.01318386391,0.1599224235
8,0.002612111109,0.08404296414,4.139661715e-06,1.318713197e-07,0.01060907586,0.01316537989,0.01316536996,0.1591270177
9,0.002505468211,0.05259193609,1.512193653e-05,1.187450081e-07,0.006525804178,0.01314701641,0.01314700393,0.1639606624
