# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:09:14
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=8.0, dt=0.01, steps=15000, test=chirp_signal
#
Time,Frequency_GW,h_plus,h_cross,h_amplitude
0.000000,0.125000,0.197392,0.000000,0.197392
0.500000,0.062598,0.048548,0.009672,0.049502
1.000000,0.062695,0.045853,0.019059,0.049656
1.500000,0.062791,0.041339,0.027786,0.049809
2.000000,0.062885,0.035157,0.035499,0.049962
2.500000,0.062978,0.027527,0.041875,0.050113
3.000000,0.063069,0.018735,0.046640,0.050262
3.500000,0.063158,0.009118,0.049579,0.050410
4.000000,0.063244,-9.449712e-04,0.050547,0.050556
4.500000,0.063326,-0.011050,0.049480,0.050699
5.000000,0.063405,-0.020783,0.046397,0.050839
5.500000,0.063480,-0.029740,0.041402,0.050976
6.000000,0.063551,-0.037543,0.034681,0.051110
6.500000,0.063617,-0.043858,0.026496,0.051241
7.000000,0.063677,-0.048410,0.017175,0.051367
7.500000,0.063733,-0.050997,0.007096,0.051489
8.000000,0.063782,-0.051499,-0.003324,0.051606
8.500000,0.063826,-0.049884,-0.013653,0.051718
9.000000,0.063863,-0.046212,-0.023460,0.051826
9.500000,0.063893,-0.040631,-0.032335,0.051927
10.000000,0.063916,-0.033372,-0.039909,0.052023
10.500000,0.063932,-0.024737,-0.045868,0.052114
11.000000,0.063940,-0.015085,-0.049970,0.052197
11.500000,0.063940,-0.004818,-0.052052,0.052275
12.000000,0.063932,0.005641,-0.052041,0.052346
12.500000,0.063916,0.015865,-0.049951,0.052409
13.000000,0.063891,0.025443,-0.045884,0.052466
13.500000,0.063857,0.033997,-0.040026,0.052516
14.000000,0.063814,0.041202,-0.032630,0.052558
14.500000,0.063762,0.046791,-0.024010,0.052592
15.000000,0.063700,0.050575,-0.014519,0.052618
15.500000,0.063630,0.052441,-0.004539,0.052637
16.000000,0.063549,0.052355,0.005542,0.052647
16.500000,0.063459,0.050363,0.015346,0.052649
17.000000,0.063359,0.046585,0.024518,0.052643
17.500000,0.063250,0.041204,0.032742,0.052629
18.000000,0.063130,0.034455,0.039753,0.052606
18.500000,0.063001,0.026615,0.045340,0.052575
19.000000,0.062862,0.017988,0.049359,0.052535
19.500000,0.062713,0.008890,0.051728,0.052487
20.000000,0.062555,-3.630592e-04,0.052429,0.052430
20.500000,0.062387,-0.009469,0.051502,0.052365
21.000000,0.062210,-0.018147,0.049041,0.052291
21.500000,0.062023,-0.026150,0.045188,0.052209
