# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:11:03
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=10.0, dt=0.01, steps=10000, test=energy_conservation
#
Time,E_Orbital,E_Radiated,E_Total,E_Drift_Percent
0.000000,-0.050000,0.000000,-0.050000,0.000000
1.000000,-0.049872,1.279999e-04,-0.049744,0.512331
2.000000,-0.049743,2.559979e-04,-0.049487,1.025310
3.000000,-0.049615,3.839891e-04,-0.049231,1.538918
4.000000,-0.049485,5.119653e-04,-0.048973,2.053121
5.000000,-0.049356,6.399152e-04,-0.048716,2.567868
6.000000,-0.049226,7.678239e-04,-0.048458,3.083097
7.000000,-0.049096,8.956736e-04,-0.048201,3.598729
8.000000,-0.048966,0.001023,-0.047943,4.114670
9.000000,-0.048836,0.001151,-0.047685,4.630815
10.000000,-0.048705,0.001279,-0.047426,5.147041
11.000000,-0.048574,0.001406,-0.047168,5.663214
12.000000,-0.048444,0.001533,-0.046910,6.179185
13.000000,-0.048313,0.001660,-0.046653,6.694795
14.000000,-0.048182,0.001787,-0.046395,7.209868
15.000000,-0.048051,0.001913,-0.046138,7.724222
16.000000,-0.047920,0.002039,-0.045881,8.237659
17.000000,-0.047790,0.002165,-0.045625,8.749974
18.000000,-0.047659,0.002290,-0.045370,9.260952
19.000000,-0.047529,0.002415,-0.045115,9.770370
20.000000,-0.047400,0.002539,-0.044861,10.277996
21.000000,-0.047270,0.002662,-0.044608,10.783595
22.000000,-0.047142,0.002785,-0.044357,11.286924
23.000000,-0.047013,0.002907,-0.044106,11.787738
24.000000,-0.046886,0.003029,-0.043857,12.285788
25.000000,-0.046759,0.003149,-0.043610,12.780826
26.000000,-0.046633,0.003269,-0.043364,13.272602
27.000000,-0.046507,0.003388,-0.043120,13.760866
28.000000,-0.046383,0.003506,-0.042877,14.245375
29.000000,-0.046260,0.003623,-0.042637,14.725884
30.000000,-0.046137,0.003738,-0.042399,15.202158
31.000000,-0.046016,0.003853,-0.042163,15.673964
32.000000,-0.045896,0.003966,-0.041929,16.141079
33.000000,-0.045777,0.004079,-0.041698,16.603287
34.000000,-0.045659,0.004190,-0.041470,17.060383
