# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:12:11
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=10.0, dt=0.01, steps=10000, test=orbital_decay
#
Time,Separation,Frequency,E_Orbital,E_Radiated,E_Total
0.000000,10.000000,0.044721,-0.050000,0.000000,-0.050000
1.000000,9.999992,0.044721,-0.050128,1.280001e-04,-0.050000
2.000000,9.999932,0.044722,-0.050256,2.560021e-04,-0.050000
3.000000,9.999771,0.044723,-0.050384,3.840109e-04,-0.050000
4.000000,9.999457,0.044725,-0.050512,5.120345e-04,-0.050000
5.000000,9.998941,0.044728,-0.050640,6.400844e-04,-0.050000
6.000000,9.998171,0.044734,-0.050768,7.681751e-04,-0.050000
7.000000,9.997100,0.044741,-0.050896,8.963245e-04,-0.050000
8.000000,9.995677,0.044750,-0.051025,0.001025,-0.050000
9.000000,9.993855,0.044763,-0.051153,0.001153,-0.050000
10.000000,9.991586,0.044778,-0.051281,0.001281,-0.050000
11.000000,9.988825,0.044796,-0.051410,0.001410,-0.050000
12.000000,9.985524,0.044819,-0.051539,0.001539,-0.050000
13.000000,9.981640,0.044845,-0.051668,0.001668,-0.050000
14.000000,9.977129,0.044875,-0.051797,0.001797,-0.050000
15.000000,9.971947,0.044910,-0.051927,0.001927,-0.050000
16.000000,9.966054,0.044950,-0.052057,0.002057,-0.050000
17.000000,9.959409,0.044995,-0.052187,0.002187,-0.050000
18.000000,9.951971,0.045045,-0.052318,0.002318,-0.050000
19.000000,9.943704,0.045102,-0.052449,0.002449,-0.050000
20.000000,9.934570,0.045164,-0.052581,0.002581,-0.050000
21.000000,9.924534,0.045232,-0.052714,0.002714,-0.050000
22.000000,9.913561,0.045308,-0.052847,0.002847,-0.050000
23.000000,9.901618,0.045390,-0.052981,0.002981,-0.050000
24.000000,9.888673,0.045479,-0.053116,0.003116,-0.050000
25.000000,9.874697,0.045575,-0.053252,0.003252,-0.050000
26.000000,9.859660,0.045680,-0.053389,0.003389,-0.050000
27.000000,9.843535,0.045792,-0.053527,0.003527,-0.050000
28.000000,9.826296,0.045912,-0.053666,0.003666,-0.050000
29.000000,9.807918,0.046042,-0.053806,0.003806,-0.050000
30.000000,9.788379,0.046179,-0.053948,0.003948,-0.050000
31.000000,9.767657,0.046326,-0.054091,0.004091,-0.050000
32.000000,9.745732,0.046483,-0.054236,0.004236,-0.050000
33.000000,9.722587,0.046649,-0.054382,0.004382,-0.050000
34.000000,9.698203,0.046825,-0.054531,0.004531,-0.050000
35.000000,9.672567,0.047011,-0.054681,0.004681,-0.050000
36.000000,9.645666,0.047208,-0.054833,0.004833,-0.050000
37.000000,9.617486,0.047416,-0.054988,0.004988,-0.050000
38.000000,9.588020,0.047635,-0.055144,0.005144,-0.050000
39.000000,9.557257,0.047865,-0.055303,0.005303,-0.050000
40.000000,9.525193,0.048107,-0.055465,0.005465,-0.050000
41.000000,9.491823,0.048360,-0.055630,0.005630,-0.050000
42.000000,9.457143,0.048627,-0.055798,0.005798,-0.050000
43.000000,9.421153,0.048906,-0.055968,0.005968,-0.050000
44.000000,9.383855,0.049198,-0.056143,0.006143,-0.050000
45.000000,9.345251,0.049503,-0.056320,0.006320,-0.050000
46.000000,9.305346,0.049821,-0.056502,0.006502,-0.050000
47.000000,9.264148,0.050154,-0.056687,0.006687,-0.050000
48.000000,9.221665,0.050501,-0.056877,0.006877,-0.050000
49.000000,9.177909,0.050863,-0.057071,0.007071,-0.050000
50.000000,9.132893,0.051239,-0.057270,0.007270,-0.050000
51.000000,9.086633,0.051631,-0.057474,0.007474,-0.050000
52.000000,9.039145,0.052038,-0.057683,0.007683,-0.050000
53.000000,8.990451,0.052462,-0.057898,0.007898,-0.050000
54.000000,8.940572,0.052901,-0.058119,0.008119,-0.050000
55.000000,8.889532,0.053358,-0.058347,0.008347,-0.050000
56.000000,8.837357,0.053831,-0.058581,0.008581,-0.050000
57.000000,8.784077,0.054321,-0.058822,0.008822,-0.050000
58.000000,8.729722,0.054830,-0.059070,0.009070,-0.050000
59.000000,8.674326,0.055356,-0.059327,0.009327,-0.050000
60.000000,8.617923,0.055900,-0.059591,0.009591,-0.050000
61.000000,8.560550,0.056463,-0.059865,0.009865,-0.050000
62.000000,8.502248,0.057045,-0.060148,0.010148,-0.050000
63.000000,8.443058,0.057645,-0.060442,0.010442,-0.050000
64.000000,8.383021,0.058266,-0.060745,0.010745,-0.050000
65.000000,8.322184,0.058906,-0.061060,0.011060,-0.050000
66.000000,8.260593,0.059566,-0.061387,0.011387,-0.050000
67.000000,8.198295,0.060246,-0.061726,0.011726,-0.050000
68.000000,8.135340,0.060947,-0.062078,0.012078,-0.050000
69.000000,8.071776,0.061668,-0.062444,0.012444,-0.050000
70.000000,8.007655,0.062410,-0.062825,0.012825,-0.050000
71.000000,7.943026,0.063174,-0.063222,0.013222,-0.050000
72.000000,7.877939,0.063958,-0.063635,0.013635,-0.050000
73.000000,7.812446,0.064764,-0.064066,0.014066,-0.050000
74.000000,7.746594,0.065592,-0.064515,0.014515,-0.050000
75.000000,7.680430,0.066441,-0.064983,0.014983,-0.050000
76.000000,7.613999,0.067313,-0.065473,0.015473,-0.050000
77.000000,7.547342,0.068206,-0.065984,0.015984,-0.050000
78.000000,7.480498,0.069122,-0.066518,0.016518,-0.050000
79.000000,7.413501,0.070062,-0.067077,0.017077,-0.050000
80.000000,7.346379,0.071024,-0.067662,0.017662,-0.050000
81.000000,7.279155,0.072010,-0.068274,0.018274,-0.050000
82.000000,7.211843,0.073021,-0.068915,0.018915,-0.050000
83.000000,7.144449,0.074056,-0.069586,0.019586,-0.050000
84.000000,7.076973,0.075118,-0.070290,0.020290,-0.050000
85.000000,7.009400,0.076207,-0.071029,0.021029,-0.050000
86.000000,6.941706,0.077324,-0.071804,0.021804,-0.050000
87.000000,6.873854,0.078472,-0.072617,0.022617,-0.050000
88.000000,6.805790,0.079652,-0.073472,0.023472,-0.050000
89.000000,6.737448,0.080867,-0.074371,0.024371,-0.050000
90.000000,6.668742,0.082120,-0.075317,0.025317,-0.050000
91.000000,6.599569,0.083415,-0.076313,0.026313,-0.050000
92.000000,6.529805,0.084755,-0.077363,0.027363,-0.050000
93.000000,6.459303,0.086146,-0.078470,0.028470,-0.050000
94.000000,6.387895,0.087595,-0.079640,0.029640,-0.050000
95.000000,6.315384,0.089108,-0.080878,0.030878,-0.050000
96.000000,6.241549,0.090694,-0.082190,0.032190,-0.050000
97.000000,6.166135,0.092362,-0.083582,0.033582,-0.050000
98.000000,6.088857,0.094126,-0.085064,0.035064,-0.050000
99.000000,6.009394,0.096000,-0.086644,0.036644,-0.050000
100.000000,5.927384,0.097999,-0.088333,0.038333,-0.050000
