# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:12:11
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a=5.0, detector_distance=100.0, test=polarization
#
Time,Orbital_Phase,h_plus,h_cross
0.000000,0.000000,0.315827,0.000000
0.158114,0.125664,0.305905,0.078543
0.316228,0.251327,0.276762,0.152151
0.474342,0.376991,0.230228,0.216199
0.632456,0.502655,0.169229,0.266662
0.790569,0.628319,0.097596,0.300370
0.948683,0.753982,0.019831,0.315204
1.106797,0.879646,-0.059180,0.310233
1.264911,1.005310,-0.134473,0.285769
1.423025,1.130973,-0.201316,0.243349
1.581139,1.256637,-0.255510,0.185639
1.739253,1.382301,-0.293649,0.116264
1.897367,1.507964,-0.313337,0.039584
2.055480,1.633628,-0.313337,-0.039584
2.213594,1.759292,-0.293649,-0.116264
2.371708,1.884956,-0.255510,-0.185639
2.529822,2.010619,-0.201316,-0.243349
2.687936,2.136283,-0.134473,-0.285769
2.846050,2.261947,-0.059180,-0.310233
3.004164,2.387610,0.019831,-0.315204
3.162278,2.513274,0.097596,-0.300370
3.320392,2.638938,0.169229,-0.266662
3.478505,2.764602,0.230228,-0.216199
3.636619,2.890265,0.276762,-0.152151
3.794733,3.015929,0.305905,-0.078543
3.952847,3.141593,0.315827,-3.578664e-16
4.110961,3.267256,0.305905,0.078543
4.269075,3.392920,0.276762,0.152151
4.427189,3.518584,0.230228,0.216199
4.585303,3.644247,0.169229,0.266662
4.743416,3.769911,0.097596,0.300370
4.901530,3.895575,0.019831,0.315204
5.059644,4.021239,-0.059180,0.310233
5.217758,4.146902,-0.134473,0.285769
5.375872,4.272566,-0.201316,0.243349
5.533986,4.398230,-0.255510,0.185639
5.692100,4.523893,-0.293649,0.116264
5.850214,4.649557,-0.313337,0.039584
6.008328,4.775221,-0.313337,-0.039584
6.166441,4.900885,-0.293649,-0.116264
6.324555,5.026548,-0.255510,-0.185639
6.482669,5.152212,-0.201316,-0.243349
6.640783,5.277876,-0.134473,-0.285769
6.798897,5.403539,-0.059180,-0.310233
6.957011,5.529203,0.019831,-0.315204
7.115125,5.654867,0.097596,-0.300370
7.273239,5.780530,0.169229,-0.266662
7.431353,5.906194,0.230228,-0.216199
7.589466,6.031858,0.276762,-0.152151
7.747580,6.157522,0.305905,-0.078543
7.905694,6.283185,0.315827,-7.157328e-16
8.063808,6.408849,0.305905,0.078543
8.221922,6.534513,0.276762,0.152151
8.380036,6.660176,0.230228,0.216199
8.538150,6.785840,0.169229,0.266662
8.696264,6.911504,0.097596,0.300370
8.854377,7.037168,0.019831,0.315204
9.012491,7.162831,-0.059180,0.310233
9.170605,7.288495,-0.134473,0.285769
9.328719,7.414159,-0.201316,0.243349
9.486833,7.539822,-0.255510,0.185639
9.644947,7.665486,-0.293649,0.116264
9.803061,7.791150,-0.313337,0.039584
9.961175,7.916813,-0.313337,-0.039584
10.119289,8.042477,-0.293649,-0.116264
10.277402,8.168141,-0.255510,-0.185639
10.435516,8.293805,-0.201316,-0.243349
10.593630,8.419468,-0.134473,-0.285769
10.751744,8.545132,-0.059180,-0.310233
10.909858,8.670796,0.019831,-0.315204
11.067972,8.796459,0.097596,-0.300370
11.226086,8.922123,0.169229,-0.266662
11.384200,9.047787,0.230228,-0.216199
11.542313,9.173451,0.276762,-0.152151
11.700427,9.299114,0.305905,-0.078543
11.858541,9.424778,0.315827,-2.320662e-16
12.016655,9.550442,0.305905,0.078543
12.174769,9.676105,0.276762,0.152151
12.332883,9.801769,0.230228,0.216199
12.490997,9.927433,0.169229,0.266662
12.649111,10.053096,0.097596,0.300370
12.807225,10.178760,0.019831,0.315204
12.965338,10.304424,-0.059180,0.310233
13.123452,10.430088,-0.134473,0.285769
13.281566,10.555751,-0.201316,0.243349
13.439680,10.681415,-0.255510,0.185639
13.597794,10.807079,-0.293649,0.116264
13.755908,10.932742,-0.313337,0.039584
13.914022,11.058406,-0.313337,-0.039584
14.072136,11.184070,-0.293649,-0.116264
14.230249,11.309734,-0.255510,-0.185639
14.388363,11.435397,-0.201316,-0.243349
14.546477,11.561061,-0.134473,-0.285769
14.704591,11.686725,-0.059180,-0.310233
14.862705,11.812388,0.019831,-0.315204
15.020819,11.938052,0.097596,-0.300370
15.178933,12.063716,0.169229,-0.266662
15.337047,12.189379,0.230228,-0.216199
15.495161,12.315043,0.276762,-0.152151
15.653274,12.440707,0.305905,-0.078543
