k,omega,v_group,v_phase
1.000000000000000021e-02,1.000049998750062397e+00,9.999500037496876839e-03,1.000049998750062343e+02
1.097498765493056146e-02,1.000060223363586243e+00,1.097432674406093912e-02,9.112176294014369660e+01
1.204503540258782326e-02,1.000072538807985412e+00,1.204416173345249433e-02,8.302777911247352449e+01
1.321941148466028622e-02,1.000087372603014391e+00,1.321825657117635042e-02,7.565294217246425035e+01
1.450828778495939428e-02,1.000105239669531576e+00,1.450676109821544442e-02,6.893337480569769582e+01
1.592282793341092198e-02,1.000126760190625408e+00,1.592080980852468228e-02,6.281087532774603233e+01
1.747528400007683849e-02,1.000152681119679476e+00,1.747261626146230998e-02,5.723241356851664818e+01
1.917910261672488639e-02,1.000183902078604081e+00,1.917557618840540906e-02,5.214967154961706797e+01
2.104904144512020903e-02,1.000221506540305505e+00,2.104437997731855789e-02,4.751862497625450743e+01
2.310129700083160542e-02,1.000266799370608251e+00,2.309513523328725337e-02,4.329916191868363029e+01
2.535364493970111363e-02,1.000321352022303101e+00,2.534550011198384578e-02,3.945473538031236416e+01
2.782559402207124277e-02,1.000387056934805230e+00,2.781482809996473765e-02,3.595204674305600889e+01
3.053855508833415444e-02,1.000466193005482562e+00,3.052432486158660613e-02,3.276075734793570859e+01
3.351602650938842465e-02,1.000561504372908583e+00,3.349721767518353682e-02,2.985322571255974466e+01
3.678379771828634015e-02,1.000676295199691257e+00,3.675893782508948132e-02,2.720426810911437698e+01
4.037017258596553582e-02,1.000814543676609825e+00,4.033731608022098070e-02,2.479094042873964199e+01
4.430621457583881762e-02,1.000981039106156212e+00,4.426279104687421556e-02,2.259233944242246039e+01
4.862601580065353118e-02,1.001181546680043999e+00,4.856862969748018677e-02,2.058942173639050566e+01
5.336699231206309957e-02,1.001423005461945515e+00,5.329115870215652556e-02,1.876483875287802761e+01
5.857020818056667133e-02,1.001713766145955864e+00,5.847000426670050793e-02,1.710278650637133779e+01
6.428073117284321958e-02,1.002063876407145671e+00,6.414833693368815482e-02,1.558886867221089112e+01
7.054802310718645553e-02,1.002485423118127938e+00,7.037311613744375027e-02,1.420997185980692024e+01
7.742636826811269413e-02,1.002992942399491438e+00,7.719532710059072433e-02,1.295415198768356113e+01
8.497534359086446332e-02,1.003603910424020418e+00,8.467019977529040287e-02,1.181053077297490361e+01
9.326033468832199691e-02,1.004339330120143092e+00,9.285739579387558562e-02,1.076920143463634716e+01
1.023531021899026366e-01,1.005224431422106157e+00,1.018211446026059674e-01,9.821142788198498508e+00
1.123324032978027659e-01,1.006289505475765234e+00,1.116303038902238670e-01,8.958140980995537461e+00
