k,omega,v_group,v_phase
0.1,1.00499,0.0995037,10.0499
0.2,1.0198,0.196116,5.09902
0.3,1.04403,0.287348,3.4801
0.4,1.07703,0.371391,2.69258
0.5,1.11803,0.447214,2.23607
0.6,1.16619,0.514496,1.94365
0.7,1.22066,0.573462,1.74379
0.8,1.28062,0.624695,1.60078
0.9,1.34536,0.668965,1.49485
1,1.41421,0.707107,1.41421
1.1,1.48661,0.73994,1.35146
1.2,1.56205,0.768221,1.30171
1.3,1.64012,0.792624,1.26163
1.4,1.72047,0.813733,1.2289
1.5,1.80278,0.83205,1.20185
1.6,1.8868,0.847998,1.17925
1.7,1.97231,0.861934,1.16018
1.8,2.05913,0.874157,1.14396
1.9,2.14709,0.884918,1.13005
2,2.23607,0.894427,1.11803
2.1,2.32594,0.902861,1.10759
2.2,2.41661,0.910366,1.09846
2.3,2.50799,0.91707,1.09043
2.4,2.6,0.923077,1.08333
2.5,2.69258,0.928477,1.07703
2.6,2.78568,0.933346,1.07141
2.7,2.87924,0.937749,1.06638
2.8,2.97321,0.941742,1.06186
2.9,3.06757,0.945373,1.05778
3,3.16228,0.948683,1.05409
3.1,3.2573,0.951709,1.05074
3.2,3.35261,0.95448,1.04769
3.3,3.44819,0.957024,1.04491
3.4,3.54401,0.959366,1.04236
3.5,3.64005,0.961524,1.04002
3.6,3.73631,0.963518,1.03786
3.7,3.83275,0.965363,1.03588
3.8,3.92938,0.967075,1.03405
3.9,4.02616,0.968664,1.03235
4,4.12311,0.970143,1.03078
4.1,4.22019,0.97152,1.02931
4.2,4.31741,0.972806,1.02795
4.3,4.41475,0.974008,1.02669
4.4,4.51221,0.975133,1.0255
4.5,4.60977,0.976187,1.02439
4.6,4.70744,0.977176,1.02336
4.7,4.80521,0.978106,1.02238
4.8,4.90306,0.97898,1.02147
4.9,5.001,0.979804,1.02061
5,5.09902,0.980581,1.0198
5.1,5.19711,0.981314,1.01904
5.2,5.29528,0.982006,1.01832
5.3,5.39351,0.982662,1.01764
5.4,5.49181,0.983282,1.017
5.5,5.59017,0.98387,1.01639
5.6,5.68859,0.984428,1.01582
5.7,5.78705,0.984957,1.01527
5.8,5.88558,0.98546,1.01475
5.9,5.98415,0.985939,1.01426
6,6.08276,0.986394,1.01379
6.1,6.18142,0.986828,1.01335
6.2,6.28013,0.987241,1.01292
6.3,6.37887,0.987636,1.01252
6.4,6.47765,0.988012,1.01213
6.5,6.57647,0.988372,1.01177
6.6,6.67533,0.988716,1.01141
6.7,6.77422,0.989044,1.01108
6.8,6.87314,0.989359,1.01076
6.9,6.97209,0.989661,1.01045
7,7.07107,0.989949,1.01015
7.1,7.17008,0.990226,1.00987
7.2,7.26911,0.990492,1.0096
7.3,7.36818,0.990747,1.00934
7.4,7.46726,0.990992,1.00909
7.5,7.56637,0.991228,1.00885
7.6,7.66551,0.991454,1.00862
7.7,7.76466,0.991672,1.0084
7.8,7.86384,0.991882,1.00818
7.9,7.96304,0.992083,1.00798
8,8.06226,0.992278,1.00778
8.1,8.1615,0.992465,1.00759
8.2,8.26075,0.992646,1.00741
8.3,8.36002,0.99282,1.00723
8.4,8.45932,0.992988,1.00706
8.5,8.55862,0.993151,1.0069
8.6,8.65794,0.993307,1.00674
8.7,8.75728,0.993459,1.00658
8.8,8.85664,0.993605,1.00644
8.9,8.956,0.993747,1.00629
9,9.05539,0.993884,1.00615
9.1,9.15478,0.994016,1.00602
9.2,9.25419,0.994144,1.00589
9.3,9.35361,0.994269,1.00576
9.4,9.45304,0.994389,1.00564
9.5,9.55249,0.994505,1.00552
9.6,9.65194,0.994618,1.00541
9.7,9.75141,0.994728,1.0053
9.8,9.85089,0.994834,1.00519
9.9,9.95038,0.994937,1.00509
