time,position,velocity
0.1,6.35,0
0.2,6.35,0
0.3,6.35,0
0.4,6.35,0
0.5,6.35,0
0.6,6.35,0
0.7,6.35,0
0.8,6.35,0
0.899999,6.35,0
0.999999,6.35,0
1.1,6.35,0
1.2,6.35,0
1.3,6.35,0
1.4,6.35,0
1.5,6.35,0
1.6,6.35,0
1.7,6.35,0
1.8,6.35,0
1.9,6.35,0
2,6.35,0
2.1,6.35,0
2.2,6.35,0
2.3,6.35,0
2.4,6.35,0
2.5,6.35,0
2.6,6.35,0
2.7,6.35,0
2.8,6.35,0
2.9,6.35,0
3,6.35,0
3.1,6.35,0
3.2,6.35,0
3.3,6.35,0
3.4,6.35,0
3.5,6.35,0
3.6,6.35,0
3.7,6.35,0
3.8,6.35,0
3.9,6.35,0
4,6.35,0
4.1,6.35,0
4.2,6.35,0
4.3,6.35,0
4.40001,6.35,0
4.50001,6.35,0
4.60001,6.35,0
4.70001,6.35,0
4.80001,6.35,0
4.90002,6.35,0
5.00002,6.35,0
5.10002,6.35,0
5.20002,6.35,0
5.30003,6.35,0
5.40003,6.35,0
5.50003,6.35,0
5.60003,6.35,0
5.70004,6.35,0
5.80004,6.35,0
5.90004,6.35,0
6.00004,6.35,0
6.10004,6.35,0
6.20005,6.35,0
6.30005,6.35,0
6.40005,6.35,0
6.50005,6.35,0
6.60006,6.35,0
6.70006,6.35,0
6.80006,6.35,0
6.90006,6.35,0
7.00007,6.35,0
7.10007,6.35,0
7.20007,6.35,0
7.30007,6.35,0
7.40007,6.35,0
7.50008,6.35,0
7.60008,6.35,0
7.70008,6.35,0
7.80008,6.35,0
7.90009,6.35,0
8.00009,6.35,0
8.10009,6.35,0
8.20009,6.35,0
8.30009,6.35,0
8.4001,6.35,0
8.5001,6.35,0
8.6001,6.35,0
8.7001,6.35,0
8.80011,6.35,0
8.90011,6.35,0
9.00011,6.35,0
9.10011,6.35,0
9.20012,6.35,0
9.30012,6.35,0
9.40012,6.35,0
9.50012,6.35,0
9.60012,6.35,0
9.70013,6.35,0
9.80013,6.35,0
9.90013,6.35,0
