# CORRECTED CPU Noise Sweep Results
# Grid: 128×128, dt = 0.01, K = 1, γ = 0.1
# Warmup: 2000 steps, Measurement: 5000 steps
#
# sigma  R_initial  R_final  R_mean  R_std  circular_var
1.000000e-05  1.000000  1.000000  1.000000  0.000000  0.000000
1.000000e-04  1.000000  1.000000  1.000000  0.000000  0.000000
1.000000e-03  1.000000  1.000000  1.000000  -nan  0.000000
1.000000e-02  1.000000  0.999994  0.999994  -nan  0.000006
5.000000e-02  1.000000  0.999181  0.999191  -nan  0.000819
1.000000e-01  1.000000  0.996619  0.996615  0.000053  0.003381
1.500000e-01  1.000000  0.992346  0.992376  0.000191  0.007654
2.000000e-01  1.000000  0.986481  0.986496  0.000321  0.013519
2.500000e-01  1.000000  0.978919  0.978507  0.000418  0.021081
3.000000e-01  1.000000  0.968649  0.968789  0.000440  0.031351
3.500000e-01  1.000000  0.957672  0.957174  0.000384  0.042328
4.000000e-01  1.000000  0.943216  0.943479  0.000703  0.056784
5.000000e-01  1.000000  0.911412  0.909838  0.001503  0.088588
6.000000e-01  1.000000  0.865427  0.863549  0.001686  0.134573
7.000000e-01  1.000000  0.796722  0.800205  0.002303  0.203278
8.000000e-01  1.000000  0.696948  0.699620  0.003991  0.303052
9.000000e-01  1.000000  0.528674  0.530978  0.006057  0.471326
1.000000e+00  1.000000  0.353435  0.353788  0.004518  0.646565
1.500000e+00  1.000000  0.084205  0.074393  0.007339  0.915795
2.000000e+00  1.000000  0.038099  0.030884  0.005230  0.961901
3.000000e+00  1.000000  0.018937  0.013888  0.005768  0.981063
