# Field snapshot at t = 5
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  -0.013901  0.999685  2.499212  0.000102  -0.004461  -0.001229  -0.003321  0.002820  0.007144  0.002254  0.002073  -0.001104
1  0  0.022251  0.999337  2.498343  0.000663  -0.004822  -0.005769  0.002231  -0.011755  -0.012543  0.007672  -0.008604  -0.013162
2  0  -0.055327  0.999337  2.498342  0.000340  0.003124  0.004240  -0.004567  0.003924  0.003428  -0.000094  -0.016159  -0.001845
3  0  0.026815  0.999169  2.497922  0.000191  0.003295  0.000973  0.004602  0.002419  0.000021  -0.007780  -0.004658  0.008342
4  0  -0.062729  0.999422  2.498554  0.000198  0.002947  0.004054  0.005893  0.004903  0.007110  -0.000208  0.007601  0.002476
5  0  -0.024762  0.999400  2.498501  0.000240  0.000740  -0.000766  0.004090  0.000654  0.003646  -0.010049  0.007324  0.007345
6  0  0.035368  0.999642  2.499104  0.000129  0.002080  0.004433  0.002167  0.004482  -0.002126  0.005845  0.005733  0.002970
7  0  -0.033393  0.999781  2.499454  0.000170  -0.007718  -0.000865  -0.001670  0.006543  0.000876  -0.004123  -0.006808  -0.000268
8  0  0.027951  0.999845  2.499612  0.000379  -0.002978  0.012490  -0.005941  0.000516  -0.005611  0.006187  -0.009674  -0.003963
9  0  0.001985  0.999846  2.499616  0.000146  0.002193  0.004964  -0.004788  -0.002880  0.005497  -0.002219  0.006847  -0.001839
10  0  0.011768  0.999793  2.499484  0.000201  -0.005234  0.001514  0.002693  0.003350  0.009062  -0.004139  -0.005820  0.004400
11  0  0.002646  0.999755  2.499387  0.000132  0.001012  -0.006086  0.004879  0.007241  0.000780  -0.001918  0.001711  -0.003267
12  0  -0.019701  0.998520  2.496299  0.000189  -0.004743  0.007853  -0.008054  -0.005537  -0.002731  0.000602  -0.001303  -0.000466
13  0  -0.083313  0.998662  2.496656  0.000181  0.009410  -0.003339  -0.001208  -0.005246  0.003421  0.006071  -0.000432  -0.001809
14  0  -0.025720  0.998236  2.495590  0.000384  0.002343  0.006235  0.015363  0.004169  -0.002175  -0.007205  0.004372  0.003200
15  0  0.025544  0.999493  2.498733  0.000176  -0.006075  -0.002160  0.001683  -0.002223  -0.001038  -0.009634  -0.004984  0.002727
16  0  0.055394  0.999749  2.499373  0.000218  0.009432  0.006626  0.004130  -0.005116  -0.004498  0.003279  0.002539  -0.002133
17  0  0.039875  0.999328  2.498321  0.000158  -0.007394  -0.004393  -0.004972  0.002520  0.003458  0.005427  -0.002978  0.001730
18  0  0.023795  0.999651  2.499128  0.000378  -0.000761  -0.002849  -0.008724  0.009056  -0.000993  -0.008249  0.004238  -0.011125
19  0  0.014048  0.999754  2.499386  0.000312  0.002442  -0.007664  0.005308  0.003557  -0.013301  -0.004804  0.000060  0.002540
20  0  -0.002497  0.999726  2.499315  0.000320  -0.006914  -0.002892  0.001457  0.001606  0.012535  -0.004249  -0.008585  -0.003121
21  0  0.033368  0.999526  2.498815  0.000179  -0.000223  -0.008989  -0.007041  0.004611  -0.000379  -0.002708  0.002556  -0.003624
22  0  0.028663  0.999545  2.498862  0.000389  0.001778  -0.005577  -0.012514  0.007570  0.001857  0.006862  0.008032  -0.005100
23  0  -0.007460  0.999303  2.498257  0.000325  0.004724  0.004427  -0.003220  -0.003175  -0.001680  -0.009351  -0.012756  0.003103
24  0  -0.019683  0.999599  2.498999  0.000114  0.005014  0.002471  0.006109  -0.005466  -0.003127  -0.002273  0.000853  -0.000614
25  0  0.013781  0.999522  2.498805  0.000342  -0.005709  0.005811  0.005493  0.003394  0.013906  0.004326  0.002221  -0.004146
26  0  -0.038906  0.999693  2.499234  0.000279  -0.005124  0.011934  -0.005396  -0.007855  -0.002525  0.003611  0.000415  0.000492
27  0  -0.020301  0.999523  2.498807  0.000273  -0.003289  0.011415  -0.007826  -0.005944  0.000882  0.002175  0.005457  0.000166
28  0  0.055160  0.999484  2.498710  0.000138  0.000359  0.001241  -0.001185  0.005000  -0.000310  -0.005394  -0.003236  -0.008392
29  0  -0.008271  0.999364  2.498410  0.000404  -0.010292  0.008194  0.000207  -0.003817  0.004005  0.007223  0.008650  -0.008581
30  0  -0.014515  0.998908  2.497270  0.000089  0.001366  -0.003708  0.004393  -0.001598  0.005430  -0.001339  0.000729  0.004393
31  0  -0.022401  0.998754  2.496884  0.000208  0.003039  -0.002917  0.001689  -0.005634  0.002790  0.010612  0.005946  0.000326
32  0  0.045013  0.998724  2.496811  0.000116  -0.006665  0.003830  0.001145  -0.000903  0.004753  0.005047  0.002102  0.001641
33  0  -0.024038  0.999065  2.497663  0.000152  -0.000572  -0.003461  0.008851  0.000340  0.005291  0.002619  -0.004109  0.003065
34  0  -0.008970  0.999659  2.499147  0.000153  -0.000615  -0.002973  -0.001803  -0.010226  0.001738  -0.002050  0.005308  -0.000817
35  0  -0.024679  0.999737  2.499342  0.000230  -0.002005  -0.003550  -0.000981  0.007395  0.008747  -0.006509  0.006071  0.001347
36  0  -0.031327  0.999813  2.499533  0.000278  -0.001013  0.010107  0.011210  0.006013  -0.002585  0.001219  0.001398  0.001608
37  0  -0.011648  0.999868  2.499671  0.000243  -0.000197  -0.000083  0.013982  0.003203  -0.004292  -0.003952  -0.001598  0.000657
38  0  0.003693  0.999685  2.499212  0.000146  -0.003612  0.007392  0.003003  0.003441  0.000953  0.002650  0.002492  -0.006569
39  0  0.029174  0.999747  2.499367  0.000128  0.003841  -0.002632  -0.001640  -0.002268  0.006601  0.004136  -0.000558  -0.006133
40  0  0.006575  0.999402  2.498505  0.000219  0.004831  0.005711  0.000289  -0.002007  -0.005442  -0.007998  0.008080  0.000041
41  0  -0.050662  0.999372  2.498429  0.000321  0.003700  0.003275  -0.009996  -0.006190  0.002138  0.003649  0.011845  0.000597
42  0  -0.036634  0.999413  2.498532  0.000105  0.007231  0.004643  -0.001052  -0.001349  -0.002201  -0.003123  -0.002614  0.002605
43  0  0.013067  0.999650  2.499125  0.000565  -0.012335  -0.002827  0.013078  -0.002005  -0.007751  0.002016  0.008500  0.009678
44  0  0.041283  0.999583  2.498958  0.000123  0.001132  -0.000110  0.001897  0.004143  0.003979  -0.006084  0.003138  -0.006214
45  0  -0.004862  0.999573  2.498932  0.000078  0.004325  0.004944  0.004679  0.002672  -0.001017  -0.001207  -0.000534  0.001840
46  0  -0.016521  0.999684  2.499210  0.000227  0.004108  0.001936  -0.009279  0.002734  -0.002594  -0.004879  -0.006258  0.006587
47  0  -0.014933  0.999674  2.499185  0.000254  0.002470  -0.006475  0.003868  0.004099  0.009394  -0.008743  0.002875  -0.001029
48  0  -0.008342  0.999717  2.499291  0.000269  0.001864  0.001892  -0.006223  0.008220  -0.007297  -0.006383  0.004337  0.006563
49  0  -0.009043  0.999752  2.499380  0.000385  -0.013931  0.000915  0.004723  -0.007280  -0.009345  -0.002469  0.004291  0.001616
50  0  0.037552  0.999653  2.499131  0.000212  -0.003515  0.001236  0.001703  0.005372  -0.004000  -0.011209  -0.003059  -0.003903
51  0  0.054319  0.999692  2.499230  0.000097  -0.001668  0.006365  0.001321  -0.002267  0.005130  -0.003513  0.001509  -0.002469
52  0  0.018692  0.999740  2.499349  0.000381  0.001964  -0.008230  -0.001093  0.012922  0.008375  -0.003558  -0.002946  -0.007060
53  0  0.011080  0.999857  2.499644  0.000375  -0.003299  -0.009172  -0.002975  -0.002752  0.005855  0.005206  0.003305  -0.013828
54  0  0.028717  0.999579  2.498946  0.000096  0.002463  0.002195  0.004467  -0.002813  0.005058  0.002202  -0.005121  -0.000803
55  0  -0.026550  0.999495  2.498737  0.000231  -0.001612  -0.007772  -0.001190  -0.011002  -0.001792  0.000648  0.001880  0.006182
56  0  -0.030203  0.999228  2.498071  0.000282  -0.000670  0.013195  0.000794  0.000625  0.004547  0.006509  0.005689  -0.003390
57  0  0.070594  0.999564  2.498910  0.000267  -0.009980  0.007184  0.006024  0.003718  -0.000995  -0.006155  -0.004388  -0.002747
58  0  0.028296  0.999478  2.498694  0.000177  -0.006741  -0.003044  0.002726  -0.001733  -0.003663  -0.005883  0.007115  0.003597
59  0  -0.024729  0.999698  2.499246  0.000253  0.007329  0.009973  0.000487  -0.005088  0.005137  -0.003596  0.005819  0.000541
60  0  0.054312  0.999601  2.499004  0.000098  -0.001813  -0.003248  -0.001513  0.001797  -0.002017  0.007192  -0.004062  -0.002490
61  0  0.039798  0.999561  2.498903  0.000280  -0.009442  0.001913  -0.008219  0.002369  0.004880  0.008512  -0.003833  0.001647
62  0  0.001666  0.999688  2.499221  0.000226  0.007337  -0.002292  -0.004148  -0.002068  -0.001276  -0.010435  0.004914  -0.003279
63  0  0.007598  0.999753  2.499382  0.000270  0.000062  -0.001496  -0.005505  0.001592  0.003001  -0.000929  0.006748  -0.013396
0  1  0.026740  0.999760  2.499399  0.000155  -0.005041  0.003547  -0.002192  -0.000855  -0.004930  0.006144  -0.000918  0.006992
1  1  0.025693  0.999417  2.498543  0.000356  0.007257  -0.003378  0.001931  0.010113  -0.002459  -0.008605  0.005851  -0.008457
